gene,mRNA-seq_WT_OP50,mRNA-seq_set-32_OP50,mRNA-seq_met-2set-25set-32_OP50,mRNA-seq_met-2set-25_OP50,mRNA-seq_hrde-1_OP50,GRH loci,GRTS loci,K9(+)_genes,Input,Suggested Match,History
F11D11.1,0,0,0,0,0,no,no,yes,F11D11.1,WBGene00008696,"Sequence name for WBGene00008696(clec-255). History: Split into F11D11.19(WBGene00077659). History of WBGene00008696: Split into ""WBGene00077659"" on 2008-02-22"
Y38H8A.7,34.79,39.68,35.84,34.61,18.53,no,no,yes,Y38H8A.7,WBGene00012640,Public name for WBGene00012640. History: N.A.
T08D2.6,11.82,8.63,18.11,17.3,7.92,no,no,yes,T08D2.6,WBGene00011611,Public name for WBGene00011611. History: N.A.
Y47H10A.1,0.77,1.06,1.13,0.45,0,no,no,yes,Y47H10A.1,WBGene00000544,Sequence name for WBGene00000544(clp-3). History: N.A.
T07G12.6,27.88,34.44,28.68,20.04,47.37,no,no,yes,T07G12.6,WBGene00011597,Sequence name for WBGene00011597(zim-1). History: N.A.
F15D4.5,2.24,1.54,55.62,41.69,139.8,yes,yes,yes,F15D4.5,WBGene00008862,Public name for WBGene00008862. History: N.A.
F15D4.6,2.71,0,2.26,7.41,42.39,yes,yes,yes,F15D4.6,WBGene00008863,Public name for WBGene00008863. History: N.A.
Y54G11A.13,21.1,22.97,26.88,28.51,23.77,no,no,yes,Y54G11A.13,WBGene00013220,Sequence name for WBGene00013220(ctl-3). History: N.A.
C52E2.8,0,0,0,0,0,no,no,yes,C52E2.8,,Sequence name for Suppressed gene WBGene00016887. Molecular name for Suppressed gene WBGene00016887. Public name for Suppressed gene WBGene00016887. History of WBGene00016887: Killed on 2012-07-23; Suppressed on 2013-07-30. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
C14A6.13,2.27,4.67,2.85,3.55,1.52,no,no,yes,C14A6.13,WBGene00050956,Public name for WBGene00050956. History: N.A.
T26E3.9,0,0,0,0,0,no,no,yes,T26E3.9,WBGene00005051,Sequence name for WBGene00005051(sra-25). History: N.A.
R155.3,0.95,0.39,0.79,0.69,0.63,no,no,yes,R155.3,WBGene00020117,Public name for WBGene00020117. History: N.A.
R155.2,1.29,1.92,0.69,1.57,0.83,no,no,yes,R155.2,WBGene00020116,"Sequence name for WBGene00020116(moa-1). History: Split into R155.5(WBGene00189953). History of WBGene00020116: Split into ""WBGene00189953"" on 2009-04-20"
F37D6.3,0.81,1.78,7.46,2.85,45.68,no,yes,yes,F37D6.3,WBGene00009509,Public name for WBGene00009509. History: N.A.
H02F09.3,0.11,0.12,1.08,1.14,0.14,no,no,yes,H02F09.3,WBGene00019146,Public name for WBGene00019146. History: N.A.
F37D6.4,0,6.38,3.25,0,2.6,no,yes,yes,F37D6.4,WBGene00009510,Public name for WBGene00009510. History: N.A.
W05G11.3.1,36.33,14.43,28.46,19.68,7.92,no,no,yes,W05G11.3.1,WBGene00000663,Molecule name for WBGene00000663(col-88). History: N.A.
Y57G11C.18,0,0,0,0,0,no,no,yes,Y57G11C.18,WBGene00013313,Public name for WBGene00013313. History: N.A.
ZK154.3,7.19,11.96,9.68,11.69,9.82,no,no,yes,ZK154.3,WBGene00003171,Sequence name for WBGene00003171(mec-7). History: N.A.
C46F9.3,4.76,6.22,4.56,5.85,3.14,no,no,yes,C46F9.3,WBGene00016719,Sequence name for WBGene00016719(math-24). History: N.A.
C46F9.2,0,0.07,0.13,0,0,no,no,yes,C46F9.2,WBGene00016718,Sequence name for WBGene00016718(math-23). History: N.A.
C46F9.1,7.11,4.92,12.19,11.39,6.52,no,no,yes,C46F9.1,WBGene00016717,Sequence name for WBGene00016717(math-22). History: N.A.
C46F9.4,0,0,0,0,0,no,no,yes,C46F9.4,WBGene00016720,Sequence name for WBGene00016720(math-25). History: N.A.
C53B7.6,6,4.93,2.5,0,0,no,no,yes,C53B7.6,WBGene00016895,Public name for WBGene00016895. History: N.A.
C08E3.11,0,0,0,0,0,no,no,yes,C08E3.11,WBGene00015603,Sequence name for WBGene00015603(fbxa-159). History: N.A.
T05B4.10,0,0.6,0,0,0,no,no,yes,T05B4.10,WBGene00020241,Public name for WBGene00020241. History: N.A.
C08E3.12,0,0,0,0,0,no,no,yes,C08E3.12,WBGene00015604,Sequence name for WBGene00015604(fbxa-160). History: N.A.
F46B3.8,0,0,0,0,0,no,no,yes,F46B3.8,WBGene00009761,Public name for WBGene00009761. History: N.A.
C08E3.14,0,0,0,0,0,no,no,yes,C08E3.14,WBGene00044415,Public name for WBGene00044415. History: N.A.
T10D4.11,0,0,0,0,0,no,no,yes,T10D4.11,WBGene00020410,Public name for WBGene00020410. History: N.A.
F46B3.2,0,0,0,0,0,no,no,yes,F46B3.2,WBGene00009757,Public name for WBGene00009757. History: N.A.
F46B3.3,0,0,0,1.03,0,no,no,yes,F46B3.3,WBGene00009758,Sequence name for WBGene00009758(ttr-11). History: N.A.
F46B3.5,0.14,0,0.47,0.5,0,no,no,yes,F46B3.5,WBGene00001691,Sequence name for WBGene00001691(grd-2). History: N.A.
F16H6.2,2.31,1.69,0.64,0.9,1.03,no,no,yes,F16H6.2,WBGene00008892,Sequence name for WBGene00008892(clec-246). History: N.A.
Y17D7C.2,0,0,0,0,0,no,no,yes,Y17D7C.2,WBGene00012456,Public name for WBGene00012456. History: N.A.
T12B5.11,6.12,6.91,5.43,8.91,4.23,no,no,yes,T12B5.11,WBGene00020457,Sequence name for WBGene00020457(fbxa-67). History: N.A.
T12B5.10,10.13,6.83,9.22,11.71,11.53,no,no,yes,T12B5.10,WBGene00020456,Sequence name for WBGene00020456(fbxa-60). History: N.A.
C52E2.6,0.93,4.89,4.19,2.61,17.94,no,no,yes,C52E2.6,WBGene00016885,Sequence name for WBGene00016885(fbxb-97). History: N.A.
T12B5.14,12.13,3.63,2.77,5.17,10.35,no,no,yes,T12B5.14,WBGene00050913,Public name for WBGene00050913. History: N.A.
T02H6.9,0,0.76,2.32,0.81,0.93,no,no,yes,T02H6.9,WBGene00020179,Public name for WBGene00020179. History: N.A.
F08D12.11,1.66,0.45,0.35,0.97,0.56,no,no,yes,F08D12.11,WBGene00017254,Sequence name for WBGene00017254(fbxb-111). History: N.A.
F08D12.13,6.36,6.39,4.87,7.45,3.56,no,no,yes,F08D12.13,WBGene00003709,"Public name for Dead gene WBGene00017256. History of WBGene00017256: Merged into ""WBGene00003709"" on 2010-05-06"
F20E11.10,0,0,0,0,0,no,no,yes,F20E11.10,WBGene00005414,Sequence name for WBGene00005414(srh-203). History: N.A.
ZK218.7,0,0,1.33,0.62,0,no,no,yes,ZK218.7,WBGene00013941,Public name for WBGene00013941. History: N.A.
T20D4.17,0,0,0,0,0,no,no,yes,T20D4.17,WBGene00020622,Public name for WBGene00020622. History: N.A.
C47F8.6,0,0,0,0,0,no,no,yes,C47F8.6,WBGene00008162,Public name for WBGene00008162. History: N.A.
C47F8.4,0,0,0,0,0,no,no,yes,C47F8.4,WBGene00008160,Sequence name for WBGene00008160(glct-4). History: N.A.
C47F8.8,0,0,0.33,0,0,no,no,yes,C47F8.8,WBGene00003671,Sequence name for WBGene00003671(nhr-81). History: N.A.
F54E2.3a,24.1,23.7,23.3,22.8,22.2,no,no,yes,F54E2.3a,WBGene00004130,Molecule name for WBGene00004130(ketn-1). History: N.A.
Y8A9A.2,0.2,0.33,0.75,0.35,0.27,no,no,yes,Y8A9A.2,WBGene00021171,Public name for WBGene00021171. History: N.A.
R09E12.6,0.24,1.55,5.21,2.61,11.39,no,no,yes,R09E12.6,,Sequence name for Suppressed gene WBGene00019985. Molecular name for Suppressed gene WBGene00019985. Public name for Suppressed gene WBGene00019985. History of WBGene00019985: Killed on 2009-04-15; Suppressed on 2012-11-15. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
R09E12.4,0,0,0,0,0,no,no,yes,R09E12.4,WBGene00006266,Sequence name for WBGene00006266(str-238). History: N.A.
F30H5.5,0,0,0,1.21,1.38,no,no,yes,F30H5.5,WBGene00044288,Public name for WBGene00044288. History: N.A.
T06G6.2,0,0,0,0,0,no,no,yes,T06G6.2,WBGene00005050,Sequence name for WBGene00005050(sra-24). History: N.A.
W02D9.10,4.92,10.78,13.7,11.52,9.53,no,no,yes,W02D9.10,WBGene00012216,Public name for WBGene00012216. History: N.A.
Y37H2C.3,0,0,0,0,0,no,no,yes,Y37H2C.3,WBGene00012574,Sequence name for WBGene00012574(fbxa-213). History: N.A.
Y102A5D.1,0,0,0,0,0,no,no,yes,Y102A5D.1,,Sequence name for Suppressed gene WBGene00013630. Molecular name for Suppressed gene WBGene00013630. Public name for Suppressed gene WBGene00013630. History of WBGene00013630: Killed on 2011-05-23; Suppressed on 2013-07-30. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
F38A1.10,3.25,3.83,2.5,1.17,1.34,no,no,yes,F38A1.10,WBGene00009523,Sequence name for WBGene00009523(clec-165). History: N.A.
C16C4.6,0,2.06,0.31,0,1.51,no,no,yes,C16C4.6,WBGene00015830,Sequence name for WBGene00015830(fbxb-98). History: N.A.
H11L12.1,11.99,18.31,20.95,9.26,23.14,no,no,yes,H11L12.1,WBGene00019189,Public name for WBGene00019189. History: N.A.
C18E3.7c.1,39.74,36.14,47.16,47.96,38.93,no,no,yes,C18E3.7c.1,WBGene00004093,Molecule name for WBGene00004093(ppw-1). History: Renamed on 2011-10-14
ZK488.7,0.86,1.89,1.8,2.02,0,no,no,yes,ZK488.7,WBGene00004177,Sequence name for WBGene00004177(pqn-98). History: N.A.
E03H4.7,0,0.24,0,0,0,no,no,yes,E03H4.7,WBGene00008475,Sequence name for WBGene00008475(oac-13). History: N.A.
F54C1.8,1.92,2.11,0,1.5,3.44,no,no,yes,F54C1.8,WBGene00018792,Public name for WBGene00018792. History: N.A.
F46A8.10,0.94,2.06,1.97,1.65,0.63,no,no,yes,F46A8.10,WBGene00009753,Sequence name for WBGene00009753(scrm-6). History: N.A.
R09E10.8,0,0,0,0,0,no,no,yes,R09E10.8,WBGene00011177,Public name for WBGene00011177. History: N.A.
Y82E9BR.20.1,0,0,0.92,0,0,no,no,yes,Y82E9BR.20.1,WBGene00022352,Molecule name for WBGene00022352(Y82E9BR.20). History: N.A.
Y43F8B.15,0,0,0.7,0,0,no,no,yes,Y43F8B.15,WBGene00045415,Public name for WBGene00045415. History: N.A.
C16C4.4,6.38,12.2,9.67,8.61,4.78,no,no,yes,C16C4.4,WBGene00015828,Sequence name for WBGene00015828(math-14). History: N.A.
Y73B3A.18a,204.84,195.52,267.59,237.37,231.04,no,no,yes,,,
C46C2.3,0.46,0.51,0,0,8.07,no,no,yes,C46C2.3,WBGene00008111,Public name for WBGene00008111. History: N.A.
C01A2.9,0,0,0,0,0,no,no,yes,C01A2.9,WBGene00077546,Public name for WBGene00077546. History: N.A.
C01A2.6,0,0.55,0,0,0,no,no,yes,C01A2.6,WBGene00007218,Public name for WBGene00007218. History: N.A.
Y55F3C.11,0.19,1.51,4.94,0.81,4.4,no,no,yes,Y55F3C.11,,Sequence name for Suppressed gene WBGene00044766. Molecular name for Suppressed gene WBGene00044766. Public name for Suppressed gene WBGene00044766. History of WBGene00044766: Killed on 2009-04-15; Suppressed on 2012-11-15. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
K02F6.3,1.72,1.89,1.23,1.15,0.11,no,no,yes,K02F6.3,WBGene00019337,Public name for WBGene00019337. History: N.A.
F31A9.3a,0,0,0.32,0,0,no,no,yes,,,
Y113G7A.13,0.85,0,0,0.99,0,no,no,yes,Y113G7A.13,WBGene00013750,Public name for WBGene00013750. History: N.A.
Y71A12B.17,3.47,1.98,1.76,0.71,3.24,no,no,yes,Y71A12B.17,WBGene00045058,Sequence name for WBGene00045058(gadr-5). History: N.A.
C52E2.7,1.36,3.47,1.51,0.53,2.42,no,no,yes,C52E2.7,WBGene00016886,Sequence name for WBGene00016886(fbxb-96). History: N.A.
F09C6.16,0,0,0,0,0,no,no,yes,F09C6.16,WBGene00077493,Public name for WBGene00077493. History: N.A.
Y116F11B.11,0,0.1,0,0,0,no,no,yes,Y116F11B.11,WBGene00013827,Public name for WBGene00013827. History: N.A.
ZC47.3,0,2.48,1.89,1.59,1.82,no,no,yes,ZC47.3,WBGene00013836,Sequence name for WBGene00013836(fbxa-29). History: N.A.
ZC47.6,2.25,1.97,1.51,1.06,0.6,no,no,yes,ZC47.6,WBGene00013839,Sequence name for WBGene00013839(fbxa-32). History: N.A.
ZC47.7,1.49,2.72,2.49,1.16,2,no,no,yes,ZC47.7,WBGene00013840,Sequence name for WBGene00013840(fbxa-151). History: N.A.
Y32B12C.1,0,0.59,0.9,1.26,2.16,no,no,yes,Y32B12C.1,WBGene00012525,Public name for WBGene00012525. History: N.A.
F09C6.13,0,0,0,2.07,0,no,no,yes,F09C6.13,WBGene00044183,Public name for WBGene00044183. History: N.A.
B0391.5,7.64,5.18,3.65,3.41,5.37,no,no,yes,B0391.5,WBGene00007162,Sequence name for WBGene00007162(fbxa-153). History: N.A.
F40G9.6,0.88,1.92,2.2,0,1.18,no,no,yes,F40G9.6,WBGene00018242,Public name for WBGene00018242. History: N.A.
C25F9.9,1.38,0.76,1.15,0,0,no,no,yes,C25F9.9,WBGene00007728,Public name for WBGene00007728. History: N.A.
Y37H2B.1,0,0.93,2.13,0,0,no,no,yes,Y37H2B.1,WBGene00012572,Public name for WBGene00012572. History: N.A.
Y116A8C.16a,12.88,13.9,14.4,13.76,14.98,no,no,yes,Y116A8C.16a,WBGene00004403,Molecule name for WBGene00004403(rom-4). History: N.A.
Y69H2.3d.1,25.17,50.07,50.76,31.4,41.37,no,no,yes,Y69H2.3d.1,WBGene00013481,Molecule name for WBGene00013481(Y69H2.3). History: N.A.
C24B9.6,0,0,0,0,0,no,no,yes,C24B9.6,WBGene00016051,Sequence name for WBGene00016051(srt-27). History: N.A.
F42G9.8,0,0,0.44,0.62,0,no,no,yes,F42G9.8,WBGene00018365,Sequence name for WBGene00018365(tpst-2). History: N.A.
ZC239.7,0.34,1.81,0.4,0.24,0.18,no,no,yes,ZC239.7,WBGene00001541,Sequence name for WBGene00001541(gcy-15). History: N.A.
F55C9.4,0,1.57,1.2,1.12,0.64,no,no,yes,F55C9.4,WBGene00010101,Sequence name for WBGene00010101(fbxb-57). History: N.A.
K08D12.6,244.16,246.46,339.59,272.24,270.35,no,no,yes,K08D12.6,WBGene00019540,Sequence name for WBGene00019540(epic-2). History: N.A.
Y39A3B.1,0,0,0.31,0.43,0,no,no,yes,Y39A3B.1,WBGene00021436,Public name for WBGene00021436. History: N.A.
W02D9.6,45.18,49.5,76.35,51.75,44.43,no,no,yes,W02D9.6,WBGene00012212,Public name for WBGene00012212. History: N.A.
F35E8.9,0,0,0,0,0,no,no,yes,F35E8.9,WBGene00009422,Public name for WBGene00009422. History: N.A.
Y39A3B.4,0,0,0,0,0,no,no,yes,Y39A3B.4,WBGene00005143,Sequence name for WBGene00005143(srd-66). History: N.A.
F35E8.4,0,0,0,0,0,no,no,yes,F35E8.4,WBGene00009419,Public name for WBGene00009419. History: N.A.
F35E8.6,0,0,0,0,0,no,no,yes,F35E8.6,WBGene00009420,Public name for WBGene00009420. History: N.A.
F53H1.3,15.97,8.75,14.11,16.57,19.58,no,no,yes,F53H1.3,WBGene00018777,Public name for WBGene00018777. History: N.A.
F35E8.2,0,0.4,0.31,0,0,no,no,yes,F35E8.2,WBGene00009418,Public name for WBGene00009418. History: N.A.
F31F4.9,0,0,0,0,0,no,no,yes,F31F4.9,WBGene00005451,Sequence name for WBGene00005451(srh-245). History: N.A.
C24A3.8,0,0,0,0,0,no,no,yes,C24A3.8,,Public name for Dead gene WBGene00016036. History of WBGene00016036: Killed on 2012-12-20. Remark: lack of evidence
Y48E1B.13a,0.26,1.41,0.43,0.6,0.34,no,no,yes,Y48E1B.13a,WBGene00000819,Molecule name for WBGene00000819(csp-1). History: N.A.
T05E12.4,0,0,0,0,0,no,no,yes,T05E12.4,WBGene00005767,Sequence name for WBGene00005767(srw-20). History: N.A.
T05E12.1,0,0,0,0,0,no,no,yes,T05E12.1,WBGene00006176,Sequence name for WBGene00006176(str-125). History: N.A.
T05E12.3,8.01,10.42,17.58,17.6,6.72,no,no,yes,T05E12.3,WBGene00011486,Public name for WBGene00011486. History: N.A.
T05E12.2,0,0,0,0,0,no,no,yes,T05E12.2,WBGene00011485,Sequence name for WBGene00011485(srbc-14). History: N.A.
T05E12.9,0.45,0,0,0,0,no,no,yes,T05E12.9,WBGene00045500,Public name for WBGene00045500. History: N.A.
T05E12.8,0,0,0,11.22,7.7,no,no,yes,T05E12.8,WBGene00045382,Public name for WBGene00045382. History: N.A.
K09H9.7,16.46,26.13,27.71,10.9,50.54,yes,no,yes,K09H9.7,WBGene00019598,Public name for WBGene00019598. History: N.A.
F49A5.5a,0.34,0.37,2,1.6,0.46,no,no,yes,F49A5.5a,WBGene00009857,Molecule name for WBGene00009857(clec-28). History: N.A.
C03A7.14,2.4,0.32,0.81,1.67,0.73,no,yes,yes,C03A7.14,WBGene00000031,Sequence name for WBGene00000031(abu-8). History: N.A.
R11G11.13,0,0,0,0,0,no,no,yes,R11G11.13,WBGene00005854,Sequence name for WBGene00005854(srw-107). History: N.A.
C03A7.13,1.3,1.9,1.09,1.52,0.58,no,yes,yes,C03A7.13,WBGene00015371,Public name for WBGene00015371. History: N.A.
Y73C8C.5,0,0,0,0,0,no,no,yes,Y73C8C.5,WBGene00006128,Sequence name for WBGene00006128(str-66). History: N.A.
Y53F4B.26,0.3,0.16,0,0,0.2,no,no,yes,Y53F4B.26,WBGene00013172,Public name for WBGene00013172. History: N.A.
F36H5.3a,0.17,0,0.14,0.41,0,no,no,yes,F36H5.3a,WBGene00018102,Molecule name for WBGene00018102(math-28). History: N.A.
W02C12.1,0.29,0.73,1.27,0.11,0.89,no,no,yes,W02C12.1,WBGene00018547,"Public name for Dead gene WBGene00020928. History of WBGene00020928: Merged into ""WBGene00018546"" on 2012-08-17. History of Dead gene WBGene00018546: Merged into ""WBGene00018547"" on 2013-09-27"
R11A8.1,15.21,15.84,9.79,2.92,23.74,yes,no,yes,R11A8.1,WBGene00011236,Public name for WBGene00011236. History: N.A.
C08F1.8,0.22,0,0,0,0.3,no,no,yes,C08F1.8,WBGene00015611,"Public name for WBGene00015611. History: Split into C08F1.13(WBGene00269390), C08F1.12(WBGene00269389). History of WBGene00015611: Split into ""WBGene00269390"" on 2016-02-18; Split into ""WBGene00269389"" on 2016-02-18"
W05G11.6a.1,31.62,62.66,27.92,26.86,28.35,no,no,yes,,,
C08F1.1,0,0,0,0,0,no,no,yes,C08F1.1,WBGene00015606,Sequence name for WBGene00015606(math-2). History: N.A.
C08F1.3,3.03,3.31,3.97,4.05,3.48,no,no,yes,C08F1.3,WBGene00015607,Sequence name for WBGene00015607(fbxb-13). History: N.A.
C08F1.6,4.57,8.5,3.82,3.74,10.41,no,no,yes,C08F1.6,WBGene00015610,Public name for WBGene00015610. History: N.A.
C44C8.3,4.28,4.55,4.62,6.34,4.07,no,no,yes,C44C8.3,WBGene00016648,"Sequence name for WBGene00016648(fbxc-2). History: Split into fbxc-10(WBGene00045300). History of WBGene00016648: Split into ""WBGene00045300"" on 2007-02-28"
C44C8.2,4.28,4.55,4.62,6.34,4.07,no,no,yes,C44C8.2,WBGene00016647,"Sequence name for WBGene00016647(fbxc-4). History: Split into fbxc-11(WBGene00045299). History of WBGene00016647: Split into ""WBGene00045299"" on 2007-02-28"
C44C8.1,4.53,4.62,4.46,6.12,4.4,no,no,yes,C44C8.1,WBGene00016646,"Sequence name for WBGene00016646(fbxc-5). History: Split into fbxc-12(WBGene00045298). History of WBGene00016646: Split into ""WBGene00045298"" on 2007-02-28"
C44C8.7,0.89,0.37,0.09,0.13,0.3,no,no,yes,C44C8.7,WBGene00045298,Sequence name for WBGene00045298(fbxc-12). History: N.A.
C44C8.4,4.53,4.62,4.46,6.12,4.4,no,no,yes,C44C8.4,WBGene00016649,"Sequence name for WBGene00016649(fbxc-1). History: Split into fbxc-9(WBGene00045301). History of WBGene00016649: Split into ""WBGene00045301"" on 2007-02-28"
C44C8.9,0.53,0.54,0.36,0.15,0.26,no,no,yes,C44C8.9,WBGene00045300,Sequence name for WBGene00045300(fbxc-10). History: N.A.
C56A3.2,12.71,28.89,20.97,25.31,8.95,no,no,yes,C56A3.2,WBGene00008341,Sequence name for WBGene00008341(ttr-44). History: N.A.
B0250.8,0,0.44,0.67,2.1,16.03,no,yes,yes,B0250.8,WBGene00007125,Public name for WBGene00007125. History: N.A.
F49A5.4,0,0.47,1.07,2.49,0,no,no,yes,F49A5.4,WBGene00009856,Sequence name for WBGene00009856(clec-24). History: N.A.
F49A5.6,0,0,0,0,0,no,no,yes,F49A5.6,WBGene00009858,Sequence name for WBGene00009858(thn-4). History: N.A.
F49A5.7,0,0,0.83,2.33,0,no,no,yes,F49A5.7,WBGene00009859,Sequence name for WBGene00009859(clec-33). History: N.A.
F49A5.2,1.45,0.4,2.73,1.28,0,no,no,yes,F49A5.2,WBGene00009854,Sequence name for WBGene00009854(clec-31). History: N.A.
F49A5.3,0.42,0,0.7,0.98,1.12,no,no,yes,F49A5.3,WBGene00009855,Sequence name for WBGene00009855(clec-22). History: N.A.
F49A5.8,0,0,0,0,0,no,no,yes,F49A5.8,WBGene00005770,Sequence name for WBGene00005770(srw-23). History: N.A.
F49A5.9,0,0,0.31,0,0,no,no,yes,F49A5.9,WBGene00009860,Sequence name for WBGene00009860(clec-32). History: N.A.
C38D9.7,0,0,0,0,0.46,no,no,yes,C38D9.7,WBGene00008015,Sequence name for WBGene00008015(fbxa-174). History: N.A.
C38D9.4,0,0,0,0,0,no,no,yes,C38D9.4,WBGene00008012,Sequence name for WBGene00008012(fbxa-133). History: N.A.
C38D9.5,0,0.25,0.09,0,0.15,no,no,yes,C38D9.5,WBGene00008013,Public name for WBGene00008013. History: N.A.
Y69A2AR.26,0,0,0,0,0,no,no,yes,Y69A2AR.26,WBGene00022097,Sequence name for WBGene00022097(nhr-242). History: N.A.
C04C3.4,2.87,0.63,1.44,2.69,0,no,no,yes,C04C3.4,WBGene00015414,Public name for WBGene00015414. History: N.A.
Y73E7A.5,0,0,0.5,0,0,no,no,yes,Y73E7A.5,WBGene00022272,Public name for WBGene00022272. History: N.A.
Y65B4A.9,2.53,2.6,1.85,1.3,0.85,no,no,yes,Y65B4A.9,WBGene00022032,Public name for WBGene00022032. History: N.A.
H11E01.3,2.73,3.07,3.89,3.95,1.72,no,no,yes,H11E01.3,WBGene00019188,Public name for WBGene00019188. History: N.A.
Y48G8AL.15,11.47,19.27,12.78,17.02,13.33,no,no,yes,Y48G8AL.15,WBGene00021692,Public name for WBGene00021692. History: N.A.
Y26G10.4,0,0,0,0,0,no,no,yes,Y26G10.4,WBGene00077640,Public name for WBGene00077640. History: N.A.
W04G5.6,0,0,0,0,0,no,no,yes,W04G5.6,WBGene00002205,Sequence name for WBGene00002205(kin-23). History: N.A.
W04G5.4,0.26,0,0.22,0.31,0,no,no,yes,W04G5.4,WBGene00012265,Public name for WBGene00012265. History: N.A.
W04G5.2,0,0,0.29,0,0,no,no,yes,W04G5.2,WBGene00004275,Sequence name for WBGene00004275(rab-11.2). History: N.A.
F02C9.3,0.13,0,0.32,0.3,0,no,no,yes,F02C9.3,WBGene00017174,Sequence name for WBGene00017174(tat-6). History: N.A.
F02C9.2,0,0,0,0,0,no,no,yes,F02C9.2,WBGene00017173,Public name for WBGene00017173. History: N.A.
F55C9.11,1.64,0,0,0,0,no,no,yes,F55C9.11,WBGene00010107,Public name for WBGene00010107. History: N.A.
F55C9.14,0,0,0,0.59,1.34,no,no,yes,F55C9.14,WBGene00077663,Public name for WBGene00077663. History: N.A.
Y73B6BL.16,0,0,0,0,0.34,no,no,yes,Y73B6BL.16,,Sequence name for Suppressed gene WBGene00022239. Molecular name for Suppressed gene WBGene00022239. Public name for Suppressed gene WBGene00022239. History of WBGene00022239: Suppressed on 2013-10-17. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
T20B6.3,6.36,5.81,2.66,3.11,0.71,no,no,yes,T20B6.3,WBGene00020599,Sequence name for WBGene00020599(idpa-1). History: N.A.
T20B6.1,0,0,0,0.87,0,no,no,yes,T20B6.1,WBGene00020598,"Public name for Dead gene WBGene00020597. History of WBGene00020597: Merged into ""WBGene00020598"" on 2020-01-21"
F55A3.7,37.42,36.69,40.16,38.08,44.72,yes,no,yes,F55A3.7,WBGene00018852,Public name for WBGene00018852. History: N.A.
F55A3.6,0,0,0,1.36,21.75,yes,yes,yes,F55A3.6,WBGene00018851,Public name for WBGene00018851. History: N.A.
T12F5.3.1,75.47,64.2,54.93,62.18,64.95,no,no,yes,T12F5.3.1,WBGene00001601,Molecule name for WBGene00001601(glh-4). History: N.A.
K09B11.5b.1,0.48,0.66,0.71,0.85,0.49,no,no,yes,K09B11.5b.1,WBGene00010712,Molecule name for WBGene00010712(K09B11.5). History: N.A.
ZC47.4,0.9,0,0.38,0.53,0,no,no,yes,ZC47.4,WBGene00013837,Sequence name for WBGene00013837(fbxa-30). History: N.A.
Y113G7B.1a,0,0,0.24,0.34,0,no,no,yes,Y113G7B.1a,WBGene00013754,Molecule name for WBGene00013754(fbxa-116). History: N.A.
Y18D10A.24,0,0,0,0,0,no,no,yes,Y18D10A.24,WBGene00012488,Sequence name for WBGene00012488(clec-105). History: N.A.
K02E2.2,0.14,0.15,0.35,0.17,0,no,no,yes,K02E2.2,WBGene00001700,Sequence name for WBGene00001700(grd-11). History: N.A.
Y48E1B.15,1.73,0,0,0,2.33,no,no,yes,Y48E1B.15,WBGene00013009,"Public name for Dead gene WBGene00013012. History of WBGene00013012: Merged into ""WBGene00013009"" on 2009-12-04"
Y34F4.5,15.1,21.17,21.7,14.85,8.91,no,no,yes,Y34F4.5,WBGene00021340,Public name for WBGene00021340. History: N.A.
T03D8.6.1,8.18,10.92,14.83,9.58,9.09,no,no,yes,,,
Y57G11C.51,13.71,15.65,21.48,18.07,29.11,yes,no,yes,Y57G11C.51,WBGene00044258,Public name for WBGene00044258. History: N.A.
Y102A5C.28,0,0,0,0,0,no,no,yes,Y102A5C.28,WBGene00006249,Sequence name for WBGene00006249(str-217). History: N.A.
Y102A5C.25,0,0,0,0,0,no,no,yes,Y102A5C.25,WBGene00013626,Sequence name for WBGene00013626(srz-54). History: N.A.
Y102A5C.27,0,0,0,0,0,no,no,yes,Y102A5C.27,WBGene00013628,"Public name for WBGene00013628. History: Split into Y102A5C.40(WBGene00077624). History of WBGene00013628: Split into ""WBGene00077624"" on 2008-02-22"
Y102A5C.23,0,0,0,0,0,no,no,yes,Y102A5C.23,WBGene00013625,Sequence name for WBGene00013625(srz-53). History: N.A.
Y82E9BL.1,0,0,0,0,0,no,no,yes,Y82E9BL.1,WBGene00022318,Public name for WBGene00022318. History: N.A.
Y82E9BL.2,0,0,1.22,0,0,no,no,yes,Y82E9BL.2,WBGene00022319,Public name for WBGene00022319. History: N.A.
W06G6.8,0,0,0,0,0,no,no,yes,W06G6.8,WBGene00005824,Sequence name for WBGene00005824(srw-77). History: N.A.
Y116A8C.5,0.2,0,0,0.72,0.27,no,no,yes,Y116A8C.5,WBGene00013786,Sequence name for WBGene00013786(nep-24). History: N.A.
