Gene Name,Gene Isoform,Alternate Name,Fold Change (adr-1;adr-2 vs WT),p-value,Input,Suggested Match,History
K02E11.2,K02E11.2,sre-7,-1.34,0.049,K02E11.2,WBGene00010511,Sequence name for WBGene00010511(sre-7). History: N.A.
K02E11.6,K02E11.6,,1.71,0.036,K02E11.6,WBGene00010515,Public name for WBGene00010515. History: N.A.
K02E2.3,K02E2.3,srh-177,-1.36,0.036,K02E2.3,WBGene00005392,Sequence name for WBGene00005392(srh-177). History: N.A.
K02E2.7,K02E2.7,,1.69,0.038,K02E2.7,WBGene00010508,Public name for WBGene00010508. History: N.A.
K02E7.1,K02E7.1b,,1.97,0.029,K02E7.1,WBGene00019306,Public name for WBGene00019306. History: N.A.
K02E7.10,K02E7.10,,3.28,0.00013,K02E7.10,WBGene00019314,Public name for WBGene00019314. History: N.A.
K02E7.6,K02E7.6.1,,-1.4,0.048,K02E7.6,WBGene00019311,Public name for WBGene00019311. History: N.A.
K02F2.2,K02F2.2.1,,-1.38,0.04,K02F2.2,WBGene00019322,Sequence name for WBGene00019322(ahcy-1). History: Renamed on 2005-02-01; Renamed on 2015-03-05
K02F3.9,K02F3.9,,1.42,0.045,K02F3.9,WBGene00019332,Public name for WBGene00019332. History: N.A.
K02H11.5,K02H11.5,str-216,-1.8,0.031,K02H11.5,WBGene00006248,Sequence name for WBGene00006248(str-216). History: N.A.
K03A11.1,K03A11.1,,-1.73,0.05,K03A11.1,WBGene00010519,Public name for WBGene00010519. History: N.A.
K03B4.5,K03B4.5,srx-77,-1.6,0.021,K03B4.5,WBGene00005968,Sequence name for WBGene00005968(srx-77). History: N.A.
K03B8.2,K03B8.2,nas-17,-8.77,0.0022,K03B8.2,WBGene00003536,Sequence name for WBGene00003536(nas-17). History: N.A.
K03B8.3,K03B8.3,nas-18,-1.34,0.029,K03B8.3,WBGene00003537,Sequence name for WBGene00003537(nas-18). History: N.A.
K03D3.2,K03D3.2,,2.03,0.038,K03D3.2,WBGene00010528,Public name for WBGene00010528. History: N.A.
K03D3.5,K03D3.5,,-10.06,0.00034,K03D3.5,WBGene00010531,Public name for WBGene00010531. History: N.A.
K03D7.3,K03D7.3,,-1.91,0.0036,K03D7.3,WBGene00014796,Public name for WBGene00014796. History: N.A.
K03E5.3,K03E5.3,cdk-2,2.5,0.0013,K03E5.3,WBGene00019362,Sequence name for WBGene00019362(cdk-2). History: N.A.
K03H1.10,K03H1.10.1,,1.49,0.035,K03H1.10,WBGene00010545,Sequence name for WBGene00010545(cbp-2). History: N.A.
K03H1.13,K03H1.13,,1.51,0.023,K03H1.13,WBGene00044903,Public name for WBGene00044903. History: N.A.
K03H1.4,K03H1.4.1,ttr-2,1.54,0.013,K03H1.4,WBGene00010539,Sequence name for WBGene00010539(ttr-2). History: N.A.
K04A8.10,K04A8.10,,-1.39,0.034,K04A8.10,WBGene00019379,Public name for WBGene00019379. History: N.A.
K04A8.8,K04A8.8,spp-20,5.06,0.015,K04A8.8,WBGene00005005,"Sequence name for WBGene00005005(spp-20). History: Split into spp-27(WBGene00271815). History of WBGene00005005: Split into ""WBGene00271815"" on 2017-09-21"
K04D7.4,K04D7.4,,-1.52,0.038,K04D7.4,WBGene00010558,Sequence name for WBGene00010558(ptp-4). History: N.A.
K04F1.9,K04F1.9,,2.11,0.00071,K04F1.9,WBGene00019388,Public name for WBGene00019388. History: N.A.
K04F10.4,K04F10.4e,bli-4,1.38,0.046,K04F10.4,WBGene00000254,Sequence name for WBGene00000254(bli-4). History: N.A.
K04G2.1,K04G2.1.1,iftb-1,1.47,0.014,K04G2.1,WBGene00010560,Sequence name for WBGene00010560(eif-2beta). History: Renamed on 2017-01-09
K04G7.3,K04G7.3b,ogt-1,-1.53,0.049,K04G7.3,WBGene00003858,Sequence name for WBGene00003858(ogt-1). History: N.A.
K04H4.2,K04H4.2a.2,,-1.48,0.044,K04H4.2,WBGene00010573,Sequence name for WBGene00010573(chtb-1). History: N.A.
K04H4.6,K04H4.6a,crn-6,1.5,0.034,K04H4.6,WBGene00000799,Sequence name for WBGene00000799(crn-6). History: N.A.
K04H8.1,K04H8.1,clec-116,-1.61,0.019,K04H8.1,WBGene00010576,Sequence name for WBGene00010576(clec-116). History: N.A.
K04H8.3,K04H8.3,,-1.81,0.019,K04H8.3,WBGene00010578,Public name for WBGene00010578. History: N.A.
K05B2.5,K05B2.5c,pes-22,-1.49,0.019,K05B2.5,WBGene00003986,Sequence name for WBGene00003986(mct-4). History: Renamed on 2013-01-09
K05C4.2,K05C4.2.1,,1.46,0.034,K05C4.2,WBGene00010579,Public name for WBGene00010579. History: N.A.
K05D4.1,K05D4.1,,-1.35,0.046,K05D4.1,WBGene00014798,Public name for WBGene00014798. History: N.A.
K05D4.2,K05D4.2,str-106,-1.59,0.049,K05D4.2,WBGene00006159,Sequence name for WBGene00006159(str-106). History: N.A.
K05D4.5,K05D4.5,,2.31,0.022,K05D4.5,WBGene00014799,Public name for WBGene00014799. History: N.A.
K05F6.1,K05F6.1,fbxb-49,1.48,0.044,K05F6.1,WBGene00019412,"Sequence name for WBGene00019412(fbxb-49). History: Split into K05F6.15(WBGene00269419). History of WBGene00019412: Split into ""WBGene00269419"" on 2016-02-18"
K06A4.7,K06A4.7.1,,1.73,0.0066,K06A4.7,WBGene00010597,Public name for WBGene00010597. History: N.A.
K06B4.12,K06B4.12,twk-34,4.54,1.9e-05,K06B4.12,WBGene00006686,Sequence name for WBGene00006686(twk-34). History: N.A.
K06B4.6,K06B4.6,nhr-268,-1.29,0.047,K06B4.6,WBGene00010601,Sequence name for WBGene00010601(nhr-268). History: N.A.
K06B4.7,K06B4.7,nhr-197,1.87,0.019,K06B4.7,WBGene00010602,Sequence name for WBGene00010602(nhr-197). History: N.A.
K06C4.17,K06C4.17,,-1.39,0.049,K06C4.17,WBGene00019448,Sequence name for WBGene00019448(frpr-13). History: N.A.
K07A1.13,K07A1.13,,1.51,0.036,K07A1.13,WBGene00010617,Public name for WBGene00010617. History: N.A.
K07A1.15,K07A1.15,,1.53,0.012,K07A1.15,WBGene00010619,Public name for WBGene00010619. History: N.A.
K07A1.16,K07A1.16,aqp-9,1.4,0.043,K07A1.16,WBGene00000177,Sequence name for WBGene00000177(aqp-9). History: N.A.
K07A1.6,K07A1.6,,1.71,0.0036,K07A1.6,WBGene00010613,Public name for WBGene00010613. History: N.A.
K07A1.7,K07A1.7,,-1.67,0.048,K07A1.7,WBGene00010614,Sequence name for WBGene00010614(cri-1). History: N.A.
K07A9.4,K07A9.4,,1.81,0.029,K07A9.4,WBGene00019462,"Public name for Dead gene WBGene00019463. History of WBGene00019463: Merged into ""WBGene00019462"" on 2013-09-04"
K07C11.8,K07C11.8.1,,1.67,0.015,K07C11.8,WBGene00019480,Public name for WBGene00019480. History: N.A.
K07C5.1,K07C5.1,arx-2,1.84,0.01,K07C5.1,WBGene00000200,Sequence name for WBGene00000200(arx-2). History: N.A.
K07C6.11,K07C6.11,srx-68,-1.9,0.0046,K07C6.11,WBGene00005959,Sequence name for WBGene00005959(srx-68). History: N.A.
K07C6.15,K07C6.15,srx-70,-1.64,0.03,K07C6.15,WBGene00005961,Sequence name for WBGene00005961(srx-70). History: N.A.
K07C6.6,K07C6.6,srx-63,5.14,4.8e-06,K07C6.6,WBGene00005954,Sequence name for WBGene00005954(srx-63). History: N.A.
K07C6.7,K07C6.7,srx-64,-1.49,0.035,K07C6.7,WBGene00005955,Sequence name for WBGene00005955(srx-64). History: N.A.
K07D8.1,K07D8.1.1,mup-4,-1.66,0.0045,K07D8.1,WBGene00003497,Sequence name for WBGene00003497(mup-4). History: N.A.
K07E12.1,K07E12.1a.2,dig-1,-1.72,0.0079,K07E12.1,WBGene00000998,"Sequence name for WBGene00000998(dig-1). History: N.A.. Public name for Dead gene WBGene00019500. History of WBGene00019500: Merged into ""WBGene00000998"" on 2006-09-08"
K07E3.1,K07E3.1,,-1.39,0.042,K07E3.1,WBGene00019490,Public name for WBGene00019490. History: N.A.
K07E8.12,K07E8.12,sri-44,4.0,4.5e-05,K07E8.12,WBGene00005556,Sequence name for WBGene00005556(sri-44). History: N.A.
K07E8.8,K07E8.8,,-1.35,0.048,K07E8.8,WBGene00023321,Public name for WBGene00023321. History: N.A.
K07F5.12,K07F5.12,,1.51,0.019,K07F5.12,WBGene00010637,Public name for WBGene00010637. History: N.A.
K07F5.16,K07F5.16,,1.59,0.006,K07F5.16,WBGene00010640,Public name for WBGene00010640. History: N.A.
K07G5.1,K07G5.1,crml-1,-2.46,0.0031,K07G5.1,WBGene00010641,Sequence name for WBGene00010641(crml-1). History: N.A.
K07H8.10,K07H8.10.1,,-1.58,0.036,K07H8.10,WBGene00019510,Sequence name for WBGene00019510(nucl-1). History: N.A.
K07H8.12,K07H8.12,,7.94,3.1e-05,K07H8.12,WBGene00044509,Public name for WBGene00044509. History: N.A.
K07H8.8,K07H8.8,,2.51,0.01,K07H8.8,WBGene00019508,Public name for WBGene00019508. History: N.A.
K08A2.1,K08A2.1.2,,-1.43,0.039,K08A2.1,WBGene00019511,Sequence name for WBGene00019511(lido-8). History: N.A.
K08A2.5,K08A2.5c.2,nhr-88,1.44,0.05,K08A2.5,WBGene00003678,Sequence name for WBGene00003678(nhr-88). History: N.A.
K08A8.1,K08A8.1a,mek-1,-1.47,0.032,K08A8.1,WBGene00003185,Sequence name for WBGene00003185(mek-1). History: N.A.
K08B12.2,K08B12.2b,,-1.65,0.02,K08B12.2,WBGene00019521,Sequence name for WBGene00019521(dmd-7). History: N.A.
K08B4.1,K08B4.1a,lag-1,-1.57,0.024,K08B4.1,WBGene00002245,Sequence name for WBGene00002245(lag-1). History: N.A.
K08B4.2,K08B4.2,,1.74,0.016,K08B4.2,WBGene00019514,Sequence name for WBGene00019514(cpg-20). History: N.A.
K08B4.3,K08B4.3,ugt-19,1.51,0.048,K08B4.3,WBGene00019515,Sequence name for WBGene00019515(ugt-19). History: N.A.
K08B4.6,K08B4.6,cpi-1,1.42,0.02,K08B4.6,WBGene00000535,Sequence name for WBGene00000535(cpi-1). History: Renamed on 2006-01-04
K08B4.7,K08B4.7,,1.51,0.018,K08B4.7,WBGene00023486,Public name for WBGene00023486. History: N.A.
K08C7.2,K08C7.2.2,fmo-1,1.52,0.034,K08C7.2,WBGene00001476,Sequence name for WBGene00001476(fmo-1). History: N.A.
K08C9.6,K08C9.6,,-3.27,0.0098,K08C9.6,WBGene00010653,Public name for WBGene00010653. History: N.A.
K08D9.5,K08D9.5,,-1.35,0.047,K08D9.5,WBGene00019526,Public name for WBGene00019526. History: N.A.
K08E3.8,K08E3.8,mdt-29,-1.46,0.034,K08E3.8,WBGene00007025,Sequence name for WBGene00007025(mdt-29). History: N.A.
K08E5.2,K08E5.2b.1,nac-3,-1.49,0.03,K08E5.2,WBGene00003519,Sequence name for WBGene00003519(nac-3). History: N.A.
K08E5.5,K08E5.5,,-1.36,0.017,K08E5.5,WBGene00077703,Public name for WBGene00077703. History: N.A.
K08F11.1,K08F11.1,,1.77,0.034,K08F11.1,WBGene00019541,Public name for WBGene00019541. History: N.A.
K08F4.12,K08F4.12,,1.92,0.017,K08F4.12,WBGene00010680,Public name for WBGene00010680. History: N.A.
K08G2.10,K08G2.10,srh-294,-1.35,0.047,K08G2.10,WBGene00005498,Sequence name for WBGene00005498(srh-294). History: N.A.
K08G2.16,K08G2.16,,-1.45,0.039,K08G2.16,WBGene00050949,Public name for WBGene00050949. History: N.A.
K08H10.2,K08H10.2a.2,,-1.47,0.048,K08H10.2,WBGene00002263,"Public name for Dead gene WBGene00010695. History of WBGene00010695: Merged into ""WBGene00002263"" on 2011-01-21"
K08H10.3,K08H10.3a,,-1.41,0.026,K08H10.3,WBGene00002263,"Public name for Dead gene WBGene00010696. History of WBGene00010696: Merged into ""WBGene00002263"" on 2011-12-05"
K08H10.9,K08H10.9,,1.6,0.0065,K08H10.9,WBGene00010699,Sequence name for WBGene00010699(trpp-6). History: N.A.
K09A11.1,K09A11.1,,-1.57,0.034,K09A11.1,WBGene00010704,Public name for WBGene00010704. History: N.A.
K09A9.1,K09A9.1,,-1.47,0.024,K09A9.1,WBGene00010700,Sequence name for WBGene00010700(nipi-3). History: N.A.
K09B11.1,K09B11.1,pik-1,4.12,2.2e-06,K09B11.1,WBGene00004029,Sequence name for WBGene00004029(pik-1). History: N.A.
K09B11.9,K09B11.9a,,-1.62,0.012,K09B11.9,WBGene00010713,Sequence name for WBGene00010713(uso-1). History: N.A.
K09C4.5,K09C4.5,,-1.43,0.048,K09C4.5,WBGene00019550,Public name for WBGene00019550. History: N.A.
K09C6.6,K09C6.6,,1.93,0.031,K09C6.6,WBGene00019560,Public name for WBGene00019560. History: N.A.
K09C8.2,K09C8.2,,-2.31,0.046,K09C8.2,WBGene00010715,Public name for WBGene00010715. History: N.A.
K09D9.13,K09D9.13,srw-89,1.87,0.005,K09D9.13,WBGene00005836,Sequence name for WBGene00005836(srw-89). History: N.A.
K09D9.4,K09D9.4,srh-6,-1.77,0.0092,K09D9.4,WBGene00005232,Sequence name for WBGene00005232(srh-6). History: N.A.
K09D9.9,K09D9.9,,-1.83,0.012,K09D9.9,WBGene00019567,Public name for WBGene00019567. History: N.A.
K09E3.4,K09E3.4,,4.2,0.0073,K09E3.4,WBGene00019575,Public name for WBGene00019575. History: N.A.
K09F5.6,K09F5.6,,-1.48,0.045,K09F5.6,WBGene00044698,Public name for WBGene00044698. History: N.A.
K09H11.7,K09H11.7,,-1.52,0.033,K09H11.7,WBGene00019604,Sequence name for WBGene00019604(pgph-1). History: N.A.
K09H9.8,K09H9.8,,1.91,0.018,K09H9.8,WBGene00045387,Public name for WBGene00045387. History: N.A.
K10C2.3,K10C2.3,,-1.91,0.014,K10C2.3,WBGene00019619,Sequence name for WBGene00019619(asp-14). History: N.A.
K10C2.6,K10C2.6,,2.36,0.0039,K10C2.6,WBGene00019621,Public name for WBGene00019621. History: N.A.
K10C2.7,K10C2.7,,2.0,0.015,K10C2.7,WBGene00019622,Public name for WBGene00019622. History: N.A.
K10C2.8,K10C2.8,,1.52,0.019,K10C2.8,WBGene00045265,Public name for WBGene00045265. History: N.A.
K10C3.2,K10C3.2.1,,-1.53,0.018,K10C3.2,WBGene00010730,Sequence name for WBGene00010730(ensa-1). History: N.A.
K10C9.1,K10C9.1,,1.81,0.027,K10C9.1,WBGene00019623,Public name for WBGene00019623. History: N.A.
K10D11.2,K10D11.2,,1.78,0.041,K10D11.2,WBGene00010746,Public name for WBGene00010746. History: N.A.
K10D2.3,K10D2.3,cid-1,-1.69,0.035,K10D2.3,WBGene00019629,Sequence name for WBGene00019629(cid-1). History: Renamed on 2007-05-15; Renamed on 2010-02-04
K10D2.6,K10D2.6.1,emb-8,-1.52,0.042,K10D2.6,WBGene00001262,"Sequence name for WBGene00001262(emb-8). History: Renamed on 2018-09-18. Public name for Dead gene WBGene00019632. History of WBGene00019632: Merged into ""WBGene00001262"" on 2005-08-19"
K10D3.2,K10D3.2,unc-14,-1.45,0.023,K10D3.2,WBGene00006753,Sequence name for WBGene00006753(unc-14). History: N.A.
K10D6.2,K10D6.2a,,1.7,0.0039,K10D6.2,WBGene00010742,Sequence name for WBGene00010742(clc-6). History: N.A.
K10E9.1,K10E9.1,,-2.4,0.0073,K10E9.1,WBGene00000227,"Public name for Dead gene WBGene00019634. History of WBGene00019634: Merged into ""WBGene00000227"" on 2012-06-25"
K10F12.8,K10F12.8,,-2.6,0.024,K10F12.8,WBGene00023104,Public name for WBGene00023104. History: N.A.
K10G4.4,K10G4.4,,-1.51,0.023,K10G4.4,WBGene00010753,Public name for WBGene00010753. History: N.A.
K10G4.8,K10G4.8,srw-46,1.86,0.043,K10G4.8,WBGene00005793,Sequence name for WBGene00005793(srw-46). History: N.A.
K10G6.1,K10G6.1,lin-31,-1.54,0.021,K10G6.1,WBGene00003017,Sequence name for WBGene00003017(lin-31). History: N.A.
K10G6.3,K10G6.3,sea-2,-1.79,0.023,K10G6.3,WBGene00004751,Sequence name for WBGene00004751(sea-2). History: N.A.
K10H10.12,K10H10.12,,1.46,0.049,K10H10.12,WBGene00045403,Public name for WBGene00045403. History: N.A.
K11C4.3,K11C4.3a,unc-70,-1.68,0.015,K11C4.3,WBGene00006803,Sequence name for WBGene00006803(unc-70). History: N.A.
K11D12.10,K11D12.10b,mlk-1,-1.68,0.01,K11D12.10,WBGene00003374,Sequence name for WBGene00003374(mlk-1). History: N.A.
K11D12.13,K11D12.13,,1.55,0.013,K11D12.13,WBGene00044535,Public name for WBGene00044535. History: N.A.
K11D12.6,K11D12.6,,-2.92,0.024,K11D12.6,WBGene00019646,Public name for WBGene00019646. History: N.A.
K11D12.8,K11D12.8,,1.47,0.039,K11D12.8,WBGene00019648,Public name for WBGene00019648. History: N.A.
K11D2.3,K11D2.3b,unc-101,1.62,0.043,K11D2.3,WBGene00006829,Sequence name for WBGene00006829(unc-101). History: N.A.
K11D9.2,K11D9.2a.1,sca-1,-1.51,0.047,K11D9.2,WBGene00004736,Sequence name for WBGene00004736(sca-1). History: N.A.
K11D9.3,K11D9.3.3,,1.48,0.019,K11D9.3,WBGene00010772,Public name for WBGene00010772. History: N.A.
K11E4.5,K11E4.5a,nhr-71,-1.33,0.042,K11E4.5,WBGene00003661,Sequence name for WBGene00003661(nhr-71). History: N.A.
K11E8.1,K11E8.1e.2,unc-43,-1.46,0.048,K11E8.1,WBGene00006779,Sequence name for WBGene00006779(unc-43). History: N.A.
K11G9.3,K11G9.3,,-1.59,0.033,K11G9.3,WBGene00019654,Sequence name for WBGene00019654(cest-28). History: N.A.
K11G9.6,K11G9.6.2,mtl-1,2.08,0.0015,K11G9.6,WBGene00003473,Sequence name for WBGene00003473(mtl-1). History: N.A.
K11H3.5,K11H3.5,,1.77,0.0035,K11H3.5,WBGene00010782,Public name for WBGene00010782. History: N.A.
K11H3.6,K11H3.6,,1.63,0.0091,K11H3.6,WBGene00010783,Sequence name for WBGene00010783(mrpl-36). History: N.A.
K12B6.9,K12B6.9,,1.64,0.017,K12B6.9,WBGene00023432,Public name for WBGene00023432. History: N.A.
K12C11.6,K12C11.6,,1.79,0.024,K12C11.6,WBGene00045052,Public name for WBGene00045052. History: N.A.
K12C11.7,K12C11.7,,1.61,0.032,K12C11.7,WBGene00045053,Public name for WBGene00045053. History: N.A.
K12D9.11,K12D9.11,srw-135,5.85,1.3e-05,K12D9.11,WBGene00005882,Sequence name for WBGene00005882(srw-135). History: N.A.
K12D9.13,K12D9.13,srw-131,-1.29,0.043,K12D9.13,WBGene00005878,Sequence name for WBGene00005878(srw-131). History: N.A.
K12G11.5,K12G11.5,srx-76,8.57,1.4e-06,K12G11.5,WBGene00005967,Sequence name for WBGene00005967(srx-76). History: N.A.
K12G11.6,K12G11.6,,2.73,7e-05,K12G11.6,WBGene00010792,Public name for WBGene00010792. History: N.A.
K12H6.1,K12H6.1,nhr-119,3.14,0.00094,K12H6.1,WBGene00003709,Sequence name for WBGene00003709(nhr-119). History: N.A.
K12H6.2,K12H6.2,,1.52,0.049,K12H6.2,WBGene00019683,Public name for WBGene00019683. History: N.A.
K12H6.3,K12H6.3,fut-4,1.39,0.047,K12H6.3,WBGene00001507,Sequence name for WBGene00001507(fut-4). History: N.A.
K12H6.4,K12H6.4,,-10.21,0.00045,K12H6.4,WBGene00019684,Public name for WBGene00019684. History: N.A.
K12H6.5,K12H6.5,,-3.41,0.02,K12H6.5,WBGene00019685,Public name for WBGene00019685. History: N.A.
K12H6.8,K12H6.8,,-9.53,0.00011,K12H6.8,WBGene00019688,Public name for WBGene00019688. History: N.A.
K12H6.9,K12H6.9,,-10.42,0.00022,K12H6.9,WBGene00019689,Public name for WBGene00019689. History: N.A.
LLC1.2,LLC1.2.2,,1.42,0.048,LLC1.2,WBGene00010793,Sequence name for WBGene00010793(nspg-9). History: N.A.
M01B2.1,M01B2.1,kin-30,-2.0,0.0013,M01B2.1,WBGene00002211,Sequence name for WBGene00002211(kin-30). History: N.A.
M01B2.13,M01B2.13,,1.79,0.04,M01B2.13,WBGene00045338,Public name for WBGene00045338. History: N.A.
M01B2.2,M01B2.2,srd-28,-1.69,0.023,M01B2.2,WBGene00005106,Sequence name for WBGene00005106(srd-28). History: N.A.
M01D1.7,M01D1.7,fbxb-39,3.47,0.0056,M01D1.7,WBGene00019702,Sequence name for WBGene00019702(fbxb-39). History: N.A.
M01E11.5,M01E11.5.1,cey-3,1.56,0.035,M01E11.5,WBGene00000474,Sequence name for WBGene00000474(cey-3). History: N.A.
M01E5.3,M01E5.3c,,-1.42,0.04,M01E5.3,WBGene00010806,Public name for WBGene00010806. History: N.A.
M01F1.6,M01F1.6,,1.78,0.03,M01F1.6,WBGene00010812,Sequence name for WBGene00010812(mrpl-35). History: N.A.
M01G12.14,M01G12.14,,-1.36,0.045,M01G12.14,WBGene00010825,Public name for WBGene00010825. History: N.A.
M01G12.2,M01G12.2,,1.71,0.043,M01G12.2,WBGene00010817,Public name for WBGene00010817. History: N.A.
M01G12.9,M01G12.9,,-1.53,0.016,M01G12.9,WBGene00010822,Public name for WBGene00010822. History: N.A.
M01H9.4,M01H9.4c,,1.45,0.047,M01H9.4,WBGene00019720,"Public name for WBGene00019720. History: Split into M01H9.10(WBGene00271788). History of WBGene00019720: Split into ""WBGene00271788"" on 2017-09-21"
M02B7.4,M02B7.4,,1.79,0.011,M02B7.4,WBGene00019725,Sequence name for WBGene00019725(algn-14). History: Renamed on 2015-04-29
M02B7.5,M02B7.5,,-1.77,0.0022,M02B7.5,WBGene00019726,Sequence name for WBGene00019726(bris-1). History: N.A.
M02B7.7,M02B7.7,,1.42,0.047,M02B7.7,WBGene00044690,Public name for WBGene00044690. History: N.A.
M02E1.1,M02E1.1b.1,,-1.66,0.041,M02E1.1,WBGene00019733,Public name for WBGene00019733. History: N.A.
M02H5.1,M02H5.1,nhr-99,-1.4,0.039,M02H5.1,WBGene00003689,Sequence name for WBGene00003689(nhr-99). History: N.A.
M02H5.8,M02H5.8,,1.56,0.029,M02H5.8,WBGene00019744,Public name for WBGene00019744. History: N.A.
M03B6.3,M03B6.3,,-1.57,0.006,M03B6.3,WBGene00010835,Public name for WBGene00010835. History: N.A.
M03B6.4,M03B6.4,,1.58,0.01,M03B6.4,WBGene00010836,Public name for WBGene00010836. History: N.A.
M03B6.5,M03B6.5,,1.57,0.029,M03B6.5,WBGene00010837,Public name for WBGene00010837. History: N.A.
M03D4.3,M03D4.3,,2.18,0.017,M03D4.3,WBGene00019750,Public name for WBGene00019750. History: N.A.
M03D4.4,M03D4.4b.1,,-1.5,0.035,M03D4.4,WBGene00019751,Public name for WBGene00019751. History: N.A.
M03E7.4,M03E7.4,,-1.42,0.034,M03E7.4,WBGene00019756,Sequence name for WBGene00019756(lrpc-1). History: N.A.
M03F4.7,M03F4.7b,calu-1,-1.28,0.049,M03F4.7,WBGene00019760,Sequence name for WBGene00019760(calu-1). History: N.A.
M04D5.3,M04D5.3,,1.62,0.038,M04D5.3,WBGene00077770,Public name for WBGene00077770. History: N.A.
M04D8.3,M04D8.3,ins-23,3.45,0.00027,M04D8.3,WBGene00002106,Sequence name for WBGene00002106(ins-23). History: N.A.
M04F3.1,M04F3.1.1,rpa-2,1.44,0.025,M04F3.1,WBGene00019767,Sequence name for WBGene00019767(rpa-2). History: N.A.
M05D6.6,M05D6.6.1,,-1.36,0.044,M05D6.6,WBGene00010879,Sequence name for WBGene00010879(taap-1). History: N.A.
M05D6.7,M05D6.7,gbh-2,1.51,0.015,M05D6.7,WBGene00001523,Sequence name for WBGene00001523(gbh-2). History: N.A.
M110.4,M110.4b,ifg-1,2.34,0.00018,M110.4,WBGene00002066,Sequence name for WBGene00002066(ifg-1). History: N.A.
M117.3,M117.3,,1.88,0.0063,M117.3,WBGene00010919,Public name for WBGene00010919. History: N.A.
M117.5,M117.5,fbxb-4,1.67,0.045,M117.5,WBGene00010921,Sequence name for WBGene00010921(fbxb-4). History: N.A.
M142.5,M142.5,,-1.78,0.023,M142.5,WBGene00010922,"Public name for WBGene00010922. History: Split into M142.8(WBGene00043057). History of WBGene00010922: Split into ""WBGene00043057"" on 2004-09-14"
M153.2,M153.2,,1.61,0.021,M153.2,WBGene00010925,Sequence name for WBGene00010925(mfsd-11). History: N.A.
M162.5,M162.5.1,,1.44,0.037,M162.5,WBGene00010931,Public name for WBGene00010931. History: N.A.
M162.8,M162.8,fbxa-118,3.52,8.9e-05,M162.8,WBGene00010934,Sequence name for WBGene00010934(fbxa-118). History: Split into fbxa-194(WBGene00044655). History of WBGene00010934: N.A.
M163.5,M163.5,,-1.76,0.038,M163.5,WBGene00010937,Public name for WBGene00010937. History: N.A.
M176.10,M176.10,,-9.51,0.00017,M176.10,WBGene00010946,Public name for WBGene00010946. History: N.A.
M176.5,M176.5,,1.42,0.035,M176.5,WBGene00010944,Public name for WBGene00010944. History: N.A.
M18.2,M18.2,dlc-2,1.5,0.037,M18.2,WBGene00010888,Sequence name for WBGene00010888(dlc-2). History: N.A.
M199.5,M199.5,col-135,-1.64,0.048,M199.5,WBGene00000708,Sequence name for WBGene00000708(col-135). History: N.A.
M28.10,M28.10,,4.18,8.1e-06,M28.10,WBGene00010901,Public name for WBGene00010901. History: N.A.
M28.5,M28.5.1,,-1.35,0.044,M28.5,WBGene00010896,Sequence name for WBGene00010896(snu-13). History: Renamed on 2005-03-17
M6.3,M6.3,pha-2,3.09,0.0096,M6.3,WBGene00004011,"Sequence name for WBGene00004011(pha-2). History: N.A.. Public name for Dead gene WBGene00019775. History of WBGene00019775: Merged into ""WBGene00004011"" on 2004-09-29"
M60.4,M60.4b.2,,1.39,0.048,M60.4,WBGene00019780,Public name for WBGene00019780. History: N.A.
M7.1,M7.1,let-70,-1.29,0.048,M7.1,WBGene00002344,Sequence name for WBGene00002344(let-70). History: N.A.
M7.10,M7.10,,-5.13,0.01,M7.10,WBGene00010886,Public name for WBGene00010886. History: N.A.
M7.9,M7.9,,-4.38,0.022,M7.9,WBGene00010885,Public name for WBGene00010885. History: N.A.
MTCE.11,MTCE.11,,1.76,0.016,MTCE.11,WBGene00010959,Sequence name for WBGene00010959(nduo-1). History: N.A.
MTCE.12,MTCE.12,,2.49,0.0069,MTCE.12,WBGene00010960,Sequence name for WBGene00010960(atp-6). History: N.A.
MTCE.16,MTCE.16,,1.52,0.04,MTCE.16,WBGene00010961,Sequence name for WBGene00010961(nduo-2). History: N.A.
MTCE.21,MTCE.21,ctb-1,1.74,0.047,MTCE.21,WBGene00000829,Sequence name for WBGene00000829(ctb-1). History: N.A.
MTCE.23,MTCE.23,,2.69,0.00023,MTCE.23,WBGene00010962,Sequence name for WBGene00010962(ctc-3). History: N.A.
MTCE.25,MTCE.25,,2.59,0.024,MTCE.25,WBGene00010963,Sequence name for WBGene00010963(nduo-4). History: N.A.
MTCE.3,MTCE.3,,4.67,0.00091,MTCE.3,WBGene00010957,Sequence name for WBGene00010957(nduo-6). History: N.A.
MTCE.31,MTCE.31,,2.65,0.018,MTCE.31,WBGene00010965,Sequence name for WBGene00010965(ctc-2). History: N.A.
MTCE.33,MTCE.33,,2.86,1.6e-05,MTCE.33,WBGene00014472,Public name for WBGene00014472. History: N.A.
MTCE.34,MTCE.34,,3.41,0.021,MTCE.34,WBGene00010966,Sequence name for WBGene00010966(nduo-3). History: N.A.
MTCE.35,MTCE.35,,1.98,0.032,MTCE.35,WBGene00010967,Sequence name for WBGene00010967(nduo-5). History: N.A.
MTCE.4,MTCE.4,,7.29,0.00035,MTCE.4,WBGene00010958,Sequence name for WBGene00010958(ndfl-4). History: N.A.
MTCE.7,MTCE.7,,2.27,0.0023,MTCE.7,WBGene00014454,Public name for WBGene00014454. History: N.A.
