# Ancestral population mRNA levels,,,,,,,,,,,
Gene ID,Public Name,Ancestral hyperaccumulator,wt_1,wt_2,wt_3,prg-1_1,prg-1_2,prg-1_3,Input,Suggested Match,History
Y9C9A.8,Y9C9A.8,yes,7.73,0.94,10.49,7.24,6.04,5.52,Y9C9A.8,WBGene00021178,"Public name for WBGene00021178. History: Split into Y9C9A.112(WBGene00235376). History of WBGene00021178: Split into ""WBGene00235376"" on 2013-10-17"
ZC123.4,ZC123.4,yes,77.42,86.34,92.83,93.62,76.88,93.3,ZC123.4,WBGene00022519,Sequence name for WBGene00022519(cdk-14). History: N.A.
ZC178.1,ZC178.1,yes,1.72,1.89,2.1,14.49,8.46,6.62,ZC178.1,,"Public name for Dead gene WBGene00022535. History of WBGene00022535: Killed on 2017-03-03. Remark: This is on the opposite, incorrect strand to the Mucin gene ZC178.2."
ZC190.7,ZC190.7,yes,0,0,0,0,1.21,3.31,ZC190.7,WBGene00022541,Public name for WBGene00022541. History: N.A.
ZC190.8,ZC190.8,yes,0.86,1.89,1.05,10.14,6.04,5.52,ZC190.8,WBGene00022542,Public name for WBGene00022542. History: N.A.
ZC317.6,ZC317.6,yes,21.47,22.65,18.88,23.18,9.66,25.39,ZC317.6,WBGene00022589,Public name for WBGene00022589. History: N.A.
ZK1010.5,ZK1010.5,yes,36.92,29.25,15.73,159.39,100.26,135.81,ZK1010.5,WBGene00014179,Public name for WBGene00014179. History: N.A.
ZK131.1,his-26,yes,2890.58,2340.87,2667.95,211.58,236.71,279.3,ZK131.1,WBGene00001900,Sequence name for WBGene00001900(his-26). History: N.A.
ZK131.10,his-16,yes,1089.1,0,0,2.9,1.21,0,ZK131.10,WBGene00001890,Sequence name for WBGene00001890(his-16). History: N.A.
ZK131.2,his-25,yes,1929.06,1461.99,1637.16,218.82,224.65,274.9,ZK131.2,WBGene00001899,Sequence name for WBGene00001899(his-25). History: N.A.
ZK131.3,his-9,yes,1929.06,1461.99,1637.16,218.82,224.65,274.9,ZK131.3,WBGene00001883,Sequence name for WBGene00001883(his-9). History: N.A.
ZK131.4,his-10,yes,2890.58,2340.87,2667.95,211.58,236.71,279.3,ZK131.4,WBGene00001884,Sequence name for WBGene00001884(his-10). History: N.A.
ZK131.5,his-11,yes,4914.79,4597.51,4272.67,570.97,541.08,752.91,ZK131.5,WBGene00001885,Sequence name for WBGene00001885(his-11). History: N.A.
ZK131.6,his-12,yes,7080.87,5834.85,6371.3,828.92,868.39,1067.56,ZK131.6,WBGene00001886,Sequence name for WBGene00001886(his-12). History: N.A.
ZK131.7,his-13,yes,1929.06,1461.99,1637.16,218.82,224.65,274.9,ZK131.7,WBGene00001887,Sequence name for WBGene00001887(his-13). History: N.A.
ZK131.8,his-14,yes,2890.58,2340.87,2667.95,211.58,236.71,279.3,ZK131.8,WBGene00001888,Sequence name for WBGene00001888(his-14). History: N.A.
ZK131.9,his-15,yes,4914.79,4597.51,4272.67,570.97,541.08,752.91,ZK131.9,WBGene00001889,Sequence name for WBGene00001889(his-15). History: N.A.
ZK228.1,ZK228.1,yes,0.86,1.89,1.05,1.45,1.21,4.42,ZK228.1,WBGene00013944,Public name for WBGene00013944. History: N.A.
ZK250.9,ZK250.9,yes,0.86,0,0,0,0,3.31,ZK250.9,,Sequence name for Suppressed gene WBGene00022692. Molecular name for Suppressed gene WBGene00022692. Public name for Suppressed gene WBGene00022692. History of WBGene00022692: N.A.. Remark: This gene was determined to be of Transposon in origin so has been suppressed from the protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
ZK355.2,ZK355.2,yes,96.72,64.17,82.59,76.57,61.95,51.08,ZK355.2,WBGene00022712,Public name for WBGene00022712. History: N.A.
ZK484.2,haf-9,yes,625.51,639.43,628.02,751.52,718.24,790.04,ZK484.2,WBGene00001819,Sequence name for WBGene00001819(haf-9). History: N.A.
ZK520.3,dyf-2,yes,23.96,34.99,41.62,40.58,63.75,49.48,ZK520.3,WBGene00001118,"Sequence name for WBGene00001118(dyf-2). History: N.A.. Public name for Dead gene WBGene00013992. History of WBGene00013992: Merged into ""WBGene00001118"" on 2006-09-14"
ZK938.7,rnh-1.2,yes,541.82,552.07,523.4,510.05,507.32,517.83,ZK938.7,WBGene00014163,"Sequence name for WBGene00014163(rnh-1.2). History: Split into ZK938.11(WBGene00270290). History of WBGene00014163: Split into ""WBGene00270290"" on 2016-07-01"
ZK973.6,anc-1,yes,30181.75,33685.98,31774.51,47246.58,40611.75,37213.69,ZK973.6,WBGene00000140,Sequence name for WBGene00000140(anc-1). History: N.A.
