# Dataset S4.  Annotated features with ten or more siRNA  reads per million total small RNA reads and depleted by 2/3 or more in mut-16(pk710), relative to wild type (N2).
gene,Reads Per Million Total_wt,Reads Per Million Total_pk710,Reads Per Million Total_pk710/wt,Depletion,Annotation,Input,Suggested Match,History
Y16E11A.2,15.4,0.33,0.02,-46.94,Gene,Y16E11A.2,,Sequence name for Suppressed gene WBGene00021194. Molecular name for Suppressed gene WBGene00021194. Public name for Suppressed gene WBGene00021194. History of WBGene00021194: N.A.. Remark: This gene was determined to be of Transposon in origin so has been suppressed from the protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
ZK250.9,15.4,0.33,0.02,-46.94,Gene,ZK250.9,,Sequence name for Suppressed gene WBGene00022692. Molecular name for Suppressed gene WBGene00022692. Public name for Suppressed gene WBGene00022692. History of WBGene00022692: N.A.. Remark: This gene was determined to be of Transposon in origin so has been suppressed from the protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
B0024.9,23.01,0.49,0.02,-46.75,Gene,B0024.9,WBGene00007099,Sequence name for WBGene00007099(trx-2). History: N.A.
ZK1073.1,53.62,1.15,0.02,-46.69,Gene,ZK1073.1,WBGene00014213,Public name for WBGene00014213. History: N.A.
Y37H9A.3,695.76,14.93,0.02,-46.61,Gene,Y37H9A.3,WBGene00012578,Sequence name for WBGene00012578(ccct-1). History: N.A.
F14D2.4,625.07,13.45,0.02,-46.47,Gene,F14D2.4,WBGene00017452,Sequence name for WBGene00017452(bath-29). History: N.A.
Y17D7C.3,1927.62,41.5,0.02,-46.45,Pseudogene,Y17D7C.3,WBGene00045366,Public name for WBGene00045366. History: N.A.
F26D10.9,45.64,0.98,0.02,-46.37,Gene,F26D10.9,WBGene00000224,Sequence name for WBGene00000224(atgp-1). History: Renamed on 2008-02-28
T07F10.5,22.64,0.49,0.02,-45.99,Gene,T07F10.5,WBGene00011591,Public name for WBGene00011591. History: N.A.
C16C4.7,37.66,0.82,0.02,-45.92,Gene,C16C4.7,,Public name for Dead gene WBGene00015831. History of WBGene00015831: Killed on 2010-02-23. Remark: removed due to lack of evidence and overlapped gene on opposite strand
F47B10.1,15.03,0.33,0.02,-45.81,Gene,F47B10.1,WBGene00009812,Sequence name for WBGene00009812(suca-1). History: N.A.
F26A3.4,22.45,0.49,0.02,-45.62,Gene,F26A3.4,WBGene00009142,Public name for WBGene00009142. History: N.A.
T19A6.1,111.51,2.46,0.02,-45.32,Gene,T19A6.1,WBGene00011827,Public name for WBGene00011827. History: N.A.
B0391.8,22.3,0.49,0.02,-45.3,Pseudogene,B0391.8,WBGene00014643,Public name for WBGene00014643. History: N.A.
K04C2.3,22.26,0.49,0.02,-45.24,Gene,K04C2.3,WBGene00019381,Public name for WBGene00019381. History: N.A.
Y47D7A.16,14.84,0.33,0.02,-45.24,Gene,Y47D7A.16,WBGene00044637,Sequence name for WBGene00044637(rft-1). History: N.A.
T22B7.4,81.26,1.8,0.02,-45.03,Gene,T22B7.4,WBGene00020673,Public name for WBGene00020673. History: N.A.
Y105C5A.25,132.66,2.95,0.02,-44.93,Pseudogene,Y105C5A.25,WBGene00013644,Public name for WBGene00013644. History: N.A.
F52G3.4,65.12,1.48,0.02,-44.11,Gene,F52G3.4,WBGene00018712,Public name for WBGene00018712. History: N.A.
F02H6.4,86.46,1.97,0.02,-43.92,Gene,F02H6.4,WBGene00008537,Public name for WBGene00008537. History: N.A.
E01G4.7,115.03,2.62,0.02,-43.83,Gene,E01G4.7,WBGene00045410,Public name for WBGene00045410. History: N.A.
Y37H9A.4,17.94,0.41,0.02,-43.73,Pseudogene,Y37H9A.4,WBGene00014870,Public name for WBGene00014870. History: N.A.
Y37E11B.2,357.9,8.2,0.02,-43.63,Gene,Y37E11B.2,WBGene00021375,Public name for WBGene00021375. History: N.A.
F35H12.2,135.26,3.12,0.02,-43.4,Gene,F35H12.2,WBGene00018075,Sequence name for WBGene00018075(tbc-11). History: N.A.
F57C2.5,84.98,1.97,0.02,-43.17,Gene,F57C2.5,WBGene00010197,Public name for WBGene00010197. History: N.A.
C10E2.3,35.25,0.82,0.02,-42.98,Gene,C10E2.3,WBGene00001837,Sequence name for WBGene00001837(hda-4). History: N.A.
W02A11.8,14.1,0.33,0.02,-42.98,Gene,W02A11.8,WBGene00012196,Sequence name for WBGene00012196(bath-35). History: N.A.
Y6B3B.3,14.1,0.33,0.02,-42.98,Gene,Y6B3B.3,WBGene00012388,Public name for WBGene00012388. History: N.A.
C24H12.2,280.72,6.56,0.02,-42.78,Gene,C24H12.2,WBGene00016072,Public name for WBGene00016072. History: N.A.
Y102A5C.7,14.01,0.33,0.02,-42.7,Pseudogene,Y102A5C.7,WBGene00013614,Sequence name for WBGene00013614(clec-237). History: N.A.
D1046.7,27.37,0.64,0.02,-42.6,Pseudogene,D1046.7,WBGene00219575,"Public name for Dead gene WBGene00077749. History of WBGene00077749: Merged into ""WBGene00219575"" on 2014-01-28"
F56D12.4,55.85,1.31,0.02,-42.55,Gene,F56D12.4,WBGene00002176,Sequence name for WBGene00002176(jip-1). History: N.A.
W09C5.9,362.35,8.53,0.02,-42.48,Gene,W09C5.9,WBGene00012355,Public name for WBGene00012355. History: N.A.
C16C8.16,340.46,8.04,0.02,-42.36,Gene,C16C8.16,WBGene00015853,"Public name for WBGene00015853. History: Split into C16C8.20(WBGene00195070), C16C8.21(WBGene00195071). History of WBGene00015853: Split into ""WBGene00195070"" on 2010-04-15; Split into ""WBGene00195071"" on 2010-04-15"
F41G4.2,34.7,0.82,0.02,-42.3,Gene,F41G4.2,WBGene00000294,Sequence name for WBGene00000294(cas-1). History: N.A.
C16C2.2,20.78,0.49,0.02,-42.22,Gene,C16C2.2,WBGene00001145,Sequence name for WBGene00001145(eat-16). History: N.A.
C50F4.7,20.59,0.49,0.02,-41.85,Gene,C50F4.7,WBGene00001911,Sequence name for WBGene00001911(his-37). History: N.A.
Y102A5C.19,13.73,0.33,0.02,-41.85,Gene,Y102A5C.19,WBGene00013623,Sequence name for WBGene00013623(fbxa-90). History: N.A.
F44F4.3,54.73,1.31,0.02,-41.71,Gene,F44F4.3,WBGene00009702,Public name for WBGene00009702. History: N.A.
Y116A8C.25,74.77,1.8,0.02,-41.44,Gene,Y116A8C.25,WBGene00013802,Public name for WBGene00013802. History: N.A.
W02C12.3,47.5,1.15,0.02,-41.36,Gene,W02C12.3,WBGene00020930,Sequence name for WBGene00020930(hlh-30). History: N.A.
T10D4.3,13.54,0.33,0.02,-41.28,Gene,T10D4.3,WBGene00020407,Sequence name for WBGene00020407(chil-24). History: N.A.
T28F2.5,13.54,0.33,0.02,-41.28,Gene,T28F2.5,WBGene00000368,Sequence name for WBGene00000368(ccb-1). History: Renamed on 2015-03-05
K09E9.3,94.62,2.3,0.02,-41.2,Gene,K09E9.3,WBGene00010726,Public name for WBGene00010726. History: N.A.
F28H6.4,47.31,1.15,0.02,-41.2,Gene,F28H6.4,WBGene00009233,Public name for WBGene00009233. History: N.A.
C11G6.1,33.58,0.82,0.02,-40.94,Gene,C11G6.1,WBGene00006384,Sequence name for WBGene00006384(taf-3). History: N.A.
B0212.3,134.14,3.28,0.02,-40.89,Gene,B0212.3,WBGene00015037,Public name for WBGene00015037. History: N.A.
C08F11.5,20.04,0.49,0.02,-40.72,Gene,C08F11.5,WBGene00007453,Sequence name for WBGene00007453(fbxa-98). History: N.A.
C15C8.7,13.36,0.33,0.02,-40.72,Gene,C15C8.7,WBGene00007609,Public name for WBGene00007609. History: N.A.
F26F4.6,100.19,2.46,0.02,-40.72,Gene,F26F4.6,WBGene00017828,Public name for WBGene00017828. History: N.A.
T02G5.14,46.01,1.15,0.02,-40.07,Gene,T02G5.14,WBGene00020170,Public name for WBGene00020170. History: N.A.
C45E1.1,19.67,0.49,0.03,-39.96,Gene,C45E1.1,WBGene00003654,Sequence name for WBGene00003654(nhr-64). History: N.A.
F58E6.9,12.85,0.32,0.03,-39.94,Transposon,,,
C32D5.12,104.83,2.62,0.03,-39.94,Gene,C32D5.12,WBGene00016319,Public name for WBGene00016319. History: Renamed on 2005-03-17
F15D4.7,28.01,0.7,0.03,-39.87,Transposon,F15D4.7,,Sequence name for Suppressed gene WBGene00008864. Molecular name for Suppressed gene WBGene00008864. Public name for Suppressed gene WBGene00008864. History of WBGene00008864: Killed on 2007-11-07; Suppressed on 2012-11-14. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
H04D03.4,58.63,1.48,0.03,-39.71,Gene,H04D03.4,WBGene00010365,"Public name for WBGene00010365. History: Split into H04D03.7(WBGene00305993). History of WBGene00010365: Split into ""WBGene00305993"" on 2020-01-20"
F14F9.6,25.98,0.66,0.03,-39.59,Gene,F14F9.6,WBGene00017469,Public name for WBGene00017469. History: N.A.
C05D10.2,12.99,0.33,0.03,-39.59,Gene,C05D10.2,WBGene00015478,Sequence name for WBGene00015478(mapk-15). History: Renamed on 2018-05-24
F58H7.5,291.29,7.38,0.03,-39.46,Gene,F58H7.5,WBGene00019070,Public name for WBGene00019070. History: N.A.
K06A4.9,12.67,0.32,0.03,-39.38,Transposon,,,
Y65B4A.2,25.79,0.66,0.03,-39.3,Gene,Y65B4A.2,WBGene00022026,Public name for WBGene00022026. History: N.A.
K08A2.1,96.66,2.46,0.03,-39.28,Gene,K08A2.1,WBGene00019511,Sequence name for WBGene00019511(lido-8). History: N.A.
F35G12.5,64.38,1.64,0.03,-39.25,Gene,F35G12.5,WBGene00009442,Public name for WBGene00009442. History: N.A.
C31G12.1,19.3,0.49,0.03,-39.21,Gene,C31G12.1,WBGene00007850,Public name for WBGene00007850. History: N.A.
E_BE45912.2,19.3,0.49,0.03,-39.21,Gene,E_BE45912.2,WBGene00017153,Public name for WBGene00017153. History: N.A.
R13H4.1,19.3,0.49,0.03,-39.21,Gene,R13H4.1,WBGene00011261,Sequence name for WBGene00011261(nphp-4). History: Renamed on 2011-01-18
F57G4.4,42.38,1.08,0.03,-39.2,Pseudogene,F57G4.4,WBGene00010209,Sequence name for WBGene00010209(fbxa-191). History: N.A.
T25C8.1,25.6,0.66,0.03,-39.02,Gene,T25C8.1,WBGene00012017,Sequence name for WBGene00012017(shpk-1). History: Renamed on 2019-05-20
F33H12.6,12.8,0.33,0.03,-39.02,Gene,F33H12.6,,Sequence name for Suppressed gene WBGene00018020. Molecular name for Suppressed gene WBGene00018020. Public name for Suppressed gene WBGene00018020. History of WBGene00018020: N.A.. Remark: This gene was determined to be of Transposon in origin so has been suppressed from the protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
F38A1.1,63.82,1.64,0.03,-38.91,Gene,F38A1.1,WBGene00009515,Sequence name for WBGene00009515(clec-170). History: N.A.
B0261.8,19.11,0.49,0.03,-38.83,Gene,B0261.8,WBGene00015096,Public name for WBGene00015096. History: N.A.
ZK973.8,127.28,3.28,0.03,-38.79,Gene,ZK973.8,WBGene00022834,Public name for WBGene00022834. History: N.A.
T20F7.1,63.45,1.64,0.03,-38.68,Gene,T20F7.1,WBGene00020630,Public name for WBGene00020630. History: N.A.
F07G6.6,88.69,2.3,0.03,-38.62,Gene,F07G6.6,WBGene00017225,Sequence name for WBGene00017225(fbxa-52). History: N.A.
C04F5.9,37.85,0.98,0.03,-38.45,Gene,C04F5.9,WBGene00015451,Public name for WBGene00015451. History: N.A.
T25D3.3,18.92,0.49,0.03,-38.45,Gene,T25D3.3,WBGene00020797,Public name for WBGene00020797. History: N.A.
Y53G8B.3,63.08,1.64,0.03,-38.45,Gene,Y53G8B.3,WBGene00021819,Public name for WBGene00021819. History: N.A.
Y70G10A.3,125.05,3.28,0.03,-38.12,Gene,Y70G10A.3,WBGene00013499,Public name for WBGene00013499. History: N.A.
R06A10.1,18.74,0.49,0.03,-38.08,Gene,R06A10.1,WBGene00019909,Public name for WBGene00019909. History: N.A.
Y55H10B.1,40.38,1.06,0.03,-38.04,Transposon,Y55H10B.1,,Sequence name for Suppressed gene WBGene00021954. Molecular name for Suppressed gene WBGene00021954. Public name for Suppressed gene WBGene00021954. History of WBGene00021954: Suppressed on 2007-01-05. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
Y47D3A.1,31.17,0.82,0.03,-38,Gene,Y47D3A.1,WBGene00012922,Public name for WBGene00012922. History: N.A.
R04E5.8,74.77,1.97,0.03,-37.98,Gene,R04E5.8,WBGene00019871,Public name for WBGene00019871. History: N.A.
F47A4.5,24.86,0.66,0.03,-37.89,Gene,F47A4.5,WBGene00009801,Sequence name for WBGene00009801(ipla-2). History: N.A.
Y71G12B.11,93.14,2.46,0.03,-37.85,Gene,Y71G12B.11,WBGene00006771,"Sequence name for WBGene00006771(tln-1). History: Renamed on 2011-08-12. Public name for Dead gene WBGene00022151. History of WBGene00022151: Merged into ""WBGene00006771"" on 2013-01-31"
Y76A2B.4,92.95,2.46,0.03,-37.78,Gene,Y76A2B.4,WBGene00013576,Public name for WBGene00013576. History: N.A.
C06E8.3,86.65,2.3,0.03,-37.73,Gene,C06E8.3,WBGene00004182,Sequence name for WBGene00004182(prk-1). History: N.A.
F15A4.2,18.55,0.49,0.03,-37.7,Gene,F15A4.2,WBGene00008838,Public name for WBGene00008838. History: N.A.
C32B5.15,30.8,0.82,0.03,-37.55,Gene,C32B5.15,WBGene00016308,Public name for WBGene00016308. History: N.A.
K09H11.11,214.67,5.74,0.03,-37.39,Gene,K09H11.11,WBGene00044541,Public name for WBGene00044541. History: N.A.
C17F4.8,42.86,1.15,0.03,-37.32,Gene,C17F4.8,WBGene00015914,Public name for WBGene00015914. History: N.A.
K09C4.3,36.46,0.98,0.03,-37.04,Pseudogene,K09C4.3,WBGene00002006,Sequence name for WBGene00002006(hsp-2). History: N.A.
F09F7.6,24.31,0.66,0.03,-37.04,Gene,F09F7.6,WBGene00017303,Public name for WBGene00017303. History: N.A.
M162.5,18.18,0.49,0.03,-36.95,Gene,M162.5,WBGene00010931,Public name for WBGene00010931. History: N.A.
W09G3.2,66.61,1.8,0.03,-36.91,Gene,W09G3.2,WBGene00012366,"Sequence name for WBGene00012366(maea-1). History: Split into W09G3.16(WBGene00303084). History of WBGene00012366: Split into ""WBGene00303084"" on 2018-03-02"
F59A3.9,42.12,1.15,0.03,-36.68,Gene,F59A3.9,WBGene00019082,Sequence name for WBGene00019082(pup-3). History: N.A.
C37F5.1,89.24,2.46,0.03,-36.27,Gene,C37F5.1,WBGene00002990,Sequence name for WBGene00002990(lin-1). History: Renamed on 2011-11-08
K01G12.3,47.5,1.31,0.03,-36.19,Gene,K01G12.3,WBGene00010483,Public name for WBGene00010483. History: N.A.
F15D3.8,23.75,0.66,0.03,-36.19,Gene,F15D3.8,WBGene00008858,Sequence name for WBGene00008858(pals-1). History: N.A.
K10F12.4,23.75,0.66,0.03,-36.19,Gene,K10F12.4,WBGene00019636,Sequence name for WBGene00019636(gsto-3). History: N.A.
F36F12.1,11.87,0.33,0.03,-36.19,Gene,F36F12.1,WBGene00018092,Public name for WBGene00018092. History: N.A.
M03B6.4,11.87,0.33,0.03,-36.19,Gene,M03B6.4,WBGene00010836,Public name for WBGene00010836. History: N.A.
Y71F9AR.1,11.87,0.33,0.03,-36.19,Gene,Y71F9AR.1,WBGene00000237,Sequence name for WBGene00000237(bam-2). History: N.A.
B0564.11,272.18,7.55,0.03,-36.07,Gene,B0564.11,WBGene00023421,Sequence name for WBGene00023421(rde-11). History: N.A.
C24H12.12,41.37,1.15,0.03,-36.03,Gene,C24H12.12,WBGene00044639,Public name for WBGene00044639. History: N.A.
T23G11.5,29.5,0.82,0.03,-35.97,Gene,T23G11.5,WBGene00011970,Sequence name for WBGene00011970(rlbp-1). History: N.A.
F23H12.10,34.46,0.96,0.03,-35.81,Pseudogene,F23H12.10,WBGene00044218,Public name for WBGene00044218. History: N.A.
C03A7.12,175.52,4.92,0.03,-35.66,Gene,C03A7.12,WBGene00015371,"Public name for Dead gene WBGene00015370. History of WBGene00015370: Merged into ""WBGene00015371"" on 2017-09-21"
F46C3.4,23.32,0.66,0.03,-35.53,Pseudogene,F46C3.4,WBGene00044702,Public name for WBGene00044702. History: N.A.
C02B8.2,58.26,1.64,0.03,-35.51,Gene,C02B8.2,WBGene00015321,Sequence name for WBGene00015321(fbxc-38). History: N.A.
C03A7.13,46.57,1.31,0.03,-35.49,Gene,C03A7.13,WBGene00015371,Public name for WBGene00015371. History: N.A.
Y116A8A.7,17.44,0.49,0.03,-35.44,Gene,Y116A8A.7,WBGene00013777,Public name for WBGene00013777. History: N.A.
Y71F9AL.4,63.82,1.8,0.03,-35.37,Gene,Y71F9AL.4,WBGene00022110,Public name for WBGene00022110. History: N.A.
Y37E3.13,23.19,0.66,0.03,-35.34,Gene,Y37E3.13,WBGene00021353,Sequence name for WBGene00021353(iglr-3). History: N.A.
T25B9.8,34.7,0.98,0.03,-35.25,Gene,T25B9.8,WBGene00012014,Public name for WBGene00012014. History: N.A.
K06B9.2,374.04,10.66,0.03,-35.08,Gene,K06B9.2,WBGene00019439,Public name for WBGene00019439. History: N.A.
Y51A2D.23,14.38,0.41,0.03,-35.06,Pseudogene,Y51A2D.23,WBGene00077653,Public name for WBGene00077653. History: N.A.
C25A1.1,46.01,1.31,0.03,-35.06,Gene,C25A1.1,WBGene00007705,Public name for WBGene00007705. History: N.A.
R07C3.6,23.01,0.66,0.03,-35.06,Gene,R07C3.6,WBGene00019922,Sequence name for WBGene00019922(fbxc-28). History: N.A.
F16B12.4,11.5,0.33,0.03,-35.06,Gene,F16B12.4,WBGene00008880,Public name for WBGene00008880. History: N.A.
Y80D3A.9,11.5,0.33,0.03,-35.06,Gene,Y80D3A.9,WBGene00013587,Sequence name for WBGene00013587(hrg-10). History: N.A.
K02E2.11,401.41,11.48,0.03,-34.96,Gene,K02E2.11,WBGene00185118,Public name for WBGene00185118. History: N.A.
C53D6.6,17.07,0.49,0.03,-34.68,Gene,C53D6.6,WBGene00008283,Public name for WBGene00008283. History: N.A.
C41D11.6,261.05,7.55,0.03,-34.59,Gene,C41D11.6,WBGene00016565,Sequence name for WBGene00016565(sosi-1). History: N.A.
Y61A9LA.5,29.31,0.85,0.03,-34.59,Pseudogene,Y61A9LA.5,WBGene00022017,Public name for WBGene00022017. History: N.A.
T05G5.1,33.95,0.98,0.03,-34.5,Gene,T05G5.1,WBGene00011498,Public name for WBGene00011498. History: N.A.
Y73B6BL.7,33.95,0.98,0.03,-34.5,Gene,Y73B6BL.7,WBGene00000820,Sequence name for WBGene00000820(csp-2). History: N.A.
Y116A8C.11,11.32,0.33,0.03,-34.5,Gene,Y116A8C.11,WBGene00013791,Sequence name for WBGene00013791(nccd-1). History: N.A.
Y119D3B.6,11.32,0.33,0.03,-34.5,Gene,Y119D3B.6,WBGene00022484,Sequence name for WBGene00022484(fbxa-77). History: N.A.
C53H9.3,16.88,0.49,0.03,-34.31,Gene,C53H9.3,WBGene00044746,Public name for WBGene00044746. History: N.A.
C16A3.10,39.15,1.15,0.03,-34.09,Gene,C16A3.10,WBGene00015814,Sequence name for WBGene00015814(oatr-1). History: N.A.
T13C2.2,211.88,6.23,0.03,-33.99,Gene,T13C2.2,WBGene00020478,Public name for WBGene00020478. History: N.A.
Y59A8B.11,27.83,0.82,0.03,-33.93,Gene,Y59A8B.11,WBGene00013348,Sequence name for WBGene00013348(fbxa-106). History: N.A.
Y39G10AR.11,33.4,0.98,0.03,-33.93,Gene,Y39G10AR.11,WBGene00021469,Public name for WBGene00021469. History: N.A.
Y54E5A.2,33.4,0.98,0.03,-33.93,Gene,Y54E5A.2,WBGene00013198,Public name for WBGene00013198. History: N.A.
F47G3.3,11.13,0.33,0.03,-33.93,Gene,F47G3.3,WBGene00018578,Public name for WBGene00018578. History: N.A.
H09G03.1,305.76,9.02,0.03,-33.89,Gene,H09G03.1,WBGene00019174,"Public name for WBGene00019174. History: Split into H09G03.4(WBGene00305995), H09G03.5(WBGene00305996). History of WBGene00019174: Split into ""WBGene00305995"" on 2020-01-20; Split into ""WBGene00305996"" on 2020-01-20"
Y71H2AM.25,27.64,0.82,0.03,-33.7,Gene,Y71H2AM.25,WBGene00044760,Public name for WBGene00044760. History: N.A.
Y51H4A.29,19.3,0.57,0.03,-33.68,Transposon,Y51H4A.29,,Sequence name for Suppressed gene WBGene00023444. Molecular name for Suppressed gene WBGene00023444. Public name for Suppressed gene WBGene00023444. History of WBGene00023444: Killed on 2005-11-21; Suppressed on 2012-11-14. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
Y82E9BR.12,38.59,1.15,0.03,-33.61,Gene,Y82E9BR.12,WBGene00022345,"Sequence name for WBGene00022345(fbxa-138). History: Split into pals-21(WBGene00255597). History of WBGene00022345: Split into ""WBGene00255597"" on 2014-10-09"
C09E7.4,55.1,1.64,0.03,-33.59,Gene,C09E7.4,WBGene00015638,Public name for WBGene00015638. History: N.A.
C16A11.6,66.05,1.97,0.03,-33.55,Gene,C16A11.6,WBGene00015819,"Sequence name for WBGene00015819(fbxc-44). History: Split into fbxc-43(WBGene00045297). History of WBGene00015819: Split into ""WBGene00045297"" on 2007-02-28"
Y71G12B.5,16.51,0.49,0.03,-33.55,Gene,Y71G12B.5,WBGene00022145,"Public name for WBGene00022145. History: Split into ""WBGene00219273"" on 2011-10-03"
K03A1.5,38.41,1.15,0.03,-33.45,Gene,K03A1.5,WBGene00006351,Sequence name for WBGene00006351(sur-5). History: N.A.
K09H9.7,213.92,6.4,0.03,-33.44,Gene,K09H9.7,WBGene00019598,Public name for WBGene00019598. History: N.A.
K02E2.2,21.89,0.66,0.03,-33.36,Gene,K02E2.2,WBGene00001700,Sequence name for WBGene00001700(grd-11). History: N.A.
C09B8.4,10.95,0.33,0.03,-33.36,Gene,C09B8.4,WBGene00015623,Public name for WBGene00015623. History: N.A.
F49E7.1,43.04,1.31,0.03,-32.8,Gene,F49E7.1,WBGene00004377,"Sequence name for WBGene00004377(rme-6). History: N.A.. Public name for Dead gene WBGene00018633. History of WBGene00018633: Merged into ""WBGene00004377"" on 2005-05-20"
ZK353.1,32.28,0.98,0.03,-32.8,Gene,ZK353.1,WBGene00022697,Sequence name for WBGene00022697(cyy-1). History: N.A.
F59F4.1,10.76,0.33,0.03,-32.8,Gene,F59F4.1,WBGene00010336,Sequence name for WBGene00010336(acox-1.6). History: Renamed on 2017-01-05
ZK1025.4,15.96,0.49,0.03,-32.42,Gene,ZK1025.4,WBGene00014184,Public name for WBGene00014184. History: N.A.
ZK177.2,15.96,0.49,0.03,-32.42,Gene,ZK177.2,WBGene00022670,Public name for WBGene00022670. History: N.A.
F56A6.2,74.4,2.3,0.03,-32.4,Gene,F56A6.2,WBGene00002040,Sequence name for WBGene00002040(hum-7). History: N.A.
Y54G2A.12,126.91,3.94,0.03,-32.23,Gene,Y54G2A.12,WBGene00021877,Public name for WBGene00021877. History: N.A.
F20B4.6,10.58,0.33,0.03,-32.23,Gene,F20B4.6,WBGene00017625,Sequence name for WBGene00017625(cgt-2). History: N.A.
T24A6.2,10.58,0.33,0.03,-32.23,Gene,T24A6.2,,Public name for Dead gene WBGene00020745. History of WBGene00020745: Killed on 2016-02-22. Remark: lack of evidence
W03F11.5,10.58,0.33,0.03,-32.23,Gene,W03F11.5,WBGene00021008,Public name for WBGene00021008. History: N.A.
Y48G1BM.9,10.58,0.33,0.03,-32.23,Gene,Y48G1BM.9,WBGene00021675,"Public name for Dead gene WBGene00021674. History of WBGene00021674: Merged into ""WBGene00021675"" on 2013-10-17"
F28C6.4,36.92,1.15,0.03,-32.15,Gene,F28C6.4,WBGene00009204,Sequence name for WBGene00009204(pigg-1). History: N.A.
Y39B6A.3,26.35,0.82,0.03,-32.12,Gene,Y39B6A.3,WBGene00012666,Public name for WBGene00012666. History: N.A.
C24G6.4,15.77,0.49,0.03,-32.05,Gene,C24G6.4,WBGene00003637,Sequence name for WBGene00003637(nhr-47). History: Renamed on 2005-12-15
E03H4.8,15.77,0.49,0.03,-32.05,Gene,E03H4.8,WBGene00008476,Public name for WBGene00008476. History: N.A.
ZK370.7,62.9,1.97,0.03,-31.95,Gene,ZK370.7,WBGene00022721,Sequence name for WBGene00022721(ugtp-1). History: N.A.
C17C3.15,20.97,0.66,0.03,-31.95,Gene,C17C3.15,WBGene00015896,Public name for WBGene00015896. History: N.A.
Y75B8A.31,20.97,0.66,0.03,-31.95,Gene,Y75B8A.31,WBGene00013561,Public name for WBGene00013561. History: N.A.
W09H1.3,89.06,2.79,0.03,-31.93,Gene,W09H1.3,WBGene00012373,Public name for WBGene00012373. History: N.A.
Y116A8C.22,78.11,2.46,0.03,-31.74,Gene,Y116A8C.22,WBGene00013799,Sequence name for WBGene00013799(athp-3). History: N.A.
W02A11.6,46.52,1.47,0.03,-31.72,Pseudogene,W02A11.6,WBGene00014852,Public name for WBGene00014852. History: N.A.
F10E9.2,51.95,1.64,0.03,-31.67,Gene,F10E9.2,WBGene00017354,Public name for WBGene00017354. History: N.A.
C43H6.1,15.59,0.49,0.03,-31.67,Gene,C43H6.1,WBGene00016614,"Sequence name for WBGene00016614(trpp-12). History: Split into C43H6.12(WBGene00303045). History of WBGene00016614: Split into ""WBGene00303045"" on 2018-03-02"
F53H4.6,15.59,0.49,0.03,-31.67,Gene,F53H4.6,WBGene00010011,Public name for WBGene00010011. History: N.A.
C44H4.5,10.39,0.33,0.03,-31.67,Gene,C44H4.5,WBGene00006524,Sequence name for WBGene00006524(tap-1). History: N.A.
F14F4.3,10.39,0.33,0.03,-31.67,Gene,F14F4.3,WBGene00003411,Sequence name for WBGene00003411(mrp-5). History: N.A.
M01F1.5,10.39,0.33,0.03,-31.67,Gene,M01F1.5,WBGene00010811,Sequence name for WBGene00010811(hmit-1.3). History: N.A.
Y38E10A.28,36.18,1.15,0.03,-31.51,Gene,Y38E10A.28,WBGene00044034,"Public name for WBGene00044034. History: Split into Y38E10A.34(WBGene00304775). History of WBGene00044034: Split into ""WBGene00304775"" on 2019-03-13"
C11G6.4,30.98,0.98,0.03,-31.48,Gene,C11G6.4,WBGene00003624,Sequence name for WBGene00003624(nhr-28). History: N.A.
K02D10.1,242.5,7.71,0.03,-31.45,Gene,K02D10.1,WBGene00019301,Public name for WBGene00019301. History: N.A.
F33A8.6,25.79,0.82,0.03,-31.44,Gene,F33A8.6,WBGene00009354,Sequence name for WBGene00009354(ilkp-1). History: N.A.
K01A2.8,25.79,0.82,0.03,-31.44,Gene,K01A2.8,WBGene00019282,Sequence name for WBGene00019282(mps-2). History: N.A.
Y48A6C.5,25.79,0.82,0.03,-31.44,Gene,Y48A6C.5,WBGene00004010,Sequence name for WBGene00004010(pha-1). History: N.A.
C04E7.4,20.59,0.66,0.03,-31.39,Gene,C04E7.4,WBGene00015430,"Public name for Dead gene WBGene00015431. History of WBGene00015431: Merged into ""WBGene00015430"" on 2018-01-11"
M04C9.3,20.59,0.66,0.03,-31.39,Gene,M04C9.3,WBGene00010858,Public name for WBGene00010858. History: N.A.
C07E3.6,15.4,0.49,0.03,-31.29,Gene,C07E3.6,WBGene00007417,Sequence name for WBGene00007417(ceh-58). History: N.A.
Y38H8A.7,15.4,0.49,0.03,-31.29,Gene,Y38H8A.7,WBGene00012640,Public name for WBGene00012640. History: N.A.
K10D2.8,97.22,3.12,0.03,-31.19,Gene,K10D2.8,WBGene00189952,Public name for WBGene00189952. History: N.A.
F31A9.4,189.06,6.07,0.03,-31.15,Gene,F31A9.4,WBGene00017942,Sequence name for WBGene00017942(fbxc-37). History: N.A.
