spermatogenesis genes,Input,Suggested Match,History
F59C6.2,F59C6.2,WBGene00010323,Sequence name for WBGene00010323(dhhc-12). History: N.A.
F59E12.3,F59E12.3,WBGene00019119,Public name for WBGene00019119. History: N.A.
H05L14.1,H05L14.1,WBGene00010366,Public name for WBGene00010366. History: N.A.
H06H21.9,H06H21.9,WBGene00019165,Sequence name for WBGene00019165(mpz-4). History: N.A.
H06O01.4,H06O01.4,WBGene00010371,Public name for WBGene00010371. History: N.A.
H08M01.1,H08M01.1,WBGene00010373,Public name for WBGene00010373. History: N.A.
H09I01.1,H09I01.1,,Public name for Dead gene WBGene00019175. History of WBGene00019175: Killed on 2011-08-22. Remark: lack of evidence and overlap with K07H8.7
H12D21.1,H12D21.1,WBGene00010377,Sequence name for WBGene00010377(nspa-1). History: N.A.
H12D21.2,H12D21.2,WBGene00010378,Public name for WBGene00010378. History: N.A.
H32C10.1,H32C10.1,WBGene00019255,Public name for WBGene00019255. History: N.A.
H32C10.3,H32C10.3,WBGene00019257,Sequence name for WBGene00019257(dhhc-13). History: N.A.
K01A11.4,K01A11.4,WBGene00004976,Sequence name for WBGene00004976(spe-41). History: N.A.
K01C8.8,K01C8.8,WBGene00010460,Sequence name for WBGene00010460(clec-142). History: N.A.
K01D12.15,K01D12.15,WBGene00010474,Public name for WBGene00010474. History: N.A.
K01D12.7,K01D12.7,WBGene00010466,Public name for WBGene00010466. History: N.A.
K01H12.2,K01H12.2,WBGene00010485,Sequence name for WBGene00010485(ant-1.3). History: Renamed on 2014-03-03
K01H12.4,K01H12.4,WBGene00010486,Public name for WBGene00010486. History: N.A.
K02E11.1,K02E11.1,WBGene00010510,Sequence name for WBGene00010510(ent-3). History: N.A.
K02F6.2,K02F6.2,WBGene00019337,"Public name for Dead gene WBGene00019336. History of WBGene00019336: Merged into ""WBGene00019337"" on 2011-10-03"
K02F6.3,K02F6.3,WBGene00019337,Public name for WBGene00019337. History: N.A.
K03H1.1,K03H1.1,WBGene00001603,Sequence name for WBGene00001603(gln-2). History: N.A.
K03H1.12,K03H1.12,WBGene00010547,Public name for WBGene00010547. History: N.A.
K03H1.8,K03H1.8,WBGene00010543,Public name for WBGene00010543. History: N.A.
K05F1.2,K05F1.2,WBGene00003469,Sequence name for WBGene00003469(msp-142). History: N.A.
K05F1.3,K05F1.3,WBGene00019406,Sequence name for WBGene00019406(acdh-8). History: N.A.
K05F1.7,K05F1.7,WBGene00003456,Sequence name for WBGene00003456(msp-63). History: N.A.
K05F1.8,K05F1.8,WBGene00019409,Public name for WBGene00019409. History: N.A.
K05F1.9,K05F1.9,WBGene00019410,Public name for WBGene00019410. History: N.A.
K06A4.6,K06A4.6,WBGene00010596,Public name for WBGene00010596. History: N.A.
K06A5.2,K06A5.2,WBGene00019430,Public name for WBGene00019430. History: N.A.
K06A5.3,K06A5.3,WBGene00019431,Public name for WBGene00019431. History: N.A.
K06H7.8,K06H7.8,WBGene00019459,Public name for WBGene00019459. History: N.A.
K07A1.4,K07A1.4,WBGene00010611,"Public name for WBGene00010611. History: Split into K07A1.21(WBGene00305018). History of WBGene00010611: Split into ""WBGene00305018"" on 2019-09-26"
K07A12.5,K07A12.5,WBGene00010623,Public name for WBGene00010623. History: N.A.
K07F5.11,K07F5.11,WBGene00006050,Sequence name for WBGene00006050(ssq-1). History: N.A.
K07F5.2,K07F5.2,WBGene00003425,Sequence name for WBGene00003425(msp-10). History: N.A.
K07F5.3,K07F5.3,WBGene00003449,Sequence name for WBGene00003449(msp-56). History: N.A.
K07F5.4,K07F5.4,WBGene00002206,Sequence name for WBGene00002206(kin-24). History: N.A.
K07F5.5,K07F5.5,WBGene00010633,Sequence name for WBGene00010633(nspd-2). History: N.A.
K07F5.6,K07F5.6,WBGene00010634,Public name for WBGene00010634. History: N.A.
K07F5.7,K07F5.7,WBGene00010635,Public name for WBGene00010635. History: N.A.
K07F5.8,K07F5.8,WBGene00010636,Public name for WBGene00010636. History: N.A.
K08A2.2,K08A2.2,WBGene00019512,Public name for WBGene00019512. History: N.A.
K08C9.1,K08C9.1,WBGene00010650,Public name for WBGene00010650. History: N.A.
K08C9.2,K08C9.2,WBGene00010651,Public name for WBGene00010651. History: N.A.
K08D10.7,K08D10.7,WBGene00019530,Sequence name for WBGene00019530(scrm-8). History: N.A.
K08D10.8,K08D10.8,WBGene00019531,Sequence name for WBGene00019531(scrm-5). History: N.A.
K08E4.5,K08E4.5,WBGene00010669,"Sequence name for WBGene00010669(bath-37). History: Split into K08E4.7(WBGene00045036). History of WBGene00010669: Split into ""WBGene00045036"" on 2006-09-19"
K08E7.4,K08E7.4,WBGene00010672,Public name for WBGene00010672. History: N.A.
K08F4.5,K08F4.5,WBGene00010679,Public name for WBGene00010679. History: N.A.
K09B11.5,K09B11.5,WBGene00010712,Public name for WBGene00010712. History: N.A.
K09C6.7,K09C6.7,WBGene00019561,Public name for WBGene00019561. History: N.A.
K09C6.8,K09C6.8,WBGene00019562,Public name for WBGene00019562. History: N.A.
K09E4.1,K09E4.1,WBGene00010719,Public name for WBGene00010719. History: N.A.
K09F6.3,K09F6.3,WBGene00019586,Public name for WBGene00019586. History: N.A.
K10H10.7,K10H10.7,WBGene00010763,Public name for WBGene00010763. History: N.A.
K11C4.1,K11C4.1,WBGene00019642,Public name for WBGene00019642. History: N.A.
K11H3.2,K11H3.2,WBGene00010779,Public name for WBGene00010779. History: N.A.
M01A12.1,M01A12.1,WBGene00000630,Sequence name for WBGene00000630(col-53). History: N.A.
M02B1.4,M02B1.4,WBGene00010829,Public name for WBGene00010829. History: N.A.
M04F3.3,M04F3.3,WBGene00019769,Sequence name for WBGene00019769(kin-35). History: N.A.
M04G7.2,M04G7.2,WBGene00019773,Public name for WBGene00019773. History: N.A.
M05B5.1,M05B5.1,WBGene00010869,Public name for WBGene00010869. History: N.A.
M05B5.3,M05B5.3,WBGene00010871,Public name for WBGene00010871. History: N.A.
M05D6.1,M05D6.1,WBGene00010874,Public name for WBGene00010874. History: N.A.
M05D6.3,M05D6.3,WBGene00010876,Public name for WBGene00010876. History: N.A.
M110.7,M110.7,WBGene00010915,Public name for WBGene00010915. History: N.A.
M162.7,M162.7,WBGene00010933,Public name for WBGene00010933. History: N.A.
M28.9,M28.9,WBGene00010900,Public name for WBGene00010900. History: N.A.
M7.7,M7.7,WBGene00010883,Public name for WBGene00010883. History: N.A.
M70.1,M70.1,WBGene00019783,Public name for WBGene00019783. History: N.A.
R01H2.2,R01H2.2,WBGene00019810,Public name for WBGene00019810. History: N.A.
R01H2.4,R01H2.4,WBGene00019812,Public name for WBGene00019812. History: N.A.
R02D5.7,R02D5.7,WBGene00010980,Public name for WBGene00010980. History: N.A.
R02F2.5,R02F2.5,WBGene00019834,Public name for WBGene00019834. History: N.A.
R02F2.6,R02F2.6,WBGene00019835,Public name for WBGene00019835. History: N.A.
R03D7.5,R03D7.5,WBGene00010991,Sequence name for WBGene00010991(gskl-1). History: N.A.
R03D7.8,R03D7.8,WBGene00010992,Public name for WBGene00010992. History: N.A.
R04B5.11,R04B5.11,WBGene00011008,Public name for WBGene00011008. History: N.A.
R05D3.5,R05D3.5,WBGene00019879,Public name for WBGene00019879. History: N.A.
R05D7.2,R05D7.2,WBGene00011027,Public name for WBGene00011027. History: N.A.
R05F9.13,R05F9.13,WBGene00003429,Sequence name for WBGene00003429(msp-31). History: N.A.
R05F9.3,R05F9.3,WBGene00003430,Sequence name for WBGene00003430(msp-32). History: N.A.
R05F9.8,R05F9.8,WBGene00003431,Sequence name for WBGene00003431(msp-33). History: N.A.
R05H5.2,R05H5.2,WBGene00000389,Sequence name for WBGene00000389(cdc-25.4). History: N.A.
R06B10.2,R06B10.2,WBGene00019913,Public name for WBGene00019913. History: N.A.
R07C3.4,R07C3.4,WBGene00019920,Sequence name for WBGene00019920(acs-15). History: N.A.
R07E5.15,R07E5.15,WBGene00011120,Public name for WBGene00011120. History: N.A.
R08C7.5,R08C7.5,WBGene00019949,Public name for WBGene00019949. History: N.A.
R08C7.8,R08C7.8,WBGene00019951,Public name for WBGene00019951. History: N.A.
R09E10.1,R09E10.1,WBGene00011171,Public name for WBGene00011171. History: N.A.
R09E10.2,R09E10.2,WBGene00011172,Public name for WBGene00011172. History: N.A.
R09E10.3,R09E10.3,WBGene00011173,Sequence name for WBGene00011173(acs-18). History: N.A.
R09E10.4,R09E10.4,WBGene00011174,Sequence name for WBGene00011174(acs-23). History: N.A.
R09E10.6,R09E10.6,WBGene00011176,Public name for WBGene00011176. History: N.A.
R102.3,R102.3,WBGene00011290,Public name for WBGene00011290. History: N.A.
R102.7,R102.7,WBGene00011294,Public name for WBGene00011294. History: N.A.
R10D12.10,R10D12.10,WBGene00011191,Public name for WBGene00011191. History: N.A.
R10E4.7,R10E4.7,WBGene00011203,Public name for WBGene00011203. History: N.A.
R10E9.2,R10E9.2,WBGene00011214,Public name for WBGene00011214. History: N.A.
R10H10.2,R10H10.2,WBGene00004972,Sequence name for WBGene00004972(spe-26). History: N.A.
R11E3.1,R11E3.1,WBGene00020003,Public name for WBGene00020003. History: N.A.
R13A1.3,R13A1.3,WBGene00020042,Public name for WBGene00020042. History: N.A.
R13G10.4,R13G10.4,WBGene00011260,Sequence name for WBGene00011260(cnnm-5). History: N.A.
R13H9.1,R13H9.1,WBGene00020070,Sequence name for WBGene00020070(rmd-6). History: N.A.
R13H9.2,R13H9.2,WBGene00003450,Sequence name for WBGene00003450(msp-57). History: N.A.
R13H9.4,R13H9.4,WBGene00003446,Sequence name for WBGene00003446(msp-53). History: N.A.
R13H9.5,R13H9.5,WBGene00020071,Public name for WBGene00020071. History: N.A.
R13H9.6,R13H9.6,WBGene00020072,Public name for WBGene00020072. History: N.A.
R148.7,R148.7,WBGene00020105,Public name for WBGene00020105. History: N.A.
R155.2,R155.2,WBGene00020116,"Sequence name for WBGene00020116(moa-1). History: Split into R155.5(WBGene00189953). History of WBGene00020116: Split into ""WBGene00189953"" on 2009-04-20"
R155.3,R155.3,WBGene00020117,Public name for WBGene00020117. History: N.A.
T01B11.4,T01B11.4,WBGene00020140,Sequence name for WBGene00020140(ant-1.4). History: Renamed on 2008-06-04; Renamed on 2008-11-21; Renamed on 2014-03-03
T01C3.5,T01C3.5,WBGene00011322,Sequence name for WBGene00011322(irld-14). History: N.A.
T01H3.5,T01H3.5,WBGene00011351,Public name for WBGene00011351. History: N.A.
T02E1.6,T02E1.6,WBGene00011378,Public name for WBGene00011378. History: N.A.
T02E1.7,T02E1.7,WBGene00011379,Public name for WBGene00011379. History: N.A.
T02H6.4,T02H6.4,WBGene00020174,Public name for WBGene00020174. History: N.A.
T03F1.5,T03F1.5,WBGene00020187,Sequence name for WBGene00020187(gsp-4). History: N.A.
T04A6.3,T04A6.3,WBGene00020202,"Public name for WBGene00020202. History: Split into nsph-4.3(WBGene00194734). History of WBGene00020202: Split into ""WBGene00194734"" on 2009-08-18"
T04A8.13,T04A8.13,WBGene00011414,"Public name for WBGene00011414. History: Split into T04A8.18(WBGene00119203). History of WBGene00011414: Split into ""WBGene00119203"" on 2008-08-26"
T04A8.3,T04A8.3,WBGene00011405,Sequence name for WBGene00011405(clec-155). History: N.A.
T04B2.2,T04B2.2,WBGene00001487,Sequence name for WBGene00001487(frk-1). History: N.A.
T04F3.3,T04F3.3,WBGene00011438,Public name for WBGene00011438. History: N.A.
T05A7.6,T05A7.6,WBGene00020223,Public name for WBGene00020223. History: N.A.
T05C12.1,T05C12.1,WBGene00011466,Public name for WBGene00011466. History: N.A.
T05C12.3,T05C12.3,WBGene00011467,Sequence name for WBGene00011467(decr-1.3). History: N.A.
T05D4.5,T05D4.5,WBGene00011478,Public name for WBGene00011478. History: N.A.
T05F1.5,T05F1.5,WBGene00011491,Public name for WBGene00011491. History: N.A.
T05F1.8,T05F1.8,WBGene00011493,Public name for WBGene00011493. History: N.A.
T05H4.2,T05H4.2,WBGene00020265,Sequence name for WBGene00020265(fbxa-196). History: N.A.
T06C10.3,T06C10.3,WBGene00020289,Public name for WBGene00020289. History: N.A.
T06C10.6,T06C10.6,WBGene00002208,Sequence name for WBGene00002208(kin-26). History: N.A.
T06D4.4,T06D4.4,WBGene00020293,Sequence name for WBGene00020293(nep-20). History: N.A.
T06E4.5,T06E4.5,WBGene00011533,Public name for WBGene00011533. History: N.A.
T08B2.11,T08B2.11,WBGene00020349,Public name for WBGene00020349. History: N.A.
T08B2.12,T08B2.12,WBGene00020350,Public name for WBGene00020350. History: N.A.
T08B6.4,T08B6.4,WBGene00020353,Public name for WBGene00020353. History: N.A.
T08B6.5,T08B6.5,WBGene00020354,Sequence name for WBGene00020354(sgnh-1). History: N.A.
T08G11.2,T08G11.2,WBGene00044684,"Public name for WBGene00044684. History: Split into ""WBGene00001198"" on 2005-11-29"
T08H10.4,T08H10.4,WBGene00020371,Sequence name for WBGene00020371(oac-60). History: N.A.
T09A12.1,T09A12.1,WBGene00020372,Public name for WBGene00020372. History: N.A.
T09B4.7,T09B4.7,WBGene00020381,Public name for WBGene00020381. History: N.A.
T09F5.10,T09F5.10,WBGene00011669,Public name for WBGene00011669. History: N.A.
T10E9.4,T10E9.4,WBGene00020414,Public name for WBGene00020414. History: N.A.
T10E9.6,T10E9.6,WBGene00020416,Public name for WBGene00020416. History: N.A.
T11F8.4,T11F8.4,WBGene00020435,Public name for WBGene00020435. History: N.A.
T13A10.1,T13A10.1,WBGene00020468,Public name for WBGene00020468. History: N.A.
T13A10.11,T13A10.11,WBGene00006416,"Sequence name for WBGene00006416(sams-5). History: Renamed on 2008-09-10. Public name for Dead gene WBGene00020470. History of WBGene00020470: Merged into ""WBGene00006416"" on 2004-05-28"
T13F2.10,T13F2.10,WBGene00003466,Sequence name for WBGene00003466(msp-79). History: N.A.
T13F2.11,T13F2.11,WBGene00003465,Sequence name for WBGene00003465(msp-78). History: N.A.
T13F2.12,T13F2.12,WBGene00011749,Sequence name for WBGene00011749(ssp-36). History: N.A.
T13F2.9,T13F2.9,WBGene00011748,Public name for WBGene00011748. History: N.A.
T13H10.1,T13H10.1,WBGene00002193,Sequence name for WBGene00002193(kin-5). History: N.A.
T14D7.3,T14D7.3,WBGene00044062,"Sequence name for WBGene00044062(snb-6). History: Renamed on 2010-03-26. Public name for Dead gene WBGene00011769. History of WBGene00011769: Merged into ""WBGene00044062"" on 2005-10-05"
T14G10.8,T14G10.8,WBGene00011777,Public name for WBGene00011777. History: N.A.
T15B12.2,T15B12.2,WBGene00020531,Public name for WBGene00020531. History: N.A.
T15H9.4,T15H9.4,WBGene00011789,Public name for WBGene00011789. History: N.A.
T15H9.5,T15H9.5,WBGene00011790,Public name for WBGene00011790. History: N.A.
T16A9.3,T16A9.3,WBGene00011793,Public name for WBGene00011793. History: N.A.
T16A9.5,T16A9.5,WBGene00011795,Public name for WBGene00011795. History: N.A.
T16G12.7,T16G12.7,WBGene00011808,Public name for WBGene00011808. History: N.A.
T20F5.5,T20F5.5,WBGene00020627,Public name for WBGene00020627. History: N.A.
T20H4.2,T20H4.2,WBGene00020635,Sequence name for WBGene00020635(ztf-31). History: N.A.
T21E12.5,T21E12.5,WBGene00020656,Public name for WBGene00020656. History: N.A.
T21G5.1,T21G5.1,WBGene00020659,Public name for WBGene00020659. History: N.A.
T21G5.4,T21G5.4,WBGene00020661,Sequence name for WBGene00020661(smz-2). History: N.A.
T22A3.6,T22A3.6,WBGene00011909,"Public name for WBGene00011909. History: Split into T22A3.12(WBGene00206474). History of WBGene00011909: Split into ""WBGene00206474"" on 2011-04-11"
T22B3.3,T22B3.3,WBGene00011911,Public name for WBGene00011911. History: N.A.
T22C1.8,T22C1.8,WBGene00011918,Public name for WBGene00011918. History: N.A.
T22H9.3,T22H9.3,WBGene00020707,Sequence name for WBGene00020707(wago-10). History: N.A.
T23B3.3,T23B3.3,WBGene00020711,"Sequence name for WBGene00020711(rmd-5). History: Split into T23B3.8(WBGene00255605). History of WBGene00020711: Split into ""WBGene00255605"" on 2014-12-15"
T23B3.5,T23B3.5,WBGene00020713,Public name for WBGene00020713. History: N.A.
T23B7.1,T23B7.1,WBGene00020715,Sequence name for WBGene00020715(nspd-4). History: N.A.
T23F11.2,T23F11.2,WBGene00011954,Public name for WBGene00011954. History: N.A.
T23F6.3,T23F6.3,WBGene00011951,Public name for WBGene00011951. History: N.A.
T25B9.2,T25B9.2,WBGene00012008,Public name for WBGene00012008. History: N.A.
T25B9.5,T25B9.5,WBGene00012011,Public name for WBGene00012011. History: N.A.
T25B9.6,T25B9.6,WBGene00012012,Public name for WBGene00012012. History: N.A.
T26A5.1,T26A5.1,WBGene00007060,"Sequence name for WBGene00007060(wht-6). History: Renamed on 2007-06-04. Public name for Dead gene WBGene00020818. History of WBGene00020818: Merged into ""WBGene00007060"" on 2005-10-05"
T27A3.3,T27A3.3,WBGene00006044,Sequence name for WBGene00006044(ssp-16). History: N.A.
T27A3.4,T27A3.4,WBGene00020840,Sequence name for WBGene00020840(spch-3). History: N.A.
T27A3.5,T27A3.5,WBGene00020841,Public name for WBGene00020841. History: N.A.
T27E4.6,T27E4.6,WBGene00020864,Sequence name for WBGene00020864(oac-50). History: N.A.
T27E7.1,T27E7.1,WBGene00012087,Public name for WBGene00012087. History: N.A.
T27F6.1,T27F6.1,WBGene00012102,Public name for WBGene00012102. History: N.A.
T28C12.3,T28C12.3,WBGene00020890,Sequence name for WBGene00020890(fbxa-202). History: N.A.
T28C6.5,T28C6.5,WBGene00012120,Public name for WBGene00012120. History: N.A.
T28F4.3,T28F4.3,WBGene00012138,Public name for WBGene00012138. History: N.A.
T28H11.1,T28H11.1,WBGene00006053,Sequence name for WBGene00006053(ssq-4). History: N.A.
T28H11.5,T28H11.5,WBGene00006051,Sequence name for WBGene00006051(ssq-2). History: N.A.
T28H11.6,T28H11.6,WBGene00006040,Sequence name for WBGene00006040(ssp-11). History: N.A.
T28H11.7,T28H11.7,WBGene00020905,Public name for WBGene00020905. History: N.A.
W01B11.2,W01B11.2,WBGene00020914,Sequence name for WBGene00020914(sulp-6). History: N.A.
W01B6.2,W01B6.2,WBGene00012169,Sequence name for WBGene00012169(ttbk-4). History: N.A.
W01B6.4,W01B6.4,WBGene00012171,Public name for WBGene00012171. History: N.A.
W01B6.5,W01B6.5,WBGene00012172,Public name for WBGene00012172. History: N.A.
W01B6.6,W01B6.6,WBGene00012173,Public name for WBGene00012173. History: N.A.
W01C9.4,W01C9.4,WBGene00012177,Sequence name for WBGene00012177(decr-1.2). History: N.A.
W01D2.3,W01D2.3,WBGene00012180,Public name for WBGene00012180. History: N.A.
W02A2.8,W02A2.8,WBGene00012191,Public name for WBGene00012191. History: N.A.
W02B12.12,W02B12.12,WBGene00012207,Public name for WBGene00012207. History: N.A.
W02B12.7,W02B12.7,WBGene00002227,"Sequence name for WBGene00002227(klp-17). History: Split into cisd-1(WBGene00044026). History of WBGene00002227: Split into ""WBGene00044026"" on 2004-12-14"
W02D9.5,W02D9.5,WBGene00012211,Sequence name for WBGene00012211(ssp-37). History: N.A.
W03A5.2,W03A5.2,WBGene00020967,Public name for WBGene00020967. History: N.A.
W03B1.9,W03B1.9,WBGene00020978,Public name for WBGene00020978. History: N.A.
W03C9.1,W03C9.1,WBGene00012219,Public name for WBGene00012219. History: N.A.
W03D8.10,W03D8.10,WBGene00020991,Public name for WBGene00020991. History: N.A.
W03D8.5,W03D8.5,WBGene00020987,Public name for WBGene00020987. History: N.A.
W03F11.3,W03F11.3,WBGene00021006,Sequence name for WBGene00021006(dct-9). History: N.A.
W03F11.4,W03F11.4,WBGene00021007,Public name for WBGene00021007. History: N.A.
W03F9.3,W03F9.3,WBGene00021001,Public name for WBGene00021001. History: N.A.
W03G1.2,W03G1.2,WBGene00021010,Public name for WBGene00021010. History: N.A.
W03G9.5,W03G9.5,WBGene00021016,Public name for WBGene00021016. History: N.A.
W04E12.4,W04E12.4,WBGene00012249,Public name for WBGene00012249. History: N.A.
W06A7.5,W06A7.5,WBGene00012294,Sequence name for WBGene00012294(nspa-8). History: N.A.
W06D4.2,W06D4.2,WBGene00012296,Sequence name for WBGene00012296(spe-46). History: N.A.
W08D2.8,W08D2.8,WBGene00002204,Sequence name for WBGene00002204(kin-21). History: N.A.
W09C3.2,W09C3.2,WBGene00021110,Public name for WBGene00021110. History: N.A.
W09C3.6,W09C3.6,WBGene00021113,Sequence name for WBGene00021113(gsp-3). History: N.A.
W09C3.7,W09C3.7,WBGene00021114,Public name for WBGene00021114. History: N.A.
W09C3.8,W09C3.8,WBGene00021115,Public name for WBGene00021115. History: N.A.
W09D6.4,W09D6.4,WBGene00012357,Public name for WBGene00012357. History: N.A.
Y106G6A.4,Y106G6A.4,WBGene00013696,Public name for WBGene00013696. History: N.A.
Y106G6D.3,Y106G6D.3,WBGene00013700,Public name for WBGene00013700. History: N.A.
Y106G6E.3,Y106G6E.3,WBGene00013707,Public name for WBGene00013707. History: N.A.
Y106G6G.1,Y106G6G.1,WBGene00013710,Public name for WBGene00013710. History: N.A.
Y106G6G.4,Y106G6G.4,WBGene00013713,Public name for WBGene00013713. History: N.A.
Y106G6H.13,Y106G6H.13,WBGene00013723,Public name for WBGene00013723. History: N.A.
Y110A7A.12,Y110A7A.12,WBGene00004959,Sequence name for WBGene00004959(spe-5). History: Renamed on 2012-04-24
Y113G7C.1,Y113G7C.1,WBGene00013771,Public name for WBGene00013771. History: N.A.
Y116A8A.6,Y116A8A.6,WBGene00013776,Public name for WBGene00013776. History: N.A.
Y116A8A.7,Y116A8A.7,WBGene00013777,Public name for WBGene00013777. History: N.A.
Y116A8C.24,Y116A8C.24,WBGene00013801,Public name for WBGene00013801. History: N.A.
Y116A8C.37,Y116A8C.37,WBGene00013810,Public name for WBGene00013810. History: N.A.
Y116A8C.38,Y116A8C.38,WBGene00013811,Public name for WBGene00013811. History: N.A.
Y116F11B.7,Y116F11B.7,WBGene00013823,Public name for WBGene00013823. History: N.A.
Y18D10A.21,Y18D10A.21,WBGene00012486,Public name for WBGene00012486. History: N.A.
Y1A5A.1,Y1A5A.1,WBGene00012379,Public name for WBGene00012379. History: N.A.
Y22D7AR.12,Y22D7AR.12,WBGene00021265,Public name for WBGene00021265. History: N.A.
Y23H5B.9,Y23H5B.9,WBGene00021280,Sequence name for WBGene00021280(nspd-8). History: N.A.
Y24D9B.1,Y24D9B.1,WBGene00021287,Public name for WBGene00021287. History: N.A.
Y27F2A.3,Y27F2A.3,WBGene00005552,Sequence name for WBGene00005552(sri-40). History: N.A.
Y32F6A.2,Y32F6A.2,WBGene00004909,Sequence name for WBGene00004909(snf-10). History: N.A.
Y37D8A.5,Y37D8A.5,WBGene00012547,Public name for WBGene00012547. History: N.A.
Y37D8A.8,Y37D8A.8,WBGene00012549,Public name for WBGene00012549. History: N.A.
Y37E11B.10,Y37E11B.10,WBGene00021381,Public name for WBGene00021381. History: N.A.
Y38F1A.1,Y38F1A.1,WBGene00012605,Public name for WBGene00012605. History: N.A.
Y38F1A.7,Y38F1A.7,WBGene00012609,Public name for WBGene00012609. History: N.A.
Y38H8A.3,Y38H8A.3,WBGene00012637,Public name for WBGene00012637. History: N.A.
Y38H8A.4,Y38H8A.4,WBGene00012638,Public name for WBGene00012638. History: N.A.
Y39B6A.30,Y39B6A.30,WBGene00012689,Public name for WBGene00012689. History: N.A.
Y39G10AR.15,Y39G10AR.15,WBGene00021471,"Public name for WBGene00021471. History: Split into Y39G10AR.32(WBGene00219275). History of WBGene00021471: Split into ""WBGene00219275"" on 2011-10-03"
Y39G10AR.16,Y39G10AR.16,WBGene00021472,Public name for WBGene00021472. History: N.A.
Y39G8C.2,Y39G8C.2,WBGene00012731,Public name for WBGene00012731. History: N.A.
Y40C5A.3,Y40C5A.3,WBGene00021496,Sequence name for WBGene00021496(daf-42). History: N.A.
Y40H4A.2,Y40H4A.2,WBGene00012741,Public name for WBGene00012741. History: N.A.
Y41C4A.7,Y41C4A.7,WBGene00012754,Public name for WBGene00012754. History: N.A.
Y43C5A.4,Y43C5A.4,WBGene00012784,Public name for WBGene00012784. History: N.A.
Y43C5B.2,Y43C5B.2,WBGene00012785,Public name for WBGene00012785. History: N.A.
Y43C5B.3,Y43C5B.3,WBGene00012786,Public name for WBGene00012786. History: N.A.
Y43F8A.2,Y43F8A.2,WBGene00012809,Public name for WBGene00012809. History: N.A.
Y43F8C.5,Y43F8C.5,WBGene00012827,Public name for WBGene00012827. History: N.A.
Y43F8C.9,Y43F8C.9,WBGene00012831,Public name for WBGene00012831. History: N.A.
Y44A6D.5,Y44A6D.5,WBGene00012855,Public name for WBGene00012855. History: N.A.
Y45F10B.2,Y45F10B.2,WBGene00012870,Public name for WBGene00012870. History: N.A.
Y45F10B.3,Y45F10B.3,WBGene00012871,Public name for WBGene00012871. History: N.A.
Y45F10B.8,Y45F10B.8,WBGene00012872,Public name for WBGene00012872. History: N.A.
Y46C8AL.1,Y46C8AL.1,WBGene00021579,Sequence name for WBGene00021579(clec-73). History: N.A.
Y46G5A.14,Y46G5A.14,WBGene00012905,Public name for WBGene00012905. History: N.A.
Y46G5A.25,Y46G5A.25,WBGene00004903,Sequence name for WBGene00004903(snf-4). History: N.A.
Y46G5A.30,Y46G5A.30,WBGene00004904,Sequence name for WBGene00004904(snf-5). History: N.A.
Y47D3A.22,Y47D3A.22,WBGene00012933,Sequence name for WBGene00012933(mib-1). History: N.A.
Y47D9A.3,Y47D9A.3,WBGene00021630,Public name for WBGene00021630. History: N.A.
Y47D9A.5,Y47D9A.5,WBGene00021632,Public name for WBGene00021632. History: N.A.
Y47G6A.26,Y47G6A.26,WBGene00021650,Public name for WBGene00021650. History: N.A.
Y47G6A.3,Y47G6A.3,WBGene00021633,Public name for WBGene00021633. History: N.A.
Y49E10.10,Y49E10.10,WBGene00013033,Public name for WBGene00013033. History: N.A.
Y49E10.19,Y49E10.19,WBGene00013038,Sequence name for WBGene00013038(ani-1). History: N.A.
Y49F6B.8,Y49F6B.8,WBGene00021720,Public name for WBGene00021720. History: N.A.
Y4C6A.1,Y4C6A.1,WBGene00021151,Public name for WBGene00021151. History: N.A.
Y50E8A.12,Y50E8A.12,WBGene00013055,Public name for WBGene00013055. History: N.A.
Y50E8A.2,Y50E8A.2,WBGene00013047,Public name for WBGene00013047. History: N.A.
Y51B9A.5,Y51B9A.5,WBGene00013087,Public name for WBGene00013087. History: N.A.
Y52D5A.2,Y52D5A.2,WBGene00021793,Public name for WBGene00021793. History: N.A.
Y53C10A.10,Y53C10A.10,WBGene00013138,"Public name for WBGene00013138. History: Split into Y53C10A.24(WBGene00305049). History of WBGene00013138: Split into ""WBGene00305049"" on 2019-10-21"
Y53C10A.2,Y53C10A.2,WBGene00013134,"Other name for WBGene00013134(hsf-2). History: Split into Y53C10A.15(WBGene00044805). History of WBGene00013134: N.A.. Public name for Dead gene WBGene00013133. History of WBGene00013133: Merged into ""WBGene00013134"" on 2014-11-13"
Y53C10A.9,Y53C10A.9,WBGene00000023,Sequence name for WBGene00000023(abt-5). History: N.A.
Y53F4B.11,Y53F4B.11,WBGene00013158,Public name for WBGene00013158. History: N.A.
Y53F4B.35,Y53F4B.35,WBGene00001779,Sequence name for WBGene00001779(gst-31). History: N.A.
Y53F4B.36,Y53F4B.36,WBGene00013175,Public name for WBGene00013175. History: N.A.
Y53G8AR.3,Y53G8AR.3,WBGene00021811,Sequence name for WBGene00021811(ral-1). History: N.A.
Y53G8AR.6,Y53G8AR.6,WBGene00021813,Public name for WBGene00021813. History: N.A.
Y53G8AR.7,Y53G8AR.7,WBGene00021814,Sequence name for WBGene00021814(mfsd-8). History: N.A.
Y54E2A.5,Y54E2A.5,WBGene00013190,Public name for WBGene00013190. History: N.A.
Y54E2A.7,Y54E2A.7,WBGene00013192,Public name for WBGene00013192. History: N.A.
