Germline enriched,Input,Suggested Match,History
AH6.5,AH6.5,WBGene00003231,Sequence name for WBGene00003231(mex-6). History: N.A.
E02H1.6,E02H1.6,WBGene00008458,Public name for WBGene00008458. History: N.A.
ZK1307.5,ZK1307.5,WBGene00005026,Sequence name for WBGene00005026(sqv-8). History: N.A.
ZK1320.9,ZK1320.9,WBGene00014258,Public name for WBGene00014258. History: N.A.
Y53C12A.1,Y53C12A.1,WBGene00006940,Sequence name for WBGene00006940(wee-1.3). History: N.A.
C08H9.2,C08H9.2,WBGene00007463,Sequence name for WBGene00007463(vgln-1). History: N.A.
C05C10.5,C05C10.5,WBGene00007332,Public name for WBGene00007332. History: N.A.
R53.2,R53.2,WBGene00011272,Sequence name for WBGene00011272(dtmk-1). History: N.A.
R53.4,R53.4,WBGene00011273,Public name for WBGene00011273. History: N.A.
R53.6,R53.6,WBGene00011275,Sequence name for WBGene00011275(psf-1). History: N.A.
R53.7,R53.7,WBGene00011276,Sequence name for WBGene00011276(aakg-5). History: N.A.
ZK945.2,ZK945.2,WBGene00003928,Sequence name for WBGene00003928(pas-7). History: N.A.
R05H5.3,R05H5.3,WBGene00011038,Public name for WBGene00011038. History: N.A.
T01E8.6,T01E8.6,WBGene00011334,Sequence name for WBGene00011334(mrps-14). History: N.A.
ZK970.2,ZK970.2,WBGene00014172,Sequence name for WBGene00014172(clpp-1). History: N.A.
ZK970.3,ZK970.3,WBGene00007022,Sequence name for WBGene00007022(mdt-22). History: N.A.
E04D5.1,E04D5.1,WBGene00008480,Sequence name for WBGene00008480(eif-2A). History: N.A.
C06A1.1,C06A1.1,WBGene00007352,Sequence name for WBGene00007352(cdc-48.1). History: Renamed on 2005-03-17
C06A1.5,C06A1.5,WBGene00007355,Sequence name for WBGene00007355(rpb-6). History: N.A.
C14A4.1,C14A4.1,WBGene00007555,Sequence name for WBGene00007555(dohh-1). History: N.A.
C14A4.14,C14A4.14,WBGene00007564,Sequence name for WBGene00007564(mrps-22). History: N.A.
C14A4.3,C14A4.3,WBGene00007556,Sequence name for WBGene00007556(algn-9). History: N.A.
C14A4.11,C14A4.11,WBGene00007561,Sequence name for WBGene00007561(ccm-3). History: N.A.
M28.5,M28.5,WBGene00010896,Sequence name for WBGene00010896(snu-13). History: Renamed on 2005-03-17
D2089.1,D2089.1,WBGene00004704,Sequence name for WBGene00004704(rsp-7). History: N.A.
R06F6.5,R06F6.5,WBGene00003805,Sequence name for WBGene00003805(npp-19). History: N.A.
M106.5,M106.5,WBGene00000293,Sequence name for WBGene00000293(cap-2). History: N.A.
F59E10.3,F59E10.3,WBGene00010333,Sequence name for WBGene00010333(copz-1). History: N.A.
F44F4.2,F44F4.2,WBGene00009701,Sequence name for WBGene00009701(egg-3). History: N.A.
F40F8.9,F40F8.9,WBGene00003076,Sequence name for WBGene00003076(lsm-1). History: N.A.
F40F8.1,F40F8.1,WBGene00009575,Public name for WBGene00009575. History: N.A.
T06D8.5,T06D8.5,WBGene00011526,Sequence name for WBGene00011526(cox-15). History: N.A.
T06D8.6,T06D8.6,WBGene00011527,Sequence name for WBGene00011527(cchl-1). History: N.A.
T06D8.7,T06D8.7,WBGene00011528,Sequence name for WBGene00011528(fndc-1). History: N.A.
T06D8.8,T06D8.8,WBGene00004465,Sequence name for WBGene00004465(rpn-9). History: N.A.
T05B9.1,T05B9.1,WBGene00011464,Public name for WBGene00011464. History: N.A.
C47G2.3,C47G2.3,WBGene00008164,Public name for WBGene00008164. History: N.A.
B0491.1,B0491.1,WBGene00007189,Sequence name for WBGene00007189(pigm-1). History: N.A.
VW02B12L.3,VW02B12L.3,WBGene00012156,Sequence name for WBGene00012156(ebp-2). History: N.A.
W02B12.3,W02B12.3,WBGene00004698,Sequence name for WBGene00004698(rsp-1). History: N.A.
W02B12.15,W02B12.15,WBGene00044026,Sequence name for WBGene00044026(cisd-1). History: N.A.
W02B12.9,W02B12.9,WBGene00012204,Sequence name for WBGene00012204(mfn-1). History: N.A.
B0334.4,B0334.4,WBGene00007144,Public name for WBGene00007144. History: N.A.
F54D5.11,F54D5.11,WBGene00010054,Sequence name for WBGene00010054(gtf-2E2). History: N.A.
D1043.1,D1043.1,WBGene00008361,Sequence name for WBGene00008361(ints-7). History: N.A.
ZK20.3,ZK20.3,WBGene00013924,Sequence name for WBGene00013924(rad-23). History: N.A.
ZK20.5,ZK20.5,WBGene00004468,Sequence name for WBGene00004468(rpn-12). History: N.A.
C47D12.8,C47D12.8,WBGene00008140,Sequence name for WBGene00008140(xpf-1). History: Renamed on 2013-10-11; Renamed on 2015-07-01
F13D12.5,F13D12.5,WBGene00008740,Public name for WBGene00008740. History: N.A.
F44E5.1,F44E5.1,WBGene00009688,Public name for WBGene00009688. History: N.A.
K12D12.1,K12D12.1,WBGene00010785,Sequence name for WBGene00010785(top-2). History: Renamed on 2015-07-16
W03C9.7,W03C9.7,WBGene00003228,Sequence name for WBGene00003228(mex-1). History: N.A.
Y46G5A.17,Y46G5A.17,WBGene00012907,Sequence name for WBGene00012907(cpt-1). History: N.A.
Y46G5A.31,Y46G5A.31,WBGene00001793,Sequence name for WBGene00001793(gsy-1). History: N.A.
F32A11.1,F32A11.1,WBGene00009307,Public name for WBGene00009307. History: N.A.
F15D4.3,F15D4.3,WBGene00008860,Sequence name for WBGene00008860(romo-1). History: Renamed on 2017-02-02
Y48C3A.16,Y48C3A.16,WBGene00012996,Sequence name for WBGene00012996(pinn-4). History: N.A.
Y48E1B.5,Y48E1B.5,WBGene00013004,Sequence name for WBGene00013004(mrpl-37). History: N.A.
Y48E1B.12,Y48E1B.12,WBGene00000804,Sequence name for WBGene00000804(csc-1). History: N.A.
Y54G9A.5,Y54G9A.5,WBGene00013208,Public name for WBGene00013208. History: N.A.
Y54G9A.7,Y54G9A.7,WBGene00013210,Public name for WBGene00013210. History: N.A.
W01G7.3,W01G7.3,WBGene00012187,Sequence name for WBGene00012187(rpb-11). History: N.A.
Y48B6A.1,Y48B6A.1,WBGene00012978,Public name for WBGene00012978. History: N.A.
Y48B6A.2,Y48B6A.2,WBGene00004456,Sequence name for WBGene00004456(rpl-43). History: N.A.
Y48B6A.14,Y48B6A.14,WBGene00001971,Sequence name for WBGene00001971(hmg-1.1). History: N.A.
Y54G11A.11,Y54G11A.11,WBGene00013219,Sequence name for WBGene00013219(elof-1). History: N.A.
R06A4.9,R06A4.9,WBGene00011051,Sequence name for WBGene00011051(pfs-2). History: N.A.
C13B4.2,C13B4.2,WBGene00006856,Sequence name for WBGene00006856(usp-14). History: N.A.
Y54E2A.12,Y54E2A.12,WBGene00013196,Sequence name for WBGene00013196(tbc-20). History: N.A.
Y53F4B.3,Y53F4B.3,WBGene00013150,Sequence name for WBGene00013150(pole-4). History: N.A.
Y53F4B.22,Y53F4B.22,WBGene00013168,Sequence name for WBGene00013168(arp-1). History: N.A.
Y46E12BL.3,Y46E12BL.3,WBGene00021596,Sequence name for WBGene00021596(spsb-2). History: N.A.
F29C4.7,F29C4.7,WBGene00017929,Sequence name for WBGene00017929(grld-1). History: N.A.
Y38C1AA.11,Y38C1AA.11,WBGene00021401,Sequence name for WBGene00021401(prdx-6). History: N.A.
T07A9.11,T07A9.11,WBGene00004493,Sequence name for WBGene00004493(rps-24). History: N.A.
Y66H1A.2,Y66H1A.2,WBGene00022044,Sequence name for WBGene00022044(dpm-1). History: N.A.
W03G1.6,W03G1.6,WBGene00021012,Sequence name for WBGene00021012(pig-1). History: N.A.
K11H12.2,K11H12.2,WBGene00004427,Sequence name for WBGene00004427(rpl-15). History: N.A.
Y55F3AM.9,Y55F3AM.9,WBGene00021926,Public name for WBGene00021926. History: N.A.
Y55F3AM.3,Y55F3AM.3,WBGene00021921,Sequence name for WBGene00021921(rbm-39). History: N.A.
F58F6.4,F58F6.4,WBGene00004338,Sequence name for WBGene00004338(rfc-2). History: N.A.
Y77E11A.6,Y77E11A.6,WBGene00022309,Sequence name for WBGene00022309(rpc-11). History: N.A.
Y77E11A.13,Y77E11A.13,WBGene00003806,Sequence name for WBGene00003806(npp-20). History: N.A.
Y41D4B.13,Y41D4B.13,WBGene00000416,Sequence name for WBGene00000416(ced-2). History: N.A.
Y41D4B.12,Y41D4B.12,WBGene00021515,Sequence name for WBGene00021515(set-23). History: N.A.
Y41D4B.5,Y41D4B.5,WBGene00004497,Sequence name for WBGene00004497(rps-28). History: N.A.
K08D12.1,K08D12.1,WBGene00003947,Sequence name for WBGene00003947(pbs-1). History: N.A.
F55A8.2,F55A8.2,WBGene00001173,Sequence name for WBGene00001173(egl-4). History: Renamed on 2005-11-22; Renamed on 2010-12-07; Renamed on 2011-07-12; Renamed on 2012-06-20
Y69A2AR.18,Y69A2AR.18,WBGene00022089,Public name for WBGene00022089. History: N.A.
Y69A2AR.28,Y69A2AR.28,WBGene00022099,Public name for WBGene00022099. History: N.A.
Y69A2AR.30,Y69A2AR.30,WBGene00003161,Sequence name for WBGene00003161(mdf-2). History: Renamed on 2013-11-19
Y69A2AR.3,Y69A2AR.3,WBGene00022075,Public name for WBGene00022075. History: N.A.
Y54G2A.2,Y54G2A.2,WBGene00021868,Sequence name for WBGene00021868(atln-1). History: N.A.
Y54G2A.5,Y54G2A.5,WBGene00021871,"Sequence name for WBGene00021871(dml-1). History: Split into dib-1(WBGene00235102). History of WBGene00021871: Split into ""WBGene00235102"" on 2012-12-21"
Y54G2A.31,Y54G2A.31,WBGene00006708,Sequence name for WBGene00006708(ubc-13). History: N.A.
Y67D8C.5,Y67D8C.5,WBGene00022069,Sequence name for WBGene00022069(eel-1). History: N.A.
W08E12.7,W08E12.7,WBGene00021088,Public name for WBGene00021088. History: N.A.
B0546.1,B0546.1,WBGene00015248,Sequence name for WBGene00015248(mai-2). History: N.A.
C04C3.3,C04C3.3,WBGene00015413,Sequence name for WBGene00015413(pdhb-1). History: N.A.
Y37E11AL.7,Y37E11AL.7,WBGene00003129,Sequence name for WBGene00003129(map-1). History: N.A.
Y37E11AL.3,Y37E11AL.3,WBGene00021359,Public name for WBGene00021359. History: N.A.
Y37E11AM.2,Y37E11AM.2,WBGene00021366,Public name for WBGene00021366. History: N.A.
F35F11.1,F35F11.1,WBGene00018064,Sequence name for WBGene00018064(cdc-73). History: N.A.
W03D2.4,W03D2.4,WBGene00003955,Sequence name for WBGene00003955(pcn-1). History: N.A.
K08D10.4,K08D10.4,WBGene00004385,Sequence name for WBGene00004385(rnp-2). History: N.A.
F30B5.4,F30B5.4,WBGene00017934,Public name for WBGene00017934. History: N.A.
ZK180.4,ZK180.4,WBGene00022678,Sequence name for WBGene00022678(sar-1). History: N.A.
K08F11.3,K08F11.3,WBGene00019543,Sequence name for WBGene00019543(cif-1). History: N.A.
E04A4.5,E04A4.5,WBGene00017119,Sequence name for WBGene00017119(timm-17B.1). History: Renamed on 2017-01-05
E04A4.7,E04A4.7,WBGene00017121,Sequence name for WBGene00017121(cyc-2.1). History: N.A.
E04A4.8,E04A4.8,WBGene00004432,Sequence name for WBGene00004432(rpl-20). History: N.A.
Y17G9B.9,Y17G9B.9,WBGene00003216,Sequence name for WBGene00003216(memi-1). History: Renamed on 2016-10-14
R11E3.8,R11E3.8,WBGene00001058,Sequence name for WBGene00001058(dpf-5). History: N.A.
H06H21.3,H06H21.3,WBGene00019162,Sequence name for WBGene00019162(eif-1.A). History: N.A.
C02B10.1,C02B10.1,WBGene00015326,Sequence name for WBGene00015326(ivd-1). History: N.A.
C02B10.4,C02B10.4,WBGene00015329,Public name for WBGene00015329. History: N.A.
C24D10.4,C24D10.4,WBGene00016055,Public name for WBGene00016055. History: N.A.
Y59E9AL.7,Y59E9AL.7,WBGene00043064,Sequence name for WBGene00043064(nbet-1). History: N.A.
ZK616.5,ZK616.5,WBGene00022775,Public name for WBGene00022775. History: N.A.
ZK616.6,ZK616.6,WBGene00022776,Sequence name for WBGene00022776(perm-3). History: Renamed on 2012-12-11
ZK616.4,ZK616.4,WBGene00022774,Sequence name for WBGene00022774(swsn-6). History: Renamed on 2011-02-11
ZK616.3,ZK616.3,WBGene00022773,Public name for WBGene00022773. History: N.A.
T11F8.3,T11F8.3,WBGene00004374,Sequence name for WBGene00004374(rme-2). History: N.A.
T12E12.4,T12E12.4,WBGene00001093,Sequence name for WBGene00001093(drp-1). History: N.A.
K02B2.3,K02B2.3,WBGene00019296,Sequence name for WBGene00019296(mcu-1). History: N.A.
K02B2.5,K02B2.5,WBGene00004494,Sequence name for WBGene00004494(rps-25). History: N.A.
K08B4.1,K08B4.1,WBGene00002245,Sequence name for WBGene00002245(lag-1). History: N.A.
M03D4.1,M03D4.1,WBGene00006974,Sequence name for WBGene00006974(zen-4). History: N.A.
C11D2.7,C11D2.7,WBGene00015703,Public name for WBGene00015703. History: N.A.
Y73B6BL.32,Y73B6BL.32,WBGene00003082,Sequence name for WBGene00003082(lsm-8). History: N.A.
Y73B6BL.3,Y73B6BL.3,WBGene00022232,Sequence name for WBGene00022232(exos-2). History: N.A.
Y73B6BL.23,Y73B6BL.23,WBGene00022244,Public name for WBGene00022244. History: N.A.
Y73B6BL.2,Y73B6BL.2,WBGene00002033,Sequence name for WBGene00002033(htp-2). History: N.A.
Y73B6BL.38,Y73B6BL.38,WBGene00022257,Sequence name for WBGene00022257(puf-11). History: N.A.
F38A5.1,F38A5.1,WBGene00018160,Sequence name for WBGene00018160(odr-8). History: Renamed on 2013-08-29
C05B10.1,C05B10.1,WBGene00003043,Sequence name for WBGene00003043(lip-1). History: N.A.
T22D1.5,T22D1.5,WBGene00020684,Public name for WBGene00020684. History: N.A.
T22D1.9,T22D1.9,WBGene00004458,Sequence name for WBGene00004458(rpn-1). History: N.A.
T22D1.3,T22D1.3,WBGene00020682,Public name for WBGene00020682. History: N.A.
T22D1.10,T22D1.10,WBGene00020687,Sequence name for WBGene00020687(ruvb-2). History: N.A.
ZK381.4,ZK381.4,WBGene00003992,Sequence name for WBGene00003992(pgl-1). History: N.A.
ZK381.1,ZK381.1,WBGene00001862,Sequence name for WBGene00001862(him-3). History: N.A.
C06G3.11,C06G3.11,WBGene00006572,Sequence name for WBGene00006572(tin-9.1). History: N.A.
Y43B11AR.4,Y43B11AR.4,WBGene00004473,Sequence name for WBGene00004473(rps-4). History: N.A.
ZC477.5,ZC477.5,WBGene00022620,Sequence name for WBGene00022620(rde-8). History: N.A.
C34D4.13,C34D4.13,WBGene00016404,Sequence name for WBGene00016404(mutd-1). History: N.A.
F42C5.8,F42C5.8,WBGene00004477,Sequence name for WBGene00004477(rps-8). History: N.A.
F55G1.8,F55G1.8,WBGene00004044,Sequence name for WBGene00004044(plk-3). History: N.A.
F49E8.3,F49E8.3,WBGene00003914,Sequence name for WBGene00003914(pam-1). History: Renamed on 2006-10-19
F49E8.7,F49E8.7,WBGene00018638,Public name for WBGene00018638. History: N.A.
F32E10.6,F32E10.6,WBGene00017993,Sequence name for WBGene00017993(cec-5). History: N.A.
F33D4.4,F33D4.4,WBGene00017996,Public name for WBGene00017996. History: N.A.
F33D4.7,F33D4.7,WBGene00017999,Sequence name for WBGene00017999(emc-6). History: N.A.
F33D4.8,F33D4.8,WBGene00023487,Sequence name for WBGene00023487(mrps-24). History: N.A.
C50F7.4,C50F7.4,WBGene00016844,Sequence name for WBGene00016844(sucg-1). History: N.A.
C33H5.19,C33H5.19,WBGene00044325,"Sequence name for WBGene00044325(tag-321). History: N.A.. Public name for Dead gene WBGene00016385. History of WBGene00016385: Merged into ""WBGene00044325"" on 2006-06-29"
C33H5.12,C33H5.12,WBGene00004703,Sequence name for WBGene00004703(rsp-6). History: N.A.
C49H3.11,C49H3.11,WBGene00004471,Sequence name for WBGene00004471(rps-2). History: N.A.
F20D12.1,F20D12.1,WBGene00017641,Sequence name for WBGene00017641(csr-1). History: N.A.
F42G8.10,F42G8.10,WBGene00018361,Public name for WBGene00018361. History: N.A.
T09A12.4,T09A12.4,WBGene00003656,Sequence name for WBGene00003656(nhr-66). History: N.A.
K07H8.10,K07H8.10,WBGene00019510,Sequence name for WBGene00019510(nucl-1). History: N.A.
K07H8.3,K07H8.3,WBGene00000923,Sequence name for WBGene00000923(daf-31). History: N.A.
K07H8.2,K07H8.2,WBGene00019504,Public name for WBGene00019504. History: N.A.
D2096.1,D2096.1,WBGene00017069,Sequence name for WBGene00017069(timm-17B.2). History: N.A.
T01B11.3,T01B11.3,WBGene00006374,Sequence name for WBGene00006374(syx-4). History: Renamed on 2010-04-16
C28C12.2,C28C12.2,WBGene00016178,Sequence name for WBGene00016178(mesp-1). History: N.A.
C09G4.3,C09G4.3,WBGene00001051,Sequence name for WBGene00001051(cks-1). History: Renamed on 2007-08-17
F08B4.7,F08B4.7,WBGene00017238,Sequence name for WBGene00017238(snrp-3). History: N.A.
F21D5.1,F21D5.1,WBGene00009006,Public name for WBGene00009006. History: N.A.
C09G9.1,C09G9.1,WBGene00007492,Public name for WBGene00007492. History: N.A.
C09G9.2,C09G9.2,WBGene00007493,Sequence name for WBGene00007493(npp-23). History: N.A.
C09G9.6,C09G9.6,WBGene00003864,Sequence name for WBGene00003864(oma-1). History: N.A.
C27B7.1,C27B7.1,WBGene00005007,Sequence name for WBGene00005007(spr-2). History: N.A.
C27B7.8,C27B7.8,WBGene00004307,Sequence name for WBGene00004307(rap-1). History: N.A.
C01F6.8,C01F6.8,WBGene00002046,Sequence name for WBGene00002046(icln-1). History: Renamed on 2010-11-16
C01F6.9,C01F6.9,WBGene00007223,Sequence name for WBGene00007223(znf-706). History: N.A.
F23B2.6,F23B2.6,WBGene00000121,Sequence name for WBGene00000121(aly-2). History: Renamed on 2005-04-27
F49C12.9,F49C12.9,WBGene00009878,Public name for WBGene00009878. History: N.A.
F49C12.8,F49C12.8,WBGene00004463,Sequence name for WBGene00004463(rpn-7). History: N.A.
F49C12.11,F49C12.11,WBGene00009880,Public name for WBGene00009880. History: N.A.
F59B8.2,F59B8.2,WBGene00010317,Sequence name for WBGene00010317(idh-1). History: N.A.
C33A12.1,C33A12.1,WBGene00007880,Public name for WBGene00007880. History: N.A.
F27C8.6,F27C8.6,WBGene00009186,Sequence name for WBGene00009186(trcs-1). History: N.A.
F32B6.8,F32B6.8,WBGene00009322,Sequence name for WBGene00009322(tbc-3). History: N.A.
K08F4.3,K08F4.3,WBGene00010678,Public name for WBGene00010678. History: N.A.
K08F4.9,K08F4.9,WBGene00000975,Sequence name for WBGene00000975(dhs-12). History: N.A.
T14G10.6,T14G10.6,WBGene00006638,Sequence name for WBGene00006638(tsp-12). History: N.A.
T14G10.1,T14G10.1,WBGene00004091,Sequence name for WBGene00004091(pps-1). History: N.A.
C24F3.1,C24F3.1,WBGene00007696,Sequence name for WBGene00007696(tram-1). History: N.A.
F01G10.1,F01G10.1,WBGene00008506,Sequence name for WBGene00008506(tkt-1). History: N.A.
T07G12.12,T07G12.12,WBGene00001867,"Sequence name for WBGene00001867(him-8). History: N.A.. Public name for Dead gene WBGene00011602. History of WBGene00011602: Merged into ""WBGene00001867"" on 2005-07-28"
T25B9.9,T25B9.9,WBGene00012015,Public name for WBGene00012015. History: N.A.
F13H10.3,F13H10.3,WBGene00008774,Public name for WBGene00008774. History: N.A.
F13H10.4,F13H10.4,WBGene00008775,Sequence name for WBGene00008775(mogs-1). History: N.A.
M7.5,M7.5,WBGene00010882,Sequence name for WBGene00010882(atg-7). History: Renamed on 2007-03-15; Renamed on 2008-02-29
F01G4.2,F01G4.2,WBGene00000181,Sequence name for WBGene00000181(ard-1). History: N.A.
C08F8.1,C08F8.1,WBGene00007443,Sequence name for WBGene00007443(pfd-1). History: N.A.
R07H5.2,R07H5.2,WBGene00011122,Sequence name for WBGene00011122(cpt-2). History: N.A.
R07H5.8,R07H5.8,WBGene00011128,Sequence name for WBGene00011128(adk-1). History: N.A.
B0035.4,B0035.4,WBGene00007107,"Sequence name for WBGene00007107(pfd-4). History: Split into B0035.22(WBGene00303031). History of WBGene00007107: Renamed on 2006-08-02; Split into ""WBGene00303031"" on 2018-03-01"
B0035.18,B0035.18,WBGene00044290,Public name for WBGene00044290. History: N.A.
B0035.6,B0035.6,WBGene00007109,Sequence name for WBGene00007109(edg-1). History: N.A.
B0035.11,B0035.11,WBGene00007110,Sequence name for WBGene00007110(leo-1). History: N.A.
B0035.12,B0035.12,WBGene00007111,Sequence name for WBGene00007111(sart-3). History: N.A.
T01G1.3,T01G1.3,WBGene00011338,Sequence name for WBGene00011338(sec-31). History: N.A.
H02I12.1,H02I12.1,WBGene00010351,Sequence name for WBGene00010351(cbd-1). History: N.A.
F22B3.4,F22B3.4,WBGene00009035,Sequence name for WBGene00009035(gfat-2). History: N.A.
F12F6.6,F12F6.6,WBGene00004755,Sequence name for WBGene00004755(sec-24.1). History: N.A.
F12F6.1,F12F6.1,WBGene00008720,Public name for WBGene00008720. History: N.A.
F40F11.1,F40F11.1,WBGene00004480,Sequence name for WBGene00004480(rps-11). History: N.A.
F58B3.5,F58B3.5,WBGene00003415,Sequence name for WBGene00003415(mars-1). History: Renamed on 2010-01-29; Renamed on 2015-03-25
ZK809.2,ZK809.2,WBGene00006491,Sequence name for WBGene00006491(acl-3). History: N.A.
ZK792.6,ZK792.6,WBGene00002335,Sequence name for WBGene00002335(let-60). History: N.A.
M117.2,M117.2,WBGene00003920,Sequence name for WBGene00003920(par-5). History: N.A.
F38H4.8,F38H4.8,WBGene00001151,Sequence name for WBGene00001151(ech-2). History: N.A.
F38H4.9,F38H4.9,WBGene00002363,Sequence name for WBGene00002363(let-92). History: N.A.
F38H4.10,F38H4.10,WBGene00009551,Sequence name for WBGene00009551(mob-1). History: N.A.
ZK829.4,ZK829.4,WBGene00014095,Sequence name for WBGene00014095(gdh-1). History: N.A.
ZK829.9,ZK829.9,WBGene00014097,Public name for WBGene00014097. History: N.A.
T12G3.5,T12G3.5,WBGene00011740,Sequence name for WBGene00011740(mrpl-51). History: N.A.
K08E4.6,K08E4.6,WBGene00010670,Sequence name for WBGene00010670(tmed-1). History: N.A.
F11A10.2,F11A10.2,WBGene00008683,Sequence name for WBGene00008683(repo-1). History: N.A.
F11A10.8,F11A10.8,WBGene00044329,"Sequence name for WBGene00044329(cpsf-4). History: Renamed on 2008-01-07. Public name for Dead gene WBGene00008689. History of WBGene00008689: Merged into ""WBGene00044329"" on 2006-06-29"
F11A10.5,F11A10.5,WBGene00008686,Public name for WBGene00008686. History: N.A.
M18.7,M18.7,WBGene00000122,Sequence name for WBGene00000122(aly-3). History: N.A.
B0001.4,B0001.4,WBGene00007089,Public name for WBGene00007089. History: N.A.
B0001.3,B0001.3,WBGene00007088,Public name for WBGene00007088. History: N.A.
C42C1.8,C42C1.8,WBGene00016586,Public name for WBGene00016586. History: N.A.
K08E7.1,K08E7.1,WBGene00010671,Sequence name for WBGene00010671(eak-7). History: N.A.
T23B5.1,T23B5.1,WBGene00011939,Sequence name for WBGene00011939(prmt-9). History: Renamed on 2016-11-29
C27D8.4,C27D8.4,WBGene00007780,Public name for WBGene00007780. History: N.A.
F49E11.1,F49E11.1,WBGene00003150,Sequence name for WBGene00003150(mbk-2). History: N.A.
C39E9.12,C39E9.12,WBGene00008035,Public name for WBGene00008035. History: N.A.
C39E9.13,C39E9.13,WBGene00004339,Sequence name for WBGene00004339(rfc-3). History: N.A.
C39E9.14,C39E9.14,WBGene00001007,Sequence name for WBGene00001007(dli-1). History: N.A.
B0564.1,B0564.1,"WBGene00007201, WBGene00044083",Sequence name for WBGene00007201(exos-4.1). History: N.A.. Sequence name for WBGene00044083(tin-9.2). History: N.A.
JC8.2,JC8.2,WBGene00010435,Public name for WBGene00010435. History: N.A.
JC8.3,JC8.3,WBGene00004424,Sequence name for WBGene00004424(rpl-12). History: N.A.
Y67H2A.1,Y67H2A.1,WBGene00013460,Sequence name for WBGene00013460(cpsf-3). History: N.A.
Y67H2A.5,Y67H2A.5,WBGene00013463,Sequence name for WBGene00013463(kdp-1). History: N.A.
Y67H2A.6,Y67H2A.6,WBGene00000818,Sequence name for WBGene00000818(csn-6). History: N.A.
W02A2.7,W02A2.7,WBGene00003230,Sequence name for WBGene00003230(mex-5). History: N.A.
Y62E10A.10,Y62E10A.10,WBGene00013378,Sequence name for WBGene00013378(emc-3). History: N.A.
Y62E10A.12,Y62E10A.12,WBGene00003077,Sequence name for WBGene00003077(lsm-3). History: N.A.
Y62E10A.14,Y62E10A.14,WBGene00013380,Sequence name for WBGene00013380(memi-2). History: N.A.
B0513.3,B0513.3,WBGene00004443,Sequence name for WBGene00004443(rpl-29). History: N.A.
Y37A1B.1,Y37A1B.1,WBGene00003085,Sequence name for WBGene00003085(ccar-1). History: Renamed on 2015-11-23
LLC1.3,LLC1.3,WBGene00010794,Sequence name for WBGene00010794(dld-1). History: N.A.
Y57G11C.33,Y57G11C.33,WBGene00013323,Public name for WBGene00013323. History: N.A.
Y57G11C.3,Y57G11C.3,WBGene00013301,Public name for WBGene00013301. History: N.A.
Y57G11C.10,Y57G11C.10,WBGene00001558,Sequence name for WBGene00001558(gdi-1). History: N.A.
Y57G11C.11,Y57G11C.11,WBGene00000763,Sequence name for WBGene00000763(coq-3). History: N.A.
Y57G11C.15,Y57G11C.15,WBGene00013311,Sequence name for WBGene00013311(sec-61.A). History: Renamed on 2019-05-20
Y57G11C.16,Y57G11C.16,WBGene00004487,Sequence name for WBGene00004487(rps-18). History: N.A.
Y41E3.4,Y41E3.4,WBGene00001336,Sequence name for WBGene00001336(qars-1). History: Renamed on 2010-01-29
Y41E3.10,Y41E3.10,WBGene00012768,Sequence name for WBGene00012768(eef-1B.2). History: N.A.
Y73F8A.24,Y73F8A.24,WBGene00013529,Sequence name for WBGene00013529(gtf-2H4). History: Renamed on 2021-12-09
Y73F8A.25,Y73F8A.25,WBGene00013530,Sequence name for WBGene00013530(ntl-11). History: N.A.
T06A10.4,T06A10.4,WBGene00020287,Sequence name for WBGene00020287(lsy-13). History: N.A.
Y116A8C.42,Y116A8C.42,WBGene00004914,Sequence name for WBGene00004914(snr-1). History: N.A.
Y116A8C.27,Y116A8C.27,WBGene00013804,Public name for WBGene00013804. History: N.A.
Y116A8C.34,Y116A8C.34,WBGene00000889,Sequence name for WBGene00000889(cyn-13). History: N.A.
F26D10.3,F26D10.3,WBGene00002005,Sequence name for WBGene00002005(hsp-1). History: N.A.
Y50D7A.9,Y50D7A.9,WBGene00021757,Sequence name for WBGene00021757(taco-1). History: N.A.
F10C5.2,F10C5.2,WBGene00017328,Sequence name for WBGene00017328(nemp-1). History: N.A.
T19C3.8,T19C3.8,WBGene00001412,Sequence name for WBGene00001412(fem-2). History: N.A.
W06E11.4,W06E11.4,WBGene00021063,Sequence name for WBGene00021063(sbds-1). History: N.A.
K02F3.11,K02F3.11,WBGene00004388,Sequence name for WBGene00004388(rnp-5). History: N.A.
F23H11.3,F23H11.3,WBGene00017759,Sequence name for WBGene00017759(sucl-2). History: N.A.
F23H11.5,F23H11.5,WBGene00000263,Public name for WBGene00000263. History: N.A.
Y92C3B.2,Y92C3B.2,WBGene00006697,Sequence name for WBGene00006697(uaf-1). History: N.A.
Y119D3B.15,Y119D3B.15,WBGene00022492,Sequence name for WBGene00022492(dss-1). History: N.A.
Y82E9BR.3,Y82E9BR.3,WBGene00022336,Public name for WBGene00022336. History: N.A.
Y82E9BR.16,Y82E9BR.16,WBGene00022348,Public name for WBGene00022348. History: N.A.
Y22D7AL.10,Y22D7AL.10,WBGene00021248,Public name for WBGene00021248. History: N.A.
Y39A3CR.1,Y39A3CR.1,WBGene00004886,Sequence name for WBGene00004886(smi-1). History: N.A.
F53A3.3,F53A3.3,WBGene00004491,Sequence name for WBGene00004491(rps-22). History: N.A.
Y54F10AM.5,Y54F10AM.5,WBGene00021849,Public name for WBGene00021849. History: N.A.
