# Shown are DESeq2 fold-change values (vs rde-4) for all STGs in whole worm samples.  ""NaN"" stands for: not significatnly different compared to rde-4(-) sample (padjusted >0.1).
genes,P0 generation (Psng-1::rde-4 worms),"rde-4(-), F1 of Psng-1::rde-4 worms","rde-4(-), F3 of Psng-1::rde-4 worms",Input,Suggested Match,History
ssp-32,-1.09774642204365,,,ssp-32,WBGene00006049,Public name for WBGene00006049. History: N.A.
sss-1,-1.0944792771563,,,sss-1,WBGene00006056,Public name for WBGene00006056. History: N.A.
F37A4.4,-1.09166141455292,,,F37A4.4,WBGene00018134,Public name for WBGene00018134. History: N.A.
F55C5.2,-1.09130656801208,,,F55C5.2,WBGene00010092,Public name for WBGene00010092. History: N.A.
rig-5,-1.0910355625901,,,rig-5,WBGene00004372,Public name for WBGene00004372. History: N.A.
F28H6.8,-1.0901334715393,,,F28H6.8,WBGene00044137,Public name for WBGene00044137. History: N.A.
ech-1,-1.09009069763815,,,ech-1,WBGene00001150,Other name for WBGene00001150(ech-1.1). History: Renamed on 2014-09-24
F19C7.6,-1.08966928756934,,,F19C7.6,WBGene00044302,"Public name for Dead gene WBGene00017596. History of WBGene00017596: Merged into ""WBGene00044302"" on 2018-11-14"
ZC204.13,-1.0895773495807,,,ZC204.13,WBGene00022563,Public name for WBGene00022563. History: N.A.
kin-24,-1.08818442401066,,,kin-24,WBGene00002206,Public name for WBGene00002206. History: N.A.
Y69A2AR.8,-1.08665572779569,,,Y69A2AR.8,WBGene00022079,Public name for WBGene00022079. History: N.A.
M05D6.1,-1.08422619759114,,,M05D6.1,WBGene00010874,Public name for WBGene00010874. History: N.A.
K11D2.1,-1.08230426401522,-1.13571839304952,-0.795538032005153,K11D2.1,WBGene00010768,Public name for WBGene00010768. History: N.A.
F21F3.3,-1.08187175683972,,,F21F3.3,WBGene00017673,Sequence name for WBGene00017673(icmt-1). History: Renamed on 2015-04-29
Y37A1B.4,-1.08179659901139,,,Y37A1B.4,WBGene00012537,Public name for WBGene00012537. History: N.A.
msra-1,-1.08097283262214,-0.854150981364998,,msra-1,WBGene00018393,Public name for WBGene00018393. History: N.A.
T27C10.8,-1.08069111735237,,,T27C10.8,WBGene00077519,Public name for WBGene00077519. History: N.A.
clec-108,-1.07769996220611,,,clec-108,WBGene00012504,Public name for WBGene00012504. History: N.A.
T07F10.1,-1.07748593794474,,,T07F10.1,WBGene00011587,Sequence name for WBGene00011587(anp-1). History: N.A.
C17H12.12,-1.07731952851139,,,C17H12.12,WBGene00015937,Public name for WBGene00015937. History: N.A.
gpa-15,-1.07563239562564,,,gpa-15,WBGene00001677,Public name for WBGene00001677. History: N.A.
lron-9,-1.07346964940973,,,lron-9,WBGene00011971,Public name for WBGene00011971. History: N.A.
msp-40,-1.07342322447699,,,msp-40,WBGene00003435,Public name for WBGene00003435. History: N.A.
C05C12.1,-1.07197221386068,,,C05C12.1,WBGene00007335,Public name for WBGene00007335. History: N.A.
C15B12.8,-1.07183633368211,,,C15B12.8,WBGene00015788,Public name for WBGene00015788. History: N.A.
Y71A12B.8,-1.06761985862068,,,Y71A12B.8,WBGene00013505,Public name for WBGene00013505. History: N.A.
Y7A9C.10,-1.06739640272567,-1.54462301541259,,Y7A9C.10,WBGene00045026,Public name for WBGene00045026. History: N.A.
F20B6.5,-1.06672325983478,-0.92701224421234,-0.697881554448134,F20B6.5,WBGene00017629,Public name for WBGene00017629. History: N.A.
Y69E1A.2,-1.0655374747477,,,Y69E1A.2,WBGene00013474,Sequence name for WBGene00013474(nsph-3.1). History: N.A.
D2062.13,-1.06521415590448,,,D2062.13,WBGene00194711,Public name for WBGene00194711. History: N.A.
C34B2.4,-1.0638503415461,,,C34B2.4,WBGene00016389,Public name for WBGene00016389. History: N.A.
ketn-1,-1.06341550999256,,,ketn-1,WBGene00004130,Public name for WBGene00004130. History: N.A.
C17G10.3,-1.05996658714538,,,C17G10.3,WBGene00015917,Public name for WBGene00015917. History: N.A.
F16B4.2,-1.05903573376605,,,F16B4.2,WBGene00017504,Public name for WBGene00017504. History: N.A.
C49G7.1,-1.05785274332149,,-1.09219969991519,C49G7.1,WBGene00017035,"Public name for Dead gene WBGene00016780. History of WBGene00016780: Merged into ""WBGene00017035"" on 2016-04-19"
F54H5.5,-1.05474986762654,,,F54H5.5,WBGene00018841,"Public name for WBGene00018841. History: Split into F54H5.14(WBGene00255600). History of WBGene00018841: Split into ""WBGene00255600"" on 2014-11-13"
C36B7.4,-1.05352912500274,-0.9906363841985047,,C36B7.4,WBGene00016467,Public name for WBGene00016467. History: N.A.
H06I04.5,-1.05319728546471,,,H06I04.5,WBGene00019169,Public name for WBGene00019169. History: N.A.
K09C6.8,-1.05215425407677,,,K09C6.8,WBGene00019562,Public name for WBGene00019562. History: N.A.
cle-1,-1.04974890610495,,,cle-1,WBGene00000527,Public name for WBGene00000527. History: N.A.
fbxa-99,-1.04963192078449,,,fbxa-99,WBGene00009490,Public name for WBGene00009490. History: N.A.
Y116A8C.37,-1.04899252880373,,,Y116A8C.37,WBGene00013810,Public name for WBGene00013810. History: N.A.
B0250.12,-1.04690263537798,-0.78649338343156,,B0250.12,WBGene00050927,Public name for WBGene00050927. History: N.A.
nhr-84,-1.04587865677061,-0.860283230625243,,nhr-84,WBGene00003674,Public name for WBGene00003674. History: N.A.
H37A05.2,-1.04472053571398,-1.12589454542131,,H37A05.2,WBGene00010426,Public name for WBGene00010426. History: N.A.
hil-1,-1.04459702841848,,,hil-1,WBGene00001852,Public name for WBGene00001852. History: N.A.
B0024.3,-1.04447717247807,,,B0024.3,WBGene00007096,Public name for WBGene00007096. History: N.A.
Y38H8A.8,-1.04436453019369,-0.946338152101131,,Y38H8A.8,WBGene00045062,Public name for WBGene00045062. History: N.A.
F22H10.1,-1.04118805159999,,,F22H10.1,WBGene00017725,Public name for WBGene00017725. History: N.A.
Y47D3A.5,-1.04065846634045,,,Y47D3A.5,WBGene00012924,Public name for WBGene00012924. History: N.A.
ZK849.1,-1.0377501730554,,,ZK849.1,WBGene00014100,Public name for WBGene00014100. History: N.A.
F42E8.1,-1.03536309642152,,,F42E8.1,WBGene00009630,Public name for WBGene00009630. History: N.A.
F43C11.10,-1.0352760972651,,,F43C11.10,WBGene00018387,Public name for WBGene00018387. History: N.A.
M60.7,-1.03372770001268,,,M60.7,WBGene00019782,Public name for WBGene00019782. History: N.A.
F54B11.8,-1.03217363637271,,,F54B11.8,WBGene00010031,Public name for WBGene00010031. History: N.A.
Y87G2A.20,-1.03172416290767,-0.973394162746526,-0.7825733254251829,Y87G2A.20,WBGene00044261,Public name for WBGene00044261. History: N.A.
fbxa-166,-1.03163521876832,-0.628303958719648,,fbxa-166,WBGene00015601,Public name for WBGene00015601. History: N.A.
ZK909.3,-1.03067616519794,-0.587285828983235,,ZK909.3,WBGene00014148,Public name for WBGene00014148. History: N.A.
F21F8.11,-1.03044976295932,,,F21F8.11,WBGene00017681,Sequence name for WBGene00017681(slc-17.5). History: N.A.
C25G4.8,-1.03038527450024,,,C25G4.8,WBGene00007735,Public name for WBGene00007735. History: N.A.
clp-3,-1.03010022714349,-1.10228805686204,-0.823771993412953,clp-3,WBGene00000544,Public name for WBGene00000544. History: N.A.
kri-1,-1.02897364721989,,,kri-1,WBGene00013955,Public name for WBGene00013955. History: N.A.
fer-1,-1.02626653482445,,,fer-1,WBGene00001414,Public name for WBGene00001414. History: N.A.
fbxa-43,-1.02565841771315,,,fbxa-43,WBGene00020638,Public name for WBGene00020638. History: N.A.
lntl-1,-1.02120546782576,-1.0171213377076,,lntl-1,WBGene00016289,Public name for WBGene00016289. History: N.A.
F17C8.7,-1.02106275795661,,,F17C8.7,WBGene00008912,Public name for WBGene00008912. History: N.A.
F56G4.7,-1.02000890094274,-0.92020801094471,,F56G4.7,WBGene00044250,Public name for WBGene00044250. History: N.A.
nspa-5,-1.01994653535285,,,nspa-5,WBGene00013887,Public name for WBGene00013887. History: N.A.
Y94H6A.2,-1.01783573506296,,,Y94H6A.2,WBGene00022375,Public name for WBGene00022375. History: N.A.
ugt-19,-1.01780931506373,,,ugt-19,WBGene00019515,Public name for WBGene00019515. History: N.A.
W05H12.1,-1.01578473681196,-0.8742511582008329,,W05H12.1,WBGene00012289,Public name for WBGene00012289. History: N.A.
Y47D3A.31,-1.01551163716752,,,Y47D3A.31,WBGene00012937,Public name for WBGene00012937. History: N.A.
C38C3.10,-1.01516422199616,,,C38C3.10,WBGene00045390,Public name for WBGene00045390. History: N.A.
hlh-19,-1.01416378670093,,,hlh-19,WBGene00001962,Public name for WBGene00001962. History: N.A.
C06B8.7,-1.01241284895544,-0.9111367819324048,,C06B8.7,WBGene00007372,Public name for WBGene00007372. History: N.A.
Y45F10B.3,-1.01145430657536,,,Y45F10B.3,WBGene00012871,Public name for WBGene00012871. History: N.A.
C04G2.3,-1.01018884795652,,,C04G2.3,WBGene00014665,Public name for WBGene00014665. History: N.A.
fbxa-148,-1.00803364615208,,,fbxa-148,WBGene00013616,Public name for WBGene00013616. History: N.A.
H04D03.4,-1.00717175666933,-0.752054441666212,,H04D03.4,WBGene00010365,"Public name for WBGene00010365. History: Split into H04D03.7(WBGene00305993). History of WBGene00010365: Split into ""WBGene00305993"" on 2020-01-20"
Y71F9AL.2,-1.00482432787997,,,Y71F9AL.2,WBGene00022108,Public name for WBGene00022108. History: N.A.
math-9,-1.00382368551989,,,math-9,WBGene00015838,Public name for WBGene00015838. History: N.A.
gadr-6,-1.00258795202684,,,gadr-6,WBGene00009823,Public name for WBGene00009823. History: N.A.
Y82E9BL.19,-1.00076548288467,-0.7954493818160479,,Y82E9BL.19,WBGene00194735,Public name for WBGene00194735. History: N.A.
ccch-1,-0.996874778539816,,,ccch-1,WBGene00009532,Public name for WBGene00009532. History: N.A.
ZC328.2,-0.996768622503763,,,ZC328.2,WBGene00022592,"Sequence name for WBGene00022592(klu-2). History: Split into ZC328.8(WBGene00303104). History of WBGene00022592: Split into ""WBGene00303104"" on 2018-03-06"
fbxa-40,-0.995997170977579,-0.602574270317486,-0.716966434528167,fbxa-40,WBGene00021987,"Public name for WBGene00021987. History: Split into Y59E1A.4(WBGene00304826). History of WBGene00021987: Split into ""WBGene00304826"" on 2019-07-25"
fbxa-188,-0.994962589147226,,,fbxa-188,WBGene00009839,Public name for WBGene00009839. History: N.A.
VY10G11R.3,-0.9945732122459,,,VY10G11R.3,WBGene00045098,Public name for WBGene00045098. History: N.A.
snf-9,-0.994508902839444,,,snf-9,WBGene00004908,Public name for WBGene00004908. History: N.A.
abt-4,-0.992849215303679,,,abt-4,WBGene00000022,Public name for WBGene00000022. History: N.A.
F23C8.1,-0.992442769122722,,,F23C8.1,WBGene00017731,Public name for WBGene00017731. History: N.A.
ahr-1,-0.99199372285231,-0.885021743633378,,ahr-1,WBGene00000096,Public name for WBGene00000096. History: N.A.
F55G1.15,-0.991418113925135,,,F55G1.15,WBGene00018907,Public name for WBGene00018907. History: N.A.
K07D4.9,-0.990806882695213,,,K07D4.9,WBGene00019488,Public name for WBGene00019488. History: N.A.
W06H8.2,-0.986656716149508,,,W06H8.2,WBGene00021066,Public name for WBGene00021066. History: N.A.
F27B3.6,-0.980477306715812,,,F27B3.6,WBGene00017848,Public name for WBGene00017848. History: N.A.
ceh-81,-0.979728598686449,,,ceh-81,WBGene00018434,Public name for WBGene00018434. History: N.A.
frpr-18,-0.978328362621068,,,frpr-18,WBGene00020586,Public name for WBGene00020586. History: N.A.
clec-151,-0.976633569231031,,,clec-151,WBGene00008659,Public name for WBGene00008659. History: N.A.
F54B8.4,-0.976614519533206,,,F54B8.4,WBGene00010019,Public name for WBGene00010019. History: N.A.
ZK945.8,-0.975958843108746,,,ZK945.8,WBGene00014170,Public name for WBGene00014170. History: N.A.
K09C6.10,-0.975238032959566,,,K09C6.10,WBGene00044778,Public name for WBGene00044778. History: N.A.
dve-1,-0.969001736665344,,,dve-1,WBGene00022861,Public name for WBGene00022861. History: N.A.
F23C8.11,-0.968059222451634,,,F23C8.11,WBGene00017739,Public name for WBGene00017739. History: N.A.
ZK678.3,-0.966308465369,-1.01031134205454,,ZK678.3,WBGene00014069,Public name for WBGene00014069. History: N.A.
clec-157,-0.962406230410467,,,clec-157,WBGene00017810,Public name for WBGene00017810. History: N.A.
C04G2.8,-0.962280753882799,,,C04G2.8,WBGene00007307,Sequence name for WBGene00007307(spch-1). History: N.A.
Y73F8A.37,-0.962067613356563,,,Y73F8A.37,WBGene00044632,Public name for WBGene00044632. History: N.A.
B0025.5,-0.961181169596689,,,B0025.5,WBGene00194700,Public name for WBGene00194700. History: N.A.
C12D8.9,-0.96059932709853,,,C12D8.9,WBGene00007538,Public name for WBGene00007538. History: N.A.
F28A10.9,-0.957971911237308,,,F28A10.9,WBGene00017877,Public name for WBGene00017877. History: N.A.
F09E8.1,-0.95779416209518,,,F09E8.1,WBGene00008623,Sequence name for WBGene00008623(spe-43). History: N.A.
fbxb-108,-0.955228532744089,,,fbxb-108,WBGene00017249,Public name for WBGene00017249. History: N.A.
lgc-55,-0.954137999118814,,,lgc-55,WBGene00013746,Public name for WBGene00013746. History: N.A.
dmsr-6,-0.953580673102467,-0.756305109939722,,dmsr-6,WBGene00013222,Public name for WBGene00013222. History: N.A.
H16D19.7,-0.952359984038834,,,H16D19.7,WBGene00195255,Public name for WBGene00195255. History: N.A.
C55F2.1,-0.951963626143865,,,C55F2.1,WBGene00016957,Sequence name for WBGene00016957(atic-1). History: N.A.
Y32H12A.1,-0.951752340157636,,,Y32H12A.1,WBGene00021310,Public name for WBGene00021310. History: N.A.
nhr-149,-0.951669275917357,,,nhr-149,WBGene00015397,Public name for WBGene00015397. History: N.A.
C33C12.4,-0.951441239167263,,,C33C12.4,WBGene00016336,Public name for WBGene00016336. History: N.A.
haf-8,-0.951203210034431,-1.29036569698834,,haf-8,WBGene00001818,Public name for WBGene00001818. History: N.A.
mltn-5,-0.9461705920111,-0.999018791654998,,mltn-5,WBGene00044074,Public name for WBGene00044074. History: N.A.
rpm-1,-0.945367097020995,-0.6711757052628619,,rpm-1,WBGene00004457,Public name for WBGene00004457. History: N.A.
K01A6.6,-0.944347578717319,,,K01A6.6,WBGene00010448,Public name for WBGene00010448. History: N.A.
ZK1225.1,-0.943905354246353,,,ZK1225.1,WBGene00014235,Public name for WBGene00014235. History: N.A.
egl-2,-0.941119973342752,,,egl-2,WBGene00001171,Public name for WBGene00001171. History: N.A.
F43C11.4,-0.941054439629756,,,F43C11.4,WBGene00018381,Public name for WBGene00018381. History: N.A.
duxl-1,-0.939159723961234,,,duxl-1,WBGene00022554,Public name for WBGene00022554. History: Renamed on 2011-09-30; Renamed on 2011-10-14
Y73F8A.32,-0.938453121484631,,,Y73F8A.32,WBGene00013536,Public name for WBGene00013536. History: N.A.
ptc-3,-0.937256364113847,,,ptc-3,WBGene00004210,Public name for WBGene00004210. History: N.A.
nas-28,-0.936822534980397,,,nas-28,WBGene00003546,Public name for WBGene00003546. History: N.A.
Y32G9A.3,-0.936135813562278,,,Y32G9A.3,WBGene00021302,Public name for WBGene00021302. History: N.A.
Y102A5C.38,-0.935790035673594,,,Y102A5C.38,WBGene00050883,Public name for WBGene00050883. History: N.A.
sue-1,-0.933772650788471,,,sue-1,WBGene00006306,Public name for WBGene00006306. History: N.A.. Other name for WBGene00006354(sus-1). History: N.A.
cebp-1,-0.933557152093148,,,cebp-1,WBGene00016997,Public name for WBGene00016997. History: Renamed on 2017-04-04
F35H10.5,-0.930540193357801,-0.892002223813908,,F35H10.5,WBGene00018070,Public name for WBGene00018070. History: N.A.
unc-89,-0.929978884150585,,,unc-89,WBGene00006820,Public name for WBGene00006820. History: N.A.
ZK563.5,-0.929015492065547,,,ZK563.5,WBGene00022769,Sequence name for WBGene00022769(sorf-1). History: Renamed on 2016-03-01
csp-3,-0.925053067004506,-0.562446258518093,,csp-3,WBGene00000821,Public name for WBGene00000821. History: N.A.
ZK930.7,-0.924397373489381,,,ZK930.7,WBGene00014157,Public name for WBGene00014157. History: N.A.
ndnf-1,-0.922800457817955,-0.9934865517199069,-0.936203857273842,ndnf-1,WBGene00021893,Public name for WBGene00021893. History: N.A.
F18A1.1,-0.922495668709649,,,F18A1.1,WBGene00017545,Public name for WBGene00017545. History: N.A.
M70.1,-0.919294677541042,,,M70.1,WBGene00019783,Public name for WBGene00019783. History: N.A.
T27F2.2,-0.91625430906907,,,T27F2.2,WBGene00012100,Sequence name for WBGene00012100(sipa-1). History: N.A.
cyp-32B1,-0.914795466232052,,,cyp-32B1,WBGene00021167,Public name for WBGene00021167. History: N.A.
R155.5,-0.913280334212461,,,R155.5,WBGene00189953,Public name for WBGene00189953. History: N.A.
Y18H1A.14,-0.912237400199713,-0.8327172982677569,,Y18H1A.14,WBGene00044461,Public name for WBGene00044461. History: N.A.
T08B6.5,-0.910301669419296,,,T08B6.5,WBGene00020354,Sequence name for WBGene00020354(sgnh-1). History: N.A.
nhr-142,-0.909595808806001,,,nhr-142,WBGene00018430,Public name for WBGene00018430. History: N.A.
Y51A2D.15,-0.909479390795348,,,Y51A2D.15,WBGene00013082,Sequence name for WBGene00013082(grdn-1). History: N.A.
tat-2,-0.906764712300644,-1.23104384923572,,tat-2,WBGene00019166,Public name for WBGene00019166. History: N.A.
srh-171,-0.903075194178903,,,srh-171,WBGene00005387,Public name for WBGene00005387. History: N.A.
blmp-1,-0.900858676340679,,,blmp-1,WBGene00003847,Public name for WBGene00003847. History: Renamed on 2005-05-18; Renamed on 2014-08-14
C25H3.1,-0.899789168944445,-0.925950760933856,,C25H3.1,WBGene00016111,Public name for WBGene00016111. History: N.A.
gcy-23,-0.898656352468243,,,gcy-23,WBGene00001548,Public name for WBGene00001548. History: N.A.
ZC123.4,-0.892658613787142,-0.827577105600451,,ZC123.4,WBGene00022519,Sequence name for WBGene00022519(cdk-14). History: N.A.
pek-1,-0.892514871731037,-0.7062436587257989,,pek-1,WBGene00003970,Public name for WBGene00003970. History: N.A.
F21D9.7,-0.89125825354382,-0.678111750740606,,F21D9.7,,Sequence name for Suppressed gene WBGene00014739. Molecular name for Suppressed gene WBGene00014739. Public name for Suppressed gene WBGene00014739. History of WBGene00014739: Suppressed on 2013-09-12. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
C16C4.18,-0.889309104222187,-0.989665045693258,,C16C4.18,WBGene00194998,Public name for WBGene00194998. History: N.A.
F17E9.3,-0.888581284963784,,,F17E9.3,WBGene00017540,Public name for WBGene00017540. History: N.A.
F57G8.5,-0.888309219488376,,,F57G8.5,WBGene00010214,Sequence name for WBGene00010214(slc-9B.2). History: N.A.
fbxc-57,-0.887927931109576,,,fbxc-57,WBGene00016305,Public name for WBGene00016305. History: N.A.
Y47H9C.15,-0.884364091818243,,,Y47H9C.15,WBGene00000821,"Public name for Dead gene WBGene00012957. History of WBGene00012957: Merged into ""WBGene00000821"" on 2016-04-19"
Y47H9B.2,-0.881998366223617,,,Y47H9B.2,WBGene00012946,Public name for WBGene00012946. History: N.A.
cah-6,-0.880650006524353,,,cah-6,WBGene00000284,Public name for WBGene00000284. History: N.A.
K01B6.3,-0.877777388578474,,,K01B6.3,WBGene00010454,Public name for WBGene00010454. History: N.A.
Y55B1BR.5,-0.873795378647372,-0.710980625828691,,Y55B1BR.5,WBGene00044401,"Public name for Dead gene WBGene00044400. History of WBGene00044400: Merged into ""WBGene00044401"" on 2014-10-09"
ttr-13,-0.872307973197242,,,ttr-13,WBGene00012849,Public name for WBGene00012849. History: N.A.
immt-1,-0.871745674068781,,,immt-1,WBGene00020511,Public name for WBGene00020511. History: N.A.
F58G1.9,-0.868774642902187,,,F58G1.9,WBGene00010271,Public name for WBGene00010271. History: N.A.
nekl-4,-0.862320239175217,-0.9405821059529728,-0.727343092349156,nekl-4,WBGene00017033,Public name for WBGene00017033. History: N.A.
nspa-4,-0.861577633959933,,,nspa-4,WBGene00044272,Public name for WBGene00044272. History: N.A.
aakb-1,-0.860941268451272,-1.02434579396564,,aakb-1,WBGene00010115,Public name for WBGene00010115. History: N.A.
fbn-1,-0.857740355843657,,,fbn-1,WBGene00022816,Public name for WBGene00022816. History: Renamed on 2019-05-20
Y54F10BM.6,-0.85523583148417,,,Y54F10BM.6,WBGene00021861,Public name for WBGene00021861. History: N.A.
F30A10.12,-0.854016391399074,,,F30A10.12,WBGene00009269,Public name for WBGene00009269. History: N.A.
T27F6.1,-0.853919132805361,,,T27F6.1,WBGene00012102,Public name for WBGene00012102. History: N.A.
arrd-18,-0.852026835430549,,,arrd-18,WBGene00018060,Public name for WBGene00018060. History: N.A.
R08E3.3,-0.851309861925005,-0.7920929955714578,,R08E3.3,WBGene00019959,Public name for WBGene00019959. History: N.A.
fbxa-170,-0.85079301518434,-0.881248550942693,,fbxa-170,WBGene00016486,Public name for WBGene00016486. History: N.A.
H25K10.1,-0.847292911826019,-1.30096695828693,,H25K10.1,WBGene00010411,"Public name for WBGene00010411. History: Split into H25K10.141(WBGene00219331). History of WBGene00010411: Split into ""WBGene00219331"" on 2012-01-16"
math-44,-0.845789888600729,,,math-44,WBGene00021193,"Public name for WBGene00021193. History: Split into Y16E11A.4(WBGene00305158). History of WBGene00021193: Split into ""WBGene00305158"" on 2019-11-21"
C40A11.7,-0.845047794121339,-0.8347374441615039,,C40A11.7,WBGene00016550,Public name for WBGene00016550. History: N.A.
C16C8.2,-0.8413302904999,,,C16C8.2,WBGene00015841,Sequence name for WBGene00015841(skpo-2). History: N.A.
F26D11.12,-0.841153690417683,-0.8004352995623149,,F26D11.12,WBGene00045392,Public name for WBGene00045392. History: N.A.
F56F11.2,-0.840222941578292,,,F56F11.2,WBGene00018989,Public name for WBGene00018989. History: N.A.
daf-10,-0.840095350679006,-1.27143318844863,,daf-10,WBGene00000906,Public name for WBGene00000906. History: N.A.
C01H6.2,-0.839002796988731,,,C01H6.2,WBGene00007252,Sequence name for WBGene00007252(mlt-2). History: N.A.
srz-33,-0.837884154003484,-0.782946406675823,,srz-33,WBGene00008941,"Public name for WBGene00008941. History: Split into F19B2.10(WBGene00043055). History of WBGene00008941: Split into ""WBGene00043055"" on 2004-09-13"
lnp-1,-0.837369521020221,-0.658820556196806,,lnp-1,WBGene00015492,Public name for WBGene00015492. History: N.A.
D1014.2,-0.836631401557223,,,D1014.2,WBGene00017015,"Public name for WBGene00017015. History: Split into D1014.13(WBGene00303233). History of WBGene00017015: Split into ""WBGene00303233"" on 2018-05-16"
F52E10.4,-0.836050755346014,,,F52E10.4,WBGene00009935,Public name for WBGene00009935. History: N.A.
Y116A8A.6,-0.832940688217952,,,Y116A8A.6,WBGene00013776,Public name for WBGene00013776. History: N.A.
F37D6.4,-0.830958670761898,,,F37D6.4,WBGene00009510,Public name for WBGene00009510. History: N.A.
sdz-18,-0.828923236961182,,,sdz-18,WBGene00018442,Public name for WBGene00018442. History: Renamed on 2005-08-22
Y43F4A.1,-0.82330564768559,-0.926175078961562,,Y43F4A.1,WBGene00012796,Public name for WBGene00012796. History: N.A.
fbxc-26,-0.822344583304767,,,fbxc-26,WBGene00019043,Public name for WBGene00019043. History: N.A.
Y116F11A.4,-0.822107084254393,,,Y116F11A.4,WBGene00014615,Public name for WBGene00014615. History: N.A.
F23C8.7,-0.820066431055725,,,F23C8.7,WBGene00017736,Public name for WBGene00017736. History: N.A.
C06E7.2,-0.819996669577122,,,C06E7.2,WBGene00015539,Public name for WBGene00015539. History: N.A.
H16D19.4,-0.819977060868088,,,H16D19.4,WBGene00010402,"Public name for WBGene00010402. History: Split into H16D19.5(WBGene00195253), H16D19.6(WBGene00195254), H16D19.7(WBGene00195255). History of WBGene00010402: Split into ""WBGene00195253"" on 2010-09-09; Split into ""WBGene00195254"" on 2010-09-09; Split into ""WBGene00195255"" on 2010-09-09"
vet-6,-0.818661546276789,,,vet-6,WBGene00006902,Public name for WBGene00006902. History: N.A.
W06D11.4,-0.817105659055226,,,W06D11.4,WBGene00012302,Sequence name for WBGene00012302(dot-1.3). History: N.A.
Y82E9BR.21,-0.816033114893333,-0.645774313306362,,Y82E9BR.21,WBGene00022353,Sequence name for WBGene00022353(pals-18). History: N.A.
let-756,-0.811398897334246,,,let-756,WBGene00002881,Public name for WBGene00002881. History: N.A.
dnj-24,-0.808742605520842,-0.908278356270767,-0.735363903864236,dnj-24,WBGene00001042,Public name for WBGene00001042. History: N.A.
Y38H8A.7,-0.806325501120138,,,Y38H8A.7,WBGene00012640,Public name for WBGene00012640. History: N.A.
ZK177.2,-0.805267027572175,,,ZK177.2,WBGene00022670,Public name for WBGene00022670. History: N.A.
anoh-2,-0.804962637375728,-0.911798569767456,,anoh-2,WBGene00013326,Public name for WBGene00013326. History: N.A.
phf-32,-0.79990514523455,,,phf-32,WBGene00008902,"Public name for WBGene00008902. History: Split into F17A2.16(WBGene00304215). History of WBGene00008902: Split into ""WBGene00304215"" on 2018-11-14"
F35C12.3,-0.793259215395426,,,F35C12.3,WBGene00009408,"Public name for WBGene00009408. History: Split into F35C12.7(WBGene00304992). History of WBGene00009408: Split into ""WBGene00304992"" on 2019-09-26"
F20D1.7,-0.790453711816855,,,F20D1.7,WBGene00008977,Sequence name for WBGene00008977(iglr-1). History: N.A.
qdpr-1,-0.789631225924959,-0.815193399294861,,qdpr-1,WBGene00011398,Public name for WBGene00011398. History: N.A.
Y105E8A.1,-0.789319994315257,-0.517204255315537,,Y105E8A.1,WBGene00013666,Public name for WBGene00013666. History: N.A.
C50F4.6,-0.787747567147449,-0.934700452842481,-0.912626208404063,C50F4.6,WBGene00001910,Public name for WBGene00001910. History: N.A.
Y17G9B.1,-0.785969514514066,-0.8500560276653049,,Y17G9B.1,WBGene00021198,Sequence name for WBGene00021198(npp-26). History: N.A.
chw-1,-0.781005303476342,,,chw-1,WBGene00009059,Public name for WBGene00009059. History: N.A.
Y82E9BR.4,-0.769165874735495,,,Y82E9BR.4,WBGene00022337,"Sequence name for WBGene00022337(pals-16). History: Split into pals-19(WBGene00044761). History of WBGene00022337: Split into ""WBGene00044761"" on 2006-02-24"
fbxb-15,-0.767460424945669,,,fbxb-15,WBGene00022557,Public name for WBGene00022557. History: N.A.
cas-1,-0.766157888437485,-0.6907739077557669,,cas-1,WBGene00000294,Public name for WBGene00000294. History: N.A.
Y71A12B.15,-0.762633143653005,,,Y71A12B.15,WBGene00013511,"Public name for WBGene00013511. History: Split into Y71A12B.18(WBGene00045077). History of WBGene00013511: Split into ""WBGene00045077"" on 2006-10-17"
aqp-9,-0.762462551317287,-0.8286053615644299,-0.905286985260317,aqp-9,WBGene00000177,Public name for WBGene00000177. History: N.A.
nhr-130,-0.762363850535713,,,nhr-130,WBGene00003720,Public name for WBGene00003720. History: N.A.
F52E1.9,-0.759769272835355,,,F52E1.9,WBGene00018697,Public name for WBGene00018697. History: N.A.
Y58A7A.4,-0.758054828000956,,,Y58A7A.4,WBGene00021978,Public name for WBGene00021978. History: N.A.
fbxa-150,-0.757703479553766,-0.5619476911968428,,fbxa-150,WBGene00012624,Public name for WBGene00012624. History: N.A.
Y55F3AM.10,-0.755950889739595,-0.681202447784608,,Y55F3AM.10,WBGene00021927,Sequence name for WBGene00021927(abhd-14). History: N.A.
T15B12.1,-0.754492156914906,,,T15B12.1,WBGene00020530,Public name for WBGene00020530. History: N.A.
F53E10.5,-0.7539802831784,-0.618697648047236,,F53E10.5,WBGene00018761,Public name for WBGene00018761. History: N.A.
F25E5.1,-0.753434942997179,,,F25E5.1,WBGene00017782,Public name for WBGene00017782. History: N.A.
gei-1,-0.751334445756821,,,gei-1,WBGene00001559,Public name for WBGene00001559. History: N.A.
fbxa-106,-0.745989711022621,-0.758376577946351,,fbxa-106,WBGene00013348,Public name for WBGene00013348. History: N.A.
