# Supplemental Table 2- The 'adr-1 adr-2 gene expression' tab lists genes with altered mRNA levels in adr-1(-/-);adr-2(-/-) worms compared to WT. All listed genes were statistically significant at p ≤ 0.05. There were 1,746 mRNAs increased and 1,571 mRNAs decreased ≥1.2-fold. The 'mRNAs targeted by miRNAs' tab includes information on mRNAs that are predicted targets of miRNAs. The 'Dicer Helicase dependent Loci' tab summarizes our re-analysis of data previously reported in (Welker et al. 2010), and includes all loci with a significantly different number of reads (p-value ≤0.05), as determined by Defined Region Scan Sequences (Nix et al. 2008). Only loci with ≥1.2-fold changes in the mutant strain compared to WT are reported.
Gene Locus,Chromosome,Strand,Gene chr start position,Gene chr stop position,Normalized number of WT reads,Normalized number of Dcr-1(-/-)K39A reads,Fold Change (mutant vs WT),pVal,Strand(s) affected,Input,Suggested Match,History
T16H12.6,chrIII,-,10098382,10101477,12,3,-3.33,0.038,Sense,T16H12.6,WBGene00002186,Sequence name for WBGene00002186(kel-10). History: N.A.
T19E10.1,chrII,-,10778320,10783210,15,4,-3.16,0.029,Sense,T19E10.1,WBGene00002297,"Sequence name for WBGene00002297(ect-2). History: Renamed on 2005-09-28. Public name for Dead gene WBGene00011845. History of WBGene00011845: Merged into ""WBGene00002297"" on 2005-09-28"
T19E7.3,chrIV,-,5661324,5664402,10,1,-5.43,0.021,Sense,T19E7.3,WBGene00000247,Sequence name for WBGene00000247(bec-1). History: Renamed on 2008-02-29
T20G5.1,chrIII,+,10203714,10209598,35,3,-8.88,1.5e-05,Sense,T20G5.1,WBGene00011867,Sequence name for WBGene00011867(chc-1). History: Renamed on 2008-04-30
T21C9.4,chrV,-,10578399,10579084,17,1,-9.13,0.00065,Sense,T21C9.4,WBGene00011892,Sequence name for WBGene00011892(erh-1). History: N.A.
T22B11.5,chrIV,-,4696907,4704002,22,7,-2.9,0.013,Sense,T22B11.5,WBGene00020679,Sequence name for WBGene00020679(ogdh-1). History: N.A.
T22B3.3,chrIV,-,11703197,11703755,20,6,-2.96,0.017,Sense,T22B3.3,WBGene00011911,Public name for WBGene00011911. History: N.A.
T22D1.9,chrIV,-,6906619,6909888,30,9,-3.06,0.0035,Sense,T22D1.9,WBGene00004458,Sequence name for WBGene00004458(rpn-1). History: N.A.
T23G11.3,chrI,+,7695675,7698222,27,6,-4.02,0.0037,Sense,T23G11.3,WBGene00001595,Sequence name for WBGene00001595(gld-1). History: N.A.
T24B8.1,chrII,-,9056453,9057000,22,6,-3.31,0.0074,Sense,T24B8.1,WBGene00004446,Sequence name for WBGene00004446(rpl-32). History: N.A.
T24B8.7,chrII,-,9042695,9053127,27,7,-3.51,0.0025,Sense,T24B8.7,WBGene00011980,Public name for WBGene00011980. History: N.A.
T24H10.1,chrII,+,9099296,9100374,7,0,-8.4,0.028,Sense,T24H10.1,WBGene00012000,Public name for WBGene00012000. History: N.A.
T25C8.2,chrIII,-,13604433,13605946,32,2,-11.02,2.4e-06,Sense,T25C8.2,WBGene00000067,Sequence name for WBGene00000067(act-5). History: N.A.
T25G3.2,chrI,+,7554995,7559451,25,3,-6.41,0.00075,Sense,T25G3.2,WBGene00000496,Sequence name for WBGene00000496(chs-1). History: N.A.
T26A5.3,chrIII,+,6465108,6467150,10,0,-10.86,0.0086,Sense,T26A5.3,WBGene00006463,Sequence name for WBGene00006463(nduf-2.2). History: Renamed on 2008-02-26
T27D1.1,chrIII,-,3697867,3699612,7,0,-8.4,0.02,Sense,T27D1.1,WBGene00000885,Sequence name for WBGene00000885(cyn-9). History: N.A.
T27E9.1,chrIII,+,13463041,13464531,32,12,-2.54,0.02,Sense,T27E9.1,WBGene00006439,Sequence name for WBGene00006439(ant-1.1). History: Renamed on 2008-06-04; Renamed on 2014-03-03
T27E9.7,chrIII,-,13458082,13462087,39,77,1.93,0.018,Sense,T27E9.7,WBGene00012097,Sequence name for WBGene00012097(abcf-2). History: N.A.
VF11C1L.1,chrX,-,12968880,12975564,7,0,-8.4,0.02,Sense,VF11C1L.1,WBGene00004089,Sequence name for WBGene00004089(ppk-3). History: N.A.
W01D2.3,chrII,-,14800819,14804211,84,57,-1.46,0.02,Sense,W01D2.3,WBGene00012180,Public name for WBGene00012180. History: N.A.
W02B9.1,chrI,-,11075750,11134660,47,15,-2.99,0.00036,Sense,W02B9.1,WBGene00001980,Sequence name for WBGene00001980(hmr-1). History: N.A.
W03G11.1,chrX,+,12105068,12105908,12,0,-13.33,0.0026,Sense,W03G11.1,WBGene00000754,Sequence name for WBGene00000754(col-181). History: N.A.
W10C8.5,chrI,-,2854051,2855671,10,2,-3.62,0.049,Sense,W10C8.5,WBGene00021128,Public name for WBGene00021128. History: N.A.
W10D5.3,chrI,-,9101166,9107531,10,2,-3.62,0.049,Sense,W10D5.3,WBGene00001574,Sequence name for WBGene00001574(gei-17). History: N.A.
Y105E8B.2,chrI,-,14634448,14642555,7,0,-8.4,0.02,Sense,Y105E8B.2,WBGene00013687,Sequence name for WBGene00013687(exoc-8). History: N.A.
Y106G6H.2,chrI,-,10433033,10435866,57,27,-2.06,0.0031,Sense,Y106G6H.2,WBGene00003902,Sequence name for WBGene00003902(pab-1). History: N.A.
Y113G7B.17,chrV,-,20262988,20265092,10,2,-3.62,0.049,Sense,Y113G7B.17,WBGene00013766,Sequence name for WBGene00013766(prmt-1). History: N.A.
Y113G7B.18,chrV,-,20247356,20262617,17,5,-3.04,0.022,Sense,Y113G7B.18,WBGene00007017,Sequence name for WBGene00007017(mdt-17). History: N.A.
Y119C1B.1,chrI,+,4554150,4555204,7,0,-8.4,0.028,Sense,Y119C1B.1,WBGene00022467,Public name for WBGene00022467. History: N.A.
Y17G7B.20,chrII,-,11977693,11979774,27,10,-2.56,0.012,Sense,Y17G7B.20,WBGene00012471,Public name for WBGene00012471. History: N.A.
Y18H1A.2,chrI,-,694990,698330,7,0,-8.4,0.02,Sense,Y18H1A.2,WBGene00021208,Public name for WBGene00021208. History: N.A.
Y37D8A.13,chrIII,-,12880917,12891618,15,4,-3.16,0.029,Sense,Y37D8A.13,WBGene00006804,"Sequence name for WBGene00006804(unc-71). History: Split into Y37D8A.29(WBGene00303086). History of WBGene00006804: Split into ""WBGene00303086"" on 2018-03-02"
Y37D8A.2,chrIII,+,12820020,12825531,15,0,-15.79,0.0008,Sense,Y37D8A.2,WBGene00012544,Public name for WBGene00012544. History: N.A.
Y37E3.11,chrI,+,2078960,2085648,402,52,-7.6,1.6999999999999998e-42,Sense,Y37E3.11,WBGene00021352,Sequence name for WBGene00021352(pcyt-2.1). History: N.A.
Y37E3.8,chrI,-,2069679,2070611,59,22,-2.62,0.00026,Sense,Y37E3.8,WBGene00021350,Public name for WBGene00021350. History: N.A.
Y38C9A.2,chrV,-,118462,122752,10,1,-5.43,0.021,Sense,Y38C9A.2,WBGene00000480,Sequence name for WBGene00000480(cgp-1). History: N.A.
Y38F2AR.7,chrIV,-,2333835,2348911,10,0,-10.86,0.0054,Sense,Y38F2AR.7,WBGene00021425,Sequence name for WBGene00021425(ppgn-1). History: N.A.
Y41C4A.4,chrIII,+,11674542,11693715,7,0,-8.4,0.028,Sense,Y41C4A.4,WBGene00000793,Sequence name for WBGene00000793(crh-1). History: N.A.
Y41D4A.5,chrIV,-,1728048,1737882,10,0,-10.86,0.0054,Sense,Y41D4A.5,WBGene00021507,Sequence name for WBGene00021507(ptpn-22). History: N.A.
Y41E3.16,chrIV,+,15040035,15042354,7,0,-8.4,0.028,Sense,Y41E3.16,WBGene00012769,"Public name for Dead gene WBGene00012774. History of WBGene00012774: Merged into ""WBGene00012769"" on 2009-01-09"
Y43B11AR.4,chrIV,-,7083718,7084645,32,6,-4.72,0.0002,Sense,Y43B11AR.4,WBGene00004473,Sequence name for WBGene00004473(rps-4). History: N.A.
Y43F8C.7,chrV,-,19641447,19643992,17,4,-3.65,0.012,Sense,Y43F8C.7,WBGene00012829,Public name for WBGene00012829. History: N.A.
Y47D3A.15,chrIII,+,11237032,11237969,10,0,-10.86,0.0086,Sense,Y47D3A.15,WBGene00012928,Sequence name for WBGene00012928(aakb-2). History: N.A.
Y47H9C.7,chrI,-,11891588,11893717,7,0,-8.4,0.02,Sense,Y47H9C.7,WBGene00012950,Sequence name for WBGene00012950(eif-2Bbeta). History: N.A.
Y48C3A.14,chrII,+,13389668,13401900,10,1,-5.43,0.033,Sense,Y48C3A.14,WBGene00012995,Public name for WBGene00012995. History: N.A.
Y48G1A.5,chrI,-,318543,323353,25,4,-5.13,0.00068,Sense,Y48G1A.5,WBGene00002079,Sequence name for WBGene00002079(xpo-2). History: Renamed on 2008-01-30
Y48G1C.7,chrI,-,96474,100613,10,2,-3.62,0.049,Sense,Y48G1C.7,WBGene00021681,"Public name for Dead gene WBGene00021680. History of WBGene00021680: Merged into ""WBGene00021681"" on 2010-11-23"
Y49E10.3,chrIII,-,12374117,12377130,10,0,-10.86,0.0054,Sense,Y49E10.3,WBGene00004086,Sequence name for WBGene00004086(pph-4.2). History: N.A.
Y50E8A.4,chrV,-,14731453,14734215,7,0,-8.4,0.02,Sense,Y50E8A.4,WBGene00006795,Sequence name for WBGene00006795(unc-61). History: N.A.
Y51H4A.12,chrIV,-,16647083,16655979,15,4,-3.16,0.029,Sense,Y51H4A.12,WBGene00013106,Sequence name for WBGene00013106(set-26). History: N.A.
Y53C10A.12,chrI,-,11953501,11961976,15,3,-3.95,0.015,Sense,Y53C10A.12,WBGene00002004,Sequence name for WBGene00002004(hsf-1). History: N.A.
Y53C12A.1,chrII,-,9713658,9716389,15,3,-3.95,0.015,Sense,Y53C12A.1,WBGene00006940,Sequence name for WBGene00006940(wee-1.3). History: N.A.
Y53C12B.3,chrII,+,9746639,9749894,7,0,-8.4,0.028,Sense,Y53C12B.3,WBGene00003785,Sequence name for WBGene00003785(nos-3). History: N.A.
Y53F4B.9,chrII,-,15004770,15010318,44,24,-1.81,0.02,Sense,Y53F4B.9,WBGene00013156,Public name for WBGene00013156. History: N.A.
Y54E10A.9,chrI,-,3158514,3162372,35,16,-2.09,0.017,Sense,Y54E10A.9,WBGene00006888,Sequence name for WBGene00006888(vbh-1). History: N.A.
Y54G2A.17,chrIV,-,2872220,2887000,12,0,-13.33,0.0014,Sense,Y54G2A.17,WBGene00021882,Sequence name for WBGene00021882(nprt-1). History: N.A.
Y55F3AR.3,chrIV,-,1087184,1093920,17,6,-2.61,0.037,Sense,Y55F3AR.3,WBGene00021934,Sequence name for WBGene00021934(cct-8). History: N.A.
Y59A8A.1,chrV,-,17861351,17870618,12,0,-13.33,0.0014,Sense,Y59A8A.1,WBGene00000813,Sequence name for WBGene00000813(csn-1). History: N.A.
Y59C2A.2,chrII,-,2199143,2204130,25,10,-2.33,0.024,Sense,Y59C2A.2,WBGene00021985,Public name for WBGene00021985. History: N.A.
Y65B4BL.5,chrI,-,511017,516459,32,16,-1.94,0.03,Sense,Y65B4BL.5,WBGene00022037,Sequence name for WBGene00022037(acs-13). History: N.A.
Y66D12A.17,chrIII,-,11512742,11523640,10,1,-5.43,0.021,Sense,Y66D12A.17,WBGene00013443,Sequence name for WBGene00013443(such-1). History: Renamed on 2013-09-25
Y66H1B.2,chrIV,-,359238,364340,25,5,-4.28,0.0015,Sense,Y66H1B.2,WBGene00022048,Sequence name for WBGene00022048(fln-1). History: N.A.
Y67D8C.5,chrIV,-,3032725,3049968,116,36,-3.16,1.3e-08,Sense,Y67D8C.5,WBGene00022069,Sequence name for WBGene00022069(eel-1). History: N.A.
Y71F9AL.13,chrI,-,2875395,2876313,27,7,-3.51,0.0025,Sense,Y71F9AL.13,WBGene00004412,Sequence name for WBGene00004412(rpl-1). History: Renamed on 2004-07-05
Y71H2AM.19,chrIII,-,2770840,2779043,20,7,-2.59,0.028,Sense,Y71H2AM.19,WBGene00002244,"Sequence name for WBGene00002244(laf-1). History: N.A.. Public name for Dead gene WBGene00022184. History of WBGene00022184: Merged into ""WBGene00002244"" on 2009-05-07"
Y73B6BL.6,chrIV,+,6324193,6326388,22,4,-4.64,0.0046,Sense,Y73B6BL.6,WBGene00022235,Sequence name for WBGene00022235(sqd-1). History: N.A.
Y75B12B.2,chrV,-,15186658,15187336,42,9,-4.29,4.9e-05,Sense,Y75B12B.2,WBGene00000883,Sequence name for WBGene00000883(cyn-7). History: N.A.
Y75B8A.14,chrIII,-,12216664,12218514,7,0,-8.4,0.02,Sense,Y75B8A.14,WBGene00013550,Public name for WBGene00013550. History: N.A.
Y76A2B.1,chrIII,-,13514820,13523973,62,26,-2.32,0.00067,Sense,Y76A2B.1,WBGene00004075,Sequence name for WBGene00004075(pod-1). History: N.A.
Y77E11A.11,chrIV,-,1435625,1445965,15,2,-5.26,0.0065,Sense,Y77E11A.11,WBGene00000547,Sequence name for WBGene00000547(clp-7). History: N.A.
Y7A5A.8,chrX,+,15821342,15825059,12,0,-13.33,0.0026,Sense,Y7A5A.8,WBGene00012414,Public name for WBGene00012414. History: N.A.
Y92H12A.2,chrI,+,1543525,1556184,74,25,-2.88,0.00018,Sense,Y92H12A.2,WBGene00022358,Public name for WBGene00022358. History: N.A.
Y92H12A.5,chrI,-,1491340,1514410,12,2,-4.44,0.018,Sense,Y92H12A.5,WBGene00022361,Public name for WBGene00022361. History: N.A.
ZC395.10,chrIII,-,5273947,5274715,22,5,-3.86,0.0039,Sense,ZC395.10,WBGene00022599,Sequence name for WBGene00022599(daf-41). History: N.A.
ZC434.2,chrI,+,10330878,10331688,32,9,-3.3,0.005,Sense,ZC434.2,WBGene00004476,Sequence name for WBGene00004476(rps-7). History: N.A.
ZK1005.1,chrV,-,1276421,1285701,25,9,-2.57,0.016,Sense,ZK1005.1,WBGene00004053,Sequence name for WBGene00004053(tank-1). History: Renamed on 2014-11-18
ZK250.5,chrII,-,1937087,1941671,30,9,-3.06,0.0035,Sense,ZK250.5,WBGene00022688,"Sequence name for WBGene00022688(math-47). History: Split into ZK250.13(WBGene00235352). History of WBGene00022688: Split into ""WBGene00235352"" on 2013-09-27"
ZK250.7,chrII,-,1953680,1955669,10,2,-3.62,0.049,Sense,ZK250.7,WBGene00022690,Sequence name for WBGene00022690(math-49). History: N.A.
ZK370.3,chrIII,+,8720107,8725150,10,0,-10.86,0.0086,Sense,ZK370.3,WBGene00022717,Sequence name for WBGene00022717(hipr-1). History: Renamed on 2014-08-08
ZK370.4,chrIII,-,8725234,8731280,27,7,-3.51,0.0025,Sense,ZK370.4,WBGene00022718,Public name for WBGene00022718. History: N.A.
ZK418.8,chrIII,-,7083613,7084990,15,5,-2.63,0.049,Sense,ZK418.8,WBGene00022737,Sequence name for WBGene00022737(tofu-7). History: N.A.
ZK546.13,chrII,-,4942111,4943928,25,7,-3.21,0.0058,Sense,ZK546.13,WBGene00007012,Sequence name for WBGene00007012(mdt-4). History: N.A.
ZK546.15,chrII,-,4948141,4949472,10,2,-3.62,0.049,Sense,ZK546.15,WBGene00006619,Sequence name for WBGene00006619(try-1). History: N.A.
ZK792.5,chrIV,-,11684943,11688088,10,1,-5.43,0.021,Sense,ZK792.5,WBGene00014078,Public name for WBGene00014078. History: N.A.
ZK809.4,chrIV,-,11653394,11655440,10,2,-3.62,0.049,Sense,ZK809.4,WBGene00001320,Sequence name for WBGene00001320(ent-1). History: N.A.
ZK809.5,chrIV,+,11656706,11659368,10,1,-5.43,0.033,Sense,ZK809.5,WBGene00014087,Public name for WBGene00014087. History: N.A.
ZK858.6,chrI,-,9138803,9141512,10,2,-3.62,0.049,Sense,ZK858.6,WBGene00014119,Public name for WBGene00014119. History: N.A.
ZK863.3,chrV,-,12179488,12181387,12,1,-6.66,0.0067,Sense,ZK863.3,WBGene00014123,Sequence name for WBGene00014123(elpc-3). History: N.A.
ZK994.3,chrV,+,8494872,8502138,22,7,-2.9,0.028,Sense,ZK994.3,WBGene00004256,Sequence name for WBGene00004256(pxn-1). History: N.A.
ZK402.3,chrX,+,1402212,1402856,27,4,-5.62,0.00025,Antisense,ZK402.3,WBGene00022730,Public name for WBGene00022730. History: N.A.
ZK795.2,chrIV,-,12557043,12558928,10,0,-10.86,0.0086,Antisense,ZK795.2,WBGene00014082,Public name for WBGene00014082. History: N.A.
B0001.5,chrIV,-,12141131,12143301,39,17,-2.25,0.023,Antisense,B0001.5,WBGene00007090,Public name for WBGene00007090. History: N.A.
B0047.1,chrII,-,2040368,2041616,54,14,-3.68,0.00014,Antisense,B0047.1,WBGene00015012,Sequence name for WBGene00015012(bath-20). History: N.A.
B0205.5,chrI,+,10740206,10740579,7,0,-8.4,0.02,Antisense,B0205.5,WBGene00015020,Public name for WBGene00015020. History: N.A.
B0212.3,chrIV,+,3540183,3543598,91,31,-2.88,1.7e-06,Antisense,B0212.3,WBGene00015037,Public name for WBGene00015037. History: N.A.
B0261.8,chrI,-,5271330,5272040,15,0,-15.79,0.0008,Antisense,B0261.8,WBGene00015096,Public name for WBGene00015096. History: N.A.
B0281.4,chrII,-,2297938,2298794,37,13,-2.71,0.0091,Antisense,B0281.4,WBGene00015111,Public name for WBGene00015111. History: N.A.
B0284.3,chrIII,-,4379338,4381012,94,54,-1.72,0.018,Antisense,B0284.3,WBGene00007133,Public name for WBGene00007133. History: N.A.
B0303.2,chrIII,+,8684714,8686388,57,27,-2.06,0.0031,Antisense,B0303.2,WBGene00015124,Sequence name for WBGene00015124(anmt-1). History: N.A.
B0304.8,chrII,-,4524621,4527888,54,20,-2.63,0.0025,Antisense,B0304.8,WBGene00005061,Sequence name for WBGene00005061(sra-35). History: N.A.
C01A2.6,chrI,+,13379904,13384359,25,8,-2.85,0.0098,Antisense,C01A2.6,WBGene00007218,Public name for WBGene00007218. History: N.A.
C01G12.1,chrII,+,14573517,14576420,27,9,-2.81,0.0075,Antisense,C01G12.1,WBGene00007242,Sequence name for WBGene00007242(madf-5). History: N.A.
C03A7.2,chrV,+,5181895,5183701,15,4,-3.16,0.029,Antisense,C03A7.2,WBGene00015366,Public name for WBGene00015366. History: N.A.
C04G2.10,chrIV,+,10115361,10118055,84,34,-2.42,4.7e-05,Antisense,C04G2.10,WBGene00007309,Public name for WBGene00007309. History: N.A.
C04G6.1,chrII,+,5104412,5108855,239,139,-1.72,2.1e-06,Antisense,C04G6.1,WBGene00003402,Sequence name for WBGene00003402(mpk-2). History: N.A.
C05H8.1,chrIII,+,5635432,5654487,165,67,-2.44,1.4e-08,Antisense,C05H8.1,WBGene00000518,Sequence name for WBGene00000518(ckk-1). History: N.A.
C07D10.5,chrII,+,7381498,7383414,39,10,-3.68,0.00024,Antisense,C07D10.5,WBGene00015569,Public name for WBGene00015569. History: N.A.
C09G5.7,chrII,+,10714834,10716259,25,7,-3.21,0.0058,Antisense,C09G5.7,WBGene00007489,Public name for WBGene00007489. History: N.A.
C09G9.1,chrIV,-,8862749,8865028,7,0,-8.4,0.028,Antisense,C09G9.1,WBGene00007492,Public name for WBGene00007492. History: N.A.
C12D8.11,chrV,-,10252886,10255018,7,0,-8.4,0.028,Antisense,C12D8.11,WBGene00004405,Sequence name for WBGene00004405(rop-1). History: N.A.
C13B9.4,chrIII,-,6632780,6652023,12,1,-6.66,0.012,Antisense,C13B9.4,WBGene00015735,Sequence name for WBGene00015735(pdfr-1). History: Renamed on 2012-08-29
C15C6.1,chrI,+,12202221,12203645,42,18,-2.26,0.0053,Antisense,C15C6.1,WBGene00007600,Public name for WBGene00007600. History: N.A.
C18D11.2,chrIII,-,11819680,11822396,32,7,-4.13,0.0015,Antisense,C18D11.2,WBGene00007680,Sequence name for WBGene00007680(maa-1). History: N.A.
C23G10.5,chrIII,+,6191054,6192026,7,0,-8.4,0.02,Antisense,C23G10.5,WBGene00016012,Public name for WBGene00016012. History: N.A.
C24A1.2,chrIII,+,688732,715834,30,11,-2.55,0.0092,Antisense,C24A1.2,WBGene00016029,Sequence name for WBGene00016029(elf-1). History: N.A.
C24H12.7,chrII,-,420054,421140,20,5,-3.45,0.02,Antisense,C24H12.7,WBGene00016076,Public name for WBGene00016076. History: N.A.
C27D6.4,chrII,-,5179659,5187553,12,1,-6.66,0.012,Antisense,C27D6.4,WBGene00016162,Sequence name for WBGene00016162(crh-2). History: N.A.
C27F2.1,chrIII,+,4987231,4991359,47,9,-4.78,7.8e-06,Antisense,C27F2.1,WBGene00016165,Sequence name for WBGene00016165(wdr-60). History: N.A.
C30D11.1,chrIII,+,4121436,4147228,64,42,-1.51,0.029,Antisense,C30D11.1,WBGene00006830,Sequence name for WBGene00006830(unc-103). History: N.A.
C30F12.5,chrI,-,6992226,6999570,22,4,-4.64,0.0046,Antisense,C30F12.5,WBGene00016264,Public name for WBGene00016264. History: N.A.
C32B5.6,chrII,+,968411,970525,148,63,-2.33,2.3e-07,Antisense,C32B5.6,WBGene00016299,Public name for WBGene00016299. History: N.A.
C33E10.2,chrX,+,17302666,17303744,39,14,-2.7,0.002,Antisense,C33E10.2,WBGene00016346,Sequence name for WBGene00016346(fbxa-120). History: N.A.
C34C12.1,chrIII,+,3454329,3455835,7,0,-8.4,0.02,Antisense,C34C12.1,WBGene00007920,Public name for WBGene00007920. History: N.A.
C34C12.5,chrIII,+,3471993,3473553,7,0,-8.4,0.02,Antisense,C34C12.5,WBGene00007924,Sequence name for WBGene00007924(rsu-1). History: N.A.
C36E8.3,chrIII,+,4006118,4009939,54,31,-1.73,0.016,Antisense,C36E8.3,WBGene00007982,Sequence name for WBGene00007982(pxd-1). History: N.A.
C38C3.3,chrV,+,1496173,1497943,22,3,-5.8,0.00074,Antisense,C38C3.3,WBGene00016512,"Public name for WBGene00016512. History: Split into C38C3.10(WBGene00045390). History of WBGene00016512: Split into ""WBGene00045390"" on 2007-04-20"
C38D4.7,chrIII,-,4809993,4811125,32,9,-3.3,0.005,Antisense,C38D4.7,WBGene00008007,Public name for WBGene00008007. History: N.A.
C38D9.2,chrV,+,17566405,17571570,44,23,-1.89,0.015,Antisense,C38D9.2,WBGene00008010,Public name for WBGene00008010. History: N.A.
C41A3.1,chrX,+,5413776,5441885,96,36,-2.63,4e-06,Antisense,C41A3.1,WBGene00016558,Sequence name for WBGene00016558(pks-1). History: N.A.
C43H8.2,chrI,+,10622940,10624350,20,4,-4.14,0.0048,Antisense,C43H8.2,WBGene00016622,Sequence name for WBGene00016622(mafr-1). History: N.A.
C44C1.1,chrX,+,980773,983024,20,5,-3.45,0.0094,Antisense,C44C1.1,WBGene00016641,Public name for WBGene00016641. History: N.A.
C44C10.5,chrX,+,11691031,11692379,62,21,-2.85,8.3e-05,Antisense,C44C10.5,WBGene00008086,Public name for WBGene00008086. History: N.A.
C45E1.1,chrI,+,3104363,3109543,17,3,-4.56,0.0057,Antisense,C45E1.1,WBGene00003654,Sequence name for WBGene00003654(nhr-64). History: N.A.
C46C2.3,chrIV,+,9225692,9227759,71,28,-2.5,0.00011,Antisense,C46C2.3,WBGene00008111,Public name for WBGene00008111. History: N.A.
C52B11.2,chrX,+,1300144,1308131,101,37,-2.69,1.6e-06,Antisense,C52B11.2,WBGene00016871,Sequence name for WBGene00016871(inso-1). History: Renamed on 2013-04-16
C52E2.6,chrII,-,1846592,1848156,79,29,-2.66,0.00028,Antisense,C52E2.6,WBGene00016885,Sequence name for WBGene00016885(fbxb-97). History: N.A.
C53A5.13,chrV,+,14546898,14554518,25,5,-4.28,0.0015,Antisense,C53A5.13,WBGene00008270,Public name for WBGene00008270. History: N.A.
D2045.2,chrIII,-,10452605,10460335,52,18,-2.78,0.002,Antisense,D2045.2,WBGene00008422,Sequence name for WBGene00008422(ecps-1). History: N.A.
D2096.3,chrIV,+,8366735,8375329,30,8,-3.4,0.002,Antisense,D2096.3,WBGene00017071,Sequence name for WBGene00017071(aagr-1). History: N.A.
F02H6.4,chrIV,+,14216080,14219276,10,2,-3.62,0.049,Antisense,F02H6.4,WBGene00008537,Public name for WBGene00008537. History: N.A.
F10E7.2,chrII,+,7122180,7124325,37,21,-1.73,0.041,Antisense,F10E7.2,WBGene00017344,Public name for WBGene00017344. History: N.A.
F11D11.12,chrV,-,18749543,18750656,7,0,-8.4,0.028,Antisense,F11D11.12,WBGene00045362,Public name for WBGene00045362. History: N.A.
F13C5.2,chrX,+,593960,596290,37,19,-1.9,0.024,Antisense,F13C5.2,WBGene00017423,Public name for WBGene00017423. History: N.A.
F13H10.5,chrIV,+,10991008,10994107,25,6,-3.66,0.0031,Antisense,F13H10.5,WBGene00008776,Public name for WBGene00008776. History: N.A.
F13H10.9,chrIV,+,11002088,11003771,15,1,-7.9,0.0021,Antisense,F13H10.9,WBGene00045056,Public name for WBGene00045056. History: N.A.
F14D2.9,chrII,-,3352770,3356298,12,2,-4.44,0.031,Antisense,F14D2.9,,Sequence name for Suppressed gene WBGene00017457. Molecular name for Suppressed gene WBGene00017457. Public name for Suppressed gene WBGene00017457. History of WBGene00017457: Killed on 2008-09-11; Suppressed on 2012-11-14. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
F15D4.6,chrII,+,13249115,13249762,30,11,-2.55,0.0092,Antisense,F15D4.6,WBGene00008863,Public name for WBGene00008863. History: N.A.
F18A1.4,chrII,+,7667919,7671832,12,2,-4.44,0.018,Antisense,F18A1.4,WBGene00003045,Sequence name for WBGene00003045(lir-2). History: N.A.
F18A11.2,chrII,+,13032760,13036331,49,17,-2.79,0.00046,Antisense,F18A11.2,WBGene00008929,Public name for WBGene00008929. History: N.A.
F18E2.4,chrV,+,12769246,12770824,47,13,-3.42,0.00012,Antisense,F18E2.4,WBGene00008937,Sequence name for WBGene00008937(srt-43). History: N.A.
F18E9.5,chrX,+,8570989,8575383,20,5,-3.45,0.0094,Antisense,F18E9.5,WBGene00017571,Sequence name for WBGene00017571(jmjd-3.1). History: Renamed on 2016-08-08
F20B6.5,chrX,-,4198585,4199905,22,7,-2.9,0.028,Antisense,F20B6.5,WBGene00017629,Public name for WBGene00017629. History: N.A.
F22H10.4,chrX,-,16684330,16685624,49,20,-2.4,0.0076,Antisense,F22H10.4,WBGene00017729,"Public name for Dead gene WBGene00017728. History of WBGene00017728: Merged into ""WBGene00017729"" on 2014-12-15"
F22H10.5,chrX,-,16686231,16688328,27,9,-2.81,0.019,Antisense,F22H10.5,WBGene00017729,"Public name for WBGene00017729. History: Split into F22H10.11(WBGene00255607). History of WBGene00017729: Split into ""WBGene00255607"" on 2014-12-15"
F26A3.4,chrI,-,7657226,7658274,15,2,-5.26,0.012,Antisense,F26A3.4,WBGene00009142,Public name for WBGene00009142. History: N.A.
F29C12.5,chrII,+,13122945,13124697,116,41,-2.78,1.5e-07,Antisense,F29C12.5,WBGene00009247,Sequence name for WBGene00009247(bath-45). History: N.A.
F31D4.2,chrV,-,20836960,20840934,12,2,-4.44,0.031,Antisense,F31D4.2,WBGene00009290,Public name for WBGene00009290. History: N.A.
F32A5.6,chrII,-,7250151,7251950,17,4,-3.65,0.024,Antisense,F32A5.6,WBGene00004198,Sequence name for WBGene00004198(prx-13). History: N.A.
F33C8.1,chrX,+,14710394,14718699,35,10,-3.23,0.0012,Antisense,F33C8.1,WBGene00006432,Sequence name for WBGene00006432(atrn-1). History: Renamed on 2018-06-07
F33D11.8,chrI,-,5854303,5855050,10,1,-5.43,0.033,Antisense,F33D11.8,WBGene00018005,Sequence name for WBGene00018005(nlp-62). History: N.A.
F33E11.1,chrV,+,320357,323629,163,72,-2.24,1.6e-07,Antisense,F33E11.1,WBGene00003614,Sequence name for WBGene00003614(nhr-15). History: N.A.
F33E2.5,chrI,-,12591113,12592341,35,7,-4.44,0.00068,Antisense,F33E2.5,WBGene00009361,Public name for WBGene00009361. History: N.A.
F37D6.3,chrI,+,10486704,10487313,69,33,-2.06,0.0012,Antisense,F37D6.3,WBGene00009509,Public name for WBGene00009509. History: N.A.
