Gene ID,Public Name,Hyperaccumulator,wt_1,wt_2,wt_3,prg-1_1,prg-1_2,prg-1_3,mut-16_1,mut-16_2,mut-16_3,henn-1_1,henn-1_2,henn-1_3,wt_avg,prg-1_avg,prg-1_fold_change,prg-1_adj_p-value,Input,Suggested Match,History
F33H12.6,F33H12.6,yes,155.68,146.28,131.7,770.92,851.63,876.47,1.45,1.25,8.59,125.94,139.83,137.48,144.55,833.01,5.76,5.05e-101,F33H12.6,,Sequence name for Suppressed gene WBGene00018020. Molecular name for Suppressed gene WBGene00018020. Public name for Suppressed gene WBGene00018020. History of WBGene00018020: N.A.. Remark: This gene was determined to be of Transposon in origin so has been suppressed from the protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
F59H6.5,F59H6.5,yes,176.51,165.56,151.17,863.35,955.81,1020.05,1.45,1.25,9.66,139.04,155.68,151.92,164.41,946.4,5.76,1.16e-101,F59H6.5,,Sequence name for Suppressed gene WBGene00019136. Molecular name for Suppressed gene WBGene00019136. Public name for Suppressed gene WBGene00019136. History of WBGene00019136: N.A.. Remark: This gene was determined to be of Transposon in origin so has been suppressed from the protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
ZC190.8,ZC190.8,yes,62.49,67.82,44.52,261.04,365.85,340.73,7.27,6.24,4.29,112.84,114.92,131.98,58.28,322.54,5.53,5.820000000000001e-32,ZC190.8,WBGene00022542,Public name for WBGene00022542. History: N.A.
Y71A12B.4,trp-4,yes,2801.09,2662.33,3184.84,15126.93,15187.58,17330.12,18.9,23.73,130.97,3378.57,3064.29,3290.61,2882.75,15881.54,5.51,8.28e-05,Y71A12B.4,WBGene00006616,Sequence name for WBGene00006616(trp-4). History: N.A.
Y94H6A.7,Y94H6A.7,yes,201.72,155.59,162.3,1093.92,981.25,752.18,26.17,16.24,33.28,81.53,70.76,61.87,173.21,942.45,5.44,6.26e-44,Y94H6A.7,WBGene00022379,"Public name for WBGene00022379. History: Split into Y94H6A.12(WBGene00050885). History of WBGene00022379: Split into ""WBGene00050885"" on 2007-09-06"
K07E8.7,K07E8.7,yes,632.57,630.34,568.52,3074.55,3207.84,3645.18,484.18,460.84,500.26,629.7,638.56,636.54,610.48,3309.19,5.42,1.2999999999999999e-208,K07E8.7,WBGene00019498,Public name for WBGene00019498. History: N.A.
B0035.9,his-46,yes,161.16,153.6,166.01,801.39,864.95,844.33,116.32,99.91,119.16,161.61,174.36,188.35,160.26,836.89,5.22,1.06e-112,B0035.9,WBGene00001920,Sequence name for WBGene00001920(his-46). History: N.A.
F54E12.3,his-56,yes,161.16,153.6,166.01,801.39,864.95,844.33,116.32,99.91,119.16,161.61,174.36,188.35,160.26,836.89,5.22,1.06e-112,F54E12.3,WBGene00001930,Sequence name for WBGene00001930(his-56). History: N.A.
Y37D8A.8,Y37D8A.8,yes,58.1,63.83,52.86,293.54,295.59,312.87,2.91,0,4.29,9.46,6.23,13.75,58.27,300.67,5.16,3.37e-35,Y37D8A.8,WBGene00012549,Public name for WBGene00012549. History: N.A.
Y55B1BL.1,Y55B1BL.1,yes,97.57,86.44,90.89,404.25,416.73,574.31,2.91,2.5,3.22,56.78,49.82,54.31,91.63,465.1,5.08,1.35e-38,Y55B1BL.1,WBGene00021909,"Public name for WBGene00021909. History: Split into Y55B1BL.2(WBGene00303093). History of WBGene00021909: Split into ""WBGene00303093"" on 2018-03-02"
F23A7.5,F23A7.5,yes,810.18,720.11,670.54,3656.55,3731.18,3767.33,10.18,5,35.43,248.24,267.2,270.84,733.61,3718.35,5.07,1.13e-158,F23A7.5,WBGene00009070,Public name for WBGene00009070. History: N.A.
F23A7.8,F23A7.8,yes,477.99,435.52,473.92,2221.35,2335.62,2421.55,255.9,238.54,276.97,504.49,483.45,501.81,462.48,2326.17,5.03,9.01e-227,F23A7.8,WBGene00044638,Public name for WBGene00044638. History: N.A.
F23A7.4,F23A7.4,yes,378.23,319.83,360.78,1728.73,1721.43,1845.09,187.56,183.59,217.93,391.65,368.53,367.07,352.94,1765.08,5,1.45e-163,F23A7.4,WBGene00009069,Public name for WBGene00009069. History: N.A.
