# Table S1: DESeq2 results of differentially expressed genes in the different states of inheritance (Silencers/non-silencers)
...1,symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Input,Suggested Match,History
WBGene00011699,cyp-34A2,257.3589454,-0.963525775,0.253627403,-3.79898135,0.000145292,0.011526501,cyp-34A2,WBGene00011699,Public name for WBGene00011699. History: N.A.
WBGene00018643,drd-50,317.5230955,-1.027686072,0.197362831,-5.207090239,1.92e-07,6.77e-05,drd-50,WBGene00018643,Public name for WBGene00018643. History: N.A.
WBGene00014173,ZK970.7,1050.172984,-1.077397257,0.222495606,-4.842330494,1.28e-06,0.000259927,ZK970.7,WBGene00014173,Public name for WBGene00014173. History: N.A.
WBGene00045253,F46C3.6,99.19505535,-1.077618064,0.291028573,-3.702791289,0.00021324,0.01460466,F46C3.6,WBGene00045253,Public name for WBGene00045253. History: N.A.
WBGene00044035,F27E5.7,100.3737562,-1.098875087,0.296142515,-3.710629281,0.000206745,0.014366492,F27E5.7,WBGene00044035,Public name for WBGene00044035. History: N.A.
WBGene00194658,R09E10.13,188.0634733,-1.162651868,0.257732246,-4.511084221,6.45e-06,0.000916436,R09E10.13,WBGene00194658,Public name for WBGene00194658. History: N.A.
WBGene00000556,cnc-2,738.4390514,-1.180656166,0.179481052,-6.578166082,4.76e-11,5.04e-08,cnc-2,WBGene00000556,Public name for WBGene00000556. History: N.A.
WBGene00000989,dhs-26,130.6472293,-1.240892438,0.25721765,-4.824289615,1.41e-06,0.000278665,dhs-26,WBGene00000989,Public name for WBGene00000989. History: N.A.
WBGene00016781,C49G7.3,176.2966885,-1.274365663,0.277420456,-4.593625436,4.36e-06,0.000647971,C49G7.3,WBGene00016781,Sequence name for WBGene00016781(phat-7). History: N.A.
WBGene00020674,T22B7.7,600.0762547,-1.293764947,0.182126098,-7.103676865,1.21e-12,1.45e-09,T22B7.7,WBGene00020674,Public name for WBGene00020674. History: N.A.
WBGene00010931,M162.5,45.29390557,-1.307452078,0.416945054,-3.135789872,0.00171392,0.060870299,M162.5,WBGene00010931,Public name for WBGene00010931. History: N.A.
WBGene00044900,cnc-11,86.67900724,-1.382039442,0.383157278,-3.606976877,0.000309785,0.018904844,cnc-11,WBGene00044900,Public name for WBGene00044900. History: N.A.
WBGene00009964,fip-6,273.375504,-1.497286612,0.28898803,-5.181137132,2.21e-07,6.77e-05,fip-6,WBGene00009964,Public name for WBGene00009964. History: N.A.
WBGene00016898,clik-2,47.7938671,-1.507776226,0.416656107,-3.618754656,0.000296024,0.018419278,clik-2,WBGene00016898,Public name for WBGene00016898. History: N.A.
WBGene00017247,F08D12.3,45.49248116,-1.645999604,0.434544975,-3.787869382,0.000151945,0.011954657,F08D12.3,WBGene00017247,"Public name for WBGene00017247. History: Split into F08D12.5(WBGene00043239). History of WBGene00017247: Split into ""WBGene00043239"" on 2014-06-30"
WBGene00008027,scl-5,121.0397278,-1.65515265,0.290296759,-5.701588458,1.19e-08,5.95e-06,scl-5,WBGene00008027,Public name for WBGene00008027. History: N.A.
WBGene00017509,F16B4.7,63.20994747,-1.661085405,0.406539953,-4.085909373,4.39e-05,0.004399694,F16B4.7,WBGene00017509,Public name for WBGene00017509. History: N.A.
WBGene00206464,F59C6.18,34.69904371,-1.711885897,0.440171065,-3.889137734,0.000100601,0.008786437,F59C6.18,WBGene00206464,Public name for WBGene00206464. History: N.A.
WBGene00021529,Y41G9A.5,231.4612952,-1.800075368,0.214720128,-8.383356442,5.14e-17,1.63e-13,Y41G9A.5,WBGene00021529,Public name for WBGene00021529. History: N.A.
WBGene00003551,nas-33,22.47130079,-1.898259513,0.557976677,-3.402040962,0.000668846,0.033989003,nas-33,WBGene00003551,Public name for WBGene00003551. History: N.A.
WBGene00003879,ora-1,642.5015633,-2.116153999,0.624609526,-3.387963059,0.000704137,0.035280993,ora-1,WBGene00003879,Public name for WBGene00003879. History: N.A.
WBGene00016662,C45B2.8,29.34419934,-2.127224079,0.526797934,-4.038026613,5.39e-05,0.005236266,C45B2.8,WBGene00016662,Public name for WBGene00016662. History: N.A.
WBGene00009029,F21H7.3,18.4394147,-2.37611215,0.654012201,-3.633131227,0.000280003,0.017770827,F21H7.3,WBGene00009029,Public name for WBGene00009029. History: N.A.
WBGene00019021,F57H12.6,217.2012517,-3.308843535,0.852528153,-3.881213217,0.000103937,0.008995246,F57H12.6,WBGene00019021,Public name for WBGene00019021. History: N.A.
