# Supplemental Table S5 - Abundance of 22G-RNAs for loci targeted by alg-3; alg-4 dependent 26G-RNAs
# Reads Wild type = number of reads antisense to and overlaping exon-exon juntions of the indicated gene, normalized to the number of times each sequence perfectly matches the genome.
# Reads Wild type - norm = reads per million, excluding reads considered to be degradation products
# Reads alg-3; alg-4 double mutant = number of reads antisense to and overlaping exon-exon juntions of the indicated gene, normalized to the number of times each sequence perfectly matches the genome.
# Reads alg-3; alg-4 double mutant - norm = reads per million, excluding reads considered to be degradation products
# RATIO is calculated as (alg-3; alg-4) / ((alg-3;alg-4)+Wild type)
Gene,Gene ID,Reads Wild type,Reads wild type - norm,Reads alg-3; alg-4,Reads alg-3; alg-4 - norm,RATIO,Input,Suggested Match,History
Y71H2AM.5,Y71H2AM.5,47.0,18.88868616,20.0,8.834027614,0.318656669,Y71H2AM.5,WBGene00022170,Sequence name for WBGene00022170(cox-6B). History: N.A.
ZK1248.5,ZK1248.5,103.0,41.39435477,16.0,7.067222091,0.145831451,ZK1248.5,WBGene00022876,Public name for WBGene00022876. History: N.A.
Y53G8B.4,Y53G8B.4,47.0,18.88868616,12.0,5.300416569,0.21912415,Y53G8B.4,WBGene00021820,Sequence name for WBGene00021820(nipa-1). History: N.A.
K05F1.1,K05F1.1,120.0,48.22643275,79.0,34.89440908,0.419803365,K05F1.1,WBGene00019405,Public name for WBGene00019405. History: N.A.
W02D7.4,W02D7.4,56.0,22.50566862,2.0,0.883402761,0.037769895,W02D7.4,WBGene00020940,Public name for WBGene00020940. History: N.A.
pgl-3,C18G1.4,91.0,36.5717115,91.0,40.19482565,0.523598265,pgl-3,WBGene00003994,Public name for WBGene00003994. History: Renamed on 2005-10-06
Y59E9AR.8,Y59E9AR.8,79.5,31.95001169,13.25,5.852543294,0.154818723,Y59E9AR.8,WBGene00022003,Public name for WBGene00022003. History: N.A.
Y59E9AR.2,Y59E9AR.2,79.5,31.95001169,13.25,5.852543294,0.154818723,Y59E9AR.2,WBGene00021998,Public name for WBGene00021998. History: N.A.
F44E2.10,F44E2.10,70.0,28.13208577,21.0,9.275728995,0.247962332,F44E2.10,WBGene00018423,Public name for WBGene00018423. History: N.A.
H34C03.2,H34C03.2,121.0,48.62831969,58.0,25.61868008,0.345046671,H34C03.2,WBGene00019259,Public name for WBGene00019259. History: N.A.
K07F5.6,K07F5.6,63.0,25.31887719,6.0,2.650208284,0.094754914,K07F5.6,WBGene00010634,Public name for WBGene00010634. History: N.A.
Y38F1A.6,Y38F1A.6,86.0,34.5622768,23.0,10.15913176,0.227164843,Y38F1A.6,WBGene00012608,Sequence name for WBGene00012608(hphd-1). History: N.A.
T06E4.5,T06E4.5,69.0,27.73019883,12.0,5.300416569,0.16046981,T06E4.5,WBGene00011533,Public name for WBGene00011533. History: N.A.
plk-1,C14B9.4,202.0,81.18116179,143.0,63.16329744,0.437587267,plk-1,WBGene00004042,Public name for WBGene00004042. History: N.A.
R148.7,R148.7,59.0,23.71132943,1.0,0.441701381,0.018287617,R148.7,WBGene00020105,Public name for WBGene00020105. History: N.A.
Y46H3D.1,Y46H3D.1,139.0,55.8622846,91.0,40.19482565,0.418447167,Y46H3D.1,WBGene00021608,Public name for WBGene00021608. History: N.A.
C33F10.12,C33F10.12,75.0,30.14152047,13.0,5.742117949,0.160020505,C33F10.12,WBGene00016358,Public name for WBGene00016358. History: N.A.
C55A6.4,C55A6.4,65.0,26.12265107,17.0,7.508923472,0.223270054,C55A6.4,WBGene00008333,Public name for WBGene00008333. History: N.A.
ebp-2,VW02B12L.3,87.0,34.96416374,31.0,13.6927428,0.281414167,ebp-2,WBGene00012156,Public name for WBGene00012156. History: N.A.
F58E6.5,F58E6.5,91.0,36.5717115,12.0,5.300416569,0.126585794,F58E6.5,WBGene00010254,Public name for WBGene00010254. History: N.A.
C06A8.6,C06A8.6,68.0,27.32831189,21.0,9.275728995,0.253407241,C06A8.6,WBGene00015516,Public name for WBGene00015516. History: N.A.
T02G5.12,T02G5.12,66.0,26.52453801,41.0,18.10975661,0.405736368,T02G5.12,WBGene00020168,Sequence name for WBGene00020168(mct-5). History: N.A.
crt-1,Y38A10A.5,195.0,78.36795321,149.5,66.03435642,0.457294323,crt-1,WBGene00000802,Public name for WBGene00000802. History: N.A.
T12A2.2,T12A2.2,151.0,60.68492787,113.0,49.91225602,0.451297712,T12A2.2,WBGene00020437,Sequence name for WBGene00020437(stt-3). History: N.A.
Y71H2AM.4,Y71H2AM.4,55.0,22.10378168,26.0,11.4842359,0.341914669,Y71H2AM.4,WBGene00022169,Public name for WBGene00022169. History: N.A.
B0261.5,B0261.5,56.0,22.50566862,6.0,2.650208284,0.105351457,B0261.5,WBGene00015093,Public name for WBGene00015093. History: N.A.
F58D5.7,F58D5.7,51.0,20.49623392,8.0,3.533611046,0.14705093,F58D5.7,WBGene00010246,Public name for WBGene00010246. History: N.A.
tag-174,F54D8.2,60.0,24.11321637,6.0,2.650208284,0.099023511,tag-174,WBGene00006519,Other name for WBGene00006519(cox-6A). History: Renamed on 2017-09-05
ufd-2,T05H10.5,143.0,57.46983236,117.0,51.67906154,0.473473067,ufd-2,WBGene00006734,Public name for WBGene00006734. History: N.A.
Y57E12AL.1,Y57E12AL.1,60.0,24.11321637,17.0,7.508923472,0.237457791,Y57E12AL.1,WBGene00021956,Public name for WBGene00021956. History: N.A.
R10D12.10,R10D12.10,74.0,29.73963353,15.0,6.625520711,0.182194214,R10D12.10,WBGene00011191,Public name for WBGene00011191. History: N.A.
icd-1,C56C10.8,86.0,34.5622768,37.0,16.34295109,0.321046615,icd-1,WBGene00002045,Public name for WBGene00002045. History: N.A.
abt-1,C24F3.5,77.0,30.94529435,35.0,15.45954833,0.333145151,abt-1,WBGene00000019,Public name for WBGene00000019. History: N.A.
F09F7.4,F09F7.4,52.0,20.89812086,22.0,9.717430376,0.317401777,F09F7.4,WBGene00017301,Sequence name for WBGene00017301(hach-1). History: N.A.
T05H10.6,T05H10.6,63.0,25.31887719,24.0,10.60083314,0.295125797,T05H10.6,WBGene00011510,Sequence name for WBGene00011510(pdha-1). History: N.A.
K11C4.1,K11C4.1,118.5,47.62360234,7.0,3.091909665,0.060965759,K11C4.1,WBGene00019642,Public name for WBGene00019642. History: N.A.
ubc-18,R01H2.6,81.0,32.5528421,20.0,8.834027614,0.213450007,ubc-18,WBGene00006713,Public name for WBGene00006713. History: N.A.
C04G2.5,C04G2.5,66.0,26.52453801,14.0,6.18381933,0.189059306,C04G2.5,WBGene00007306,Public name for WBGene00007306. History: N.A.
C25G4.8,C25G4.8,160.0,64.30191033,87.25,38.53844547,0.374740491,C25G4.8,WBGene00007735,Public name for WBGene00007735. History: N.A.
C26C6.6,C26C6.6,47.5,19.08962963,7.0,3.091909665,0.139391123,C26C6.6,WBGene00007740,Public name for WBGene00007740. History: N.A.
Y25C1A.13,Y25C1A.13,51.0,20.49623392,4.0,1.766805523,0.079360481,Y25C1A.13,WBGene00021296,Public name for WBGene00021296. History: N.A.
R03D7.5,R03D7.5,50.5,20.29529045,18.0,7.950624853,0.281478747,R03D7.5,WBGene00010991,Sequence name for WBGene00010991(gskl-1). History: N.A.
Y66D12A.3,Y66D12A.3,84.0,33.75850292,53.0,23.41017318,0.409493009,Y66D12A.3,WBGene00013429,Public name for WBGene00013429. History: N.A.
C35D10.8,C35D10.8,59.0,23.71132943,9.0,3.975312426,0.143582326,C35D10.8,WBGene00016445,Public name for WBGene00016445. History: N.A.
M05D6.1,M05D6.1,54.0,21.70189474,10.5,4.637864498,0.17607847,M05D6.1,WBGene00010874,Public name for WBGene00010874. History: N.A.
F25H5.7,F25H5.7,62.0,24.91699025,18.5,8.171475543,0.246958429,F25H5.7,WBGene00009129,Public name for WBGene00009129. History: N.A.
rpl-25.2,F52B5.6,51.0,20.49623392,10.0,4.417013807,0.177295785,rpl-25.2,WBGene00004439,Public name for WBGene00004439. History: N.A.
F02E9.9,F02E9.9,66.0,26.52453801,27.0,11.92593728,0.310163585,F02E9.9,WBGene00008532,Sequence name for WBGene00008532(dpt-1). History: N.A.
T06D8.9,T06D8.9,80.0,32.15095516,21.0,9.275728995,0.223907107,T06D8.9,WBGene00011529,Public name for WBGene00011529. History: N.A.
