Ubiquitous genes,Input,Suggested Match,History
D2007.5,D2007.5,WBGene00017045,Sequence name for WBGene00017045(atg-13). History: Renamed on 2010-05-28
D2013.5,D2013.5,WBGene00001134,Sequence name for WBGene00001134(eat-3). History: N.A.
D2013.6,D2013.6,WBGene00008404,Sequence name for WBGene00008404(wbp-2). History: N.A.
D2013.7,D2013.7,WBGene00001229,Sequence name for WBGene00001229(eif-3.F). History: N.A.
D2013.9,D2013.9,WBGene00008405,Sequence name for WBGene00008405(ttll-12). History: Renamed on 2007-05-29
D2021.1,D2021.1,WBGene00017046,Sequence name for WBGene00017046(utx-1). History: N.A.
D2023.2,D2023.2,WBGene00004258,Sequence name for WBGene00004258(pyc-1). History: N.A.
D2023.5,D2023.5,WBGene00008409,Sequence name for WBGene00008409(mpst-1). History: N.A.
D2024.5,D2024.5,WBGene00017053,Public name for WBGene00017053. History: N.A.
D2024.6,D2024.6,WBGene00000292,Sequence name for WBGene00000292(cap-1). History: N.A.
D2030.1,D2030.1,WBGene00008411,Sequence name for WBGene00008411(mans-1). History: N.A.
D2030.11,D2030.11,WBGene00008420,Public name for WBGene00008420. History: N.A.
D2030.4,D2030.4,WBGene00008414,Public name for WBGene00008414. History: N.A.
D2030.6,D2030.6,WBGene00004178,"Sequence name for WBGene00004178(prg-1). History: N.A.. Public name for Dead gene WBGene00008416. History of WBGene00008416: Merged into ""WBGene00004178"" on 2007-11-05"
D2030.9,D2030.9,WBGene00008419,Sequence name for WBGene00008419(wdr-23). History: Renamed on 2010-10-01
D2045.1,D2045.1,WBGene00000231,Sequence name for WBGene00000231(atx-2). History: N.A.
D2045.6,D2045.6,WBGene00000836,Sequence name for WBGene00000836(cul-1). History: N.A.
D2045.7,D2045.7,WBGene00008424,Public name for WBGene00008424. History: N.A.
D2085.1,D2085.1,WBGene00004259,Sequence name for WBGene00004259(pyr-1). History: N.A.
D2085.4,D2085.4,WBGene00008429,Sequence name for WBGene00008429(etc-1). History: N.A.
D2089.1,D2089.1,WBGene00004704,Sequence name for WBGene00004704(rsp-7). History: N.A.
D2089.3,D2089.3,WBGene00008434,"Public name for WBGene00008434. History: Split into D2089.8(WBGene00271706). History of WBGene00008434: Split into ""WBGene00271706"" on 2017-04-28"
D2089.5,D2089.5,WBGene00001522,Sequence name for WBGene00001522(gbh-1). History: N.A.
D2096.4,D2096.4,WBGene00005019,Sequence name for WBGene00005019(sqv-1). History: N.A.
D2096.7,D2096.7,WBGene00017074,Public name for WBGene00017074. History: N.A.
D2096.8,D2096.8,WBGene00017075,Sequence name for WBGene00017075(nap-1). History: Renamed on 2013-01-09
DC2.3,DC2.3,WBGene00017080,Sequence name for WBGene00017080(lec-12). History: N.A.
DY3.1,DY3.1,WBGene00006574,Sequence name for WBGene00006574(tin-13). History: N.A.
DY3.2,DY3.2,WBGene00003052,Sequence name for WBGene00003052(lmn-1). History: N.A.
DY3.7,DY3.7,WBGene00006324,Sequence name for WBGene00006324(sup-17). History: N.A.
E01A2.1,E01A2.1,WBGene00017084,Public name for WBGene00017084. History: N.A.
E01A2.4,E01A2.4,WBGene00002696,"Sequence name for WBGene00002696(let-504). History: N.A.. Public name for Dead gene WBGene00017086. History of WBGene00017086: Merged into ""WBGene00002696"" on 2012-02-07"
E01A2.6,E01A2.6,WBGene00017088,Sequence name for WBGene00017088(akir-1). History: N.A.
E02A10.1,E02A10.1,WBGene00008452,Sequence name for WBGene00008452(mrps-5). History: N.A.
E02D9.1,E02D9.1,WBGene00017098,"Sequence name for WBGene00017098(mek-5). History: Split into E02D9.3(WBGene00304811). History of WBGene00017098: Split into ""WBGene00304811"" on 2019-05-20"
E02H1.1,E02H1.1,WBGene00008455,Public name for WBGene00008455. History: N.A.
E02H1.5,E02H1.5,WBGene00008457,Public name for WBGene00008457. History: N.A.
E02H4.3,E02H4.3,WBGene00006517,"Sequence name for WBGene00006517(madd-3). History: Renamed on 2014-04-28. Public name for Dead gene WBGene00008461. History of WBGene00008461: Merged into ""WBGene00006517"" on 2005-10-05"
E04A4.7,E04A4.7,WBGene00017121,Sequence name for WBGene00017121(cyc-2.1). History: N.A.
E04A4.8,E04A4.8,WBGene00004432,Sequence name for WBGene00004432(rpl-20). History: N.A.
E04D5.1,E04D5.1,WBGene00008480,Sequence name for WBGene00008480(eif-2A). History: N.A.
E04F6.5,E04F6.5,WBGene00017125,Sequence name for WBGene00017125(acdh-12). History: N.A.
EEED8.10,EEED8.10,WBGene00017138,Public name for WBGene00017138. History: N.A.
EEED8.15,EEED8.15,WBGene00017143,Public name for WBGene00017143. History: N.A.
EEED8.8,EEED8.8,WBGene00003583,Sequence name for WBGene00003583(ndx-6). History: N.A.
EEED8.9,EEED8.9,WBGene00017137,Sequence name for WBGene00017137(pink-1). History: N.A.
F01F1.1,F01F1.1,WBGene00017158,Sequence name for WBGene00017158(hpo-10). History: N.A.
F01F1.12,F01F1.12,WBGene00017166,Sequence name for WBGene00017166(aldo-2). History: N.A.
F01F1.6,F01F1.6,WBGene00000115,Sequence name for WBGene00000115(alh-9). History: N.A.
F01F1.7,F01F1.7,WBGene00017162,Sequence name for WBGene00017162(ddx-23). History: N.A.
F01F1.8,F01F1.8,WBGene00000381,Sequence name for WBGene00000381(cct-6). History: N.A.
F01F1.9,F01F1.9,WBGene00017163,Sequence name for WBGene00017163(dnpp-1). History: N.A.
F01G10.1,F01G10.1,WBGene00008506,Sequence name for WBGene00008506(tkt-1). History: N.A.
F01G12.6,F01G12.6,WBGene00020770,"Public name for Dead gene WBGene00017171. History of WBGene00017171: Merged into ""WBGene00020770"" on 2013-07-17"
F01G4.1,F01G4.1,WBGene00004204,Sequence name for WBGene00004204(swsn-4). History: Renamed on 2011-02-11
F01G4.2,F01G4.2,WBGene00000181,Sequence name for WBGene00000181(ard-1). History: N.A.
F01G4.6,F01G4.6,WBGene00008505,Public name for WBGene00008505. History: N.A.
F02A9.2,F02A9.2,WBGene00001385,Sequence name for WBGene00001385(far-1). History: N.A.
F02A9.4,F02A9.4,WBGene00008514,"Sequence name for WBGene00008514(mrpl-44). History: Split into mccc-2(WBGene00303021). History of WBGene00008514: Split into ""WBGene00303021"" on 2018-03-06"
F02E8.1,F02E8.1,WBGene00000207,Sequence name for WBGene00000207(asb-2). History: N.A.
F02E8.3,F02E8.3,WBGene00000157,Sequence name for WBGene00000157(aps-2). History: N.A.
F02E9.10,F02E9.10,WBGene00008533,Public name for WBGene00008533. History: N.A.
F02E9.9,F02E9.9,WBGene00008532,Sequence name for WBGene00008532(dpt-1). History: N.A.
F02H6.5,F02H6.5,WBGene00008538,Sequence name for WBGene00008538(sqrd-1). History: N.A.
F07A11.2,F07A11.2,WBGene00008546,Sequence name for WBGene00008546(gfat-1). History: N.A.
F07A5.7,F07A5.7,WBGene00006754,Sequence name for WBGene00006754(unc-15). History: N.A.
F07C6.4,F07C6.4,WBGene00008555,Public name for WBGene00008555. History: N.A.
F07D10.1,F07D10.1,WBGene00004423,Sequence name for WBGene00004423(rpl-11.2). History: N.A.
F07E5.5,F07E5.5,WBGene00017210,Public name for WBGene00017210. History: N.A.
F08B1.1,F08B1.1,WBGene00006923,Sequence name for WBGene00006923(vhp-1). History: N.A.
F08B4.5,F08B4.5,WBGene00017237,Sequence name for WBGene00017237(pole-2). History: N.A.
F08B4.7,F08B4.7,WBGene00017238,Sequence name for WBGene00017238(snrp-3). History: N.A.
F08B6.2,F08B6.2,WBGene00001682,Sequence name for WBGene00001682(gpc-2). History: N.A.
F08B6.3,F08B6.3,WBGene00017240,Sequence name for WBGene00017240(calu-2). History: N.A.
F08B6.4,F08B6.4,WBGene00006819,Sequence name for WBGene00006819(unc-87). History: N.A.
F08C6.2,F08C6.2,WBGene00017241,Sequence name for WBGene00017241(pcyt-1). History: N.A.
F08F1.7,F08F1.7,WBGene00006472,Sequence name for WBGene00006472(tag-123). History: N.A.
F08F8.7,F08F8.7,WBGene00017272,Public name for WBGene00017272. History: N.A.
F08F8.9,F08F8.9,WBGene00017274,Public name for WBGene00017274. History: N.A.
F08G12.2,F08G12.2,WBGene00008586,Sequence name for WBGene00008586(snrp-40.1). History: N.A.
F08G12.5,F08G12.5,WBGene00008588,Public name for WBGene00008588. History: N.A.
F08G2.4,F08G2.4,WBGene00008576,Public name for WBGene00008576. History: N.A.
F09B9.2,F09B9.2,WBGene00006839,Sequence name for WBGene00006839(unc-115). History: N.A.
F09B9.3,F09B9.3,WBGene00001331,Sequence name for WBGene00001331(erd-2.1). History: Renamed on 2018-11-08
F09C8.2,F09C8.2,WBGene00008622,Public name for WBGene00008622. History: N.A.
F09E5.1,F09E5.1,WBGene00004034,Sequence name for WBGene00004034(pkc-3). History: N.A.
F09E5.11,F09E5.11,WBGene00017289,Public name for WBGene00017289. History: N.A.
F09E5.15,F09E5.15,WBGene00006434,Sequence name for WBGene00006434(prdx-2). History: N.A.
F09E5.5,F09E5.5,WBGene00017284,Sequence name for WBGene00017284(sec-6). History: N.A.
F09E5.7,F09E5.7,WBGene00017285,Public name for WBGene00017285. History: N.A.
F09E5.8,F09E5.8,WBGene00017286,Public name for WBGene00017286. History: N.A.
F09E8.2,F09E8.2,WBGene00008624,Sequence name for WBGene00008624(crld-1). History: N.A.
F09F7.2,F09F7.2,WBGene00003371,Sequence name for WBGene00003371(mlc-3). History: N.A.
F09F7.4,F09F7.4,WBGene00017301,Sequence name for WBGene00017301(hach-1). History: N.A.
F09F7.7,F09F7.7,WBGene00017304,Sequence name for WBGene00017304(nmad-1). History: N.A.
F09G2.2,F09G2.2,WBGene00017311,Public name for WBGene00017311. History: N.A.
F09G2.9,F09G2.9,WBGene00017317,Sequence name for WBGene00017317(attf-2). History: N.A.
F09G8.3,F09G8.3,WBGene00017319,Sequence name for WBGene00017319(mrps-9). History: N.A.
F10B5.1,F10B5.1,WBGene00004421,Sequence name for WBGene00004421(rpl-10). History: N.A.
F10C5.1,F10C5.1,WBGene00003134,Sequence name for WBGene00003134(mat-3). History: Renamed on 2006-03-01; Renamed on 2016-01-22
F10D11.1,F10D11.1,WBGene00004931,Sequence name for WBGene00004931(sod-2). History: N.A.
F10E7.5,F10E7.5,WBGene00017347,Public name for WBGene00017347. History: N.A.
F10E7.8,F10E7.8,WBGene00017349,Sequence name for WBGene00017349(farl-11). History: N.A.
F10E9.3,F10E9.3,WBGene00017355,Public name for WBGene00017355. History: N.A.
F10E9.6,F10E9.6,WBGene00003243,Sequence name for WBGene00003243(mig-10). History: N.A.
F10F2.1,F10F2.1,WBGene00004760,"Sequence name for WBGene00004760(sel-2). History: N.A.. Public name for Dead gene WBGene00008653. History of WBGene00008653: Merged into ""WBGene00004760"" on 2007-02-05"
F10G7.1,F10G7.1,WBGene00006497,Sequence name for WBGene00006497(tag-151). History: N.A.
F10G7.11,F10G7.11,WBGene00017374,Sequence name for WBGene00017374(ttr-41). History: N.A.
F10G7.5,F10G7.5,WBGene00017369,Public name for WBGene00017369. History: N.A.
F10G8.3,F10G8.3,WBGene00003803,Sequence name for WBGene00003803(rae-1). History: N.A.
F10G8.7,F10G8.7,WBGene00008665,Sequence name for WBGene00008665(ercc-1). History: N.A.
F11A10.1,F11A10.1,WBGene00008682,Sequence name for WBGene00008682(lex-1). History: N.A.
F11A10.5,F11A10.5,WBGene00008686,Public name for WBGene00008686. History: N.A.
F11A10.6,F11A10.6,WBGene00008687,Public name for WBGene00008687. History: N.A.
F11A10.7,F11A10.7,WBGene00008688,Sequence name for WBGene00008688(rbm-34). History: N.A.
F11A10.8,F11A10.8,WBGene00044329,"Sequence name for WBGene00044329(cpsf-4). History: Renamed on 2008-01-07. Public name for Dead gene WBGene00008689. History of WBGene00008689: Merged into ""WBGene00044329"" on 2006-06-29"
F11C1.1,F11C1.1,WBGene00008690,Public name for WBGene00008690. History: N.A.
F11D5.1,F11D5.1,WBGene00017380,Public name for WBGene00017380. History: N.A.
F11E6.5,F11E6.5,WBGene00001240,Sequence name for WBGene00001240(elo-2). History: N.A.
F11G11.2,F11G11.2,WBGene00001755,Sequence name for WBGene00001755(gst-7). History: N.A.
F11G11.7,F11G11.7,WBGene00001027,Sequence name for WBGene00001027(dnj-9). History: N.A.
F11H8.4,F11H8.4,WBGene00000872,Sequence name for WBGene00000872(cyk-1). History: N.A.
F12F6.1,F12F6.1,WBGene00008720,Public name for WBGene00008720. History: N.A.
F12F6.6,F12F6.6,WBGene00004755,Sequence name for WBGene00004755(sec-24.1). History: N.A.
F13B10.2,F13B10.2,WBGene00004414,Sequence name for WBGene00004414(rpl-3). History: N.A.
F13B12.1,F13B12.1,WBGene00008729,Public name for WBGene00008729. History: N.A.
F13B9.1,F13B9.1,WBGene00017419,Sequence name for WBGene00017419(sec-16A.2). History: N.A.
F13B9.8,F13B9.8,WBGene00001425,Sequence name for WBGene00001425(fis-2). History: N.A.
F13D12.4,F13D12.4,WBGene00000114,Sequence name for WBGene00000114(alh-8). History: N.A.
F13D12.6,F13D12.6,WBGene00008741,Sequence name for WBGene00008741(ctsa-1.2). History: N.A.
F13D12.7,F13D12.7,WBGene00001679,"Sequence name for WBGene00001679(gpb-1). History: Split into F44E5.17(WBGene00303054). History of WBGene00001679: Split into ""WBGene00303054"" on 2018-03-02"
F13E6.1,F13E6.1,WBGene00008745,Public name for WBGene00008745. History: N.A.
F13E6.5,F13E6.5,WBGene00008749,Sequence name for WBGene00008749(plpp-1.3). History: N.A.
F13G3.11,F13G3.11,WBGene00008769,Sequence name for WBGene00008769(mrpl-13). History: N.A.
F13G3.5,F13G3.5,WBGene00008765,Sequence name for WBGene00008765(ttx-7). History: N.A.
F13G3.6,F13G3.6,WBGene00008766,Public name for WBGene00008766. History: N.A.
F13H10.3,F13H10.3,WBGene00008774,Public name for WBGene00008774. History: N.A.
F13H10.4,F13H10.4,WBGene00008775,Sequence name for WBGene00008775(mogs-1). History: N.A.
F13H6.3,F13H6.3,WBGene00017431,Sequence name for WBGene00017431(cest-33). History: N.A.
F13H8.2,F13H8.2,WBGene00017435,Public name for WBGene00017435. History: N.A.
F13H8.7,F13H8.7,WBGene00017440,Sequence name for WBGene00017440(upb-1). History: N.A.
F14B4.1,F14B4.1,WBGene00008779,Public name for WBGene00008779. History: N.A.
F14B4.2,F14B4.2,WBGene00008780,Sequence name for WBGene00008780(hxk-1). History: N.A.
F14B8.2,F14B8.2,WBGene00017445,Sequence name for WBGene00017445(sid-5). History: N.A.
F14D12.2,F14D12.2,WBGene00006826,Sequence name for WBGene00006826(unc-97). History: N.A.
F14E5.2,F14E5.2,WBGene00008800,Public name for WBGene00008800. History: N.A.
F15B10.1,F15B10.1,WBGene00017480,Sequence name for WBGene00017480(nstp-2). History: N.A.
F15C11.2,F15C11.2,WBGene00008852,Sequence name for WBGene00008852(ubql-1). History: N.A.
F15D3.1,F15D3.1,WBGene00001131,Sequence name for WBGene00001131(dys-1). History: N.A.
F15D3.7,F15D3.7,WBGene00008857,Sequence name for WBGene00008857(timm-23). History: N.A.
F15D4.3,F15D4.3,WBGene00008860,Sequence name for WBGene00008860(romo-1). History: Renamed on 2017-02-02
F15G9.1,F15G9.1,WBGene00008865,Public name for WBGene00008865. History: N.A.
F16A11.1,F16A11.1,WBGene00008876,Public name for WBGene00008876. History: N.A.
F16B12.4,F16B12.4,WBGene00008880,Public name for WBGene00008880. History: N.A.
F16B12.6,F16B12.6,WBGene00008882,Public name for WBGene00008882. History: N.A.
F16D3.2,F16D3.2,WBGene00004684,Sequence name for WBGene00004684(rsd-6). History: N.A.
F17A9.4,F17A9.4,WBGene00017536,Public name for WBGene00017536. History: N.A.
F17C11.10,F17C11.10,WBGene00008921,Sequence name for WBGene00008921(ctf-4). History: N.A.
F17C11.9,F17C11.9,WBGene00008920,Sequence name for WBGene00008920(eef-1G). History: N.A.
F18A1.3,F18A1.3,WBGene00003044,Sequence name for WBGene00003044(lir-1). History: Renamed on 2017-04-20; Renamed on 2017-05-11
F18A1.4,F18A1.4,WBGene00003045,Sequence name for WBGene00003045(lir-2). History: N.A.
F18A1.5,F18A1.5,WBGene00017546,Sequence name for WBGene00017546(rpa-1). History: N.A.
F18A11.3,F18A11.3,WBGene00008930,Public name for WBGene00008930. History: N.A.
F18C12.2,F18C12.2,WBGene00004378,Sequence name for WBGene00004378(rme-8). History: N.A.
F18C5.10,F18C5.10,WBGene00017563,Public name for WBGene00017563. History: N.A.
F18E2.2,F18E2.2,WBGene00006512,Sequence name for WBGene00006512(abcf-1). History: N.A.
F18E2.3,F18E2.3,WBGene00004738,Sequence name for WBGene00004738(scc-3). History: N.A.
F18H3.1,F18H3.1,WBGene00008939,Public name for WBGene00008939. History: N.A.
F18H3.3,F18H3.3,WBGene00003903,Sequence name for WBGene00003903(pab-2). History: N.A.
F19B6.1,F19B6.1,WBGene00008948,Public name for WBGene00008948. History: N.A.
F19C6.2,F19C6.2,WBGene00008951,Public name for WBGene00008951. History: N.A.
F19F10.10,F19F10.10,WBGene00017606,Sequence name for WBGene00017606(ets-6). History: N.A.
F20B6.2,F20B6.2,WBGene00006921,Sequence name for WBGene00006921(vha-12). History: N.A.
F20B6.8,F20B6.8,WBGene00001994,"Sequence name for WBGene00001994(hpk-1). History: Split into F20B6.10(WBGene00303101). History of WBGene00001994: Split into ""WBGene00303101"" on 2018-03-06"
F20D1.1,F20D1.1,WBGene00008973,Sequence name for WBGene00008973(flwr-1). History: N.A.
F20D1.10,F20D1.10,WBGene00008980,Sequence name for WBGene00008980(emre-1). History: Renamed on 2014-11-05
F20D1.2,F20D1.2,WBGene00008974,Sequence name for WBGene00008974(tbc-1). History: N.A.
F20D1.3,F20D1.3,WBGene00008975,Public name for WBGene00008975. History: N.A.
F20D6.4,F20D6.4,WBGene00005648,Sequence name for WBGene00005648(srp-7). History: N.A.
F20G4.1,F20G4.1,WBGene00008990,Sequence name for WBGene00008990(smgl-1). History: N.A.
F20G4.3,F20G4.3,WBGene00003777,Sequence name for WBGene00003777(nmy-2). History: N.A.
F20H11.1,F20H11.1,WBGene00017646,Public name for WBGene00017646. History: N.A.
F21C10.10,F21C10.10,WBGene00017659,Public name for WBGene00017659. History: N.A.
F21D5.2,F21D5.2,WBGene00009007,Sequence name for WBGene00009007(otub-3). History: N.A.
F21D5.5,F21D5.5,WBGene00009010,Public name for WBGene00009010. History: N.A.
F21D5.6,F21D5.6,WBGene00009011,Public name for WBGene00009011. History: N.A.
F21D5.7,F21D5.7,WBGene00009012,Public name for WBGene00009012. History: N.A.
F21D5.8,F21D5.8,WBGene00009013,Sequence name for WBGene00009013(mrps-33). History: N.A.
F21F3.6,F21F3.6,WBGene00017675,Public name for WBGene00017675. History: N.A.
F21H12.1,F21H12.1,WBGene00017683,Sequence name for WBGene00017683(rbbp-5). History: Renamed on 2012-12-05
F22B5.10,F22B5.10,WBGene00009045,Public name for WBGene00009045. History: N.A.
F22B5.2,F22B5.2,WBGene00001230,Sequence name for WBGene00001230(eif-3.G). History: N.A.
F22B5.7,F22B5.7,WBGene00006994,Sequence name for WBGene00006994(zyg-9). History: N.A.
F22B5.9,F22B5.9,WBGene00001498,Sequence name for WBGene00001498(fars-3). History: Renamed on 2010-01-29
F22B8.7,F22B8.7,WBGene00009049,Public name for WBGene00009049. History: N.A.
F22D3.2,F22D3.2,WBGene00017699,Sequence name for WBGene00017699(flcn-1). History: N.A.
F22D6.2,F22D6.2,WBGene00009050,Public name for WBGene00009050. History: N.A.
F22D6.3,F22D6.3,WBGene00003815,Sequence name for WBGene00003815(nars-1). History: Renamed on 2010-01-29; Renamed on 2015-03-05
F22D6.5,F22D6.5,WBGene00004186,Sequence name for WBGene00004186(prpf-4). History: Renamed on 2007-02-23; Renamed on 2015-03-05
F22F1.1,F22F1.1,WBGene00001854,Sequence name for WBGene00001854(hil-3). History: Renamed on 2010-11-12
F22F4.2,F22F4.2,WBGene00002125,Sequence name for WBGene00002125(inx-3). History: N.A.
F22G12.4,F22G12.4,WBGene00009064,Public name for WBGene00009064. History: N.A.
F23A7.4,F23A7.4,WBGene00009069,Public name for WBGene00009069. History: N.A.
F23B12.5,F23B12.5,WBGene00009082,Sequence name for WBGene00009082(dlat-1). History: N.A.
F23B12.6,F23B12.6,WBGene00006465,"Sequence name for WBGene00006465(fntb-1). History: Renamed on 2008-09-10; Renamed on 2016-08-02. Public name for Dead gene WBGene00009083. History of WBGene00009083: Merged into ""WBGene00006465"" on 2005-04-20"
F23B12.7,F23B12.7,WBGene00009084,Public name for WBGene00009084. History: N.A.
F23B12.8,F23B12.8,WBGene00000257,Sequence name for WBGene00000257(bmk-1). History: N.A.
F23B2.5,F23B2.5,WBGene00001444,Sequence name for WBGene00001444(flp-1). History: N.A.
F23B2.6,F23B2.6,WBGene00000121,Sequence name for WBGene00000121(aly-2). History: Renamed on 2005-04-27
F23C8.5,F23C8.5,WBGene00017734,Public name for WBGene00017734. History: N.A.
F23C8.6,F23C8.6,WBGene00017735,Sequence name for WBGene00017735(did-2). History: N.A.
F23F1.1,F23F1.1,WBGene00017742,Sequence name for WBGene00017742(nfyc-1). History: N.A.
F23F1.5,F23F1.5,WBGene00017746,Public name for WBGene00017746. History: N.A.
F23F1.8,F23F1.8,WBGene00004504,Sequence name for WBGene00004504(rpt-4). History: N.A.
F23F12.6,F23F12.6,WBGene00004503,Sequence name for WBGene00004503(rpt-3). History: N.A.
F23H11.3,F23H11.3,WBGene00017759,Sequence name for WBGene00017759(sucl-2). History: N.A.
F23H11.5,F23H11.5,WBGene00000263,Public name for WBGene00000263. History: N.A.
F23H12.2,F23H12.2,WBGene00009092,Sequence name for WBGene00009092(tomm-20). History: N.A.
F25B3.6,F25B3.6,WBGene00009103,Sequence name for WBGene00009103(rtfo-1). History: N.A.
F25B4.2,F25B4.2,WBGene00017766,Sequence name for WBGene00017766(peli-1). History: N.A.
F25B4.4,F25B4.4,WBGene00017767,Public name for WBGene00017767. History: N.A.
F25B4.5,F25B4.5,WBGene00017768,Sequence name for WBGene00017768(prp-39). History: N.A.
F25B4.6,F25B4.6,WBGene00017769,Sequence name for WBGene00017769(hmgs-1). History: Renamed on 2005-03-17
F25B5.3,F25B5.3,WBGene00017775,Public name for WBGene00017775. History: N.A.
F25B5.4,F25B5.4,WBGene00006727,Sequence name for WBGene00006727(ubq-1). History: N.A.
F25B5.5,F25B5.5,WBGene00017776,Public name for WBGene00017776. History: N.A.
F25B5.7,F25B5.7,WBGene00017778,Sequence name for WBGene00017778(nono-1). History: Renamed on 2013-07-10
F25D1.1,F25D1.1,WBGene00006460,Sequence name for WBGene00006460(ppm-1.A). History: Renamed on 2011-06-10; Renamed on 2018-05-24
F25D7.1,F25D7.1,WBGene00000843,"Sequence name for WBGene00000843(cup-2). History: Renamed on 2005-08-18; Renamed on 2013-11-18. Public name for Dead gene WBGene00009111. History of WBGene00009111: Merged into ""WBGene00000843"" on 2005-08-18"
F25G6.2,F25G6.2,WBGene00017797,Sequence name for WBGene00017797(symk-1). History: N.A.
F25G6.8,F25G6.8,WBGene00017799,Public name for WBGene00017799. History: N.A.
F25H2.10,F25H2.10,WBGene00004408,Sequence name for WBGene00004408(rla-0). History: Renamed on 2010-03-08
F25H2.11,F25H2.11,WBGene00009122,Sequence name for WBGene00009122(tct-1). History: N.A.
F25H2.12,F25H2.12,WBGene00009123,Public name for WBGene00009123. History: N.A.
F25H2.4,F25H2.4,WBGene00009118,Public name for WBGene00009118. History: N.A.
F25H2.5,F25H2.5,WBGene00009119,Sequence name for WBGene00009119(ndk-1). History: N.A.
F25H2.6,F25H2.6,WBGene00009120,Public name for WBGene00009120. History: N.A.
F25H2.7,F25H2.7,WBGene00009121,Public name for WBGene00009121. History: N.A.
F25H2.9,F25H2.9,WBGene00003926,Sequence name for WBGene00003926(pas-5). History: Renamed on 2009-01-09
F25H5.4,F25H5.4,WBGene00001167,Sequence name for WBGene00001167(eef-2). History: Renamed on 2010-08-03
F25H5.5,F25H5.5,WBGene00009127,Sequence name for WBGene00009127(clsp-1). History: N.A.
F25H9.4,F25H9.4,WBGene00009137,Sequence name for WBGene00009137(bath-39). History: N.A.
F25H9.5,F25H9.5,WBGene00001496,Sequence name for WBGene00001496(frm-10). History: N.A.
F25H9.7,F25H9.7,WBGene00009139,Public name for WBGene00009139. History: N.A.
F26A1.1,F26A1.1,WBGene00017801,Public name for WBGene00017801. History: N.A.
F26A3.1,F26A3.1,WBGene00009140,Public name for WBGene00009140. History: N.A.
F26A3.7,F26A3.7,WBGene00009145,Public name for WBGene00009145. History: N.A.
F26B1.2,F26B1.2,WBGene00017816,Sequence name for WBGene00017816(hrpk-1). History: N.A.
F26D10.3,F26D10.3,WBGene00002005,Sequence name for WBGene00002005(hsp-1). History: N.A.
F26D11.1,F26D11.1,WBGene00017818,"Public name for WBGene00017818. History: Split into F26D11.20(WBGene00302988). History of WBGene00017818: Split into ""WBGene00302988"" on 2018-03-06"
F26D12.1,F26D12.1,WBGene00001439,Sequence name for WBGene00001439(fkh-7). History: N.A.
F26E4.1,F26E4.1,WBGene00006352,Sequence name for WBGene00006352(sur-6). History: N.A.
F26E4.11,F26E4.11,WBGene00009164,Sequence name for WBGene00009164(hrdl-1). History: N.A.
F26E4.8,F26E4.8,WBGene00006528,Sequence name for WBGene00006528(tba-1). History: N.A.
F26E4.9,F26E4.9,WBGene00000371,Sequence name for WBGene00000371(cox-5B). History: Renamed on 2017-09-05
F26F12.7,F26F12.7,WBGene00002637,Sequence name for WBGene00002637(let-418). History: N.A.
F26F2.7,F26F2.7,WBGene00009172,Public name for WBGene00009172. History: N.A.
F26F4.10,F26F4.10,WBGene00004679,Sequence name for WBGene00004679(rars-1). History: Renamed on 2010-01-29
F26F4.13,F26F4.13,WBGene00017832,Sequence name for WBGene00017832(kbp-2). History: N.A.
F26F4.4,F26F4.4,WBGene00017826,Sequence name for WBGene00017826(tag-340). History: N.A.
F26F4.6,F26F4.6,WBGene00017828,Public name for WBGene00017828. History: N.A.
F26F4.9,F26F4.9,WBGene00017829,Public name for WBGene00017829. History: N.A.
F26G5.9,F26G5.9,WBGene00006523,Sequence name for WBGene00006523(tam-1). History: N.A.
F26H11.2,F26H11.2,WBGene00009180,Sequence name for WBGene00009180(nurf-1). History: N.A.
F26H11.5,F26H11.5,WBGene00001371,Sequence name for WBGene00001371(exl-1). History: N.A.
F26H9.2,F26H9.2,WBGene00009174,Public name for WBGene00009174. History: N.A.
F26H9.5,F26H9.5,WBGene00009177,Public name for WBGene00009177. History: N.A.
F26H9.6,F26H9.6,WBGene00004268,Sequence name for WBGene00004268(rab-5). History: N.A.
F27C1.2,F27C1.2,WBGene00017852,Public name for WBGene00017852. History: N.A.
F27C1.7,F27C1.7,WBGene00000230,"Sequence name for WBGene00000230(atp-3). History: N.A.. Public name for Dead gene WBGene00017856. History of WBGene00017856: Merged into ""WBGene00000230"" on 2005-08-31"
F27D4.1,F27D4.1,WBGene00009187,Public name for WBGene00009187. History: N.A.
F27D4.2,F27D4.2,WBGene00009188,"Sequence name for WBGene00009188(lsy-22). History: Split into F27D4.12(WBGene00303056). History of WBGene00009188: Split into ""WBGene00303056"" on 2018-03-02"
F27D4.5,F27D4.5,WBGene00006518,Sequence name for WBGene00006518(bckd-1B). History: Renamed on 2016-11-29
F27D4.7,F27D4.7,WBGene00009191,Public name for WBGene00009191. History: N.A.
F27D9.1,F27D9.1,WBGene00006757,Sequence name for WBGene00006757(unc-18). History: N.A.
F27D9.5,F27D9.5,WBGene00017864,Sequence name for WBGene00017864(pcca-1). History: N.A.
F28A10.6,F28A10.6,WBGene00017874,Sequence name for WBGene00017874(acdh-9). History: N.A.
F28B12.2,F28B12.2,WBGene00001208,Sequence name for WBGene00001208(egl-44). History: N.A.
F28B12.3,F28B12.3,WBGene00017895,Sequence name for WBGene00017895(vrk-1). History: Renamed on 2005-08-19
