geneName,FINN1coIPsiRNA(rpkm),H3K9me3_N2,H3K9me3_nrde2,H3K9me3_nrde4,nrde-2/4 dependent H3K9me,Input,Suggested Match,History
Y46G5A.7,274.0912126,17.88,14.026,7.719,no,Y46G5A.7,WBGene00012899,Public name for WBGene00012899. History: N.A.
kel-1,274.0318921,11.249,19.339,21.235,no,kel-1,WBGene00002184,Public name for WBGene00002184. History: N.A.
H35N09.2,273.7066771,6.131,8.793,5.739,no,H35N09.2,WBGene00019266,Public name for WBGene00019266. History: N.A.
C33A12.7,273.5855542,3.118,3.963,2.501,no,C33A12.7,WBGene00007886,Sequence name for WBGene00007886(ethe-1). History: N.A.
dpy-31,272.7084676,11.755,15.352,9.664,no,dpy-31,WBGene00006592,Public name for WBGene00006592. History: Renamed on 2005-06-13
mdt-11,272.4795203,0.91,2.076,0.953,no,mdt-11,WBGene00007015,Public name for WBGene00007015. History: N.A.
Y71A12B.2,271.4702782,48.919,47.643,45.299,no,Y71A12B.2,WBGene00013500,Public name for WBGene00013500. History: N.A.
F20G2.2,271.418371,3.378,3.586,3.334,no,F20G2.2,WBGene00008986,Public name for WBGene00008986. History: N.A.
Y65B4BL.7,270.6797991,12.774,11.084,20.566,no,Y65B4BL.7,WBGene00022039,Public name for WBGene00022039. History: N.A.
lsm-1,270.6613915,1.04,0.567,0.596,no,lsm-1,WBGene00003076,Public name for WBGene00003076. History: N.A.
flp-16,270.0833165,17.577,11.538,16.846,no,flp-16,WBGene00001459,Public name for WBGene00001459. History: N.A.
T05F1.13,269.3819649,3.297,2.084,2.153,no,T05F1.13,WBGene00011497,Public name for WBGene00011497. History: N.A.
C49C3.6,267.8337151,1.559,1.699,2.739,no,C49C3.6,WBGene00008196,Public name for WBGene00008196. History: N.A.
Y39C12A.9,267.3158904,5.066,5.284,4.525,no,Y39C12A.9,WBGene00012710,Public name for WBGene00012710. History: N.A.
C06A5.4,267.2938124,40.65,5.661,9.465,yes,C06A5.4,,Sequence name for Suppressed gene WBGene00015502. Molecular name for Suppressed gene WBGene00015502. History of WBGene00015502: Suppressed on 2013-10-17. Remark: Map position created from combination of previous interpolated map position (based on known location of sequence) and allele information.  Therefore this is not a genetic map position based on recombination frequencies or genetic experiments.  This was done on advice of the CGC....This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene....Map position created from combination of previous interpolated map position (based on known location of sequence) and allele information. Therefore this is not a genetic map position based on recombination frequencies or genetic experiments. This was done on advice of the CGC.
F22B5.6,267.2403925,4.546,1.51,4.525,no,F22B5.6,WBGene00009044,Public name for WBGene00009044. History: N.A.
gpb-2,267.1051083,6.491,5.748,4.011,no,gpb-2,WBGene00001680,Public name for WBGene00001680. History: Renamed on 2010-12-15
F01D5.10,265.6736875,59.417,53.617,45.18,no,F01D5.10,WBGene00008500,Public name for WBGene00008500. History: N.A.
F45D11.10,265.2379132,47.835,51.179,50.95,no,F45D11.10,WBGene00018456,Sequence name for WBGene00018456(fbxc-39). History: N.A.
F31D5.6,264.584817,30.225,16.284,23.738,no,F31D5.6,WBGene00017949,"Public name for WBGene00017949. History: Split into F31D5.7(WBGene00206414). History of WBGene00017949: Split into ""WBGene00206414"" on 2011-02-28"
T25D3.3,264.4994404,7.996,10.908,14.554,no,T25D3.3,WBGene00020797,Public name for WBGene00020797. History: N.A.
Y43B11AL.1,263.1514606,6.58,7.885,9.437,no,Y43B11AL.1,WBGene00021542,Public name for WBGene00021542. History: N.A.
T13C5.6,263.1130443,2.728,3.963,1.787,no,T13C5.6,WBGene00020486,Public name for WBGene00020486. History: N.A.
skr-21,262.5758823,2.858,0.944,1.787,no,skr-21,WBGene00004827,Public name for WBGene00004827. History: N.A.
C06A5.6,261.3711229,18.183,6.416,7.62,yes,C06A5.6,WBGene00015504,Sequence name for WBGene00015504(simr-1). History: N.A.
atx-3,261.1177813,6.235,4.341,5.715,no,atx-3,WBGene00006446,Public name for WBGene00006446. History: N.A.
T10B11.7,260.7231445,11.262,9.545,12.596,no,T10B11.7,WBGene00020403,Sequence name for WBGene00020403(hrde-4). History: N.A.
lin-40,260.2067666,35.757,89.338,102.24,no,lin-40,WBGene00003025,Public name for WBGene00003025. History: Renamed on 2007-03-01
AC8.10,260.0398299,169.546,104.812,34.108,no,AC8.10,WBGene00043988,Public name for WBGene00043988. History: N.A.
AC8.3,260.0398299,169.546,104.812,34.108,no,AC8.3,WBGene00007075,Public name for WBGene00007075. History: N.A.
Y48C3A.1,259.0614524,6.754,1.699,2.858,yes,Y48C3A.1,WBGene00012985,Public name for WBGene00012985. History: N.A.
T07E3.2,258.3443045,0.91,1.133,2.62,no,T07E3.2,WBGene00020313,Public name for WBGene00020313. History: N.A.
cls-2,258.0836985,4.806,14.152,8.93,no,cls-2,WBGene00000549,Public name for WBGene00000549. History: N.A.
skr-18,257.7677542,3.118,3.02,4.644,no,skr-18,WBGene00018935,Public name for WBGene00018935. History: N.A.
M01F1.6,255.6588542,2.339,1.888,2.501,no,M01F1.6,WBGene00010812,Sequence name for WBGene00010812(mrpl-35). History: N.A.
sid-1,254.7061387,31.78,20.033,29.592,no,sid-1,WBGene00004795,Public name for WBGene00004795. History: Renamed on 2013-10-16
F29B9.12,253.1143769,5.585,7.737,8.453,no,F29B9.12,WBGene00044482,Public name for WBGene00044482. History: N.A.
T03D3.5,252.9477826,17.885,20.292,25.604,no,T03D3.5,WBGene00020183,Public name for WBGene00020183. History: N.A.
Y81G3A.1,251.9274541,10.239,16.322,17.997,no,Y81G3A.1,WBGene00013590,Public name for WBGene00013590. History: N.A.
Y71G12B.23,251.4837053,55.097,42.475,60.96,no,Y71G12B.23,WBGene00022158,"Public name for WBGene00022158. History: Split into Y71G12B.35(WBGene00185098). History of WBGene00022158: Split into ""WBGene00185098"" on 2009-03-13"
mef-2,250.6039508,9.092,9.246,7.739,no,mef-2,WBGene00003182,Public name for WBGene00003182. History: N.A.
K07C5.13,249.3130659,0.391,0.19,0.12,yes,K07C5.13,WBGene00050947,Public name for WBGene00050947. History: N.A.
fbxb-85,248.905315,21.04,3.02,8.93,yes,fbxb-85,WBGene00011267,Public name for WBGene00011267. History: N.A.
Y94H6A.4,248.6780026,64.928,63.798,68.895,no,Y94H6A.4,WBGene00022377,Sequence name for WBGene00022377(gpx-4). History: N.A.
Y57A10A.10,248.4978037,6.267,11.165,16.072,no,Y57A10A.10,WBGene00013255,Sequence name for WBGene00013255(tric-1B.1). History: N.A.
ZK484.3,248.3474247,2.469,1.699,3.93,no,ZK484.3,WBGene00022749,Public name for WBGene00022749. History: N.A.
JC8.11,247.4039396,33.256,10.756,12.985,yes,JC8.11,WBGene00008178,"Public name for Dead gene WBGene00010441. History of WBGene00010441: Merged into ""WBGene00008178"" on 2012-07-16"
hpl-1,247.1368924,2.988,2.643,2.382,no,hpl-1,WBGene00001995,Public name for WBGene00001995. History: N.A.
F09C8.2,246.6283325,44.962,45.148,36.054,no,F09C8.2,WBGene00008622,Public name for WBGene00008622. History: N.A.
mxl-1,246.5590262,1.92,5.066,1.821,no,mxl-1,WBGene00003509,Public name for WBGene00003509. History: N.A.
his-61,245.280451,1.664,3.914,3.885,no,his-61,WBGene00001935,Public name for WBGene00001935. History: N.A.
H39E20.1,245.2172084,5.585,5.284,4.287,no,H39E20.1,WBGene00019267,Public name for WBGene00019267. History: N.A.
wip-1,242.4378991,2.988,5.284,3.096,no,wip-1,WBGene00020094,Public name for WBGene00020094. History: N.A.
F45C12.2,242.3715505,69.741,83.209,59.406,no,F45C12.2,WBGene00018433,Sequence name for WBGene00018433(ceh-82). History: N.A.
pmk-2,241.9107681,8.637,10.284,7.025,no,pmk-2,WBGene00004056,Public name for WBGene00004056. History: N.A.
W10D9.5,241.1993743,4.287,4.529,4.763,no,W10D9.5,WBGene00021133,Sequence name for WBGene00021133(tomm-22). History: N.A.
C27C7.7,239.3838294,33.369,33.334,42.611,no,C27C7.7,WBGene00007769,Public name for WBGene00007769. History: N.A.
T20D4.6,238.3011816,44.847,72.209,44.221,no,T20D4.6,WBGene00020612,Sequence name for WBGene00020612(arrd-22). History: N.A.
W10G11.19,238.2058184,22.39,29.09,27.84,no,W10G11.19,WBGene00021148,Public name for WBGene00021148. History: N.A.
C06H2.7,237.7866915,3.378,2.454,4.287,no,C06H2.7,WBGene00007391,Public name for WBGene00007391. History: N.A.
cya-2,237.6347224,27.49,16.244,18.689,no,cya-2,WBGene00000864,Public name for WBGene00000864. History: N.A.
fbxb-91,237.5975217,15.001,28.397,29.227,no,fbxb-91,WBGene00044692,Public name for WBGene00044692. History: N.A.
Y105E8A.13,237.5645739,126.956,48.317,44.567,yes,Y105E8A.13,WBGene00013673,Public name for WBGene00013673. History: N.A.
C16A11.6,237.3100337,20.412,8.712,10.1,yes,C16A11.6,WBGene00015819,"Sequence name for WBGene00015819(fbxc-44). History: Split into fbxc-43(WBGene00045297). History of WBGene00015819: Split into ""WBGene00045297"" on 2007-02-28"
K08E3.10,236.7826272,46.362,51.975,61.029,no,K08E3.10,WBGene00023451,Sequence name for WBGene00023451(mlc-7). History: N.A.
nhr-58,236.3940266,14.546,6.793,8.612,no,nhr-58,WBGene00003648,Public name for WBGene00003648. History: N.A.
mua-1,236.0883126,10.52,13.963,8.096,no,mua-1,WBGene00003480,Other name for WBGene00003480(klf-3). History: N.A.
F33D11.8,235.5924706,1.321,4.314,2.225,no,F33D11.8,WBGene00018005,Sequence name for WBGene00018005(nlp-62). History: N.A.
F40D4.13,235.4068011,139.027,183.963,128.275,no,F40D4.13,WBGene00009572,Public name for WBGene00009572. History: N.A.
his-41,234.7385631,7.459,9.081,6.791,no,his-41,WBGene00001915,Public name for WBGene00001915. History: N.A.
K11D2.1,232.7603313,41.559,72.076,52.739,no,K11D2.1,WBGene00010768,Public name for WBGene00010768. History: N.A.
Y41C4A.12,232.5797582,9.963,7.105,5.788,no,Y41C4A.12,WBGene00012758,Public name for WBGene00012758. History: N.A.
C34C12.9,232.3280521,9.009,5.834,6.127,no,C34C12.9,WBGene00007928,Public name for WBGene00007928. History: N.A.
Y71A12B.3,232.0452567,55.094,53.02,50.834,no,Y71A12B.3,WBGene00013501,Public name for WBGene00013501. History: N.A.
Y73E7A.5,231.8604847,9.611,4.152,6.311,no,Y73E7A.5,WBGene00022272,Public name for WBGene00022272. History: N.A.
haf-4,231.2396727,269.421,276.12,272.192,no,haf-4,WBGene00001814,Public name for WBGene00001814. History: N.A.
Y71A12B.11,230.4729853,100.78,131.699,89.049,no,Y71A12B.11,WBGene00013508,Public name for WBGene00013508. History: N.A.
fbxb-24,230.2698855,13.14,14.309,17.62,no,fbxb-24,WBGene00013234,Public name for WBGene00013234. History: N.A.
T27B7.6a,230.1407739,11.421,10.095,8.811,no,T27B7.6a,WBGene00020852,Molecule name for WBGene00020852(nhr-228). History: N.A.
gbh-2,230.1057838,2.858,4.341,2.739,no,gbh-2,WBGene00001523,Public name for WBGene00001523. History: N.A.
C25H3.3,230.0311226,1.105,1.51,0.834,no,C25H3.3,WBGene00016112,Public name for WBGene00016112. History: N.A.
nhr-249,229.7404205,1.949,0.944,1.311,no,nhr-249,WBGene00022726,Public name for WBGene00022726. History: N.A.
gst-15,229.6564211,7.241,8.585,11.763,no,gst-15,WBGene00001763,Public name for WBGene00001763. History: N.A.
C27D9.1,229.6034714,7.68,9.824,10.276,no,C27D9.1,WBGene00016163,Public name for WBGene00016163. History: N.A.
C24H10.1,229.1486518,3.507,5.85,4.287,no,C24H10.1,WBGene00016067,Sequence name for WBGene00016067(clc-7). History: N.A.
