# Neuronal-RDE-4-Dependent STGs from whole worms samples. Values shown are DESeq2 fold-change values (Psng-1::rde-4 vs rde-4(-)) for STGs that changed in he P0 generation. NaN in ""F3"" stand for -> Not differentially expressed in F3 (padjusted > 0.1).
genes,P0 Psng-1::rde-4 vs rde-4(-),"[rde-4(-), F3 of Psng-1::rde-4(+/-)] vs rde-4(-)",Input,Suggested Match,History
ugt-52,-0.636962665,,ugt-52,WBGene00018931,Public name for WBGene00018931. History: N.A.
unc-54,-0.636420287,,unc-54,WBGene00006789,Public name for WBGene00006789. History: N.A.
C53D6.8,-0.636315809,,C53D6.8,WBGene00008285,Public name for WBGene00008285. History: N.A.
msra-1,-0.635797867,,msra-1,WBGene00018393,Public name for WBGene00018393. History: N.A.
F11F1.1,-0.635730467,,F11F1.1,WBGene00008714,Public name for WBGene00008714. History: N.A.
Y67D8B.2,-0.634855453,-0.614353751701879,Y67D8B.2,WBGene00022062,Public name for WBGene00022062. History: N.A.
nep-2,-0.634692986,,nep-2,WBGene00020230,"Public name for WBGene00020230. History: Split into T05A8.11(WBGene00303077). History of WBGene00020230: Split into ""WBGene00303077"" on 2018-03-02"
fbxa-148,-0.634530514,,fbxa-148,WBGene00013616,Public name for WBGene00013616. History: N.A.
his-28,-0.634498215,-0.700344041015001,his-28,WBGene00001902,Public name for WBGene00001902. History: N.A.
fbxa-3,-0.633377877,,fbxa-3,WBGene00020363,Public name for WBGene00020363. History: N.A.
F26A3.4,-0.632465224,,F26A3.4,WBGene00009142,Public name for WBGene00009142. History: N.A.
R10F2.5,-0.632350606,,R10F2.5,WBGene00019996,Public name for WBGene00019996. History: N.A.
egl-38,-0.632049014,,egl-38,WBGene00001204,Public name for WBGene00001204. History: N.A.
col-157,-0.632015109,,col-157,WBGene00000730,Public name for WBGene00000730. History: N.A.
Y39G8C.2,-0.631485457,,Y39G8C.2,WBGene00012731,Public name for WBGene00012731. History: N.A.
F56F11.5,-0.63110338,,F56F11.5,WBGene00018992,Sequence name for WBGene00018992(trpl-1). History: N.A.
F13H10.5,-0.630634665,-0.549317361799583,F13H10.5,WBGene00008776,Public name for WBGene00008776. History: N.A.
Y39E4B.6,-0.630319419,,Y39E4B.6,WBGene00012717,Public name for WBGene00012717. History: N.A.
K02D10.2,-0.62808933,,K02D10.2,WBGene00019302,Public name for WBGene00019302. History: N.A.
F52F12.9,-0.627387635,,F52F12.9,WBGene00009942,Public name for WBGene00009942. History: N.A.
ZC404.1,-0.627329816,-0.92307296434266,ZC404.1,WBGene00022601,Public name for WBGene00022601. History: N.A.
hsp-4,-0.626889661,,hsp-4,WBGene00002008,Public name for WBGene00002008. History: N.A.
klf-3,-0.626596776,,klf-3,WBGene00003480,Public name for WBGene00003480. History: N.A.
fbxa-66,-0.624110886,,fbxa-66,WBGene00021865,Public name for WBGene00021865. History: N.A.
F15D4.4,-0.623685701,,F15D4.4,WBGene00008861,Public name for WBGene00008861. History: N.A.
nstp-6,-0.623449656,,nstp-6,WBGene00015038,Public name for WBGene00015038. History: N.A.
Y57A10C.10,-0.622180498,-0.488050871755489,Y57A10C.10,WBGene00013288,Public name for WBGene00013288. History: N.A.
dhhc-2,-0.621342237,,dhhc-2,WBGene00012948,Public name for WBGene00012948. History: N.A.
C23H5.12,-0.620586224,,C23H5.12,WBGene00077523,Public name for WBGene00077523. History: N.A.
pqn-67,-0.619842361,,pqn-67,WBGene00004150,Public name for WBGene00004150. History: N.A.
fmo-3,-0.618892188,,fmo-3,WBGene00001478,Public name for WBGene00001478. History: N.A.
Y66D12A.1,-0.618374997,,Y66D12A.1,WBGene00013427,Public name for WBGene00013427. History: N.A.
W08F4.12,-0.618225726,,W08F4.12,WBGene00021101,Public name for WBGene00021101. History: N.A.
W08A12.2,-0.618140653,,W08A12.2,WBGene00021079,Public name for WBGene00021079. History: N.A.
Y110A7A.4,-0.617231189,-0.636192560008779,Y110A7A.4,WBGene00022455,Sequence name for WBGene00022455(tyms-1). History: Renamed on 2015-03-31
Y39G10AR.11,-0.617190237,-0.475384089291467,Y39G10AR.11,WBGene00021469,Public name for WBGene00021469. History: N.A.
F53G2.3,-0.616063245,,F53G2.3,WBGene00018768,Public name for WBGene00018768. History: N.A.
B0432.1,-0.61505858,,B0432.1,WBGene00015183,Public name for WBGene00015183. History: N.A.
Y102A5C.35,-0.613868144,,Y102A5C.35,WBGene00044220,Public name for WBGene00044220. History: N.A.
T14B4.5,-0.61373407,,T14B4.5,WBGene00020501,"Public name for WBGene00020501. History: Split into T14B4.20(WBGene00303080). History of WBGene00020501: Split into ""WBGene00303080"" on 2018-03-02"
H42K12.3,-0.610142473,,H42K12.3,WBGene00019272,Public name for WBGene00019272. History: N.A.
cdh-3,-0.60921873,,cdh-3,WBGene00000395,Public name for WBGene00000395. History: N.A.
Y38E10A.20,-0.608071504,,Y38E10A.20,WBGene00004347,"Public name for Dead gene WBGene00012598. History of WBGene00012598: Merged into ""WBGene00004347"" on 2019-11-21"
W04A8.4,-0.605482936,,W04A8.4,WBGene00012239,Public name for WBGene00012239. History: N.A.
F26B1.2,-0.603890901,,F26B1.2,WBGene00017816,Sequence name for WBGene00017816(hrpk-1). History: N.A.
ZK1010.5,-0.603493002,,ZK1010.5,WBGene00014179,Public name for WBGene00014179. History: N.A.
nrf-6,-0.602723487,,nrf-6,WBGene00003813,Public name for WBGene00003813. History: N.A.
Y49E10.29,-0.59650978,,Y49E10.29,WBGene00045239,Public name for WBGene00045239. History: N.A.
bre-2,-0.592752588,,bre-2,WBGene00000267,Public name for WBGene00000267. History: N.A.
fbxa-4,-0.592677031,,fbxa-4,WBGene00044672,Public name for WBGene00044672. History: N.A.
F48G7.2,-0.591787627,,F48G7.2,WBGene00018614,Sequence name for WBGene00018614(pals-31). History: N.A.
gon-1,-0.591190417,,gon-1,WBGene00001650,Public name for WBGene00001650. History: N.A.
F59A3.1,-0.582735663,,F59A3.1,WBGene00019074,Sequence name for WBGene00019074(cpd-1). History: N.A.
ZK177.1,-0.580947009,,ZK177.1,WBGene00022669,Public name for WBGene00022669. History: N.A.
T26F2.2,-0.58069425,,T26F2.2,WBGene00012058,"Public name for WBGene00012058. History: Split into eol-1(WBGene00045401). History of WBGene00012058: Split into ""WBGene00045401"" on 2007-04-27"
sra-28,-0.579250207,,sra-28,WBGene00005054,Public name for WBGene00005054. History: N.A.
Y38E10A.28,-0.578978248,,Y38E10A.28,WBGene00044034,"Public name for WBGene00044034. History: Split into Y38E10A.34(WBGene00304775). History of WBGene00044034: Split into ""WBGene00304775"" on 2019-03-13"
acc-4,-0.577250566,,acc-4,WBGene00012099,Public name for WBGene00012099. History: N.A.
F15D3.8,-0.575384824,,F15D3.8,WBGene00008858,Sequence name for WBGene00008858(pals-1). History: N.A.
fbxa-53,-0.571308663,,fbxa-53,WBGene00017226,Public name for WBGene00017226. History: N.A.
F45D11.5,-0.57073894,,F45D11.5,WBGene00018452,Public name for WBGene00018452. History: N.A.
W04G5.8,-0.570570078,,W04G5.8,WBGene00012268,Public name for WBGene00012268. History: N.A.
F53G12.8,-0.569525498,,F53G12.8,WBGene00018773,Public name for WBGene00018773. History: N.A.
T25D10.4,-0.569147224,,T25D10.4,WBGene00020801,Public name for WBGene00020801. History: N.A.
F29B9.12,-0.568035798,,F29B9.12,WBGene00044482,Public name for WBGene00044482. History: N.A.
F13A2.4,-0.567494101,-0.6321923174196799,F13A2.4,WBGene00017413,Public name for WBGene00017413. History: N.A.
M117.7,-0.564656897,,M117.7,WBGene00044768,Public name for WBGene00044768. History: N.A.
unc-53,-0.562914573,,unc-53,WBGene00006788,Public name for WBGene00006788. History: N.A.
fbxa-118,-0.561021997,,fbxa-118,WBGene00010934,Public name for WBGene00010934. History: Split into fbxa-194(WBGene00044655). History of WBGene00010934: N.A.
B0238.12,-0.560594636,,B0238.12,WBGene00015076,Public name for WBGene00015076. History: N.A.
fbxa-194,-0.559441351,,fbxa-194,WBGene00044655,Public name for WBGene00044655. History: N.A.
sre-36,-0.556016974,,sre-36,WBGene00008728,Public name for WBGene00008728. History: N.A.
ZC404.2,-0.555513764,,ZC404.2,WBGene00043952,Public name for WBGene00043952. History: Killed on 2004-10-04; Resurrected on 2010-07-09
T13H5.6,-0.555061179,,T13H5.6,WBGene00011760,Public name for WBGene00011760. History: N.A.
W04G5.3,-0.553785192,,W04G5.3,WBGene00012264,Public name for WBGene00012264. History: N.A.
pes-4,-0.552488376,,pes-4,WBGene00003978,Public name for WBGene00003978. History: N.A.
nhr-221,-0.551200709,,nhr-221,WBGene00020748,Public name for WBGene00020748. History: N.A.
nit-1,-0.54894297,,nit-1,WBGene00014206,Public name for WBGene00014206. History: N.A.
Y32H12A.6,-0.547678484,,Y32H12A.6,WBGene00021314,Public name for WBGene00021314. History: N.A.
K01C8.2,-0.547574093,,K01C8.2,WBGene00010457,Public name for WBGene00010457. History: N.A.
ZK632.9,-0.545435889,,ZK632.9,WBGene00014016,Public name for WBGene00014016. History: N.A.
ida-1,-0.544921072,,ida-1,WBGene00002048,Public name for WBGene00002048. History: N.A.
F52G3.4,-0.542995773,,F52G3.4,WBGene00018712,Public name for WBGene00018712. History: N.A.
T08D2.1,-0.537722822,,T08D2.1,WBGene00011606,Sequence name for WBGene00011606(tmed-12). History: N.A.
nhr-121,-0.537489913,,nhr-121,WBGene00003711,Public name for WBGene00003711. History: N.A.
K04D7.4,-0.53723976,,K04D7.4,WBGene00010558,Sequence name for WBGene00010558(ptp-4). History: N.A.
Y71F9B.13,-0.536326052,,Y71F9B.13,WBGene00022131,Public name for WBGene00022131. History: N.A.
srt-19,-0.535929187,,srt-19,WBGene00018552,Public name for WBGene00018552. History: N.A.
arrd-7,-0.535571581,,arrd-7,WBGene00012464,Public name for WBGene00012464. History: N.A.
K02E2.9,-0.534971125,,K02E2.9,WBGene00077670,Public name for WBGene00077670. History: N.A.
srh-87,-0.533247585,,srh-87,WBGene00005308,Public name for WBGene00005308. History: N.A.
T11F9.10,-0.532400067,,T11F9.10,WBGene00011712,Public name for WBGene00011712. History: N.A.
nhr-146,-0.531801505,,nhr-146,WBGene00045255,Public name for WBGene00045255. History: N.A.
F10E9.2,-0.529340949,-1.20614035508599,F10E9.2,WBGene00017354,Public name for WBGene00017354. History: N.A.
lon-8,-0.527561652,,lon-8,WBGene00013352,Public name for WBGene00013352. History: N.A.
exc-9,-0.524175862,-1.26335699512703,exc-9,WBGene00017644,Public name for WBGene00017644. History: Renamed on 2005-07-22
T22B11.3,-0.524098465,,T22B11.3,WBGene00020678,"Public name for Dead gene WBGene00020677. History of WBGene00020677: Merged into ""WBGene00020678"" on 2016-10-20"
ZK1055.7,-0.521084689,,ZK1055.7,WBGene00022848,Public name for WBGene00022848. History: N.A.
col-85,-0.519164374,,col-85,WBGene00000660,Public name for WBGene00000660. History: N.A.
Y61A9LA.4,-0.516518198,-0.5751886694590769,Y61A9LA.4,WBGene00022016,Public name for WBGene00022016. History: N.A.
F57B10.9,-0.514452432,,F57B10.9,WBGene00019006,Sequence name for WBGene00019006(spg-20). History: N.A.
gei-1,-0.513782852,,gei-1,WBGene00001559,Public name for WBGene00001559. History: N.A.
C05D2.8,-0.511724501,,C05D2.8,WBGene00015469,Public name for WBGene00015469. History: N.A.
C34C12.12,-0.510085299,,C34C12.12,WBGene00219295,Public name for WBGene00219295. History: N.A.
nhr-101,-0.510070652,,nhr-101,WBGene00003691,Public name for WBGene00003691. History: N.A.
Y77E11A.8,-0.509460109,,Y77E11A.8,WBGene00022311,Public name for WBGene00022311. History: N.A.
his-50,-0.507374618,-0.638724001859099,his-50,WBGene00001924,Public name for WBGene00001924. History: N.A.
fbxa-139,-0.506737602,,fbxa-139,WBGene00007164,Public name for WBGene00007164. History: N.A.
T28D6.4,-0.506721256,,T28D6.4,WBGene00012124,Public name for WBGene00012124. History: N.A.
F53G12.4,-0.506677269,,F53G12.4,WBGene00018772,Public name for WBGene00018772. History: N.A.
lag-2,-0.506005047,,lag-2,WBGene00002246,Public name for WBGene00002246. History: N.A.
Y71G12B.17,-0.503424664,,Y71G12B.17,WBGene00022155,Public name for WBGene00022155. History: N.A.
Y82E9BL.19,-0.501990021,,Y82E9BL.19,WBGene00194735,Public name for WBGene00194735. History: N.A.
Y75B8A.33,-0.501859153,-0.5626952353748729,Y75B8A.33,WBGene00013563,Public name for WBGene00013563. History: N.A.
ZK945.4,-0.501785509,,ZK945.4,WBGene00014166,Public name for WBGene00014166. History: N.A.
VH15N14R.1,-0.501604875,,VH15N14R.1,WBGene00012151,Public name for WBGene00012151. History: N.A.
dcar-1,-0.499969185,,dcar-1,WBGene00007395,Public name for WBGene00007395. History: N.A.
ZK795.2,-0.499328547,,ZK795.2,WBGene00014082,Public name for WBGene00014082. History: N.A.
C17C3.2,-0.497780836,,C17C3.2,WBGene00015888,Public name for WBGene00015888. History: N.A.
Y47G6A.19,-0.496861279,,Y47G6A.19,WBGene00021645,Public name for WBGene00021645. History: N.A.
C25A8.2,-0.496379827,,C25A8.2,WBGene00016083,Public name for WBGene00016083. History: N.A.
abt-2,-0.495634964,,abt-2,WBGene00000020,Public name for WBGene00000020. History: N.A.
F22E12.1,-0.492172562,,F22E12.1,WBGene00009058,Public name for WBGene00009058. History: N.A.
Y39G10AL.1,-0.490241657,,Y39G10AL.1,WBGene00021458,Public name for WBGene00021458. History: N.A.
srx-7,-0.489179333,,srx-7,WBGene00005898,Public name for WBGene00005898. History: N.A.
Y23H5B.3,-0.487629474,,Y23H5B.3,WBGene00021274,Public name for WBGene00021274. History: N.A.
T05A8.8,-0.484840044,,T05A8.8,WBGene00044367,Public name for WBGene00044367. History: N.A.
Y62F5A.9,-0.484113517,-0.574788248000276,Y62F5A.9,WBGene00013387,Public name for WBGene00013387. History: N.A.
F44E7.5,-0.480311992,,F44E7.5,WBGene00018427,Public name for WBGene00018427. History: N.A.
srbc-58,-0.477329113,,srbc-58,WBGene00019982,Public name for WBGene00019982. History: N.A.
C17C3.13,-0.477022808,,C17C3.13,WBGene00015895,Public name for WBGene00015895. History: N.A.
clec-87,-0.476202273,,clec-87,WBGene00007709,Public name for WBGene00007709. History: Renamed on 2006-06-15
flh-2,-0.475812654,,flh-2,WBGene00016138,Public name for WBGene00016138. History: N.A.
acs-2,-0.475771038,,acs-2,WBGene00009221,Public name for WBGene00009221. History: N.A.
Y40H7A.7,-0.472692523,,Y40H7A.7,WBGene00012745,Public name for WBGene00012745. History: N.A.
F58E1.13,-0.471568206,,F58E1.13,WBGene00019044,Public name for WBGene00019044. History: N.A.
F23A7.8,-0.470145895,,F23A7.8,WBGene00044638,Public name for WBGene00044638. History: N.A.
Y43D4A.6,-0.469280728,,Y43D4A.6,WBGene00012792,Public name for WBGene00012792. History: N.A.
ZK550.5,-0.469210539,,ZK550.5,WBGene00013999,Sequence name for WBGene00013999(phyh-1). History: N.A.
his-18,-0.469061695,,his-18,WBGene00001892,Public name for WBGene00001892. History: N.A.
C01B9.4,-0.467280137,,C01B9.4,WBGene00194890,Public name for WBGene00194890. History: N.A.
M02F4.9,-0.466163603,,M02F4.9,WBGene00019739,Public name for WBGene00019739. History: N.A.
hpo-39,-0.464641299,-0.533091478897144,hpo-39,WBGene00022020,Public name for WBGene00022020. History: N.A.
ckb-2,-0.464059493,,ckb-2,WBGene00000512,Public name for WBGene00000512. History: N.A.
sdz-29,-0.461865734,-0.7186781448994009,sdz-29,WBGene00020081,Public name for WBGene00020081. History: Renamed on 2005-08-22
T09A12.2,-0.461588064,,T09A12.2,WBGene00020373,Sequence name for WBGene00020373(gpx-6). History: N.A.
Y54G2A.11,-0.46145457,,Y54G2A.11,WBGene00021876,Public name for WBGene00021876. History: N.A.
fbxb-4,-0.461344725,,fbxb-4,WBGene00010921,Public name for WBGene00010921. History: N.A.
ssr-2,-0.45784485,,ssr-2,WBGene00006055,Public name for WBGene00006055. History: N.A.
Y73E7A.8,-0.456738901,,Y73E7A.8,WBGene00022274,Public name for WBGene00022274. History: N.A.
gcy-23,-0.455428523,,gcy-23,WBGene00001548,Public name for WBGene00001548. History: N.A.
K06B9.2,-0.45321666,,K06B9.2,WBGene00019439,Public name for WBGene00019439. History: N.A.
fbxb-11,-0.452650536,,fbxb-11,WBGene00018436,"Public name for WBGene00018436. History: Split into F45C12.17(WBGene00269388). History of WBGene00018436: Split into ""WBGene00269388"" on 2016-02-18"
K05C4.8,-0.452469397,,K05C4.8,WBGene00010584,Public name for WBGene00010584. History: N.A.
F43G6.4,-0.452385303,,F43G6.4,WBGene00009657,Public name for WBGene00009657. History: N.A.
C24H10.4,-0.446215929,,C24H10.4,WBGene00016070,Public name for WBGene00016070. History: N.A.
F08G5.3,-0.445941247,,F08G5.3,WBGene00008582,Public name for WBGene00008582. History: N.A.
nhr-204,-0.445297353,,nhr-204,WBGene00019816,Public name for WBGene00019816. History: N.A.
gyg-3,-0.445054414,,gyg-3,WBGene00013535,Public name for WBGene00013535. History: N.A.
T19A6.4,-0.443108279,,T19A6.4,WBGene00011829,Public name for WBGene00011829. History: N.A.
hmg-11,-0.442930525,,hmg-11,WBGene00001976,Public name for WBGene00001976. History: N.A.
F26D11.12,-0.442848052,,F26D11.12,WBGene00045392,Public name for WBGene00045392. History: N.A.
Y24F12A.4,-0.442201386,,Y24F12A.4,WBGene00012499,Public name for WBGene00012499. History: N.A.
F30B5.4,-0.436218842,,F30B5.4,WBGene00017934,Public name for WBGene00017934. History: N.A.
Y52B11A.18,-0.435928233,,Y52B11A.18,WBGene00206497,Public name for WBGene00206497. History: N.A.
zig-5,-0.435093794,,zig-5,WBGene00006982,Public name for WBGene00006982. History: N.A.
act-3,-0.433098569,,act-3,WBGene00000065,Public name for WBGene00000065. History: N.A.
C04G2.10,-0.430961782,,C04G2.10,WBGene00007309,Public name for WBGene00007309. History: N.A.
Y50E8A.14,-0.429840025,,Y50E8A.14,WBGene00013056,Public name for WBGene00013056. History: N.A.
unc-14,-0.428934572,,unc-14,WBGene00006753,Public name for WBGene00006753. History: N.A.
fbxb-52,-0.424551039,,fbxb-52,WBGene00019417,"Public name for WBGene00019417. History: Split into K05F6.16(WBGene00269420). History of WBGene00019417: Split into ""WBGene00269420"" on 2016-02-18"
F07E5.9,-0.42351083,,F07E5.9,WBGene00017214,Public name for WBGene00017214. History: N.A.
htz-1,-0.422410433,,htz-1,WBGene00019947,Public name for WBGene00019947. History: N.A.
Y51A2A.14,-0.419097902,,Y51A2A.14,WBGene00077646,Public name for WBGene00077646. History: N.A.
Y45F10C.6,-0.417623243,,Y45F10C.6,WBGene00044256,"Public name for WBGene00044256. History: Split into Y45F10C.21(WBGene00271792). History of WBGene00044256: Split into ""WBGene00271792"" on 2017-09-21"
ZK228.4,-0.417619784,,ZK228.4,WBGene00013947,Public name for WBGene00013947. History: N.A.
unc-49,-0.416316705,,unc-49,WBGene00006784,Public name for WBGene00006784. History: N.A.
C30G4.6,-0.415240191,,C30G4.6,WBGene00016271,Sequence name for WBGene00016271(irld-23). History: N.A.
phb-2,-0.415168097,,phb-2,WBGene00004015,Public name for WBGene00004015. History: N.A.
lin-1,-0.412496399,,lin-1,WBGene00002990,Public name for WBGene00002990. History: Renamed on 2011-11-08
Y51A2A.6,-0.410547645,,Y51A2A.6,WBGene00013062,Public name for WBGene00013062. History: N.A.
C48D1.1,-0.409719653,-0.453523015673555,C48D1.1,WBGene00008177,Public name for WBGene00008177. History: N.A.
Y69A2AR.32,-0.408805647,-0.847040326079152,Y69A2AR.32,WBGene00022101,Public name for WBGene00022101. History: N.A.
K02E7.12,-0.408340528,,K02E7.12,WBGene00019316,Public name for WBGene00019316. History: N.A.
asd-2,-0.407662398,,asd-2,WBGene00006423,Public name for WBGene00006423. History: Renamed on 2015-03-05
ptr-24,-0.40670234,,ptr-24,WBGene00004238,Public name for WBGene00004238. History: N.A.
pll-1,-0.403716556,,pll-1,WBGene00004045,Public name for WBGene00004045. History: N.A.
ztf-20,-0.403587032,-0.518586079965602,ztf-20,WBGene00012702,Public name for WBGene00012702. History: N.A.
F53G2.2,-0.403153104,,F53G2.2,WBGene00018767,"Public name for WBGene00018767. History: Split into F53G2.13(WBGene00304220). History of WBGene00018767: Split into ""WBGene00304220"" on 2018-11-14"
C32D5.12,-0.402675138,,C32D5.12,WBGene00016319,Public name for WBGene00016319. History: Renamed on 2005-03-17
Y53F4B.16,-0.400438364,,Y53F4B.16,WBGene00013162,Public name for WBGene00013162. History: N.A.
F45D3.1,-0.400009601,,F45D3.1,WBGene00009721,Public name for WBGene00009721. History: N.A.
C31H5.4,-0.399172412,,C31H5.4,WBGene00007855,Public name for WBGene00007855. History: N.A.
cya-2,-0.398074447,,cya-2,WBGene00000864,Public name for WBGene00000864. History: N.A.
uba-1,-0.396282181,,uba-1,WBGene00006699,Public name for WBGene00006699. History: N.A.
csp-3,-0.393469801,,csp-3,WBGene00000821,Public name for WBGene00000821. History: N.A.
F42G4.7,-0.392184176,,F42G4.7,WBGene00009644,Public name for WBGene00009644. History: N.A.
F40A3.5,-0.391289987,,F40A3.5,WBGene00077712,"Sequence name for WBGene00077712(nipi-4). History: N.A.. Public name for Dead gene WBGene00018220. History of WBGene00018220: Merged into ""WBGene00077712"" on 2012-04-12"
C04E7.3,-0.388468417,,C04E7.3,WBGene00015430,Public name for WBGene00015430. History: N.A.
C01F6.14,-0.388395986,,C01F6.14,WBGene00219207,Public name for WBGene00219207. History: N.A.
Y53F4B.12,-0.38758488,,Y53F4B.12,WBGene00013159,Public name for WBGene00013159. History: N.A.
T06G6.11,-0.3862453,,T06G6.11,WBGene00011550,Public name for WBGene00011550. History: N.A.
F16B4.6,-0.378667297,,F16B4.6,WBGene00017508,Public name for WBGene00017508. History: N.A.
Y52B11A.12,-0.377189624,-0.4371132066317229,Y52B11A.12,WBGene00077539,Public name for WBGene00077539. History: N.A.
Y17G7B.21,-0.374504622,,Y17G7B.21,WBGene00012472,Public name for WBGene00012472. History: N.A.
Y37E3.10,-0.371475066,,Y37E3.10,WBGene00021351,Sequence name for WBGene00021351(eif-2alpha). History: N.A.
Y55F3BL.2,-0.369094649,,Y55F3BL.2,WBGene00021936,Sequence name for WBGene00021936(zipt-15). History: Renamed on 2017-06-08
B0284.3,-0.362944341,,B0284.3,WBGene00007133,Public name for WBGene00007133. History: N.A.
unc-41,-0.361907055,,unc-41,WBGene00006777,Public name for WBGene00006777. History: Renamed on 2008-02-06
Y82E9BR.21,-0.36162728,,Y82E9BR.21,WBGene00022353,Sequence name for WBGene00022353(pals-18). History: N.A.
his-72,-0.356889386,,his-72,WBGene00001946,Public name for WBGene00001946. History: N.A.
hsp-60,-0.356547923,,hsp-60,WBGene00002025,Public name for WBGene00002025. History: N.A.
T27E9.2,-0.354718766,,T27E9.2,WBGene00012094,Public name for WBGene00012094. History: N.A.
sdz-14,-0.35446476,,sdz-14,WBGene00008782,Public name for WBGene00008782. History: N.A.
W04A8.2,-0.354360834,,W04A8.2,WBGene00012237,Public name for WBGene00012237. History: N.A.
H02I12.5,-0.351265303,,H02I12.5,WBGene00010353,Sequence name for WBGene00010353(memi-3). History: N.A.
klp-11,-0.351108974,,klp-11,WBGene00002222,"Public name for WBGene00002222. History: Split into F20C5.11(WBGene00303015). History of WBGene00002222: Split into ""WBGene00303015"" on 2018-03-06"
sup-35,-0.347047871,,sup-35,WBGene00012976,Public name for WBGene00012976. History: N.A.
glb-14,-0.342245095,-0.4273137054896959,glb-14,WBGene00008996,Public name for WBGene00008996. History: N.A.
zig-8,-0.340345418,,zig-8,WBGene00006985,Public name for WBGene00006985. History: N.A.
C01A2.6,-0.340178002,,C01A2.6,WBGene00007218,Public name for WBGene00007218. History: N.A.
fbxa-218,-0.336976333,,fbxa-218,WBGene00013036,Public name for WBGene00013036. History: N.A.
K02D10.3,-0.328746353,,K02D10.3,WBGene00019303,Public name for WBGene00019303. History: N.A.
Y65B4A.7,-0.326350866,,Y65B4A.7,WBGene00022030,Public name for WBGene00022030. History: N.A.
cec-8,-0.310192576,,cec-8,WBGene00021913,Public name for WBGene00021913. History: N.A.
F22B3.4,-0.305285971,,F22B3.4,WBGene00009035,Sequence name for WBGene00009035(gfat-2). History: N.A.
hil-4,-0.299525728,,hil-4,WBGene00001855,Public name for WBGene00001855. History: Renamed on 2010-11-12
Y67D8C.6,-0.297969195,,Y67D8C.6,WBGene00022070,Public name for WBGene00022070. History: N.A.
xnd-1,0.311331414,,xnd-1,WBGene00001514,Public name for WBGene00001514. History: Renamed on 2008-09-15
Y73B3A.1,0.313755813,,Y73B3A.1,WBGene00022203,Public name for WBGene00022203. History: N.A.
F25H2.6,0.316122353,,F25H2.6,WBGene00009120,Public name for WBGene00009120. History: N.A.
him-3,0.321938861,,him-3,WBGene00001862,Public name for WBGene00001862. History: N.A.
fust-1,0.323415669,,fust-1,WBGene00016173,Public name for WBGene00016173. History: N.A.
C17E4.3,0.3246612,,C17E4.3,WBGene00007643,Sequence name for WBGene00007643(marc-3). History: N.A.
ZK643.2,0.32467436,,ZK643.2,WBGene00014034,Public name for WBGene00014034. History: N.A.
lpd-7,0.325052725,,lpd-7,WBGene00003063,Public name for WBGene00003063. History: N.A.
clp-6,0.329391752,,clp-6,WBGene00000546,"Public name for WBGene00000546. History: Split into Y77E11A.23(WBGene00235267). History of WBGene00000546: Split into ""WBGene00235267"" on 2013-09-04"
syp-4,0.332020592,,syp-4,WBGene00019247,Public name for WBGene00019247. History: N.A.
kcnl-1,0.332293488,,kcnl-1,WBGene00007176,Public name for WBGene00007176. History: N.A.
F28F8.7,0.332614729,,F28F8.7,WBGene00009224,Public name for WBGene00009224. History: N.A.
csn-5,0.333911909,,csn-5,WBGene00000817,Public name for WBGene00000817. History: N.A.
C25H3.9,0.333923326,,C25H3.9,WBGene00016118,Public name for WBGene00016118. History: N.A.
C34D4.10,0.349908611,,C34D4.10,WBGene00016402,Public name for WBGene00016402. History: N.A.
C50E3.5,0.355496337,,C50E3.5,WBGene00016816,Public name for WBGene00016816. History: N.A.
F08A8.5,0.355541312,0.47997765609863,F08A8.5,WBGene00008568,Public name for WBGene00008568. History: Renamed on 2016-09-16
Y7A5A.1,0.356514312,0.495165616305899,Y7A5A.1,WBGene00012407,Public name for WBGene00012407. History: N.A.
tbc-19,0.36400389,0.561435318938439,tbc-19,WBGene00007849,Public name for WBGene00007849. History: N.A.
Y94H6A.12,0.368642926,,Y94H6A.12,WBGene00050885,Public name for WBGene00050885. History: N.A.
btb-3,0.372772898,,btb-3,WBGene00015013,Public name for WBGene00015013. History: N.A.
gck-4,0.374256197,,gck-4,WBGene00007287,Public name for WBGene00007287. History: Renamed on 2006-04-27
aakb-1,0.375431834,,aakb-1,WBGene00010115,Public name for WBGene00010115. History: N.A.
C08H9.3,0.376831793,,C08H9.3,WBGene00007464,Sequence name for WBGene00007464(algn-8). History: N.A.
kel-3,0.378516871,,kel-3,WBGene00002185,Public name for WBGene00002185. History: N.A.
C15C7.5,0.381452691,,C15C7.5,WBGene00015791,Sequence name for WBGene00015791(bbln-1). History: Renamed on 2021-01-02
Y74C9A.4,0.382273088,,Y74C9A.4,WBGene00022278,Sequence name for WBGene00022278(rcor-1). History: N.A.
Y34B4A.2,0.384865813,0.519747870410859,Y34B4A.2,WBGene00021319,Public name for WBGene00021319. History: N.A.
alg-2,0.385120694,,alg-2,WBGene00000106,Public name for WBGene00000106. History: N.A.
gei-4,0.387504721,,gei-4,WBGene00001561,Public name for WBGene00001561. History: N.A.
pes-1,0.387693523,,pes-1,WBGene00003976,Public name for WBGene00003976. History: N.A.
Y39B6A.13,0.389214684,,Y39B6A.13,WBGene00012675,Public name for WBGene00012675. History: N.A.
cdc-25.2,0.390046028,,cdc-25.2,WBGene00000387,Public name for WBGene00000387. History: Renamed on 2015-03-06
