# Table S5. WAGO 22G-RNA Targets,Related to Experimental Procedures,,,
Gene Name,Gene ID,Input,Suggested Match,History
Y106G6D.1,Y106G6D.1,Y106G6D.1,WBGene00013698,Public name for WBGene00013698. History: N.A.
F42G4.7,F42G4.7,F42G4.7,WBGene00009644,Public name for WBGene00009644. History: N.A.
nhr-28,C11G6.4,nhr-28,WBGene00003624,Public name for WBGene00003624. History: N.A.
K05C4.3,K05C4.3,K05C4.3,WBGene00010580,Public name for WBGene00010580. History: N.A.
F38B2.4,F38B2.4,F38B2.4,WBGene00009531,Public name for WBGene00009531. History: N.A.
sdz-10,F08D12.9,sdz-10,WBGene00017252,Public name for WBGene00017252. History: Renamed on 2005-12-13
C25A8.5,C25A8.5,C25A8.5,WBGene00016085,Public name for WBGene00016085. History: N.A.
srsx-25,Y62E10A.4,srsx-25,WBGene00013375,Public name for WBGene00013375. History: N.A.
C09G9.1,C09G9.1,C09G9.1,WBGene00007492,Public name for WBGene00007492. History: N.A.
B0284.3,B0284.3,B0284.3,WBGene00007133,Public name for WBGene00007133. History: N.A.
dph-3,K01H12.1,dph-3,WBGene00010484,Public name for WBGene00010484. History: N.A.
nhr-221,T24A6.8,nhr-221,WBGene00020748,Public name for WBGene00020748. History: N.A.
C35E7.2,C35E7.2,C35E7.2,WBGene00016454,Public name for WBGene00016454. History: N.A.
F11C1.7,F11C1.7,F11C1.7,WBGene00045495,Public name for WBGene00045495. History: N.A.
F40F4.7,F40F4.7,F40F4.7,WBGene00018238,Public name for WBGene00018238. History: N.A.
Y2H9A.6,Y2H9A.6,Y2H9A.6,WBGene00086568,Public name for WBGene00086568. History: N.A.
eat-16,C16C2.2,eat-16,WBGene00001145,Public name for WBGene00001145. History: N.A.
Y71H2AL.2,Y71H2AL.2,Y71H2AL.2,WBGene00022165,"Public name for WBGene00022165. History: Split into Y71H2AL.4(WBGene00303095). History of WBGene00022165: Split into ""WBGene00303095"" on 2018-03-02"
Y60A3A.25,Y60A3A.25,Y60A3A.25,WBGene00044211,Public name for WBGene00044211. History: N.A.
Y22D7AL.9,Y22D7AL.9,Y22D7AL.9,WBGene00021247,Public name for WBGene00021247. History: N.A.
shl-1,Y73B6BL.19,shl-1,WBGene00022240,Public name for WBGene00022240. History: N.A.
sod-4,F55H2.1,sod-4,WBGene00004933,Public name for WBGene00004933. History: N.A.
K09F6.9,K09F6.9,K09F6.9,WBGene00019592,Public name for WBGene00019592. History: N.A.
F58A4.1,F58A4.1,F58A4.1,WBGene00010226,Public name for WBGene00010226. History: N.A.
cya-2,F59H6.7,cya-2,WBGene00000864,Public name for WBGene00000864. History: N.A.
duox-2,F53G12.3,duox-2,WBGene00018771,Public name for WBGene00018771. History: N.A.
nhr-236,Y38F2AL.5,nhr-236,WBGene00021417,Public name for WBGene00021417. History: N.A.
Y39A3CR.8,Y39A3CR.8,Y39A3CR.8,WBGene00015243,"Public name for Dead gene WBGene00021447. History of WBGene00021447: Merged into ""WBGene00015243"" on 2020-01-21"
W03G1.4,W03G1.4,W03G1.4,,Sequence name for Suppressed gene WBGene00043538. Molecular name for Suppressed gene WBGene00043538. Public name for Suppressed gene WBGene00043538. History of WBGene00043538: Killed on 2004-10-04; Resurrected on 2005-09-09; Killed on 2011-01-21; Suppressed on 2013-07-30. Remark: The corresponding CDS object for this gene had been created and removed before WormBase introduced the concept of unique gene identifiers.  This (dead) gene object exists as an attempt to make sure that a gene ID exists for every worm gene prediction that has ever existed....[050610 pad] Automatic assignment of Sequence_name connection using info taken from Public_name tags....This gene has been resurrected because it may be a member of a small gene family and should not have been removed....This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
fbxb-53,F36H5.5,fbxb-53,WBGene00018104,"Public name for WBGene00018104. History: Split into F36H5.18(WBGene00305113). History of WBGene00018104: Split into ""WBGene00305113"" on 2019-10-21"
Y74C9A.1,Y74C9A.1,Y74C9A.1,WBGene00022275,Sequence name for WBGene00022275(txt-7). History: N.A.
F54B11.8,F54B11.8,F54B11.8,WBGene00010031,Public name for WBGene00010031. History: N.A.
C47C12.4,C47C12.4,C47C12.4,WBGene00016737,Sequence name for WBGene00016737(miro-2). History: N.A.
Y20F4.2,Y20F4.2,Y20F4.2,WBGene00021237,Sequence name for WBGene00021237(crtc-1). History: N.A.
Y54F10BM.6,Y54F10BM.6,Y54F10BM.6,WBGene00021861,Public name for WBGene00021861. History: N.A.
sor-3,C04E7.2,sor-3,WBGene00015429,Public name for WBGene00015429. History: N.A.
fbxa-179,T14C1.3,fbxa-179,WBGene00045292,Public name for WBGene00045292. History: N.A.
C26B9.1,C26B9.1,C26B9.1,WBGene00016131,Public name for WBGene00016131. History: N.A.
F59A7.9,F59A7.9,F59A7.9,WBGene00019096,Sequence name for WBGene00019096(cysl-4). History: N.A.
Y54F10BM.13,Y54F10BM.13,Y54F10BM.13,WBGene00021867,Public name for WBGene00021867. History: N.A.
ech-3,F43H9.1,ech-3,WBGene00001152,Public name for WBGene00001152. History: N.A.
rrf-2,M01G12.12,rrf-2,WBGene00004509,Public name for WBGene00004509. History: N.A.
T15H9.6,T15H9.6,T15H9.6,WBGene00011791,Sequence name for WBGene00011791(pap-2). History: N.A.
Y95B8A.4,Y95B8A.4,Y95B8A.4,WBGene00022385,Public name for WBGene00022385. History: N.A.
Y45F10B.9,Y45F10B.9,Y45F10B.9,WBGene00012873,Public name for WBGene00012873. History: N.A.
K05C4.9,K05C4.9,K05C4.9,WBGene00010585,Public name for WBGene00010585. History: N.A.
M117.6,M117.6,M117.6,WBGene00044253,Public name for WBGene00044253. History: N.A.
Y37D8A.12,Y37D8A.12,Y37D8A.12,WBGene00012552,Sequence name for WBGene00012552(enu-3.5). History: N.A.
R07E5.4,R07E5.4,R07E5.4,WBGene00011112,Public name for WBGene00011112. History: N.A.
C45G3.4,C45G3.4,C45G3.4,WBGene00006407,"Public name for Dead gene WBGene00008109. History of WBGene00008109: Merged into ""WBGene00006407"" on 2014-11-13"
gst-38,F35E8.8,gst-38,WBGene00001786,Public name for WBGene00001786. History: N.A.
cutl-7,F53B6.6,cutl-7,WBGene00009961,Public name for WBGene00009961. History: N.A.
zig-8,Y39E4B.8,zig-8,WBGene00006985,Public name for WBGene00006985. History: N.A.
K03E5.1,K03E5.1,K03E5.1,WBGene00019360,Sequence name for WBGene00019360(neto-1). History: N.A.
R144.3,R144.3,R144.3,WBGene00020093,Public name for WBGene00020093. History: N.A.
tag-68,F37D6.6,tag-68,WBGene00006445,Public name for WBGene00006445. History: N.A.
Y116A8A.4,Y116A8A.4,Y116A8A.4,WBGene00013775,Public name for WBGene00013775. History: N.A.
ifc-2,M6.1,ifc-2,WBGene00002056,Public name for WBGene00002056. History: Renamed on 2021-03-09
ZC317.6,ZC317.6,ZC317.6,WBGene00022589,Public name for WBGene00022589. History: N.A.
Y105C5A.1,Y105C5A.1,Y105C5A.1,WBGene00013632,Public name for WBGene00013632. History: N.A.
K06C4.1,K06C4.1,K06C4.1,WBGene00019442,"Public name for WBGene00019442. History: Split into K06C4.27(WBGene00271800). History of WBGene00019442: Split into ""WBGene00271800"" on 2017-09-21"
lsd-1,T08D10.2,lsd-1,WBGene00011615,Public name for WBGene00011615. History: N.A.
Y105E8A.11,Y105E8A.11,Y105E8A.11,WBGene00013671,Public name for WBGene00013671. History: N.A.
F58E2.3,F58E2.3,F58E2.3,WBGene00019047,Public name for WBGene00019047. History: N.A.
cdc-25.2,F16B4.8,cdc-25.2,WBGene00000387,Public name for WBGene00000387. History: Renamed on 2015-03-06
fbxb-91,F12E12.8,fbxb-91,WBGene00044692,Public name for WBGene00044692. History: N.A.
mpk-2,C04G6.1,mpk-2,WBGene00003402,Public name for WBGene00003402. History: N.A.
Y17G9B.1,Y17G9B.1,Y17G9B.1,WBGene00021198,Sequence name for WBGene00021198(npp-26). History: N.A.
gsa-1,R06A10.2,gsa-1,WBGene00001745,Public name for WBGene00001745. History: N.A.
F55A11.6,F55A11.6,F55A11.6,WBGene00010079,Public name for WBGene00010079. History: N.A.
bath-35,W02A11.8,bath-35,WBGene00012196,Public name for WBGene00012196. History: N.A.
maa-1,C18D11.2,maa-1,WBGene00007680,Public name for WBGene00007680. History: N.A.
fbxa-170,C36C9.3,fbxa-170,WBGene00016486,Public name for WBGene00016486. History: N.A.
Y9D1A.2,Y9D1A.2,Y9D1A.2,WBGene00021187,Public name for WBGene00021187. History: N.A.
W06A11.2,W06A11.2,W06A11.2,WBGene00021053,Sequence name for WBGene00021053(gadr-4). History: N.A.
fbxa-149,Y38H6C.10,fbxa-149,WBGene00012623,Public name for WBGene00012623. History: N.A.
B0001.6,B0001.6,B0001.6,WBGene00007091,Sequence name for WBGene00007091(eri-12). History: N.A.
acs-5,Y76A2B.3,acs-5,WBGene00013575,Public name for WBGene00013575. History: N.A.
sms-2,F53H8.4,sms-2,WBGene00004893,Public name for WBGene00004893. History: N.A.
egl-2,F16B3.1,egl-2,WBGene00001171,Public name for WBGene00001171. History: N.A.
Y58A7A.4,Y58A7A.4,Y58A7A.4,WBGene00021978,Public name for WBGene00021978. History: N.A.
W06A11.4,W06A11.4,W06A11.4,WBGene00021055,Public name for WBGene00021055. History: N.A.
agr-1,F41G3.12,agr-1,WBGene00018304,Public name for WBGene00018304. History: N.A.
Y48G9A.6,Y48G9A.6,Y48G9A.6,WBGene00021700,Public name for WBGene00021700. History: N.A.
T10B5.4,T10B5.4,T10B5.4,WBGene00020390,Public name for WBGene00020390. History: N.A.
F09E8.2,F09E8.2,F09E8.2,WBGene00008624,Sequence name for WBGene00008624(crld-1). History: N.A.
T03D8.6,T03D8.6,T03D8.6,WBGene00011393,Public name for WBGene00011393. History: N.A.
Y57A10C.10,Y57A10C.10,Y57A10C.10,WBGene00013288,Public name for WBGene00013288. History: N.A.
R05G9.1,R05G9.1,R05G9.1,WBGene00019903,Public name for WBGene00019903. History: N.A.
Y55B1BR.6,Y55B1BR.6,Y55B1BR.6,WBGene00044401,Public name for WBGene00044401. History: N.A.
F27B3.5,F27B3.5,F27B3.5,WBGene00017849,"Public name for Dead gene WBGene00017847. History of WBGene00017847: Merged into ""WBGene00017849"" on 2014-06-30"
F59A7.7,F59A7.7,F59A7.7,WBGene00019094,Public name for WBGene00019094. History: N.A.
F39F10.2,F39F10.2,F39F10.2,WBGene00018202,Public name for WBGene00018202. History: N.A.
skr-9,C52D10.7,skr-9,WBGene00004815,Public name for WBGene00004815. History: N.A.
jip-1,F56D12.4,jip-1,WBGene00002176,Public name for WBGene00002176. History: N.A.
eak-6,F10G8.4,eak-6,WBGene00008663,Public name for WBGene00008663. History: N.A.
his-37,C50F4.7,his-37,WBGene00001911,Public name for WBGene00001911. History: N.A.
lev-10,Y105E8A.7,lev-10,WBGene00002977,Public name for WBGene00002977. History: N.A.
ZC15.10,ZC15.10,ZC15.10,WBGene00045050,Public name for WBGene00045050. History: N.A.
F45C12.2,F45C12.2,F45C12.2,WBGene00018433,Sequence name for WBGene00018433(ceh-82). History: N.A.
F35H12.5,F35H12.5,F35H12.5,WBGene00018077,Public name for WBGene00018077. History: N.A.
F15G9.1,F15G9.1,F15G9.1,WBGene00008865,Public name for WBGene00008865. History: N.A.
nhr-48,ZK662.3,nhr-48,WBGene00003638,Public name for WBGene00003638. History: N.A.
Y47G6A.30,Y47G6A.30,Y47G6A.30,WBGene00021653,Public name for WBGene00021653. History: N.A.
T09F3.4,T09F3.4,T09F3.4,WBGene00011663,Public name for WBGene00011663. History: N.A.
F59D6.1,F59D6.1,F59D6.1,WBGene00019103,Public name for WBGene00019103. History: N.A.
Y81G3A.4,Y81G3A.4,Y81G3A.4,WBGene00013592,Public name for WBGene00013592. History: N.A.
ZK1320.11,ZK1320.11,ZK1320.11,WBGene00014259,Public name for WBGene00014259. History: N.A.
K07D4.2,K07D4.2,K07D4.2,WBGene00019483,Public name for WBGene00019483. History: N.A.
T14G10.8,T14G10.8,T14G10.8,WBGene00011777,Public name for WBGene00011777. History: N.A.
F18A11.5,F18A11.5,F18A11.5,WBGene00008932,Public name for WBGene00008932. History: N.A.
srh-240,F37B4.13,srh-240,WBGene00005447,Public name for WBGene00005447. History: N.A.
T17H7.7,T17H7.7,T17H7.7,WBGene00020551,Public name for WBGene00020551. History: N.A.
Y37D8A.16,Y37D8A.16,Y37D8A.16,WBGene00012554,Public name for WBGene00012554. History: N.A.
ZK1236.9,ZK1236.9,ZK1236.9,WBGene00044588,Public name for WBGene00044588. History: N.A.
Y106G6D.6,Y106G6D.6,Y106G6D.6,WBGene00013702,Public name for WBGene00013702. History: N.A.
F33D11.12,F33D11.12,F33D11.12,WBGene00018009,"Sequence name for WBGene00018009(dhhc-3). History: Split into F33D11.17(WBGene00303057). History of WBGene00018009: Split into ""WBGene00303057"" on 2018-03-02"
ubc-19,Y69H2.6,ubc-19,WBGene00006714,Public name for WBGene00006714. History: N.A.
fmo-3,Y39A1A.19,fmo-3,WBGene00001478,Public name for WBGene00001478. History: N.A.
ZK337.1,ZK337.1,ZK337.1,WBGene00013969,Sequence name for WBGene00013969(tep-1). History: N.A.
F08A8.8,F08A8.8,F08A8.8,WBGene00045468,Public name for WBGene00045468. History: N.A.
hil-8,T05E8.2,hil-8,WBGene00001859,Public name for WBGene00001859. History: N.A.
tap-1,C44H4.5,tap-1,WBGene00006524,Public name for WBGene00006524. History: N.A.
math-31,F52C6.6,math-31,WBGene00018663,Public name for WBGene00018663. History: N.A.
T08H10.4,T08H10.4,T08H10.4,WBGene00020371,Sequence name for WBGene00020371(oac-60). History: N.A.
F45F2.9,F45F2.9,F45F2.9,WBGene00018481,Public name for WBGene00018481. History: N.A.
col-97,ZK1010.7,col-97,WBGene00000672,Public name for WBGene00000672. History: N.A.
C09E7.5,C09E7.5,C09E7.5,WBGene00015639,Public name for WBGene00015639. History: N.A.
Y73F8A.26,Y73F8A.26,Y73F8A.26,WBGene00013531,Public name for WBGene00013531. History: N.A.
F40F12.9,F40F12.9,F40F12.9,WBGene00043995,Public name for WBGene00043995. History: N.A.
Y38C1AA.13,Y38C1AA.13,Y38C1AA.13,WBGene00044736,"Sequence name for WBGene00044736(gfrp-1). History: Split into coa-1(WBGene00195063). History of WBGene00044736: Split into ""WBGene00195063"" on 2010-03-24"
C27D8.3,C27D8.3,C27D8.3,WBGene00007779,Public name for WBGene00007779. History: N.A.
nas-12,C24F3.3,nas-12,WBGene00003531,Public name for WBGene00003531. History: N.A.
F14F9.4,F14F9.4,F14F9.4,WBGene00017467,Public name for WBGene00017467. History: N.A.
C16C8.4,C16C8.4,C16C8.4,WBGene00015842,Public name for WBGene00015842. History: N.A.
T26G10.4,T26G10.4,T26G10.4,WBGene00012061,Public name for WBGene00012061. History: N.A.
R06C1.4,R06C1.4,R06C1.4,WBGene00011059,Public name for WBGene00011059. History: N.A.
H14E04.1,H14E04.1,H14E04.1,WBGene00019198,Sequence name for WBGene00019198(strm-1). History: N.A.
Y54F10BM.12,Y54F10BM.12,Y54F10BM.12,WBGene00021866,Public name for WBGene00021866. History: N.A.
fbxa-92,Y119D3B.20,fbxa-92,WBGene00022496,Public name for WBGene00022496. History: N.A.
H01M10.1,H01M10.1,H01M10.1,WBGene00019143,Public name for WBGene00019143. History: N.A.
tin-9.1,C06G3.11,tin-9.1,WBGene00006572,Public name for WBGene00006572. History: N.A.
C44B7.11,C44B7.11,C44B7.11,WBGene00016631,Public name for WBGene00016631. History: N.A.
F17C11.1,F17C11.1,F17C11.1,WBGene00077761,"Public name for Dead gene WBGene00008913. History of WBGene00008913: Merged into ""WBGene00077761"" on 2016-02-22"
Y48G1BM.9,Y48G1BM.9,Y48G1BM.9,WBGene00021675,"Public name for Dead gene WBGene00021674. History of WBGene00021674: Merged into ""WBGene00021675"" on 2013-10-17"
Y54E10A.16,Y54E10A.16,Y54E10A.16,WBGene00021834,Sequence name for WBGene00021834(mab-31). History: N.A.
F31B9.1,F31B9.1,F31B9.1,WBGene00009278,Sequence name for WBGene00009278(npr-33). History: N.A.
rbg-1,F20D1.6,rbg-1,WBGene00004317,Public name for WBGene00004317. History: N.A.
csp-2,Y73B6BL.7,csp-2,WBGene00000820,Public name for WBGene00000820. History: N.A.
tag-320,B0403.4,tag-320,WBGene00015168,Other name for WBGene00015168(pdi-6). History: N.A.
C46A5.4,C46A5.4,C46A5.4,WBGene00016700,Public name for WBGene00016700. History: N.A.
Y27F2A.6,Y27F2A.6,Y27F2A.6,WBGene00021298,Public name for WBGene00021298. History: N.A.
srh-1,T11F9.18,srh-1,WBGene00005227,Public name for WBGene00005227. History: N.A.
fbxc-42,F45D11.9,fbxc-42,WBGene00018455,Public name for WBGene00018455. History: N.A.
eat-18,Y105E8A.7,eat-18,WBGene00001147,Public name for WBGene00001147. History: N.A.
scpl-3,Y47D9A.2,scpl-3,WBGene00021629,Public name for WBGene00021629. History: N.A.
AH10.4,AH10.4,AH10.4,WBGene00007085,Public name for WBGene00007085. History: N.A.
C46G7.5,C46G7.5,C46G7.5,WBGene00044502,Public name for WBGene00044502. History: N.A.
K09E3.6,K09E3.6,K09E3.6,WBGene00019577,Sequence name for WBGene00019577(lido-6). History: N.A.
R08D7.5,R08D7.5,R08D7.5,WBGene00011145,Public name for WBGene00011145. History: N.A.
Y102A11A.6,Y102A11A.6,Y102A11A.6,WBGene00022416,Sequence name for WBGene00022416(ergi-1). History: N.A.
ztf-13,F52E4.8,ztf-13,WBGene00018704,Public name for WBGene00018704. History: N.A.
Y41E3.22,Y41E3.22,Y41E3.22,WBGene00045146,Public name for WBGene00045146. History: N.A.
F14D7.1,F14D7.1,F14D7.1,WBGene00008788,Public name for WBGene00008788. History: N.A.
gbh-2,M05D6.7,gbh-2,WBGene00001523,Public name for WBGene00001523. History: N.A.
Y54E2A.10,Y54E2A.10,Y54E2A.10,WBGene00013195,Public name for WBGene00013195. History: N.A.
F11D11.12,F11D11.12,F11D11.12,WBGene00045362,Public name for WBGene00045362. History: N.A.
F01F1.3,F01F1.3,F01F1.3,WBGene00017160,Public name for WBGene00017160. History: N.A.
unc-10,T10A3.1,unc-10,WBGene00006750,Public name for WBGene00006750. History: N.A.
Y75B8A.33,Y75B8A.33,Y75B8A.33,WBGene00013563,Public name for WBGene00013563. History: N.A.
C27F2.1,C27F2.1,C27F2.1,WBGene00016165,Sequence name for WBGene00016165(wdr-60). History: N.A.
nhr-10,B0280.8,nhr-10,WBGene00003609,Public name for WBGene00003609. History: N.A.
srbc-58,R09E12.2,srbc-58,WBGene00019982,Public name for WBGene00019982. History: N.A.
K01C8.2,K01C8.2,K01C8.2,WBGene00010457,Public name for WBGene00010457. History: N.A.
F09C6.10,F09C6.10,F09C6.10,WBGene00008620,Public name for WBGene00008620. History: N.A.
D2005.3,D2005.3,D2005.3,WBGene00008398,Public name for WBGene00008398. History: N.A.
hnd-1,C44C10.8,hnd-1,WBGene00001981,Public name for WBGene00001981. History: N.A.
hsp-16.1,T27E4.8,hsp-16.1,WBGene00002015,Public name for WBGene00002015. History: N.A.
C53A5.13,C53A5.13,C53A5.13,WBGene00008270,Public name for WBGene00008270. History: N.A.
T05F1.13,T05F1.13,T05F1.13,WBGene00011497,Public name for WBGene00011497. History: N.A.
K07G5.3,K07G5.3,K07G5.3,WBGene00010642,Sequence name for WBGene00010642(mks-6). History: N.A.
F08A8.2,F08A8.2,F08A8.2,WBGene00008565,Sequence name for WBGene00008565(acox-1.2). History: Renamed on 2015-04-29; Renamed on 2017-01-05
F38E1.9,F38E1.9,F38E1.9,WBGene00018181,Sequence name for WBGene00018181(mpdu-1). History: N.A.
C08G9.2,C08G9.2,C08G9.2,WBGene00015620,Public name for WBGene00015620. History: N.A.
F53A2.9,F53A2.9,F53A2.9,WBGene00009953,Public name for WBGene00009953. History: N.A.
F36G3.2,F36G3.2,F36G3.2,WBGene00009483,Public name for WBGene00009483. History: N.A.
Y47H9B.2,Y47H9B.2,Y47H9B.2,WBGene00012946,Public name for WBGene00012946. History: N.A.
W05G11.2,W05G11.2,W05G11.2,WBGene00021040,Public name for WBGene00021040. History: N.A.
Y38F1A.8,Y38F1A.8,Y38F1A.8,WBGene00012610,Public name for WBGene00012610. History: N.A.
F54D5.15,F54D5.15,F54D5.15,WBGene00010057,Public name for WBGene00010057. History: N.A.
skr-21,K08H2.1,skr-21,WBGene00004827,Public name for WBGene00004827. History: N.A.
cnb-1,F55C10.1,cnb-1,WBGene00000554,Public name for WBGene00000554. History: N.A.
Y73B3A.11,Y73B3A.11,Y73B3A.11,WBGene00022213,Public name for WBGene00022213. History: N.A.
E02H9.9,E02H9.9,E02H9.9,WBGene00017106,Public name for WBGene00017106. History: N.A.
egl-10,F28C1.2,egl-10,WBGene00001179,Public name for WBGene00001179. History: N.A.
bath-23,Y49F6C.5,bath-23,WBGene00021727,Public name for WBGene00021727. History: N.A.
ZK1010.4,ZK1010.4,ZK1010.4,WBGene00014178,Public name for WBGene00014178. History: N.A.
Y53F4B.12,Y53F4B.12,Y53F4B.12,WBGene00013159,Public name for WBGene00013159. History: N.A.
Y37D8A.6,Y37D8A.6,Y37D8A.6,WBGene00012548,Public name for WBGene00012548. History: N.A.
K09E3.7,K09E3.7,K09E3.7,WBGene00019578,Public name for WBGene00019578. History: N.A.
fbxb-98,C16C4.6,fbxb-98,WBGene00015830,Public name for WBGene00015830. History: N.A.
Y80D3A.9,Y80D3A.9,Y80D3A.9,WBGene00013587,Sequence name for WBGene00013587(hrg-10). History: N.A.
rpl-22,C27A2.2,rpl-22,WBGene00004434,Public name for WBGene00004434. History: N.A.
C02D5.2,C02D5.2,C02D5.2,WBGene00015336,Public name for WBGene00015336. History: N.A.
W03C9.1,W03C9.1,W03C9.1,WBGene00012219,Public name for WBGene00012219. History: N.A.
fbxb-97,C52E2.6,fbxb-97,WBGene00016885,Public name for WBGene00016885. History: N.A.
fbxb-107,F29A7.2,fbxb-107,WBGene00017912,Public name for WBGene00017912. History: N.A.
Y46H3C.6,Y46H3C.6,Y46H3C.6,WBGene00021606,Public name for WBGene00021606. History: N.A.
Y7A9D.1,Y7A9D.1,Y7A9D.1,WBGene00012420,Public name for WBGene00012420. History: N.A.
F19C7.3,F19C7.3,F19C7.3,WBGene00017593,Public name for WBGene00017593. History: N.A.
H04D03.1,H04D03.1,H04D03.1,WBGene00010362,Sequence name for WBGene00010362(enu-3.1). History: Renamed on 2014-04-28
ZK652.8,ZK652.8,ZK652.8,WBGene00022786,Public name for WBGene00022786. History: N.A.
Y48G1A.2,Y48G1A.2,Y48G1A.2,WBGene00021658,Public name for WBGene00021658. History: N.A.
ZC116.1,ZC116.1,ZC116.1,WBGene00013853,Public name for WBGene00013853. History: N.A.
C36B1.14,C36B1.14,C36B1.14,WBGene00044614,Public name for WBGene00044614. History: N.A.
fbxa-24,F54D10.2,fbxa-24,WBGene00018803,Public name for WBGene00018803. History: N.A.
acdh-2,C17C3.12,acdh-2,WBGene00015894,Public name for WBGene00015894. History: N.A.
Y62H9A.9,Y62H9A.9,Y62H9A.9,WBGene00013397,Public name for WBGene00013397. History: N.A.
Y55F3BR.2,Y55F3BR.2,Y55F3BR.2,WBGene00021939,Public name for WBGene00021939. History: N.A.
C33D9.13,C33D9.13,C33D9.13,WBGene00194651,Public name for WBGene00194651. History: N.A.
grd-11,K02E2.2,grd-11,WBGene00001700,Public name for WBGene00001700. History: N.A.
soc-1,F41F3.2,soc-1,WBGene00004928,Public name for WBGene00004928. History: N.A.
pat-12,T17H7.4,pat-12,WBGene00003936,Public name for WBGene00003936. History: Renamed on 2010-01-11
C32B5.6,C32B5.6,C32B5.6,WBGene00016299,Public name for WBGene00016299. History: N.A.
nhr-12,R04B5.4,nhr-12,WBGene00003611,Public name for WBGene00003611. History: N.A.
Y60A3A.16,Y60A3A.16,Y60A3A.16,WBGene00013364,Public name for WBGene00013364. History: N.A.
fbxb-7,Y20C6A.2,fbxb-7,WBGene00012492,Public name for WBGene00012492. History: N.A.
ZK930.5,ZK930.5,ZK930.5,WBGene00014155,Public name for WBGene00014155. History: N.A.
twk-2,T12C9.3,twk-2,WBGene00006657,Public name for WBGene00006657. History: N.A.. Other name for WBGene00006672(twk-18). History: N.A.
C49A9.4,C49A9.4,C49A9.4,WBGene00016758,Public name for WBGene00016758. History: N.A.
T13C5.6,T13C5.6,T13C5.6,WBGene00020486,Public name for WBGene00020486. History: N.A.
fbxa-83,Y67A10A.4,fbxa-83,WBGene00013453,Public name for WBGene00013453. History: N.A.
dhs-3,T02E1.5,dhs-3,WBGene00000967,Public name for WBGene00000967. History: N.A.
F36F12.1,F36F12.1,F36F12.1,WBGene00018092,Public name for WBGene00018092. History: N.A.
srh-33,M02H5.9,srh-33,WBGene00005256,Public name for WBGene00005256. History: N.A.
fbxb-14,W08F4.9,fbxb-14,WBGene00021098,Public name for WBGene00021098. History: N.A.
Y23H5A.8,Y23H5A.8,Y23H5A.8,WBGene00023172,Public name for WBGene00023172. History: N.A.
T01C8.5,T01C8.5,T01C8.5,WBGene00020146,Sequence name for WBGene00020146(got-1.2). History: N.A.
F13A2.4,F13A2.4,F13A2.4,WBGene00017413,Public name for WBGene00017413. History: N.A.
F43C1.1,F43C1.1,F43C1.1,WBGene00009647,Sequence name for WBGene00009647(phlp-2). History: N.A.
nas-1,F45G2.1,nas-1,WBGene00003520,Public name for WBGene00003520. History: N.A.
fbxa-208,Y119D3B.4,fbxa-208,WBGene00022482,Public name for WBGene00022482. History: N.A.
mrp-5,F14F4.3,mrp-5,WBGene00003411,Public name for WBGene00003411. History: N.A.
F28E10.1,F28E10.1,F28E10.1,WBGene00017900,Public name for WBGene00017900. History: N.A.
prx-11,C47B2.8,prx-11,WBGene00004196,Public name for WBGene00004196. History: N.A.
F23H11.7,F23H11.7,F23H11.7,WBGene00017762,Public name for WBGene00017762. History: N.A.
prk-1,C06E8.3,prk-1,WBGene00004182,Public name for WBGene00004182. History: N.A.
W02H5.11,W02H5.11,W02H5.11,WBGene00194896,Public name for WBGene00194896. History: N.A.
F41G4.5,F41G4.5,F41G4.5,WBGene00018309,Public name for WBGene00018309. History: N.A.
F40F9.5,F40F9.5,F40F9.5,WBGene00009582,Sequence name for WBGene00009582(slcr-46.3). History: N.A.
W09C5.12,W09C5.12,W09C5.12,WBGene00194660,Public name for WBGene00194660. History: N.A.
Y71A12B.15,Y71A12B.15,Y71A12B.15,WBGene00013511,"Public name for WBGene00013511. History: Split into Y71A12B.18(WBGene00045077). History of WBGene00013511: Split into ""WBGene00045077"" on 2006-10-17"
T02G6.5,T02G6.5,T02G6.5,WBGene00011388,Public name for WBGene00011388. History: N.A.
unc-119,M142.1,unc-119,WBGene00006843,Public name for WBGene00006843. History: N.A.
C15C8.7,C15C8.7,C15C8.7,WBGene00007609,Public name for WBGene00007609. History: N.A.
C44B12.6,C44B12.6,C44B12.6,WBGene00016639,Public name for WBGene00016639. History: N.A.
C14C10.6,C14C10.6,C14C10.6,WBGene00007589,Sequence name for WBGene00007589(erg-28). History: N.A.
B0041.3,B0041.3,B0041.3,WBGene00015008,Sequence name for WBGene00015008(lmd-2). History: N.A.
rgs-9,ZC53.7,rgs-9,WBGene00004352,Public name for WBGene00004352. History: N.A.
nekl-1,Y39G10AR.3,nekl-1,WBGene00021461,Public name for WBGene00021461. History: N.A.
F52C9.1,F52C9.1,F52C9.1,WBGene00018672,Sequence name for WBGene00018672(sorf-2). History: Renamed on 2016-01-19
B0511.14,B0511.14,B0511.14,WBGene00015237,"Public name for Dead gene WBGene00015239. History of WBGene00015239: Merged into ""WBGene00015237"" on 2011-07-20"
F21D5.4,F21D5.4,F21D5.4,WBGene00009009,Public name for WBGene00009009. History: N.A.
C03A7.2,C03A7.2,C03A7.2,WBGene00015366,Public name for WBGene00015366. History: N.A.
