# Table S3. The Overlaps Between Heritable Dysregulated Genes and P Granule Bound Transcripts
P Granule Bound Transcripts,Input,Suggested Match,History
B0261.2,B0261.2,WBGene00002583,Sequence name for WBGene00002583(let-363). History: Renamed on 2014-09-04; Renamed on 2014-10-09; Renamed on 2015-01-08; Renamed on 2015-03-05; Renamed on 2015-03-10
Y49E10.11,Y49E10.11,WBGene00013034,Sequence name for WBGene00013034(tat-1). History: N.A.
F44B9.4,F44B9.4,WBGene00000507,Sequence name for WBGene00000507(cit-1.1). History: N.A.
C38D4.4,C38D4.4,WBGene00008005,Sequence name for WBGene00008005(mip-1). History: Renamed on 2021-12-09
F38H4.9,F38H4.9,WBGene00002363,Sequence name for WBGene00002363(let-92). History: N.A.
F43G9.1,F43G9.1,WBGene00009664,Sequence name for WBGene00009664(idha-1). History: N.A.
R07B7.2,R07B7.2,WBGene00011087,Public name for WBGene00011087. History: N.A.
F41H10.6,F41H10.6,WBGene00018319,Sequence name for WBGene00018319(hda-6). History: Renamed on 2012-04-12
R13H8.1,R13H8.1,WBGene00000912,Sequence name for WBGene00000912(daf-16). History: N.A.
Y113G7B.23,Y113G7B.23,WBGene00004203,Sequence name for WBGene00004203(swsn-1). History: Renamed on 2011-02-11
R166.5,R166.5,WBGene00011304,Sequence name for WBGene00011304(mnk-1). History: N.A.
W09D10.4,W09D10.4,WBGene00012362,Public name for WBGene00012362. History: N.A.
Y38C1AA.1,Y38C1AA.1,WBGene00021394,Public name for WBGene00021394. History: N.A.
Y56A3A.20,Y56A3A.20,WBGene00000369,Sequence name for WBGene00000369(ccf-1). History: N.A.
R11E3.8,R11E3.8,WBGene00001058,Sequence name for WBGene00001058(dpf-5). History: N.A.
T05H10.6,T05H10.6,WBGene00011510,Sequence name for WBGene00011510(pdha-1). History: N.A.
F28B12.3,F28B12.3,WBGene00017895,Sequence name for WBGene00017895(vrk-1). History: Renamed on 2005-08-19
ZK783.2,ZK783.2,WBGene00022817,Sequence name for WBGene00022817(upp-1). History: N.A.
M18.7,M18.7,WBGene00000122,Sequence name for WBGene00000122(aly-3). History: N.A.
C07G3.9,C07G3.9,WBGene00015577,Sequence name for WBGene00015577(ugt-64). History: N.A.
F01G10.1,F01G10.1,WBGene00008506,Sequence name for WBGene00008506(tkt-1). History: N.A.
F45G2.4,F45G2.4,WBGene00009732,Sequence name for WBGene00009732(cope-1). History: N.A.
T23B5.3,T23B5.3,WBGene00011940,Public name for WBGene00011940. History: N.A.
H19N07.4,H19N07.4,WBGene00010408,Sequence name for WBGene00010408(mboa-2). History: N.A.
Y79H2A.6,Y79H2A.6,WBGene00000201,Sequence name for WBGene00000201(arx-3). History: N.A.
ZK632.1,ZK632.1,WBGene00003158,Sequence name for WBGene00003158(mcm-6). History: N.A.
Y37D8A.13,Y37D8A.13,WBGene00006804,"Sequence name for WBGene00006804(unc-71). History: Split into Y37D8A.29(WBGene00303086). History of WBGene00006804: Split into ""WBGene00303086"" on 2018-03-02"
C02F5.4,C02F5.4,WBGene00015347,Sequence name for WBGene00015347(cids-1). History: N.A.
C43G2.1,C43G2.1,WBGene00016610,Sequence name for WBGene00016610(paqr-1). History: N.A.
F28H1.3,F28H1.3,WBGene00000197,Sequence name for WBGene00000197(aars-2). History: Renamed on 2010-01-29; Renamed on 2015-03-03; Resurrected on 2015-03-05
M7.2,M7.2,WBGene00002214,Sequence name for WBGene00002214(klc-1). History: N.A.
R06A4.8,R06A4.8,WBGene00011050,Sequence name for WBGene00011050(agl-1). History: N.A.
F52B5.5,F52B5.5,WBGene00000467,Sequence name for WBGene00000467(cep-1). History: N.A.
F09F7.3,F09F7.3,WBGene00017300,Sequence name for WBGene00017300(rpc-2). History: N.A.
Y39E4B.12,Y39E4B.12,WBGene00001630,Sequence name for WBGene00001630(gly-5). History: N.A.
F45F2.11,F45F2.11,WBGene00018483,Public name for WBGene00018483. History: N.A.
Y92H12BR.7,Y92H12BR.7,WBGene00022372,Public name for WBGene00022372. History: N.A.
C04F5.1,C04F5.1,WBGene00004795,Sequence name for WBGene00004795(sid-1). History: Renamed on 2013-10-16
R04D3.3,R04D3.3,WBGene00011011,Public name for WBGene00011011. History: N.A.
C14B9.8,C14B9.8,WBGene00015754,Public name for WBGene00015754. History: N.A.
F54D8.3,F54D8.3,WBGene00000107,Sequence name for WBGene00000107(alh-1). History: N.A.
C01G5.6,C01G5.6,WBGene00015308,Sequence name for WBGene00015308(ddi-1). History: N.A.
F53C11.7,F53C11.7,WBGene00009976,Sequence name for WBGene00009976(swan-2). History: Renamed on 2005-07-28
Y53C12A.4,Y53C12A.4,WBGene00013140,Sequence name for WBGene00013140(mop-25.2). History: Renamed on 2007-03-09
Y113G7B.18,Y113G7B.18,WBGene00007017,Sequence name for WBGene00007017(mdt-17). History: N.A.
R06C7.9,R06C7.9,WBGene00011066,Sequence name for WBGene00011066(ztf-15). History: N.A.
D1007.7,D1007.7,WBGene00017004,Sequence name for WBGene00017004(nrd-1). History: N.A.
Y48G9A.3,Y48G9A.3,WBGene00021697,Sequence name for WBGene00021697(gcn-1). History: N.A.
C27A2.6,C27A2.6,WBGene00001102,Sequence name for WBGene00001102(dsh-2). History: N.A.
C31E10.5,C31E10.5,WBGene00007846,Public name for WBGene00007846. History: N.A.
C08C3.4,C08C3.4,WBGene00015591,Sequence name for WBGene00015591(cyk-7). History: N.A.
Y71F9AL.17,Y71F9AL.17,WBGene00022119,Sequence name for WBGene00022119(copa-1). History: N.A.
F31D4.2,F31D4.2,WBGene00009290,Public name for WBGene00009290. History: N.A.
ZK20.3,ZK20.3,WBGene00013924,Sequence name for WBGene00013924(rad-23). History: N.A.
K01G5.4,K01G5.4,WBGene00004302,Sequence name for WBGene00004302(ran-1). History: N.A.
C48B4.11,C48B4.11,WBGene00008174,Public name for WBGene00008174. History: N.A.
F02A9.4,F02A9.4,WBGene00008514,"Sequence name for WBGene00008514(mrpl-44). History: Split into mccc-2(WBGene00303021). History of WBGene00008514: Split into ""WBGene00303021"" on 2018-03-06"
Y54E2A.8,Y54E2A.8,WBGene00013193,Public name for WBGene00013193. History: N.A.
K10B3.10,K10B3.10,WBGene00004951,Sequence name for WBGene00004951(spc-1). History: N.A.
F58G1.1,F58G1.1,WBGene00010263,Sequence name for WBGene00010263(wago-4). History: N.A.
C54G4.8,C54G4.8,WBGene00000869,Sequence name for WBGene00000869(cyc-1). History: N.A.
Y55D5A.5,Y55D5A.5,WBGene00000898,Sequence name for WBGene00000898(daf-2). History: N.A.
R10E12.1,R10E12.1,WBGene00007010,"Sequence name for WBGene00007010(alx-1). History: N.A.. Public name for Dead gene WBGene00004142. History of WBGene00004142: Merged into ""WBGene00007010"" on 2004-05-18"
W07A8.2,W07A8.2,WBGene00012319,Sequence name for WBGene00012319(ipla-3). History: N.A.
T14G10.6,T14G10.6,WBGene00006638,Sequence name for WBGene00006638(tsp-12). History: N.A.
T09B4.9,T09B4.9,WBGene00020383,Sequence name for WBGene00020383(tin-44). History: Renamed on 2015-02-09
F52F12.3,F52F12.3,WBGene00003396,Sequence name for WBGene00003396(mom-4). History: N.A.
ZK328.1,ZK328.1,WBGene00000874,Sequence name for WBGene00000874(cyk-3). History: N.A.
K02F2.2,K02F2.2,WBGene00019322,Sequence name for WBGene00019322(ahcy-1). History: Renamed on 2005-02-01; Renamed on 2015-03-05
T17E9.1,T17E9.1,WBGene00002201,Sequence name for WBGene00002201(kin-18). History: N.A.
C24H11.7,C24H11.7,WBGene00007703,Sequence name for WBGene00007703(gbf-1). History: Renamed on 2005-03-17
C34G6.5,C34G6.5,WBGene00016421,Sequence name for WBGene00016421(cdc-7). History: N.A.
F26G1.1,F26G1.1,WBGene00017837,"Public name for WBGene00017837. History: Split into F26G1.15(WBGene00270318). History of WBGene00017837: Split into ""WBGene00270318"" on 2016-08-31"
F55A8.2,F55A8.2,WBGene00001173,Sequence name for WBGene00001173(egl-4). History: Renamed on 2005-11-22; Renamed on 2010-12-07; Renamed on 2011-07-12; Renamed on 2012-06-20
T23G11.2,T23G11.2,WBGene00001647,Sequence name for WBGene00001647(gna-2). History: N.A.
F10B5.5,F10B5.5,WBGene00008641,Sequence name for WBGene00008641(pch-2). History: N.A.
F11E6.7,F11E6.7,WBGene00008710,Sequence name for WBGene00008710(rif-1.1). History: N.A.
C25H3.6,C25H3.6,WBGene00016115,Sequence name for WBGene00016115(mdt-26). History: N.A.
F54C8.3,F54C8.3,WBGene00001284,Sequence name for WBGene00001284(emb-30). History: N.A.
ZK1005.1,ZK1005.1,WBGene00004053,Sequence name for WBGene00004053(tank-1). History: Renamed on 2014-11-18
F44B9.6,F44B9.6,WBGene00003021,Sequence name for WBGene00003021(lin-36). History: N.A.
T09F3.2,T09F3.2,WBGene00011662,"Public name for WBGene00011662. History: Split into T09F3.7(WBGene00303079). History of WBGene00011662: Split into ""WBGene00303079"" on 2018-03-02"
T22C1.3,T22C1.3,WBGene00011914,Sequence name for WBGene00011914(pigu-1). History: N.A.
ZK973.2,ZK973.2,WBGene00022831,Sequence name for WBGene00022831(cec-10). History: N.A.
C17D12.7,C17D12.7,WBGene00007640,Sequence name for WBGene00007640(pcmd-1). History: N.A.
C35D10.9,C35D10.9,WBGene00000418,Sequence name for WBGene00000418(ced-4). History: N.A.
K11D9.2,K11D9.2,WBGene00004736,Sequence name for WBGene00004736(sca-1). History: N.A.
C01G6.5,C01G6.5,WBGene00007227,Sequence name for WBGene00007227(gldi-3). History: N.A.
M04B2.1,M04B2.1,WBGene00003218,Sequence name for WBGene00003218(mep-1). History: N.A.
C17E4.9,C17E4.9,WBGene00007646,Sequence name for WBGene00007646(nkb-1). History: N.A.
D2007.5,D2007.5,WBGene00017045,Sequence name for WBGene00017045(atg-13). History: Renamed on 2010-05-28
K02F3.2,K02F3.2,WBGene00019326,Public name for WBGene00019326. History: N.A.
Y105E8B.4,Y105E8B.4,WBGene00013689,Sequence name for WBGene00013689(bath-40). History: N.A.
ZK287.7,ZK287.7,WBGene00013967,Public name for WBGene00013967. History: N.A.
W02B9.1,W02B9.1,WBGene00001980,Sequence name for WBGene00001980(hmr-1). History: N.A.
D2096.4,D2096.4,WBGene00005019,Sequence name for WBGene00005019(sqv-1). History: N.A.
H37A05.1,H37A05.1,WBGene00010425,Sequence name for WBGene00010425(lpin-1). History: N.A.
R10E4.11,R10E4.11,WBGene00011206,Public name for WBGene00011206. History: N.A.
F33D11.11,F33D11.11,WBGene00018008,Sequence name for WBGene00018008(vpr-1). History: N.A.
Y47G6A.25,Y47G6A.25,WBGene00021649,Public name for WBGene00021649. History: N.A.
Y54F10AR.1,Y54F10AR.1,WBGene00021854,Public name for WBGene00021854. History: N.A.
C37A2.2,C37A2.2,WBGene00004110,Sequence name for WBGene00004110(pqn-20). History: N.A.
B0035.1,B0035.1,WBGene00007105,Sequence name for WBGene00007105(znf-207). History: N.A.
M01E5.4,M01E5.4,WBGene00010807,Public name for WBGene00010807. History: N.A.
Y26E6A.1,Y26E6A.1,WBGene00012512,Sequence name for WBGene00012512(ekl-5). History: N.A.
K04F10.7,K04F10.7,WBGene00019399,Public name for WBGene00019399. History: N.A.
K03A1.1,K03A1.1,WBGene00001914,Sequence name for WBGene00001914(his-40). History: N.A.
Y71G12B.20,Y71G12B.20,WBGene00003111,Sequence name for WBGene00003111(mab-20). History: N.A.
B0464.4,B0464.4,WBGene00000268,Sequence name for WBGene00000268(bre-3). History: N.A.
B0491.5,B0491.5,WBGene00007192,Sequence name for WBGene00007192(nduf-11). History: Renamed on 2023-01-16
K11D9.1,K11D9.1,WBGene00002219,Sequence name for WBGene00002219(klp-7). History: N.A.
C27B7.8,C27B7.8,WBGene00004307,Sequence name for WBGene00004307(rap-1). History: N.A.
F40F11.2,F40F11.2,WBGene00009587,Sequence name for WBGene00009587(mig-38). History: N.A.
T14G10.7,T14G10.7,WBGene00011776,Sequence name for WBGene00011776(pigs-1). History: Renamed on 2018-12-11
F58D5.1,F58D5.1,WBGene00002000,Sequence name for WBGene00002000(hrpr-1). History: Renamed on 2019-11-21
W01G7.5,W01G7.5,WBGene00002275,Sequence name for WBGene00002275(lem-2). History: N.A.
Y43F4B.7,Y43F4B.7,WBGene00012804,Sequence name for WBGene00012804(slc-36.1). History: N.A.
Y56A3A.21,Y56A3A.21,WBGene00013238,Sequence name for WBGene00013238(trap-4). History: N.A.
C07D10.2,C07D10.2,WBGene00015567,Sequence name for WBGene00015567(bath-44). History: N.A.
F25B5.6,F25B5.6,WBGene00017777,Public name for WBGene00017777. History: N.A.
K04F10.4,K04F10.4,WBGene00000254,Sequence name for WBGene00000254(bli-4). History: N.A.
F54C8.5,F54C8.5,WBGene00010038,Sequence name for WBGene00010038(rheb-1). History: N.A.
Y76A2B.5,Y76A2B.5,WBGene00013577,Public name for WBGene00013577. History: N.A.
F53E4.1,F53E4.1,WBGene00009978,Public name for WBGene00009978. History: N.A.
Y105E8A.8,Y105E8A.8,WBGene00013669,Sequence name for WBGene00013669(tcab-1). History: N.A.
F32E10.1,F32E10.1,WBGene00017989,Sequence name for WBGene00017989(nol-10). History: N.A.
Y39G10AR.9,Y39G10AR.9,WBGene00021467,Public name for WBGene00021467. History: N.A.
MTCE.7,MTCE.7,WBGene00014454,Public name for WBGene00014454. History: N.A.
