gene,N_0MM,ID_0MM,N_1MM,ID_1MM,N_2MM,ID_2MM,N_3MM,ID_3MM,number of 22G-RNA reads at target sites in wild-type,number of 22G-RNA reads at target sites in prg-1,number of 22G-RNA reads matching transcript in wild-type,number of 22G-RNA reads matching transcript in prg-1,Input,Suggested Match,History
C31B8.14,0,,0,,0,,5,"21UR-890,21UR-7593,21UR-12175,21UR-13523,21UR-7938",0,0.0,0,0,C31B8.14,WBGene00005455,Sequence name for WBGene00005455(srh-249). History: N.A.
C31B8.3,0,,0,,0,,3,"21UR-9364,21UR-11956,21UR-6512",0,0.0,0,0,C31B8.3,WBGene00005362,Sequence name for WBGene00005362(srh-146). History: N.A.
C31H5.2,0,,0,,0,,1,21UR-11992,0,0.0,0,0,C31H5.2,,"Public name for Dead gene WBGene00014690. History of WBGene00014690: Killed on 2010-07-09. Remark: [100629 pad] Removed following correspondence with Rebecca Robilotto and Mark Gerstein, this is no longer believed to be a valid Pseudogene"
C32B5.8,0,,0,,1,21UR-12240,0,,0,0.0,0,0,C32B5.8,WBGene00016301,Sequence name for WBGene00016301(fbxc-6). History: N.A.
C33A12.9,0,,0,,0,,4,"21UR-10301,21UR-8287,21UR-7926,21UR-646",0,0.0,0,0,C33A12.9,WBGene00005668,Sequence name for WBGene00005668(sru-5). History: N.A.
C33C12.6,0,,1,21UR-16002,0,,8,"21UR-11677,21UR-8641,21UR-8716,21UR-16002,21UR-4468,21UR-9937,21UR-11526,21UR-7435",0,0.0,0,0,C33C12.6,WBGene00016338,Sequence name for WBGene00016338(srb-14). History: N.A.
C33D3.2,0,,0,,0,,2,"21UR-6807,21UR-13744",0,0.0,0,0,C33D3.2,WBGene00014694,Public name for WBGene00014694. History: N.A.
C33E10.3,0,,0,,1,21UR-11626,1,21UR-10502,0,0.0,10,0,C33E10.3,WBGene00023245,Public name for WBGene00023245. History: N.A.
C33E10.7,0,,0,,0,,1,21UR-4163,0,0.0,1,0,C33E10.7,WBGene00023247,Public name for WBGene00023247. History: N.A.
C34D4.16,0,,0,,1,21UR-6684,1,21UR-4904,0,0.0,0,0,C34D4.16,WBGene00006115,Sequence name for WBGene00006115(str-50). History: N.A.
C34D4.6,1,21UR-15978,0,,0,,5,"21UR-9947,21UR-10474,21UR-10517,21UR-6684,21UR-10396",0,0.0,0,0,C34D4.6,WBGene00006116,Sequence name for WBGene00006116(str-51). History: N.A.
C34D4.7,1,21UR-15978,0,,1,21UR-6684,3,"21UR-9947,21UR-4904,21UR-4997",0,0.0,0,0,C34D4.7,WBGene00006114,Sequence name for WBGene00006114(str-49). History: N.A.
C35D6.11,0,,0,,0,,1,21UR-7184,0,0.0,0,0,C35D6.11,WBGene00045028,Public name for WBGene00045028. History: N.A.
C35D6.13,0,,0,,0,,3,"21UR-772,21UR-13826,21UR-4413",0,0.0,0,0,C35D6.13,WBGene00045101,Public name for WBGene00045101. History: N.A.
C35D6.14,1,21UR-301,0,,0,,1,21UR-6175,0,0.0,0,0,C35D6.14,,"Public name for Dead gene WBGene00045206. History of WBGene00045206: Killed on 2010-07-09. Remark: [100629 pad] Removed following correspondence with Rebecca Robilotto and Mark Gerstein, this is no longer believed to be a valid Pseudogene"
C35D6.5,1,21UR-2225,0,,0,,2,"21UR-3067,21UR-6552",0,0.0,2,0,C35D6.5,WBGene00007962,Public name for WBGene00007962. History: N.A.
C35D6.8,1,21UR-1243,0,,2,"21UR-3031,21UR-9250",1,21UR-6662,0,0.0,0,0,C35D6.8,WBGene00005434,Sequence name for WBGene00005434(srh-224). History: N.A.
C36C5.1,0,,0,,1,21UR-5900,4,"21UR-11267,21UR-13593,21UR-4439,21UR-14673",0,0.0,0,0,C36C5.1,WBGene00016470,Sequence name for WBGene00016470(srab-5). History: N.A.
C38D9.10,0,,0,,0,,6,"21UR-11291,21UR-13021,21UR-5684,21UR-6859,21UR-6595,21UR-9381",0,0.0,0,0,C38D9.10,WBGene00005200,Sequence name for WBGene00005200(srg-43). History: N.A.
C38D9.11,0,,0,,0,,2,"21UR-8641,21UR-15506",0,0.0,0,0,C38D9.11,WBGene00044960,Sequence name for WBGene00044960(fbxa-173). History: N.A.
C38D9.12,0,,0,,0,,1,21UR-2091,0,0.0,3,1,C38D9.12,WBGene00045293,Sequence name for WBGene00045293(fbxa-175). History: N.A.
C40H5.8,0,,0,,0,,1,21UR-19,0,0.0,15,1,C40H5.8,WBGene00044585,Public name for WBGene00044585. History: N.A.
C42D4.10,0,,0,,0,,2,"21UR-6996,21UR-5215",0,0.0,0,0,C42D4.10,WBGene00006250,Sequence name for WBGene00006250(str-219). History: N.A.
C42D4.12,2,"21UR-14199,21UR-8221",1,21UR-15831,1,21UR-8409,3,"21UR-6523,21UR-9304,21UR-9381",0,0.0,0,0,C42D4.12,WBGene00006276,Sequence name for WBGene00006276(str-249). History: N.A.
C43D7.11,0,,0,,0,,2,"21UR-9815,21UR-13824",0,0.0,0,0,C43D7.11,WBGene00077664,Public name for WBGene00077664. History: N.A.
C43D7.1,0,,0,,0,,1,21UR-4997,0,0.0,4,0,C43D7.1,WBGene00014701,Public name for WBGene00014701. History: N.A.
C44C10.2,0,,1,21UR-15831,0,,4,"21UR-11953,21UR-7221,21UR-8409,21UR-9345",0,0.0,0,0,C44C10.2,WBGene00008083,"Sequence name for WBGene00008083(cyp-29A1). History: Split into C44C10.11(WBGene00043985). History of WBGene00008083: Split into ""WBGene00043985"" on 2004-10-14"
C44C3.10,0,,0,,0,,1,21UR-7900,0,0.0,0,0,C44C3.10,WBGene00005863,Sequence name for WBGene00005863(srw-116). History: N.A.
C44C3.8,0,,0,,0,,3,"21UR-3405,21UR-8344,21UR-9798",0,0.0,0,0,C44C3.8,WBGene00005306,Sequence name for WBGene00005306(srh-85). History: N.A.
C44H9.9,0,,1,21UR-11922,1,21UR-8273,3,"21UR-2193,21UR-9423,21UR-15903",0,0.0,1,0,C44H9.9,WBGene00077564,Public name for WBGene00077564. History: N.A.
C45B11.7,0,,0,,1,21UR-8409,5,"21UR-10737,21UR-4006,21UR-15809,21UR-15192,21UR-12810",0,0.0,3,0,C45B11.7,WBGene00050945,"Public name for WBGene00050945. History: Split into T04C12.33(WBGene00271444). History of WBGene00050945: Split into ""WBGene00271444"" on 2017-01-12"
C46C2.4,0,,0,,0,,6,"21UR-155,21UR-10584,21UR-9239,21UR-11057,21UR-10547,21UR-7801",0,0.0,0,0,C46C2.4,WBGene00008112,Public name for WBGene00008112. History: N.A.
C47G2.6,0,,0,,0,,1,21UR-11770,0,0.0,10,0,C47G2.6,WBGene00044038,Public name for WBGene00044038. History: N.A.
C49C3.2,0,,0,,0,,2,"21UR-9108,21UR-8287",0,0.0,1,3,C49C3.2,WBGene00008192,Public name for WBGene00008192. History: N.A.
C49F5.9,0,,0,,0,,2,"21UR-8409,21UR-11984",0,0.0,0,0,C49F5.9,WBGene00045316,"Public name for WBGene00045316. History: Split into C49F5.12(WBGene00268214). History of WBGene00045316: Split into ""WBGene00268214"" on 2015-10-30"
C50B6.13,0,,1,21UR-6226,0,,0,,0,0.0,0,0,C50B6.13,WBGene00014710,Public name for WBGene00014710. History: N.A.
C50C10.9,0,,0,,0,,1,21UR-12021,0,0.0,0,0,C50C10.9,WBGene00005697,Sequence name for WBGene00005697(sru-34). History: N.A.
C50F4.15,0,,0,,0,,1,21UR-1328,0,0.0,0,0,C50F4.15,WBGene00014711,Public name for WBGene00014711. History: N.A.
C50H11.16,0,,0,,0,,1,21UR-5187,0,0.0,0,0,C50H11.16,WBGene00006132,Sequence name for WBGene00006132(str-70). History: N.A.
C50H11.6,0,,0,,1,21UR-15745,3,"21UR-8243,21UR-15813,21UR-15745",0,0.0,0,0,C50H11.6,WBGene00016854,Sequence name for WBGene00016854(srt-10). History: N.A.
C51E3.8,0,,0,,0,,1,21UR-13882,0,0.0,1,0,C51E3.8,WBGene00008253,Public name for WBGene00008253. History: N.A.
C53D6.9,0,,0,,0,,4,"21UR-6501,21UR-11324,21UR-10887,21UR-15176",0,0.0,0,0,C53D6.9,WBGene00005906,Sequence name for WBGene00005906(srx-15). History: N.A.
C55A1.10,0,,0,,1,21UR-6595,10,"21UR-14453,21UR-15949,21UR-12391,21UR-11315,21UR-16003,21UR-14112,21UR-9327,21UR-5897,21UR-15314,21UR-6315",0,0.0,0,0,C55A1.10,WBGene00005384,Sequence name for WBGene00005384(srh-168). History: N.A.
C55A1.16,0,,0,,0,,2,"21UR-12639,21UR-10437",0,0.0,0,0,C55A1.16,WBGene00014723,Sequence name for WBGene00014723(srz-49). History: N.A.
C55A1.2,0,,0,,0,,1,21UR-10568,0,0.0,0,0,C55A1.2,WBGene00005192,Sequence name for WBGene00005192(srg-35). History: N.A.
C56A3.10,0,,0,,0,,3,"21UR-7884,21UR-13982,21UR-14064",0,0.0,18,5,C56A3.10,WBGene00077568,Public name for WBGene00077568. History: N.A.
D1054.16,0,,0,,0,,1,21UR-8272,0,0.0,0,0,D1054.16,WBGene00005379,Sequence name for WBGene00005379(srh-163). History: N.A.
D1054.6,0,,0,,0,,1,21UR-8575,0,0.0,0,0,D1054.6,WBGene00008373,Public name for WBGene00008373. History: N.A.
D1054.7,0,,0,,0,,3,"21UR-12658,21UR-7300,21UR-12996",0,0.0,0,0,D1054.7,WBGene00008374,Sequence name for WBGene00008374(clec-220). History: N.A.
D1086.20,0,,0,,0,,4,"21UR-15799,21UR-2512,21UR-8117,21UR-15781",0,0.0,3,0,D1086.20,WBGene00077448,Public name for WBGene00077448. History: N.A.
D2062.10,0,,0,,2,"21UR-15758,21UR-15887",4,"21UR-13837,21UR-15965,21UR-5552,21UR-15744",0,0.0,3,0,D2062.10,WBGene00005588,Sequence name for WBGene00005588(sri-76). History: N.A.
E03H12.8,0,,0,,0,,3,"21UR-15809,21UR-14045,21UR-1329",0,0.0,0,0,E03H12.8,WBGene00023265,Public name for WBGene00023265. History: N.A.
E03H4.9,0,,0,,0,,3,"21UR-11565,21UR-9094,21UR-13290",0,0.0,0,0,E03H4.9,WBGene00014729,Public name for WBGene00014729. History: N.A.
F01D4.10,0,,0,,0,,1,21UR-6435,0,0.0,0,0,F01D4.10,WBGene00008485,"Public name for Dead gene WBGene00045186. History of WBGene00045186: Merged into ""WBGene00008485"" on 2010-03-17"
F02E9.8,0,,0,,0,,1,21UR-12351,0,0.0,1,0,F02E9.8,WBGene00014731,Public name for WBGene00014731. History: N.A.
F07E5.10,0,,0,,0,,1,21UR-6549,0,0.0,2,0,F07E5.10,WBGene00023266,Public name for WBGene00023266. History: N.A.
F08E10.4,0,,0,,0,,2,"21UR-1799,21UR-6647",0,0.0,0,0,F08E10.4,WBGene00005329,Sequence name for WBGene00005329(srh-110). History: N.A.
F09F3.8,0,,0,,0,,2,"21UR-6696,21UR-10675",0,0.0,0,0,F09F3.8,WBGene00014732,Public name for WBGene00014732. History: N.A.
F10A3.10,0,,0,,1,21UR-8290,7,"21UR-8186,21UR-7674,21UR-7209,21UR-5944,21UR-5485,21UR-11852,21UR-1774",0,0.0,0,0,F10A3.10,WBGene00014733,Public name for WBGene00014733. History: N.A.
F10D2.3,0,,0,,1,21UR-343,6,"21UR-13676,21UR-12665,21UR-12606,21UR-7738,21UR-2034,21UR-14204",0,0.0,0,0,F10D2.3,WBGene00017330,"Sequence name for WBGene00017330(sre-10). History: Split into F10D2.16(WBGene00271437). History of WBGene00017330: Split into ""WBGene00271437"" on 2016-10-25"
F11A3.3,0,,0,,0,,1,21UR-6629,0,0.0,0,0,F11A3.3,WBGene00014734,Public name for WBGene00014734. History: N.A.
F11A5.11,0,,0,,2,"21UR-13601,21UR-11935",2,"21UR-8205,21UR-5797",0,0.0,0,0,F11A5.11,WBGene00005547,Sequence name for WBGene00005547(sri-35). History: N.A.
F11D11.16,0,,0,,0,,4,"21UR-13739,21UR-14488,21UR-3948,21UR-1101",0,0.0,0,0,F11D11.16,WBGene00077442,Public name for WBGene00077442. History: N.A.
F11D11.19,0,,0,,0,,1,21UR-810,0,0.0,0,0,F11D11.19,WBGene00077659,Public name for WBGene00077659. History: N.A.
F13A7.4,0,,0,,1,21UR-14627,4,"21UR-7073,21UR-8945,21UR-3337,21UR-8012",0,0.0,0,0,F13A7.4,WBGene00005746,Sequence name for WBGene00005746(srv-35). History: N.A.
F14F8.2,0,,0,,0,,1,21UR-11474,0,0.0,0,0,F14F8.2,WBGene00008813,Sequence name for WBGene00008813(srz-2). History: N.A.
F14H3.8,0,,0,,1,21UR-6687,4,"21UR-166,21UR-15473,21UR-6077,21UR-10942",0,0.0,0,0,F14H3.8,WBGene00008827,Public name for WBGene00008827. History: N.A.
F15H9.7,0,,0,,1,21UR-10991,1,21UR-14061,0,0.0,0,0,F15H9.7,WBGene00077535,Public name for WBGene00077535. History: N.A.
F17C8.8,0,,0,,0,,2,"21UR-15436,21UR-6871",0,0.0,0,2,F17C8.8,WBGene00044224,Public name for WBGene00044224. History: N.A.
F17E9.14,0,,0,,0,,1,21UR-11761,0,0.0,0,0,F17E9.14,WBGene00023270,Public name for WBGene00023270. History: N.A.
F18A11.6,0,,0,,0,,7,"21UR-7281,21UR-13719,21UR-7403,21UR-16003,21UR-9417,21UR-5735,21UR-14350",0,0.0,135,117,F18A11.6,WBGene00008933,Public name for WBGene00008933. History: N.A.
F18A11.7,0,,0,,0,,2,"21UR-5159,21UR-12062",0,0.0,0,0,F18A11.7,WBGene00044057,Public name for WBGene00044057. History: N.A.
F18E3.3,0,,0,,0,,2,"21UR-1223,21UR-15903",0,0.0,0,0,F18E3.3,WBGene00005343,Sequence name for WBGene00005343(srh-126). History: N.A.
F18E3.9,0,,0,,0,,3,"21UR-13650,21UR-10620,21UR-909",0,0.0,0,0,F18E3.9,WBGene00005825,Sequence name for WBGene00005825(srw-78). History: N.A.
F19B10.12,0,,0,,1,21UR-7899,1,21UR-13743,0,0.0,0,0,F19B10.12,WBGene00005990,Sequence name for WBGene00005990(srx-99). History: N.A.
F19B2.10,0,,0,,0,,1,21UR-12387,0,0.0,42,0,F19B2.10,WBGene00043055,Public name for WBGene00043055. History: N.A.
F19B2.11,0,,0,,1,21UR-14026,10,"21UR-11961,21UR-7595,21UR-9474,21UR-15899,21UR-11879,21UR-7525,21UR-6661,21UR-13886,21UR-4169,21UR-6120",0,0.0,2,0,F19B2.11,WBGene00013750,"Public name for Dead gene WBGene00077668. History of WBGene00077668: Merged into ""WBGene00013750"" on 2009-07-13"
F19B2.2,0,,0,,0,,1,21UR-14064,0,0.0,4,0,F19B2.2,WBGene00008942,Sequence name for WBGene00008942(srz-34). History: N.A.
F19F10.2,0,,0,,0,,4,"21UR-13982,21UR-10547,21UR-7182,21UR-10866",0,0.0,0,0,F19F10.2,WBGene00005534,Sequence name for WBGene00005534(sri-22). History: N.A.
F20B10.2,0,,0,,1,21UR-12643,6,"21UR-13983,21UR-13414,21UR-9809,21UR-11360,21UR-9366,21UR-15574",0,0.0,0,0,F20B10.2,WBGene00008966,Public name for WBGene00008966. History: N.A.
F20E11.11,0,,0,,0,,2,"21UR-6859,21UR-5015",0,0.0,0,0,F20E11.11,WBGene00005391,Sequence name for WBGene00005391(srh-175). History: N.A.
F20E11.13,0,,0,,1,21UR-13826,8,"21UR-1054,21UR-1832,21UR-10405,21UR-5647,21UR-6435,21UR-13826,21UR-11384,21UR-14218",0,0.0,4,0,F20E11.13,WBGene00005374,Sequence name for WBGene00005374(srh-158). History: N.A.
F20E11.16,0,,0,,2,"21UR-14189,21UR-15903",7,"21UR-4728,21UR-11183,21UR-4328,21UR-2244,21UR-8322,21UR-13553,21UR-14591",0,0.0,0,0,F20E11.16,WBGene00044101,Sequence name for WBGene00044101(srbc-28). History: N.A.
F20E11.8,0,,0,,0,,3,"21UR-10241,21UR-1832,21UR-11501",0,0.0,0,0,F20E11.8,WBGene00005373,Sequence name for WBGene00005373(srh-157). History: N.A.
F20E11.9,0,,0,,0,,2,"21UR-1832,21UR-4981",0,0.0,1,0,F20E11.9,WBGene00005372,Sequence name for WBGene00005372(srh-156). History: N.A.
F21D9.5,0,,2,"21UR-15831,21UR-15738",2,"21UR-15478,21UR-15745",10,"21UR-6595,21UR-9922,21UR-14950,21UR-13912,21UR-10420,21UR-14875,21UR-12238,21UR-10811,21UR-1849",0,0.0,3,0,F21D9.5,WBGene00009019,"Public name for WBGene00009019. History: Split into F21D9.11(WBGene00219452). History of WBGene00009019: Split into ""WBGene00219452"" on 2012-04-20"
F21D9.6,0,,0,,1,21UR-7366,7,"21UR-6346,21UR-12128,21UR-9077,21UR-11262,21UR-1748,21UR-7659",0,0.0,4,0,F21D9.6,WBGene00009020,Public name for WBGene00009020. History: N.A.
F21H7.16,0,,0,,0,,1,21UR-7701,0,0.0,0,0,F21H7.16,WBGene00077613,Public name for WBGene00077613. History: N.A.
F21H7.6,0,,0,,0,,1,21UR-13912,0,0.0,0,0,F21H7.6,WBGene00014740,Public name for WBGene00014740. History: N.A.
F22B8.4,0,,0,,0,,2,"21UR-8882,21UR-12640",0,0.0,0,0,F22B8.4,WBGene00009047,Public name for WBGene00009047. History: N.A.
F22B8.9,0,,0,,1,21UR-2149,0,,0,0.0,0,0,F22B8.9,WBGene00077608,Public name for WBGene00077608. History: N.A.
F22E10.4,0,,0,,0,,2,"21UR-4375,21UR-15937",0,0.0,0,0,F22E10.4,WBGene00004009,Sequence name for WBGene00004009(pgp-15). History: N.A.
F22E5.10,0,,0,,0,,3,"21UR-5805,21UR-14112,21UR-7506",0,0.0,0,0,F22E5.10,WBGene00005553,Sequence name for WBGene00005553(sri-41). History: N.A.
F22E5.14,0,,1,21UR-15985,1,21UR-15986,10,"21UR-15813,21UR-15986,21UR-15985,21UR-6859,21UR-10808",0,0.0,0,0,F22E5.14,WBGene00005561,Sequence name for WBGene00005561(sri-49). History: N.A.
F23A7.2,0,,0,,0,,1,21UR-10457,0,0.0,7,1,F23A7.2,,"Public name for Dead gene WBGene00014743. History of WBGene00014743: Killed on 2010-07-09. Remark: [100629 pad] Removed following correspondence with Rebecca Robilotto and Mark Gerstein, this is no longer believed to be a valid Pseudogene"
F23A7.6,0,,0,,0,,1,21UR-14519,0,0.0,43,5,F23A7.6,WBGene00009071,Public name for WBGene00009071. History: N.A.
F23B12.2,0,,0,,0,,1,21UR-7857,0,0.0,1,0,F23B12.2,WBGene00005706,Sequence name for WBGene00005706(sru-43). History: N.A.
F23C8.2,0,,0,,0,,2,"21UR-9052,21UR-13168",0,0.0,0,0,F23C8.2,WBGene00023273,Public name for WBGene00023273. History: N.A.
F23F12.11,0,,0,,0,,3,"21UR-3658,21UR-7580,21UR-9764",0,0.0,0,0,F23F12.11,WBGene00005075,Sequence name for WBGene00005075(srb-10). History: N.A.
F25H9.9,0,,0,,0,,4,"21UR-1010,21UR-13601,21UR-13119,21UR-13167",0,0.0,0,0,F25H9.9,WBGene00014744,Public name for WBGene00014744. History: N.A.
F26G5.11,1,21UR-15745,1,21UR-15813,2,"21UR-15738,21UR-15890",4,"21UR-8061,21UR-15986,21UR-12202,21UR-15745",0,0.0,0,0,F26G5.11,WBGene00006243,Sequence name for WBGene00006243(str-210). History: N.A.
F26G5.3,0,,0,,0,,4,"21UR-9364,21UR-11338,21UR-10455,21UR-15811",0,0.0,0,0,F26G5.3,WBGene00005100,Sequence name for WBGene00005100(srd-22). History: N.A.
F28B1.11,0,,0,,0,,1,21UR-12833,0,0.0,1,1,F28B1.11,WBGene00050976,Public name for WBGene00050976. History: N.A.
F28B1.7,0,,0,,0,,1,21UR-15200,0,0.0,0,0,F28B1.7,WBGene00005462,Sequence name for WBGene00005462(srh-256). History: N.A.
F28C12.3,0,,0,,0,,1,21UR-1223,0,0.0,0,0,F28C12.3,WBGene00005045,Sequence name for WBGene00005045(sra-19). History: N.A.
F28D1.12,1,21UR-10816,0,,0,,3,"21UR-11949,21UR-6329,21UR-7841",0,0.0,1,0,F28D1.12,WBGene00044285,Sequence name for WBGene00044285(thn-8). History: N.A.
F28F8.10,0,,0,,0,,2,"21UR-9742,21UR-10905",1,1.0,20,11,F28F8.10,WBGene00044219,Public name for WBGene00044219. History: N.A.
F30B5.9,0,,0,,0,,2,"21UR-13167,21UR-14877",0,0.0,0,0,F30B5.9,WBGene00044093,Sequence name for WBGene00044093(srbc-72). History: N.A.
F30D4.1,0,,0,,0,,1,21UR-7525,0,0.0,0,0,F30D4.1,WBGene00023278,Public name for WBGene00023278. History: N.A.
F31E9.1,0,,0,,0,,2,"21UR-8321,21UR-6310",0,0.0,28,0,F31E9.1,WBGene00009295,Sequence name for WBGene00009295(fbxa-180). History: N.A.
F31E9.7,0,,0,,0,,1,21UR-10049,0,0.0,1,0,F31E9.7,WBGene00023507,Sequence name for WBGene00023507(srz-26). History: N.A.
F31E9.8,0,,0,,0,,1,21UR-3220,0,0.0,0,0,F31E9.8,WBGene00045408,Public name for WBGene00045408. History: N.A.
F31F4.10,0,,0,,0,,2,"21UR-15951,21UR-1904",0,0.0,0,0,F31F4.10,WBGene00005320,Sequence name for WBGene00005320(srh-101). History: N.A.
F32A7.1,0,,0,,0,,3,"21UR-875,21UR-322,21UR-12310",0,0.0,0,0,F32A7.1,WBGene00005839,Sequence name for WBGene00005839(srw-92). History: N.A.
F33H12.3,0,,2,"21UR-15758,21UR-15887",0,,1,21UR-10814,0,0.0,0,0,F33H12.3,WBGene00005587,Sequence name for WBGene00005587(sri-75). History: N.A.
F35E12.1,0,,0,,0,,1,21UR-12490,0,0.0,0,0,F35E12.1,WBGene00009425,Sequence name for WBGene00009425(scl-16). History: N.A.
F35E2.10,0,,0,,0,,5,"21UR-15829,21UR-3176,21UR-13853,21UR-15827,21UR-11715",0,0.0,2,1,F35E2.10,WBGene00044270,Public name for WBGene00044270. History: N.A.
F35E2.7,0,,0,,0,,1,21UR-15437,0,0.0,1,0,F35E2.7,WBGene00009414,Public name for WBGene00009414. History: N.A.
F36D3.15,0,,0,,0,,1,21UR-10915,0,0.0,0,0,F36D3.15,WBGene00077619,Public name for WBGene00077619. History: N.A.
F36D3.7,0,,0,,1,21UR-15836,4,"21UR-15836,21UR-9558,21UR-2581",0,0.0,0,0,F36D3.7,WBGene00009472,Public name for WBGene00009472. History: N.A.
F36G9.4,0,,0,,0,,4,"21UR-8819,21UR-6542,21UR-11872",0,0.0,0,0,F36G9.4,WBGene00014751,Public name for WBGene00014751. History: N.A.
F38B7.6,0,,0,,0,,2,"21UR-1927,21UR-8291",0,0.0,0,0,F38B7.6,WBGene00005962,Sequence name for WBGene00005962(srx-71). History: N.A.
F38B7.9,0,,0,,0,,2,"21UR-13962,21UR-8890",0,0.0,0,0,F38B7.9,WBGene00005963,Sequence name for WBGene00005963(srx-72). History: N.A.
F38E1.12,0,,0,,0,,2,"21UR-2135,21UR-11246",0,0.0,0,0,F38E1.12,WBGene00044126,Sequence name for WBGene00044126(srsx-23). History: N.A.
F39E9.8,0,,0,,0,,2,"21UR-8111,21UR-12037",0,0.0,1,0,F39E9.8,WBGene00023281,Public name for WBGene00023281. History: N.A.
F39E9.9,0,,0,,0,,1,21UR-13798,0,0.0,0,0,F39E9.9,WBGene00023282,Public name for WBGene00023282. History: N.A.
F40D4.10,0,,0,,0,,3,"21UR-2316,21UR-8098,21UR-3989",0,0.0,0,0,F40D4.10,WBGene00009570,Sequence name for WBGene00009570(srz-65). History: N.A.
F40D4.14,0,,0,,0,,4,"21UR-13858,21UR-14370,21UR-5812,21UR-14046",0,0.0,46,0,F40D4.14,WBGene00014753,Public name for WBGene00014753. History: N.A.
F40D4.4,0,,2,"21UR-15823,21UR-15933",0,,4,"21UR-11756,21UR-13206,21UR-12994,21UR-15754",0,0.0,0,0,F40D4.4,WBGene00005378,Sequence name for WBGene00005378(srh-162). History: N.A.
F40F12.9,0,,0,,0,,1,21UR-5207,0,0.0,0,0,F40F12.9,WBGene00043995,Public name for WBGene00043995. History: N.A.
F40F9.11,0,,0,,1,21UR-12664,4,"21UR-14550,21UR-15513,21UR-2045,21UR-2216",0,0.0,0,0,F40F9.11,WBGene00014754,Public name for WBGene00014754. History: N.A.
F40H7.11,0,,0,,4,"21UR-9364,21UR-8498,21UR-15811,21UR-10111",11,"21UR-9539,21UR-9235,21UR-8498,21UR-9364,21UR-15809,21UR-11897,21UR-15811,21UR-13085,21UR-13799,21UR-7210",0,0.0,2,0,F40H7.11,WBGene00005994,Sequence name for WBGene00005994(srx-103). History: N.A.
F40H7.1,0,,0,,0,,1,21UR-7320,0,0.0,0,0,F40H7.1,WBGene00006000,Sequence name for WBGene00006000(srx-109). History: N.A.
F40H7.3,0,,0,,0,,2,"21UR-3326,21UR-5792",0,0.0,0,0,F40H7.3,WBGene00005991,Sequence name for WBGene00005991(srx-100). History: N.A.
F40H7.9,0,,0,,0,,1,21UR-13889,0,0.0,0,0,F40H7.9,WBGene00005997,Sequence name for WBGene00005997(srx-106). History: N.A.
F41D3.12,0,,0,,0,,1,21UR-10211,0,0.0,0,0,F41D3.12,WBGene00044267,Public name for WBGene00044267. History: N.A.
F43A11.5,0,,0,,0,,2,"21UR-12436,21UR-9487",0,0.0,0,0,F43A11.5,WBGene00005972,Sequence name for WBGene00005972(srx-81). History: N.A.
F44D12.11,0,,0,,0,,1,21UR-15162,0,0.0,0,0,F44D12.11,WBGene00014375,Public name for WBGene00014375. History: N.A.
F44F1.1,0,,0,,1,21UR-12543,3,"21UR-4702,21UR-1628,21UR-15081",0,0.0,1,0,F44F1.1,WBGene00009693,Public name for WBGene00009693. History: N.A.
F44G3.16,0,,0,,0,,1,21UR-2478,0,0.0,0,0,F44G3.16,WBGene00077610,Public name for WBGene00077610. History: N.A.
F44G3.3,0,,0,,0,,1,21UR-15735,0,0.0,997,1040,F44G3.3,,"Public name for Dead gene WBGene00014756. History of WBGene00014756: Killed on 2010-07-09. Remark: [100629 pad] Removed following correspondence with Rebecca Robilotto and Mark Gerstein, this is no longer believed to be a valid Pseudogene"
F44G3.4,0,,0,,0,,1,21UR-10851,0,0.0,0,0,F44G3.4,WBGene00014757,Public name for WBGene00014757. History: N.A.
F45D11.2,0,,0,,0,,1,21UR-15360,0,0.0,8,1,F45D11.2,WBGene00018449,Public name for WBGene00018449. History: N.A.
F45D11.3,0,,0,,0,,1,21UR-15360,0,0.0,8,1,F45D11.3,WBGene00018450,Public name for WBGene00018450. History: N.A.
F45D11.4,0,,0,,0,,1,21UR-15360,0,0.0,8,1,F45D11.4,WBGene00018451,Public name for WBGene00018451. History: N.A.
F46A8.1,0,,0,,0,,1,21UR-6013,0,0.0,2,0,F46A8.1,WBGene00014759,Public name for WBGene00014759. History: N.A.
F46B3.12,0,,0,,0,,5,"21UR-15088,21UR-15876,21UR-41,21UR-3906,21UR-11267",0,0.0,0,0,F46B3.12,WBGene00009764,Sequence name for WBGene00009764(srz-17). History: N.A.
F46B3.13,0,,0,,1,21UR-14839,0,,0,0.0,0,0,F46B3.13,,"Public name for Dead gene WBGene00014762. History of WBGene00014762: Killed on 2010-07-09. Remark: [100629 pad] Removed following correspondence with Rebecca Robilotto and Mark Gerstein, this is no longer believed to be a valid Pseudogene"
F46B3.22,0,,0,,0,,2,"21UR-14590,21UR-2781",0,0.0,0,0,F46B3.22,WBGene00077436,Public name for WBGene00077436. History: N.A.
F46C3.4,0,,1,21UR-5485,1,21UR-7905,4,"21UR-11663,21UR-4012,21UR-10405,21UR-10442",0,0.0,1,0,F46C3.4,WBGene00044702,Public name for WBGene00044702. History: N.A.
F46F2.1,0,,0,,0,,5,"21UR-9670,21UR-9874,21UR-14416,21UR-14475,21UR-15961",0,0.0,0,1,F46F2.1,WBGene00009786,Public name for WBGene00009786. History: N.A.
