Gene_Symbol,Wild_type,YY913,Coverage,Input,Suggested Match,History
klp-16,0,1,0.019,klp-16,WBGene00002226,Public name for WBGene00002226. History: N.A.
lec-10,0,1,0.063,lec-10,WBGene00002273,Public name for WBGene00002273. History: N.A.
let-355,0,1,0.018,let-355,WBGene00020263,Public name for WBGene00020263. History: N.A.
lmn-1,0,1,0.028,lmn-1,WBGene00003052,Public name for WBGene00003052. History: N.A.
lsm-4,0,1,0.081,lsm-4,WBGene00003078,Public name for WBGene00003078. History: N.A.
mbf-1,0,1,0.128,mbf-1,WBGene00003148,Public name for WBGene00003148. History: N.A.
met-1,0,1,0.007,met-1,WBGene00016603,Public name for WBGene00016603. History: N.A.
mix-1,0,1,0.012,mix-1,WBGene00003367,Public name for WBGene00003367. History: N.A.
mog-1,0,1,0.011,mog-1,WBGene00003389,Public name for WBGene00003389. History: N.A.
mog-3,0,1,0.024,mog-3,WBGene00003391,Public name for WBGene00003391. History: N.A.
mrps-10,0,1,0.096,mrps-10,WBGene00012556,Public name for WBGene00012556. History: N.A.
mrps-15,0,1,0.042,mrps-15,WBGene00010624,Public name for WBGene00010624. History: N.A.
mrps-34,0,1,0.105,mrps-34,WBGene00010905,Public name for WBGene00010905. History: N.A.
mrps-35,0,1,0.033,mrps-35,WBGene00012697,Public name for WBGene00012697. History: N.A.
msp-152,0,1,0.11,msp-152,WBGene00003470,Public name for WBGene00003470. History: N.A.
myo-2,0,1,0.011,myo-2,WBGene00003514,Public name for WBGene00003514. History: N.A.
nath-10,0,1,0.015,nath-10,WBGene00018866,Public name for WBGene00018866. History: Renamed on 2015-03-05
ngp-1,0,1,0.025,ngp-1,WBGene00003596,Public name for WBGene00003596. History: N.A.
nhr-8,0,1,0.018,nhr-8,WBGene00003607,Public name for WBGene00003607. History: N.A.
nkb-3,0,1,0.054,nkb-3,WBGene00010117,Public name for WBGene00010117. History: N.A.
npp-1,0,1,0.019,npp-1,WBGene00003787,Public name for WBGene00003787. History: N.A.
npp-13,0,1,0.018,npp-13,WBGene00003799,Public name for WBGene00003799. History: N.A.
npp-20,0,1,0.048,npp-20,WBGene00003806,Public name for WBGene00003806. History: N.A.
npp-6,0,1,0.008,npp-6,WBGene00003792,Public name for WBGene00003792. History: Renamed on 2015-03-05
nra-4,0,1,0.015,nra-4,WBGene00015344,Public name for WBGene00015344. History: N.A.
nuo-5,0,1,0.027,nuo-5,WBGene00021562,Public name for WBGene00021562. History: Renamed on 2008-02-26
oma-1,0,1,0.027,oma-1,WBGene00003864,Public name for WBGene00003864. History: N.A.
par-5,0,1,0.036,par-5,WBGene00003920,Public name for WBGene00003920. History: N.A.
pdi-2,0,1,0.022,pdi-2,WBGene00003963,Public name for WBGene00003963. History: N.A.
pie-1,0,1,0.042,pie-1,WBGene00004027,Public name for WBGene00004027. History: N.A.
plp-1,0,1,0.066,plp-1,WBGene00004046,Public name for WBGene00004046. History: N.A.
pmp-1,0,1,0.02,pmp-1,WBGene00004058,Public name for WBGene00004058. History: N.A.
pno-1,0,1,0.043,pno-1,WBGene00013144,Public name for WBGene00013144. History: N.A.
prdx-2,0,1,0.05,prdx-2,WBGene00006434,Public name for WBGene00006434. History: N.A.
prp-1,0,1,0.059,prp-1,WBGene00004143,Other name for WBGene00004143(pqn-59). History: N.A.
prp-3,0,1,0.031,prp-3,WBGene00010844,Public name for WBGene00010844. History: N.A.
prp-4,0,1,0.024,prp-4,WBGene00007972,Public name for WBGene00007972. History: N.A.. Other name for WBGene00004186(prpf-4). History: Renamed on 2007-02-23; Renamed on 2015-03-05
puf-5,0,1,0.029,puf-5,WBGene00004241,Public name for WBGene00004241. History: N.A.
R08D7.1,0,1,0.031,R08D7.1,WBGene00011142,Sequence name for WBGene00011142(bud-13). History: N.A.
R12B2.6,0,1,0.16,R12B2.6,WBGene00020020,Public name for WBGene00020020. History: N.A.
rbm-28,0,1,0.016,rbm-28,WBGene00011043,Public name for WBGene00011043. History: N.A.
repo-1,0,1,0.059,repo-1,WBGene00008683,Public name for WBGene00008683. History: N.A.
riok-1,0,1,0.03,riok-1,WBGene00019698,Public name for WBGene00019698. History: Renamed on 2019-07-02
rnp-7,0,1,0.045,rnp-7,WBGene00004390,Public name for WBGene00004390. History: N.A.
rpoa-2,0,1,0.011,rpoa-2,WBGene00008781,Public name for WBGene00008781. History: N.A.
rsp-2,0,1,0.025,rsp-2,WBGene00004699,Public name for WBGene00004699. History: N.A.
rsp-5,0,1,0.058,rsp-5,WBGene00004702,Public name for WBGene00004702. History: N.A.
rsp-6,0,1,0.117,rsp-6,WBGene00004703,Public name for WBGene00004703. History: N.A.
sap-49,0,1,0.036,sap-49,WBGene00004723,Public name for WBGene00004723. History: N.A.
sca-1,0,1,0.012,sca-1,WBGene00004736,Public name for WBGene00004736. History: N.A.
set-29,0,1,0.035,set-29,WBGene00022371,Public name for WBGene00022371. History: N.A.
smg-2,0,1,0.01,smg-2,WBGene00004880,Public name for WBGene00004880. History: N.A.
spat-2,0,1,0.088,spat-2,WBGene00012973,Public name for WBGene00012973. History: N.A.
srpa-72,0,1,0.02,srpa-72,WBGene00017245,Public name for WBGene00017245. History: N.A.
sut-2,0,1,0.039,sut-2,WBGene00022019,Public name for WBGene00022019. History: N.A.
tag-151,0,1,0.024,tag-151,WBGene00006497,Public name for WBGene00006497. History: N.A.
tag-153,0,1,0.02,tag-153,WBGene00006499,Public name for WBGene00006499. History: N.A.
tag-320,0,1,0.041,tag-320,WBGene00015168,Other name for WBGene00015168(pdi-6). History: N.A.
tag-65,0,1,0.028,tag-65,WBGene00006442,Public name for WBGene00006442. History: N.A.
tax-6,0,1,0.018,tax-6,WBGene00006527,Public name for WBGene00006527. History: N.A.
thoc-1,0,1,0.026,thoc-1,WBGene00020172,Public name for WBGene00020172. History: N.A.
tiar-1,0,1,0.043,tiar-1,WBGene00015943,Public name for WBGene00015943. History: N.A.
tpxl-1,0,1,0.033,tpxl-1,WBGene00021470,Public name for WBGene00021470. History: N.A.
tufm-1,0,1,0.032,tufm-1,WBGene00007000,Public name for WBGene00007000. History: N.A.
unc-116,0,1,0.018,unc-116,WBGene00006840,Public name for WBGene00006840. History: N.A.
unc-44,0,1,0.01,unc-44,WBGene00006780,Public name for WBGene00006780. History: N.A.
usp-39,0,1,0.03,usp-39,WBGene00017280,Public name for WBGene00017280. History: N.A.
usp-7,0,1,0.012,,,
xrn-2,0,1,0.011,xrn-2,WBGene00006964,Public name for WBGene00006964. History: N.A.
Y39E4A.3,0,1,0.037,Y39E4A.3,WBGene00012713,Sequence name for WBGene00012713(bckd-1A). History: N.A.
Y57G11C.3,0,1,0.059,Y57G11C.3,WBGene00013301,Public name for WBGene00013301. History: N.A.
Y92H12BR.2,0,1,0.073,Y92H12BR.2,WBGene00022368,Public name for WBGene00022368. History: N.A.
zbp-1,0,1,0.027,zbp-1,WBGene00010908,Other name for WBGene00010908(imph-1). History: Renamed on 2018-03-19
ZK1073.1,1,1,0.031,ZK1073.1,WBGene00014213,Public name for WBGene00014213. History: N.A.
ZK1307.9,0,1,0.038,ZK1307.9,WBGene00014250,Public name for WBGene00014250. History: N.A.
