# Table S1. WAGO-4-associated siRNAs targeted genes,Related to Figure 5
# The targets were selected using a threshold of 25 reads per million total reads.,NA
Gene ID,number of reads,number of reads per million,Input,Suggested Match,History
Y48E1B.12,1182,100.3992014951,Y48E1B.12,WBGene00000804,Sequence name for WBGene00000804(csc-1). History: N.A.
F15D4.6,1181,100.3142613923,F15D4.6,WBGene00008863,Public name for WBGene00008863. History: N.A.
F29D11.2,1181,100.3142613923,F29D11.2,WBGene00009254,Sequence name for WBGene00009254(capg-1). History: N.A.
F57A10.3,1180,100.2293212895,F57A10.3,WBGene00001813,Sequence name for WBGene00001813(haf-3). History: N.A.
K07A1.12,1180,100.2293212895,K07A1.12,WBGene00003036,Sequence name for WBGene00003036(lin-53). History: N.A.
Y62E10A.14,1180,100.2293212895,Y62E10A.14,WBGene00013380,Sequence name for WBGene00013380(memi-2). History: N.A.
C18H2.1,1179,100.1443811867,C18H2.1,WBGene00015988,"Sequence name for WBGene00015988(lido-18). History: Split into C18H2.8(WBGene00305979), C18H2.9(WBGene00305980). History of WBGene00015988: Split into ""WBGene00305979"" on 2020-01-20; Split into ""WBGene00305980"" on 2020-01-20"
B0546.2,1177,99.9745009811,B0546.2,WBGene00015249,Sequence name for WBGene00015249(otub-4). History: N.A.
T10F2.4,1177,99.9745009811,T10F2.4,WBGene00020423,Sequence name for WBGene00020423(prp-19). History: N.A.
C41C4.6,1175,99.8046207756,C41C4.6,WBGene00006739,Sequence name for WBGene00006739(ulp-4). History: N.A.
T05E11.3,1175,99.8046207756,T05E11.3,WBGene00011480,Sequence name for WBGene00011480(enpl-1). History: N.A.
C01G6.5,1174,99.7196806728,C01G6.5,WBGene00007227,Public name for WBGene00007227. History: N.A.
Y38F2AL.2,1173,99.63474057,Y38F2AL.2,WBGene00021416,Sequence name for WBGene00021416(mksr-2). History: N.A.
F28D1.1,1172,99.5498004672,F28D1.1,WBGene00009211,Sequence name for WBGene00009211(wdr-46). History: N.A.
W08F4.8,1172,99.5498004672,W08F4.8,WBGene00021097,Sequence name for WBGene00021097(cdc-37). History: N.A.
Y47G6A.7,1172,99.5498004672,Y47G6A.7,WBGene00021637,Public name for WBGene00021637. History: N.A.
K05C4.6,1171,99.4648603644,K05C4.6,WBGene00001979,Sequence name for WBGene00001979(hmp-2). History: Renamed on 2011-04-19
F28F8.7,1169,99.2949801588,F28F8.7,WBGene00009224,Public name for WBGene00009224. History: N.A.
F54A3.3,1169,99.2949801588,F54A3.3,WBGene00018782,Sequence name for WBGene00018782(cct-3). History: N.A.
K07C5.1,1169,99.2949801588,K07C5.1,WBGene00000200,Sequence name for WBGene00000200(arx-2). History: N.A.
Y45F3A.3,1169,99.2949801588,Y45F3A.3,WBGene00012860,Sequence name for WBGene00012860(acdh-11). History: N.A.
Y53F4B.13,1168,99.2100400561,Y53F4B.13,WBGene00013160,Sequence name for WBGene00013160(cmtr-1). History: N.A.
F10G8.7,1167,99.1250999533,F10G8.7,WBGene00008665,Sequence name for WBGene00008665(ercc-1). History: N.A.
K08F4.2,1167,99.1250999533,K08F4.2,WBGene00010677,Sequence name for WBGene00010677(gtbp-1). History: N.A.
ZK858.7,1167,99.1250999533,ZK858.7,WBGene00014120,Public name for WBGene00014120. History: N.A.
B0393.1,1166,99.0401598505,B0393.1,WBGene00004469,Sequence name for WBGene00004469(rps-0). History: N.A.
C36B1.3,1166,99.0401598505,C36B1.3,WBGene00007971,"Sequence name for WBGene00007971(rpb-3). History: Split into C36B1.14(WBGene00044614), B0252.8(WBGene00044615). History of WBGene00007971: Split into ""WBGene00044615"" on 2005-08-22"
C32E8.10,1165,98.9552197477,C32E8.10,WBGene00006751,Sequence name for WBGene00006751(unc-11). History: Renamed on 2015-03-05
C55B7.11,1165,98.9552197477,C55B7.11,WBGene00016947,Public name for WBGene00016947. History: N.A.
W02A2.7,1165,98.9552197477,W02A2.7,WBGene00003230,Sequence name for WBGene00003230(mex-5). History: N.A.
Y80D3A.2,1165,98.9552197477,Y80D3A.2,WBGene00001258,"Sequence name for WBGene00001258(emb-4). History: Renamed on 2006-10-16. Public name for Dead gene WBGene00013582. History of WBGene00013582: Merged into ""WBGene00001258"" on 2006-10-16"
Y37H2A.1,1164,98.8702796449,Y37H2A.1,WBGene00012562,Public name for WBGene00012562. History: N.A.
H06I04.2,1163,98.7853395421,H06I04.2,WBGene00004787,Sequence name for WBGene00004787(sft-1). History: N.A.
C28H8.9,1162,98.7003994393,C28H8.9,WBGene00016200,Sequence name for WBGene00016200(dpff-1). History: N.A.
R12E2.2,1162,98.7003994393,R12E2.2,WBGene00020031,Sequence name for WBGene00020031(suco-1). History: Renamed on 2015-02-09
H04J21.3,1161,98.6154593365,H04J21.3,WBGene00001589,Sequence name for WBGene00001589(gip-1). History: N.A.
Y47D3A.22,1161,98.6154593365,Y47D3A.22,WBGene00012933,Sequence name for WBGene00012933(mib-1). History: N.A.
Y49F6B.2,1161,98.6154593365,Y49F6B.2,WBGene00021715,Public name for WBGene00021715. History: N.A.
C05D2.6,1160,98.5305192338,C05D2.6,WBGene00015468,Sequence name for WBGene00015468(madf-11). History: N.A.
T05F1.2,1160,98.5305192338,T05F1.2,WBGene00011489,Public name for WBGene00011489. History: N.A.
Y65B4BR.5,1160,98.5305192338,Y65B4BR.5,WBGene00022042,Sequence name for WBGene00022042(icd-2). History: N.A.
C49H3.3,1159,98.445579131,C49H3.3,WBGene00016790,Public name for WBGene00016790. History: N.A.
F43E2.8,1159,98.445579131,F43E2.8,WBGene00002008,Sequence name for WBGene00002008(hsp-4). History: N.A.
R12C12.7,1159,98.445579131,R12C12.7,WBGene00020027,Public name for WBGene00020027. History: N.A.
Y66D12A.15,1158,98.3606390282,Y66D12A.15,WBGene00013441,Sequence name for WBGene00013441(xpb-1). History: N.A.
M01H9.3,1156,98.1907588226,M01H9.3,WBGene00019719,Public name for WBGene00019719. History: N.A.
C32E8.2,1155,98.1058187198,C32E8.2,WBGene00004425,Sequence name for WBGene00004425(rpl-13). History: N.A.
T01E8.6,1155,98.1058187198,T01E8.6,WBGene00011334,Sequence name for WBGene00011334(mrps-14). History: N.A.
W02D3.4,1155,98.1058187198,W02D3.4,WBGene00020933,"Public name for WBGene00020933. History: Split into W02D3.13(WBGene00303103). History of WBGene00020933: Split into ""WBGene00303103"" on 2018-03-06"
T05H10.6,1154,98.020878617,T05H10.6,WBGene00011510,Sequence name for WBGene00011510(pdha-1). History: N.A.
Y38C1AA.2,1153,97.9359385142,Y38C1AA.2,WBGene00000815,Sequence name for WBGene00000815(csn-3). History: N.A.
F16A11.1,1152,97.8509984115,F16A11.1,WBGene00008876,Public name for WBGene00008876. History: N.A.
Y17G7B.15,1151,97.7660583087,Y17G7B.15,WBGene00000565,Sequence name for WBGene00000565(cnt-1). History: Renamed on 2014-12-10
Y92H12BR.8,1151,97.7660583087,Y92H12BR.8,WBGene00022373,Sequence name for WBGene00022373(mrpl-15). History: N.A.
T10E9.7,1149,97.5961781031,T10E9.7,WBGene00020417,"Sequence name for WBGene00020417(nuo-2). History: Split into T10E9.14(WBGene00271694). History of WBGene00020417: Renamed on 2008-02-26; Renamed on 2015-03-02; Split into ""WBGene00271694"" on 2017-04-28"
B0205.3,1147,97.4262978975,B0205.3,WBGene00004466,Sequence name for WBGene00004466(rpn-10). History: N.A.
C49H3.6,1147,97.4262978975,C49H3.6,WBGene00016792,Public name for WBGene00016792. History: N.A.
Y56A3A.21,1147,97.4262978975,Y56A3A.21,WBGene00013238,Sequence name for WBGene00013238(trap-4). History: N.A.
Y59A8B.13,1147,97.4262978975,Y59A8B.13,WBGene00013350,Sequence name for WBGene00013350(slr-2). History: Renamed on 2008-05-23
K04B12.3,1146,97.3413577947,K04B12.3,WBGene00010551,Sequence name for WBGene00010551(smg-8). History: N.A.
Y39C12A.8,1145,97.2564176919,Y39C12A.8,WBGene00001044,Sequence name for WBGene00001044(dnj-26). History: N.A.
ZK858.5,1144,97.1714775891,ZK858.5,WBGene00014118,Public name for WBGene00014118. History: N.A.
W02F12.5,1142,97.0015973836,W02F12.5,WBGene00020950,Sequence name for WBGene00020950(dlst-1). History: N.A.
F25B3.6,1141,96.9166572808,F25B3.6,WBGene00009103,Sequence name for WBGene00009103(rtfo-1). History: N.A.
B0035.9,1140,96.831717178,B0035.9,WBGene00001920,Sequence name for WBGene00001920(his-46). History: N.A.
F35G2.2,1139,96.7467770752,F35G2.2,WBGene00009436,Sequence name for WBGene00009436(marb-1). History: N.A.
C07H6.2,1138,96.6618369724,C07H6.2,WBGene00015579,Public name for WBGene00015579. History: N.A.
F36H1.4,1137,96.5768968696,F36H1.4,WBGene00002992,Sequence name for WBGene00002992(lin-3). History: Renamed on 2006-10-05
W09B7.2,1136,96.4919567668,W09B7.2,WBGene00021107,Public name for WBGene00021107. History: N.A.
F54E12.3,1135,96.4070166641,F54E12.3,WBGene00001930,Sequence name for WBGene00001930(his-56). History: N.A.
K11D2.2,1135,96.4070166641,K11D2.2,WBGene00010769,Sequence name for WBGene00010769(asah-1). History: Renamed on 2004-08-25
Y48A6B.10,1135,96.4070166641,Y48A6B.10,WBGene00012973,"Public name for Dead gene WBGene00012971. History of WBGene00012971: Merged into ""WBGene00012973"" on 2016-10-20; Merged into ""WBGene00012973"" on 2016-10-20"
F43G9.9,1133,96.2371364585,F43G9.9,WBGene00000777,Sequence name for WBGene00000777(cpn-1). History: N.A.
ZC477.3,1133,96.2371364585,ZC477.3,WBGene00022618,Public name for WBGene00022618. History: N.A.
C14C10.4,1132,96.1521963557,C14C10.4,WBGene00007587,Sequence name for WBGene00007587(mma-1). History: N.A.
Y20F4.3,1129,95.8973760473,Y20F4.3,WBGene00021238,Sequence name for WBGene00021238(gap-3). History: N.A.
ZC132.4,1129,95.8973760473,ZC132.4,,Sequence name for Suppressed gene WBGene00022523. Molecular name for Suppressed gene WBGene00022523. Public name for Suppressed gene WBGene00022523. History of WBGene00022523: N.A.. Remark: This gene was determined to be of Transposon in origin so has been supressed from the protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
ZK1307.9,1129,95.8973760473,ZK1307.9,WBGene00014250,Public name for WBGene00014250. History: N.A.
C16A3.6,1128,95.8124359445,C16A3.6,WBGene00015811,Public name for WBGene00015811. History: N.A.
Y110A7A.8,1128,95.8124359445,Y110A7A.8,WBGene00022458,Sequence name for WBGene00022458(prp-31). History: Renamed on 2005-03-17
Y48G1A.6,1128,95.8124359445,Y48G1A.6,WBGene00021661,Sequence name for WBGene00021661(mbtr-1). History: N.A.
F23C8.5,1127,95.7274958418,F23C8.5,WBGene00017734,Public name for WBGene00017734. History: N.A.
T08G5.5,1127,95.7274958418,T08G5.5,WBGene00011625,Sequence name for WBGene00011625(vps-39). History: N.A.
Y105E8A.14,1126,95.642555739,Y105E8A.14,WBGene00013674,Public name for WBGene00013674. History: N.A.
ZK418.9,1126,95.642555739,ZK418.9,WBGene00022738,Sequence name for WBGene00022738(fubl-2). History: Renamed on 2017-12-07
C24H12.4,1125,95.5576156362,C24H12.4,WBGene00016073,Public name for WBGene00016073. History: N.A.
F08F3.8,1124,95.4726755334,F08F3.8,WBGene00017264,Public name for WBGene00017264. History: N.A.
F23B12.5,1124,95.4726755334,F23B12.5,WBGene00009082,Sequence name for WBGene00009082(dlat-1). History: N.A.
C03A7.2,1122,95.3027953278,C03A7.2,WBGene00015366,Public name for WBGene00015366. History: N.A.
F40G9.3,1121,95.217855225,F40G9.3,WBGene00006715,Sequence name for WBGene00006715(ubc-20). History: N.A.
Y55B1BM.1,1120,95.1329151222,Y55B1BM.1,WBGene00021910,Sequence name for WBGene00021910(stim-1). History: N.A.
D2096.3,1119,95.0479750195,D2096.3,WBGene00017071,Sequence name for WBGene00017071(aagr-1). History: N.A.
T09B4.9,1119,95.0479750195,T09B4.9,WBGene00020383,Sequence name for WBGene00020383(tin-44). History: Renamed on 2015-02-09
R151.8,1118,94.9630349167,R151.8,WBGene00020111,Public name for WBGene00020111. History: N.A.
Y24D9A.8,1118,94.9630349167,Y24D9A.8,WBGene00021286,Sequence name for WBGene00021286(tald-1). History: N.A.
F39G3.8,1116,94.7931547111,F39G3.8,WBGene00006570,Sequence name for WBGene00006570(tig-2). History: N.A.
C18E9.6,1115,94.7082146083,C18E9.6,WBGene00007686,Sequence name for WBGene00007686(tomm-40). History: N.A.
C41D11.3,1115,94.7082146083,C41D11.3,WBGene00016562,Public name for WBGene00016562. History: N.A.
W04A4.5,1115,94.7082146083,W04A4.5,WBGene00012234,Sequence name for WBGene00012234(ints-4). History: N.A.
Y108F1.3,1115,94.7082146083,Y108F1.3,WBGene00022431,Sequence name for WBGene00022431(set-33). History: N.A.
C33H5.12,1114,94.6232745055,C33H5.12,WBGene00004703,Sequence name for WBGene00004703(rsp-6). History: N.A.
F55C12.5,1114,94.6232745055,F55C12.5,WBGene00018872,Public name for WBGene00018872. History: N.A.
H38K22.2,1114,94.6232745055,H38K22.2,WBGene00010428,Sequence name for WBGene00010428(dcn-1). History: N.A.
Y104H12D.3,1114,94.6232745055,Y104H12D.3,WBGene00022427,Sequence name for WBGene00022427(spl-3). History: N.A.
Y113G7B.18,1114,94.6232745055,Y113G7B.18,WBGene00007017,Sequence name for WBGene00007017(mdt-17). History: N.A.
C18A3.2,1113,94.5383344027,C18A3.2,WBGene00015940,Sequence name for WBGene00015940(zipt-3). History: N.A.
Y57A10A.16,1113,94.5383344027,Y57A10A.16,WBGene00013259,Sequence name for WBGene00013259(trpp-5). History: N.A.
Y76A2A.2,1113,94.5383344027,Y76A2A.2,WBGene00000834,Sequence name for WBGene00000834(cua-1). History: N.A.
C41G7.3,1112,94.4533942999,C41G7.3,WBGene00008061,"Sequence name for WBGene00008061(mina-1). History: Split into tspo-1(WBGene00077771). History of WBGene00008061: Split into ""WBGene00077771"" on 2008-06-10"
F21H12.6,1112,94.4533942999,F21H12.6,WBGene00017686,Sequence name for WBGene00017686(tpp-2). History: N.A.
Y37E3.11,1110,94.2835140944,Y37E3.11,WBGene00021352,Sequence name for WBGene00021352(pcyt-2.1). History: N.A.
C06E7.3,1109,94.1985739916,C06E7.3,WBGene00015540,Sequence name for WBGene00015540(sams-4). History: N.A.
F21C3.4,1109,94.1985739916,F21C3.4,WBGene00004324,"Sequence name for WBGene00004324(rde-2). History: N.A.. Public name for Dead gene WBGene00009003. History of WBGene00009003: Merged into ""WBGene00004324"" on 2005-01-14"
T19A6.4,1109,94.1985739916,T19A6.4,WBGene00011829,Public name for WBGene00011829. History: N.A.
Y54E10BR.6,1109,94.1985739916,Y54E10BR.6,WBGene00021845,Sequence name for WBGene00021845(rpb-7). History: N.A.
F41G3.6,1107,94.028693786,F41G3.6,WBGene00018302,Public name for WBGene00018302. History: N.A.
T16H12.5,1107,94.028693786,T16H12.5,WBGene00011815,Sequence name for WBGene00011815(spop-1). History: Renamed on 2020-03-30
Y54G2A.17,1107,94.028693786,Y54G2A.17,WBGene00021882,Sequence name for WBGene00021882(nprt-1). History: N.A.
D1081.8,1106,93.9437536832,D1081.8,WBGene00008386,Sequence name for WBGene00008386(cdc-5L). History: Renamed on 2005-03-17
F23B12.7,1105,93.8588135804,F23B12.7,WBGene00009084,Public name for WBGene00009084. History: N.A.
Y57G11C.11,1105,93.8588135804,Y57G11C.11,WBGene00000763,Sequence name for WBGene00000763(coq-3). History: N.A.
C25D7.8,1104,93.7738734776,C25D7.8,WBGene00007718,Sequence name for WBGene00007718(otub-1). History: N.A.
F10B5.1,1104,93.7738734776,F10B5.1,WBGene00004421,Sequence name for WBGene00004421(rpl-10). History: N.A.
Y38H6C.10,1104,93.7738734776,Y38H6C.10,WBGene00012623,Sequence name for WBGene00012623(fbxa-149). History: N.A.
Y55F3BR.10,1104,93.7738734776,Y55F3BR.10,WBGene00044742,Public name for WBGene00044742. History: N.A.
C44B7.2,1103,93.6889333749,C44B7.2,WBGene00016624,Sequence name for WBGene00016624(hrpl-1). History: N.A.
F32E10.6,1103,93.6889333749,F32E10.6,WBGene00017993,Sequence name for WBGene00017993(cec-5). History: N.A.
Y111B2A.8,1103,93.6889333749,Y111B2A.8,WBGene00013732,Sequence name for WBGene00013732(aakg-1). History: N.A.
B0285.5,1102,93.6039932721,B0285.5,WBGene00002003,Sequence name for WBGene00002003(hse-5). History: N.A.
Y48C3A.14,1102,93.6039932721,Y48C3A.14,WBGene00012995,Public name for WBGene00012995. History: N.A.
Y54G11A.10,1101,93.5190531693,Y54G11A.10,WBGene00002996,"Sequence name for WBGene00002996(lin-7). History: Split into Y54G11A.17(WBGene00185067). History of WBGene00002996: Split into ""WBGene00185067"" on 2009-03-06"
C06C3.1,1100,93.4341130665,C06C3.1,WBGene00003196,Sequence name for WBGene00003196(mel-11). History: N.A.
F32E10.1,1100,93.4341130665,F32E10.1,WBGene00017989,Sequence name for WBGene00017989(nol-10). History: N.A.
Y34D9A.10,1100,93.4341130665,Y34D9A.10,WBGene00021334,Sequence name for WBGene00021334(vps-4). History: Renamed on 2005-03-17
Y71F9AL.4,1100,93.4341130665,Y71F9AL.4,WBGene00022110,Public name for WBGene00022110. History: N.A.
T24C4.1,1099,93.3491729637,T24C4.1,WBGene00020757,Sequence name for WBGene00020757(ucr-2.3). History: N.A.
F45H11.3,1098,93.2642328609,F45H11.3,WBGene00009744,Sequence name for WBGene00009744(hpo-35). History: Split into F45H11.8(WBGene00189958). History of WBGene00009744: N.A.
Y71H2AM.23,1098,93.2642328609,Y71H2AM.23,WBGene00007000,"Sequence name for WBGene00007000(tufm-1). History: N.A.. Public name for Dead gene WBGene00022187. History of WBGene00022187: Merged into ""WBGene00007000"" on 2004-05-28"
K10F12.3,1096,93.0943526553,K10F12.3,WBGene00004045,Sequence name for WBGene00004045(pll-1). History: N.A.
C35E7.8,1095,93.0094125526,C35E7.8,WBGene00016460,Public name for WBGene00016460. History: N.A.
F43E2.7,1095,93.0094125526,F43E2.7,WBGene00018395,Sequence name for WBGene00018395(mtch-1). History: N.A.
B0304.2,1093,92.839532347,B0304.2,WBGene00015134,Public name for WBGene00015134. History: N.A.
C06A8.2,1093,92.839532347,C06A8.2,WBGene00015513,Sequence name for WBGene00015513(snpc-1.1). History: N.A.
W10D9.5,1092,92.7545922442,W10D9.5,WBGene00021133,Sequence name for WBGene00021133(tomm-22). History: N.A.
C30F12.4,1090,92.5847120386,C30F12.4,WBGene00016263,Public name for WBGene00016263. History: N.A.
F28F8.6,1090,92.5847120386,F28F8.6,WBGene00006446,Sequence name for WBGene00006446(atx-3). History: N.A.
Y37D8A.11,1090,92.5847120386,Y37D8A.11,WBGene00012551,Sequence name for WBGene00012551(cec-7). History: N.A.
T10G3.6,1089,92.4997719358,T10G3.6,WBGene00001808,Sequence name for WBGene00001808(gut-2). History: N.A.
Y66D12A.8,1088,92.414831833,Y66D12A.8,WBGene00013434,Public name for WBGene00013434. History: N.A.
C09H10.3,1087,92.3298917302,C09H10.3,WBGene00003831,Sequence name for WBGene00003831(nuo-1). History: N.A.
C18F10.7,1085,92.1600115247,C18F10.7,WBGene00015978,Public name for WBGene00015978. History: N.A.
F11A10.5,1085,92.1600115247,F11A10.5,WBGene00008686,Public name for WBGene00008686. History: N.A.
F33D11.12,1085,92.1600115247,F33D11.12,WBGene00018009,"Sequence name for WBGene00018009(dhhc-3). History: Split into F33D11.17(WBGene00303057). History of WBGene00018009: Split into ""WBGene00303057"" on 2018-03-02"
T04C4.1,1085,92.1600115247,T04C4.1,WBGene00020208,Sequence name for WBGene00020208(fnip-2). History: Renamed on 2020-01-28
C25A1.3,1084,92.0750714219,C25A1.3,WBGene00006447,Sequence name for WBGene00006447(tag-72). History: N.A.
Y49E10.6,1084,92.0750714219,Y49E10.6,WBGene00001946,Sequence name for WBGene00001946(his-72). History: N.A.
F10C5.1,1083,91.9901313191,F10C5.1,WBGene00003134,Sequence name for WBGene00003134(mat-3). History: Renamed on 2006-03-01; Renamed on 2016-01-22
H06H21.3,1083,91.9901313191,H06H21.3,WBGene00019162,Sequence name for WBGene00019162(eif-1.A). History: N.A.
T08B2.7,1083,91.9901313191,T08B2.7,WBGene00020347,Sequence name for WBGene00020347(ech-1.2). History: N.A.
Y48G1A.4,1083,91.9901313191,Y48G1A.4,WBGene00021660,Sequence name for WBGene00021660(nol-14). History: N.A.
M01E5.5,1082,91.9051912163,M01E5.5,WBGene00006595,Sequence name for WBGene00006595(top-1). History: N.A.
F53F4.14,1081,91.8202511135,F53F4.14,WBGene00009996,Sequence name for WBGene00009996(sde-2). History: N.A.
ZK1127.5,1080,91.7353110107,ZK1127.5,WBGene00022852,Public name for WBGene00022852. History: N.A.
C32D5.10,1079,91.6503709079,C32D5.10,WBGene00016317,Public name for WBGene00016317. History: N.A.
F18A1.4,1079,91.6503709079,F18A1.4,WBGene00003045,Sequence name for WBGene00003045(lir-2). History: N.A.
M05D6.6,1079,91.6503709079,M05D6.6,WBGene00010879,Sequence name for WBGene00010879(taap-1). History: N.A.
C12D8.10,1078,91.5654308052,C12D8.10,WBGene00000102,Sequence name for WBGene00000102(akt-1). History: N.A.
Y53F4B.42,1078,91.5654308052,Y53F4B.42,WBGene00044720,Sequence name for WBGene00044720(metl-2). History: N.A.
Y25C1A.5,1077,91.4804907024,Y25C1A.5,WBGene00021292,Sequence name for WBGene00021292(copb-1). History: N.A.
C34C6.4,1076,91.3955505996,C34C6.4,WBGene00007917,Sequence name for WBGene00007917(chdh-1). History: N.A.
F49E8.2,1076,91.3955505996,F49E8.2,WBGene00018636,Sequence name for WBGene00018636(oef-1). History: N.A.
ZC317.7,1076,91.3955505996,ZC317.7,WBGene00022590,Public name for WBGene00022590. History: N.A.
F28B3.6,1075,91.3106104968,F28B3.6,WBGene00017887,Public name for WBGene00017887. History: N.A.
T16G12.5,1075,91.3106104968,T16G12.5,WBGene00011806,"Sequence name for WBGene00011806(ekl-6). History: Split into T16G12.12(WBGene00269433). History of WBGene00011806: Split into ""WBGene00269433"" on 2016-04-19"
Y41D4A.6,1074,91.225670394,Y41D4A.6,WBGene00021508,Public name for WBGene00021508. History: N.A.
ZK973.3,1074,91.225670394,ZK973.3,WBGene00022832,Sequence name for WBGene00022832(pdp-1). History: N.A.
C14C11.7,1073,91.1407302912,C14C11.7,WBGene00015769,Public name for WBGene00015769. History: N.A.
F56D1.2,1073,91.1407302912,F56D1.2,WBGene00018960,Sequence name for WBGene00018960(ilcr-2). History: N.A.
C36E8.1,1072,91.0557901884,C36E8.1,WBGene00007980,Public name for WBGene00007980. History: N.A.
F10G7.8,1072,91.0557901884,F10G7.8,WBGene00004461,Sequence name for WBGene00004461(rpn-5). History: N.A.
F57H12.1,1072,91.0557901884,F57H12.1,WBGene00000183,Sequence name for WBGene00000183(arf-5). History: Renamed on 2020-09-10
T09A5.8,1072,91.0557901884,T09A5.8,WBGene00011636,Sequence name for WBGene00011636(cec-3). History: Renamed on 2013-11-11
C34E10.2,1071,90.9708500856,C34E10.2,WBGene00001661,Sequence name for WBGene00001661(gop-2). History: N.A.
Y75B8A.8,1071,90.9708500856,Y75B8A.8,WBGene00013545,Public name for WBGene00013545. History: N.A.
ZC168.3,1071,90.9708500856,ZC168.3,WBGene00013857,Sequence name for WBGene00013857(orc-5). History: N.A.
F20B6.5,1068,90.7160297773,F20B6.5,WBGene00017629,Public name for WBGene00017629. History: N.A.
F53C3.13,1068,90.7160297773,F53C3.13,WBGene00018756,Sequence name for WBGene00018756(plpp-1.1). History: N.A.
F57B10.12,1068,90.7160297773,F57B10.12,WBGene00003184,Sequence name for WBGene00003184(mei-2). History: N.A.
Y105E8A.12,1068,90.7160297773,Y105E8A.12,WBGene00013672,Sequence name for WBGene00013672(catp-1). History: N.A.
Y48E1C.4,1068,90.7160297773,Y48E1C.4,WBGene00013017,Public name for WBGene00013017. History: N.A.
Y64H9A.1,1068,90.7160297773,Y64H9A.1,WBGene00022023,Public name for WBGene00022023. History: N.A.
C25D7.3,1067,90.6310896745,C25D7.3,WBGene00004747,Sequence name for WBGene00004747(sdc-3). History: N.A.
C49H3.11,1065,90.4612094689,C49H3.11,WBGene00004471,Sequence name for WBGene00004471(rps-2). History: N.A.
F54C9.9,1062,90.2063891606,F54C9.9,WBGene00010044,Public name for WBGene00010044. History: N.A.
F59A2.4,1061,90.1214490578,F59A2.4,WBGene00010304,Sequence name for WBGene00010304(clpf-1). History: N.A.
T10B11.3,1061,90.1214490578,T10B11.3,WBGene00020399,Sequence name for WBGene00020399(ztf-4). History: N.A.
Y54G11A.3,1061,90.1214490578,Y54G11A.3,WBGene00013214,Public name for WBGene00013214. History: N.A.
F13B12.6,1060,90.036508955,F13B12.6,WBGene00008733,Public name for WBGene00008733. History: N.A.
F25H2.6,1060,90.036508955,F25H2.6,WBGene00009120,Public name for WBGene00009120. History: N.A.
M01E11.2,1060,90.036508955,M01E11.2,WBGene00019711,Sequence name for WBGene00019711(ctnb-1). History: N.A.
F58B3.6,1059,89.9515688522,F58B3.6,WBGene00010232,Public name for WBGene00010232. History: N.A.
Y39B6A.2,1059,89.9515688522,Y39B6A.2,WBGene00012665,Sequence name for WBGene00012665(pph-5). History: N.A.
F10B5.2,1058,89.8666287494,F10B5.2,WBGene00008639,Public name for WBGene00008639. History: N.A.
F39B2.1,1058,89.8666287494,F39B2.1,WBGene00009553,Sequence name for WBGene00009553(hinf-1). History: N.A.
R05F9.9,1057,89.7816886466,R05F9.9,WBGene00019892,Public name for WBGene00019892. History: N.A.
EEED8.5,1056,89.6967485438,EEED8.5,WBGene00003393,Sequence name for WBGene00003393(mog-5). History: N.A.
W09H1.4,1056,89.6967485438,W09H1.4,WBGene00012374,Public name for WBGene00012374. History: N.A.
Y46H3A.7,1055,89.611808441,Y46H3A.7,WBGene00044344,Sequence name for WBGene00044344(mrpl-39). History: N.A.
C26E6.5,1054,89.5268683383,C26E6.5,WBGene00001499,"Sequence name for WBGene00001499(fsn-1). History: N.A.. Public name for Dead gene WBGene00016141. History of WBGene00016141: Merged into ""WBGene00001499"" on 2004-07-01"
Y48E1B.14,1054,89.5268683383,Y48E1B.14,WBGene00013011,Sequence name for WBGene00013011(snx-14). History: N.A.
F01F1.7,1053,89.4419282355,F01F1.7,WBGene00017162,Sequence name for WBGene00017162(ddx-23). History: N.A.
R151.3,1052,89.3569881327,R151.3,WBGene00004417,Sequence name for WBGene00004417(rpl-6). History: N.A.
D2023.5,1051,89.2720480299,D2023.5,WBGene00008409,Sequence name for WBGene00008409(mpst-1). History: N.A.
Y39G10AR.9,1051,89.2720480299,Y39G10AR.9,WBGene00021467,Public name for WBGene00021467. History: N.A.
F38E9.4,1049,89.1021678243,F38E9.4,WBGene00018186,Public name for WBGene00018186. History: N.A.
F59G1.3,1048,89.0172277215,F59G1.3,WBGene00006933,Sequence name for WBGene00006933(vps-35). History: N.A.
T05H4.12,1048,89.0172277215,T05H4.12,WBGene00020275,Sequence name for WBGene00020275(atp-4). History: N.A.
Y47H9C.7,1048,89.0172277215,Y47H9C.7,WBGene00012950,Sequence name for WBGene00012950(eif-2Bbeta). History: N.A.
Y48C3A.20,1047,88.9322876187,Y48C3A.20,WBGene00012998,Public name for WBGene00012998. History: N.A.
ZC410.3,1047,88.9322876187,ZC410.3,WBGene00013881,Sequence name for WBGene00013881(mans-4). History: N.A.
C01G5.8,1046,88.847347516,C01G5.8,WBGene00015310,Sequence name for WBGene00015310(fan-1). History: N.A.
F25B5.4,1046,88.847347516,F25B5.4,WBGene00006727,Sequence name for WBGene00006727(ubq-1). History: N.A.
F53F10.4,1046,88.847347516,F53F10.4,WBGene00006833,Sequence name for WBGene00006833(unc-108). History: Renamed on 2008-11-18
F46C5.8,1045,88.7624074132,F46C5.8,WBGene00009783,Sequence name for WBGene00009783(rer-1). History: N.A.
